,Confirmed,Deaths,Recovered,CurrentConfirmed
1/22/2020,5,0,0,5
1/23/2020,8,0,0,8
1/24/2020,15,0,0,15
1/25/2020,28,0,0,28
1/26/2020,44,0,0,44
1/27/2020,69,0,0,69
1/28/2020,90,0,0,90
1/29/2020,108,1,1,106
1/30/2020,142,1,1,140
1/31/2020,177,1,1,175
2/1/2020,207,1,3,203
2/2/2020,231,1,11,219
2/3/2020,254,1,14,239
2/4/2020,282,1,14,267
2/5/2020,301,1,24,276
2/6/2020,321,1,31,289
2/7/2020,344,1,42,301
2/8/2020,364,1,60,303
2/9/2020,386,1,71,314
2/10/2020,405,1,80,324
2/11/2020,417,1,85,331
2/12/2020,436,1,92,343
2/13/2020,451,1,104,346
2/14/2020,463,1,114,348
2/15/2020,470,1,119,350
2/16/2020,481,3,131,347
2/17/2020,495,3,156,336
2/18/2020,508,3,169,336
2/19/2020,514,3,188,323
2/20/2020,520,3,217,300
2/21/2020,525,3,231,291
2/22/2020,526,3,250,273
2/23/2020,526,3,261,262
2/24/2020,527,3,276,248
2/25/2020,529,3,289,237
2/26/2020,531,3,307,221
2/27/2020,534,3,321,210
2/28/2020,538,3,338,197
2/29/2020,538,3,351,184
3/1/2020,538,3,365,170
3/2/2020,538,3,386,149
3/3/2020,538,3,394,141
3/4/2020,538,3,406,129
3/5/2020,539,3,425,111
3/6/2020,539,3,442,94
3/7/2020,539,3,454,82
3/8/2020,539,3,464,72
3/9/2020,539,3,466,70
3/10/2020,539,3,478,58
3/11/2020,539,3,488,48
3/12/2020,539,3,498,38
3/13/2020,539,3,503,33
3/14/2020,539,3,511,25
3/15/2020,539,3,516,20
3/16/2020,539,3,516,20
3/17/2020,540,3,520,17
3/18/2020,540,3,525,12
3/19/2020,540,3,536,1
3/20/2020,541,3,536,2
3/21/2020,542,3,536,3
3/22/2020,543,3,536,4
3/23/2020,543,3,536,4
3/24/2020,545,3,536,6
3/25/2020,547,3,536,8
3/26/2020,547,3,536,8
3/27/2020,548,3,536,9
3/28/2020,548,3,536,9
3/29/2020,550,3,536,11
3/30/2020,550,3,536,11
3/31/2020,550,3,536,11
4/1/2020,552,3,537,12
4/2/2020,554,3,537,14
4/3/2020,555,3,537,15
4/4/2020,557,3,538,16
4/5/2020,558,3,539,16
4/6/2020,559,3,540,16
4/7/2020,560,3,541,16
4/8/2020,560,3,541,16
4/9/2020,560,3,541,16
4/10/2020,560,3,546,11
4/11/2020,560,3,547,10
4/12/2020,560,3,547,10
4/13/2020,560,3,548,9
4/14/2020,560,3,548,9
4/15/2020,560,3,550,7
4/16/2020,560,3,552,5
4/17/2020,560,3,552,5
4/18/2020,561,3,553,5
4/19/2020,561,3,554,4
4/20/2020,561,3,554,4
4/21/2020,561,3,554,4
4/22/2020,561,3,556,2
4/23/2020,561,3,558,0
4/24/2020,561,3,558,0
4/25/2020,561,3,558,0
4/26/2020,561,3,558,0
4/27/2020,561,3,558,0
4/28/2020,561,3,558,0
4/29/2020,561,3,558,0
4/30/2020,561,3,558,0
5/1/2020,561,3,558,0
5/2/2020,561,3,558,0
5/3/2020,561,3,558,0
5/4/2020,561,3,558,0
5/5/2020,561,3,558,0
5/6/2020,561,3,558,0
5/7/2020,561,3,558,0
5/8/2020,561,3,558,0
5/9/2020,561,3,558,0
5/10/2020,561,3,558,0
5/11/2020,561,3,558,0
5/12/2020,561,3,558,0
5/13/2020,561,3,558,0
5/14/2020,561,3,558,0
5/15/2020,561,3,558,0
5/16/2020,561,3,558,0
5/17/2020,561,3,558,0
5/18/2020,561,3,558,0
5/19/2020,561,3,558,0
5/20/2020,561,3,558,0
5/21/2020,561,3,558,0
5/22/2020,563,3,558,2
5/23/2020,563,3,558,2
5/24/2020,564,3,558,3
5/25/2020,564,3,558,3
5/26/2020,564,3,558,3
5/27/2020,564,3,558,3
5/28/2020,564,3,558,3
5/29/2020,564,3,558,3
5/30/2020,564,3,558,3
5/31/2020,575,3,558,14
6/1/2020,577,3,558,16
6/2/2020,577,3,558,16
6/3/2020,577,3,558,16
6/4/2020,578,3,558,17
6/5/2020,578,3,558,17
6/6/2020,578,3,558,17
6/7/2020,581,3,558,20
6/8/2020,582,3,558,21
6/9/2020,582,3,558,21
6/10/2020,582,3,560,19
6/11/2020,582,3,561,18
6/12/2020,583,3,562,18
6/13/2020,583,3,563,17
6/14/2020,587,3,563,21
6/15/2020,588,3,564,21
6/16/2020,589,3,565,21
6/17/2020,589,3,567,19
6/18/2020,589,3,569,17
6/19/2020,589,3,569,17
6/20/2020,589,3,570,16
6/21/2020,589,3,570,16
6/22/2020,589,3,572,14
6/23/2020,589,3,573,13
6/24/2020,589,3,575,11
6/25/2020,589,3,575,11
6/26/2020,589,3,575,11
6/27/2020,589,3,575,11
6/28/2020,592,3,577,12
6/29/2020,595,3,578,14
6/30/2020,595,3,580,12
7/1/2020,595,3,580,12
7/2/2020,595,3,581,11
7/3/2020,595,3,581,11
7/4/2020,596,3,581,12
7/5/2020,596,3,581,12
