,Confirmed,Deaths,Recovered,CurrentConfirmed
1/22/2020,4,0,0,4
1/23/2020,4,0,0,4
1/24/2020,8,0,0,8
1/25/2020,10,0,0,10
1/26/2020,14,0,0,14
1/27/2020,23,0,0,23
1/28/2020,24,0,0,24
1/29/2020,27,0,0,27
1/30/2020,31,0,0,31
1/31/2020,32,0,0,32
2/1/2020,41,0,0,41
2/2/2020,48,0,1,47
2/3/2020,60,0,1,59
2/4/2020,67,0,2,65
2/5/2020,69,1,2,66
2/6/2020,79,1,2,76
2/7/2020,81,1,2,78
2/8/2020,88,1,4,83
2/9/2020,91,1,4,86
2/10/2020,95,1,8,86
2/11/2020,106,2,10,94
2/12/2020,112,2,11,99
2/13/2020,119,3,21,95
2/14/2020,120,3,31,86
2/15/2020,122,3,37,82
2/16/2020,124,3,45,76
2/17/2020,125,3,46,76
2/18/2020,128,3,48,77
2/19/2020,130,3,54,73
2/20/2020,131,3,59,69
2/21/2020,132,3,62,67
2/22/2020,135,3,65,67
2/23/2020,135,3,81,51
2/24/2020,135,3,87,45
2/25/2020,135,3,91,41
2/26/2020,135,3,96,36
2/27/2020,136,3,102,31
2/28/2020,136,3,102,31
2/29/2020,136,3,109,24
3/1/2020,136,3,111,22
3/2/2020,136,3,111,22
3/3/2020,136,3,124,9
3/4/2020,136,3,124,9
3/5/2020,136,3,128,5
3/6/2020,136,3,128,5
3/7/2020,136,3,128,5
3/8/2020,136,3,128,5
3/9/2020,136,3,130,3
3/10/2020,136,3,131,2
3/11/2020,136,3,131,2
3/12/2020,136,3,132,1
3/13/2020,136,3,132,1
3/14/2020,136,3,132,1
3/15/2020,136,3,133,0
3/16/2020,136,3,133,0
3/17/2020,136,3,133,0
3/18/2020,136,3,133,0
3/19/2020,137,3,133,1
3/20/2020,137,3,133,1
3/21/2020,137,3,133,1
3/22/2020,137,3,133,1
3/23/2020,141,3,133,5
3/24/2020,145,3,133,9
3/25/2020,145,3,133,9
3/26/2020,151,3,133,15
3/27/2020,155,3,133,19
3/28/2020,161,3,133,25
3/29/2020,166,3,133,30
3/30/2020,174,3,133,38
3/31/2020,174,3,135,36
4/1/2020,176,3,135,38
4/2/2020,176,3,135,38
