,Confirmed,Deaths,Recovered,CurrentConfirmed
1/22/2020,10,0,0,10
1/23/2020,27,0,0,27
1/24/2020,43,0,1,42
1/25/2020,62,0,1,61
1/26/2020,104,0,1,103
1/27/2020,128,0,1,127
1/28/2020,173,0,3,170
1/29/2020,296,0,3,293
1/30/2020,428,0,4,424
1/31/2020,538,0,14,524
2/1/2020,599,0,21,578
2/2/2020,661,0,32,629
2/3/2020,724,0,43,681
2/4/2020,829,0,62,767
2/5/2020,895,0,78,817
2/6/2020,954,0,94,860
2/7/2020,1006,0,123,883
2/8/2020,1048,0,175,873
2/9/2020,1075,0,201,874
2/10/2020,1092,0,242,850
2/11/2020,1117,0,270,847
2/12/2020,1131,0,321,810
2/13/2020,1145,0,360,785
2/14/2020,1155,0,403,752
2/15/2020,1162,0,428,734
2/16/2020,1167,0,456,711
2/17/2020,1171,0,507,664
2/18/2020,1172,0,535,637
2/19/2020,1174,0,604,570
2/20/2020,1175,1,633,541
2/21/2020,1203,1,679,523
2/22/2020,1205,1,719,485
2/23/2020,1205,1,760,444
2/24/2020,1205,1,782,422
2/25/2020,1205,1,808,396
2/26/2020,1205,1,867,337
2/27/2020,1205,1,932,272
2/28/2020,1205,1,975,229
2/29/2020,1205,1,1016,188
3/1/2020,1205,1,1046,158
3/2/2020,1206,1,1069,136
3/3/2020,1213,1,1093,119
3/4/2020,1213,1,1114,98
3/5/2020,1215,1,1124,90
3/6/2020,1215,1,1147,67
3/7/2020,1215,1,1154,60
3/8/2020,1215,1,1161,53
3/9/2020,1215,1,1176,38
3/10/2020,1215,1,1191,23
3/11/2020,1215,1,1195,19
3/12/2020,1215,1,1197,17
3/13/2020,1215,1,1197,17
3/14/2020,1227,1,1211,15
3/15/2020,1231,1,1211,19
3/16/2020,1231,1,1216,14
3/17/2020,1232,1,1216,15
3/18/2020,1232,1,1216,15
3/19/2020,1233,1,1217,15
3/20/2020,1234,1,1219,14
3/21/2020,1236,1,1219,16
3/22/2020,1238,1,1219,18
3/23/2020,1238,1,1221,16
3/24/2020,1240,1,1221,18
3/25/2020,1241,1,1221,19
3/26/2020,1243,1,1222,20
3/27/2020,1247,1,1222,24
3/28/2020,1251,1,1225,25
3/29/2020,1254,1,1225,28
3/30/2020,1255,1,1225,29
3/31/2020,1257,1,1226,30
4/1/2020,1257,1,1226,30
4/2/2020,1258,1,1228,29
4/3/2020,1260,1,1228,31
4/4/2020,1262,1,1229,32
4/5/2020,1263,1,1230,32
4/6/2020,1264,1,1230,33
4/7/2020,1265,1,1230,34
4/8/2020,1266,1,1232,33
4/9/2020,1267,1,1235,31
4/10/2020,1267,1,1235,31
4/11/2020,1267,1,1236,30
4/12/2020,1267,1,1238,28
4/13/2020,1267,1,1239,27
4/14/2020,1267,1,1242,24
4/15/2020,1268,1,1244,23
4/16/2020,1268,1,1244,23
4/17/2020,1268,1,1246,21
4/18/2020,1268,1,1246,21
4/19/2020,1268,1,1247,20
4/20/2020,1268,1,1249,18
4/21/2020,1268,1,1251,16
4/22/2020,1268,1,1252,15
4/23/2020,1268,1,1256,11
4/24/2020,1268,1,1256,11
4/25/2020,1268,1,1257,10
4/26/2020,1268,1,1258,9
4/27/2020,1268,1,1261,6
4/28/2020,1268,1,1262,5
4/29/2020,1268,1,1263,4
4/30/2020,1268,1,1264,3
5/1/2020,1268,1,1265,2
5/2/2020,1268,1,1265,2
5/3/2020,1268,1,1265,2
5/4/2020,1268,1,1267,0
5/5/2020,1268,1,1267,0
5/6/2020,1268,1,1267,0
5/7/2020,1268,1,1267,0
5/8/2020,1268,1,1267,0
5/9/2020,1268,1,1267,0
5/10/2020,1268,1,1267,0
5/11/2020,1268,1,1267,0
5/12/2020,1268,1,1267,0
5/13/2020,1268,1,1267,0
5/14/2020,1268,1,1267,0
5/15/2020,1268,1,1267,0
5/16/2020,1268,1,1267,0
5/17/2020,1268,1,1267,0
5/18/2020,1268,1,1267,0
5/19/2020,1268,1,1267,0
5/20/2020,1268,1,1267,0
5/21/2020,1268,1,1267,0
5/22/2020,1268,1,1267,0
5/23/2020,1268,1,1267,0
5/24/2020,1268,1,1267,0
5/25/2020,1268,1,1267,0
5/26/2020,1268,1,1267,0
5/27/2020,1268,1,1267,0
5/28/2020,1268,1,1267,0
5/29/2020,1268,1,1267,0
5/30/2020,1268,1,1267,0
5/31/2020,1268,1,1267,0
6/1/2020,1268,1,1267,0
6/2/2020,1268,1,1267,0
6/3/2020,1268,1,1267,0
6/4/2020,1268,1,1267,0
6/5/2020,1268,1,1267,0
6/6/2020,1268,1,1267,0
6/7/2020,1268,1,1267,0
6/8/2020,1268,1,1267,0
6/9/2020,1268,1,1267,0
6/10/2020,1268,1,1267,0
6/11/2020,1268,1,1267,0
6/12/2020,1268,1,1267,0
6/13/2020,1268,1,1267,0
6/14/2020,1268,1,1267,0
6/15/2020,1268,1,1267,0
6/16/2020,1269,1,1267,1
6/17/2020,1269,1,1267,1
6/18/2020,1269,1,1267,1
6/19/2020,1269,1,1267,1
6/20/2020,1269,1,1267,1
6/21/2020,1269,1,1267,1
6/22/2020,1269,1,1267,1
6/23/2020,1269,1,1267,1
6/24/2020,1269,1,1267,1
6/25/2020,1269,1,1267,1
6/26/2020,1269,1,1267,1
6/27/2020,1269,1,1267,1
6/28/2020,1269,1,1267,1
6/29/2020,1269,1,1267,1
6/30/2020,1269,1,1267,1
7/1/2020,1269,1,1267,1
7/2/2020,1269,1,1267,1
7/3/2020,1269,1,1267,1
7/4/2020,1269,1,1267,1
7/5/2020,1269,1,1267,1
7/6/2020,1269,1,1267,1
7/7/2020,1269,1,1267,1
7/8/2020,1269,1,1267,1
7/9/2020,1269,1,1267,1
7/10/2020,1269,1,1267,1
7/11/2020,1270,1,1267,2
7/12/2020,1270,1,1267,2
7/13/2020,1270,1,1267,2
7/14/2020,1270,1,1267,2
7/15/2020,1270,1,1267,2
7/16/2020,1270,1,1267,2
7/17/2020,1270,1,1267,2
7/18/2020,1270,1,1267,2
7/19/2020,1270,1,1267,2
7/20/2020,1270,1,1267,2
7/21/2020,1270,1,1267,2
7/22/2020,1270,1,1267,2
7/23/2020,1270,1,1267,2
7/24/2020,1270,1,1267,2
7/25/2020,1270,1,1268,1
7/26/2020,1270,1,1268,1
7/27/2020,1270,1,1268,1
7/28/2020,1270,1,1268,1
7/29/2020,1270,1,1268,1
7/30/2020,1270,1,1268,1
7/31/2020,1270,1,1268,1
8/1/2020,1270,1,1268,1
8/2/2020,1270,1,1268,1
8/3/2020,1270,1,1268,1
8/4/2020,1270,1,1268,1
8/5/2020,1270,1,1268,1
8/6/2020,1270,1,1268,1
8/7/2020,1271,1,1268,2
8/8/2020,1272,1,1268,3
8/9/2020,1273,1,1268,4
8/10/2020,1274,1,1268,5
