,Confirmed,Deaths,Recovered,CurrentConfirmed
1/22/2020,548,17,28,503
1/23/2020,643,18,30,595
1/24/2020,920,26,36,858
1/25/2020,1406,42,39,1325
1/26/2020,2075,56,49,1970
1/27/2020,2877,82,58,2737
1/28/2020,5509,131,101,5277
1/29/2020,6087,133,120,5834
1/30/2020,8141,171,135,7835
1/31/2020,9802,213,214,9375
2/1/2020,11891,259,275,11357
2/2/2020,16630,361,463,15806
2/3/2020,19716,425,614,18677
2/4/2020,23707,491,843,22373
2/5/2020,27440,563,1115,25762
2/6/2020,30587,633,1477,28477
2/7/2020,34110,718,1999,31393
2/8/2020,36814,805,2596,33413
2/9/2020,39829,905,3219,35705
2/10/2020,42354,1012,3918,37424
2/11/2020,44386,1112,4636,38638
2/12/2020,44759,1117,5082,38560
2/13/2020,59895,1369,6217,52309
2/14/2020,66358,1521,7977,56860
2/15/2020,68413,1663,9298,57452
2/16/2020,70513,1766,10755,57992
2/17/2020,72434,1864,12462,58108
2/18/2020,74211,2003,14206,58002
2/19/2020,74619,2116,15962,56541
2/20/2020,75077,2238,18014,54825
2/21/2020,75550,2238,18704,54608
2/22/2020,77001,2443,22699,51859
2/23/2020,77022,2445,23187,51390
2/24/2020,77241,2595,25015,49631
2/25/2020,77754,2665,27676,47413
2/26/2020,78166,2717,30084,45365
2/27/2020,78600,2746,32930,42924
2/28/2020,78928,2790,36329,39809
2/29/2020,79356,2837,39320,37199
3/1/2020,79932,2872,42162,34898
3/2/2020,80136,2914,44854,32368
3/3/2020,80261,2947,47450,29864
3/4/2020,80386,2983,50001,27402
3/5/2020,80537,3015,52292,25230
3/6/2020,80690,3044,53944,23702
3/7/2020,80770,3072,55539,22159
3/8/2020,80823,3100,57388,20335
3/9/2020,80860,3123,58804,18933
3/10/2020,80887,3139,60181,17567
3/11/2020,80921,3161,61644,16116
3/12/2020,80932,3172,62901,14859
3/13/2020,80945,3180,64196,13569
3/14/2020,80977,3193,65660,12124
3/15/2020,81003,3203,67017,10783
3/16/2020,81033,3217,67910,9906
3/17/2020,81058,3230,68798,9030
3/18/2020,81102,3241,69755,8106
3/19/2020,81156,3249,70535,7372
3/20/2020,81250,3253,71266,6731
3/21/2020,81305,3259,71857,6189
3/22/2020,81435,3274,72362,5799
3/23/2020,81498,3274,72814,5410
3/24/2020,81591,3281,73280,5030
3/25/2020,81661,3285,73773,4603
3/26/2020,81782,3291,74181,4310
3/27/2020,81897,3296,74720,3881
3/28/2020,81999,3299,75100,3600
3/29/2020,82122,3304,75582,3236
3/30/2020,82198,3308,75923,2967
3/31/2020,82279,3309,76206,2764
4/1/2020,82361,3316,76405,2640
4/2/2020,82432,3322,76565,2545
4/3/2020,82511,3326,76760,2425
4/4/2020,82543,3330,76946,2267
4/5/2020,82602,3333,77207,2062
4/6/2020,82665,3335,77310,2020
4/7/2020,82718,3335,77410,1973
4/8/2020,82809,3337,77567,1905
4/9/2020,82883,3339,77679,1865
4/10/2020,82941,3340,77791,1810
4/11/2020,83014,3343,77877,1794
4/12/2020,83134,3343,77956,1835
4/13/2020,83213,3345,78039,1829
4/14/2020,83306,3345,78200,1761
