,Hebei,Tianjin,Henan,Shandong,Shanxi,Inner Mongolia,Liaoning,Jiangsu,Guangdong,Heilongjiang,Sichuan,Anhui,Shanghai,Shaanxi,Hubei,Jilin,Zhejiang,Hainan,Hunan,Gansu,Chongqing,Fujian,Jiangxi,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.92639553352,0.43335235872,0.39660610608,0.37379808719999996,0.2407513104,0.18499837536,0.17612859024,0.14635145447999998,0.14255011799999998,0.13114610855999997,0.12100921128,0.11847498695999999,0.1013689728,0.09883474848,0.09439985592,0.08679718296,0.08426295864,0.06588983232000001,0.059554271519999986,0.053218710719999986,0.047516706,0.047516706,0.042448257360000005,0.039280476960000005,0.02787646752,0.02470868712,0.022808018880000003,0.015838902,0.00696911688,0.00126711216,
Tianjin,1.2466909422,,0.11915025804000001,0.2320741368,0.07301844792000001,0.058301551439999995,0.07018827552,0.054056292839999985,0.033679051560000006,0.07188637896000001,0.030848879160000002,0.041886551519999995,0.025471551600000003,0.02886775848,0.030282844680000007,0.0396224136,0.025188534359999997,0.01811310336,0.01584896544,0.0226413792,0.01386784476,0.01754706888,0.010754655120000001,0.01386784476,0.01216974132,0.00905655168,0.006792413759999999,0.0059433620400000005,0.0016981034399999998,0.0016981034399999998,0.4924499976
Hebei,,1.3161529296,0.4387176432,0.91537843392,0.4426700544,0.25058287008,0.23161129632000005,0.14228680320000006,0.07430533056,0.08616256416000001,0.07272436607999999,0.08379111744000001,0.039524112,0.10276269120000002,0.08458159968000001,0.05770520352000001,0.06798147264,0.03399073632,0.04821941664,0.02608591392,0.03003832512,0.02845736064,0.029247842880000006,0.026876396160000003,0.02608591392,0.017390609280000004,0.011066751360000002,0.012647715840000002,0.00474289344,0.0007904822400000001,3.1856434272000005
Shanxi,0.4579393158,0.0522311976,0.3706582356,0.1138548474,,0.2180881584,0.0192430728,0.0575001342,0.032071788,0.0096215364,0.047420429400000005,0.029780946000000006,0.0210757464,0.4247221068,0.0368825562,0.0071016102000000005,0.024970177799999996,0.0213048306,0.015577725600000003,0.016264978200000002,0.016264978200000002,0.012599631000000002,0.008476115400000001,0.0146613888,0.009163368,0.006414357600000001,0.0054980208,0.011225125800000001,0.0057271050000000006,0.0002290842,0.21762999
Inner Mongolia,0.245979909,0.039455424,0.034112502,0.052401735,0.19994858100000001,,0.272489022,0.01849473,0.015617772,0.195016653,0.013357305000000002,0.009863856,0.010069353,0.258309729,0.009041868,0.152889768,0.012124323000000001,0.013562801999999999,0.0065759040000000005,0.06555354299999999,0.005959412999999999,0.005959412999999999,0.003287952,0.007808886,0.00410994,0.00410994,0.005137425,0.16912403099999998,0.0028769579999999998,0.000205497,0.21782682
Liaoning,0.23528662272000006,0.06273068976,0.049886720640000014,0.11745716688,0.023081915519999996,0.26730347328000004,,0.05063129856000001,0.05249274336,0.19470712608000004,0.025687938240000003,0.02587408272,0.036112029120000014,0.020475892800000003,0.01842830352,0.33710765328000003,0.037228896,0.020475892800000003,0.011540957759999998,0.00670120128,0.008748790559999999,0.017869870080000003,0.008748790559999999,0.01098252432,0.008934935040000001,0.007631923679999999,0.005212045440000001,0.0027921672000000004,0.0013030113600000005,0.00037228896,0.18949508063999998
Jilin,0.050087548800000006,0.0239135328,0.01927359360000001,0.04854090240000001,0.00892296,0.13443926400000006,0.3487092768,0.0245083968,0.028434499200000005,0.26031248640000004,0.0111834432,0.010826524799999999,0.0209392128,0.010588579200000002,0.008685014400000001,,0.023199696,0.0201064032,0.0070193952,0.0030932928000000004,0.005234803200000001,0.008803987200000002,0.0040450752000000005,0.006067612800000001,0.0063055583999999994,0.0030932928000000004,0.0034502112,0.0015466464000000002,0.0009517824,0.0001189728,0.08399479680000001
Heilongjiang,0.05317070363999999,0.032592332880000005,0.027477477719999997,0.06768261828,0.013441363559999996,0.16165321307999994,0.16914707063999995,0.0285480288,0.03711243744,,0.014987715119999996,0.01332241344,0.02152997172,0.012965563079999996,0.011419211519999995,0.2991595518,0.02176787196,0.02248157268,0.010348660439999996,0.006304356359999999,0.005233805279999999,0.010467610559999998,0.00808860816,0.008802308879999998,0.007374907439999998,0.010467610559999998,0.004995905039999999,0.00226005228,0.0011895011999999998,0.00083265084,0.10158340247999996
Shanghai,0.040796217,0.020663018999999998,0.21987571500000005,0.13510435499999998,0.030729618,0.014305166999999999,0.041326037999999995,2.16696789,0.131395608,0.029669976000000008,0.099076527,0.504919413,,0.04715406900000001,0.1059642,0.022782302999999997,1.040038623,0.025961229,0.066227625,0.031259439,0.056161025999999996,0.087950286,0.121329009,0.042915501000000016,0.02649105,0.037617291000000004,0.010066599,0.006357852,0.002649105,0.000529821,0.10225545300000001
Jiangsu,0.11754272879999995,0.03862118231999999,0.5675634619199998,0.7892154647999998,0.07304441003999998,0.01847100024,0.05121504611999999,,0.15364513835999996,0.0461775006,0.14189086547999996,1.99570761684,2.0931001635599995,0.11418436512,0.18303082056,0.031064864039999994,1.1023828779599998,0.025187727599999998,0.08899663751999998,0.05541300071999999,0.06968604635999999,0.08983622844,0.12929700167999994,0.09319459212,0.035262818639999985,0.09991131947999997,0.01427304564,0.006716727359999999,0.005037545519999999,0.0008395909199999999,0.14021168363999995
