,Hebei,Henan,Shandong,Tianjin,Shanxi,Inner Mongolia,Liaoning,Guangdong,Jiangsu,Heilongjiang,Sichuan,Anhui,Hubei,Shaanxi,Shanghai,Zhejiang,Jilin,Hainan,Gansu,Hunan,Fujian,Chongqing,Yunnan,Jiangxi,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.33357436,0.5271132671999998,0.4715192897999999,0.37748997,0.31022812079999995,0.2326710906,0.23198474519999995,0.2223759096,0.212767074,0.1949220936,0.1805088402,0.1640365506,0.14344618859999994,0.1400144616,0.13795542539999994,0.1214831358,0.11873775419999998,0.1084425732,0.0864795204,0.085793175,0.078929721,0.06726184919999999,0.06588915839999998,0.06451646759999999,0.0432397602,0.041867069399999984,0.035689960800000003,0.0219630528,0.0109815264,0.0027453816,
Tianjin,0.9052967916,0.164494476,0.26492268239999994,,0.099562446,0.0810928908,0.0963879912,0.05540866559999999,0.070703766,0.1076428764,0.0484825824,0.0597374676,0.0516570372,0.0481939956,0.0357847632,0.0372276972,0.058294533600000004,0.032321721600000006,0.0409793256,0.0193353156,0.027127159199999997,0.02164401,0.0251070516,0.018758142,0.0190467288,0.02164401,0.011832058799999998,0.0089461908,0.004040215200000001,0.0017315207999999995,0.4395176964
Hebei,,0.4871685546000001,0.8496770238,0.9475696062,0.49940512740000004,0.29520731879999995,0.2432018844,0.12389529960000002,0.210316095,0.13842622980000002,0.11701222740000003,0.12618965699999998,0.1323079434,0.16519373280000002,0.0588885066,0.11471787,0.08106729480000001,0.06347722139999999,0.048946291200000006,0.06577157880000001,0.048946291200000006,0.06271243559999999,0.048946291200000006,0.052005434400000015,0.029826646200000008,0.044357576399999994,0.020649216600000003,0.019884430800000002,0.010707001200000002,0.0007647858000000001,2.5192044252000003
Shanxi,0.4217558803200001,0.35683164576,0.14670863856,0.07020876528,,0.23126113008000002,0.02868745248,0.05309695151999999,0.07826138351999999,0.01333714896,0.07574494032000001,0.042527890079999985,0.0541035288,0.3631227537599999,0.0327137616,0.039508158239999994,0.01333714896,0.03548184912,0.02541607632,0.025667720640000002,0.022647988799999998,0.02742923088,0.02541607632,0.01660852512,0.00905919552,0.0138404376,0.00981412848,0.0163568808,0.010820705759999999,0.00050328864,0.24736636656
Inner Mongolia,0.23945912712,0.0588180204,0.07596496872,0.0518396112,0.17426084688000001,,0.22689799055999998,0.0259198056,0.02611918872,0.17824850927999994,0.02352720816,0.017545714559999998,0.016748182079999997,0.19718990568,0.01535250024,0.0179444808,0.12800396303999995,0.01953954576,0.06559704647999999,0.009171623519999998,0.010567305359999998,0.00957038976,0.01076668848,0.006380259839999999,0.0039876624,0.006978409199999999,0.006579642959999999,0.10447675488,0.00378827928,0.00019938312,0.25840052352000004
Liaoning,0.2813704128,0.0895030884,0.1826807904,0.0916028676,0.041470639200000006,0.30263067720000003,,0.07979160960000001,0.0887156712,0.3055178736,0.0506571732,0.052232007600000005,0.034121412000000004,0.0377960256,0.057481455599999995,0.0556441488,0.4060448028,0.0351713016,0.0107613684,0.0215227368,0.0312342156,0.018373068,0.0199479024,0.0173231784,0.014960926799999996,0.0194229576,0.010498896,0.0055119204,0.0028871964000000004,0.001312362,0.24882383520000004
Jilin,0.08545484447999999,0.03635019504,0.08401996836000002,0.0382633632,0.02056655772,0.13487835528000006,0.41436033732,0.044162298360000005,0.04113311544,0.29765707956000004,0.014667622560000001,0.01976940432,0.018334528200000002,0.0191316816,0.029175814439999996,0.038741655240000006,,0.03794450184,0.00589893516,0.01227616236,0.0135516078,0.00813096468,0.012435593040000002,0.010522424879999999,0.0052612124399999995,0.012913885080000005,0.00653665788,0.00191316816,0.00127544544,0.00047829204,0.12419649972
Heilongjiang,0.09527641199999999,0.0539899668,0.11834333279999999,0.045465235199999995,0.02507274,0.1586268684,0.2493901872,0.05415711840000001,0.0471367512,,0.027078559200000005,0.024905588399999998,0.0203924952,0.0198910404,0.02925153,0.031090197600000008,0.32862004559999997,0.052819905600000015,0.0143750376,0.0153779472,0.015879402,0.0106977024,0.014207886,0.014207886,0.0182195244,0.0138735828,0.009193338,0.004011638400000001,0.0018386676,0.0010029096000000002,0.1516065012
Shanghai,0.056904427800000004,0.327631554,0.2006024778,0.031613571,0.0494321292,0.019542934799999998,0.051731298000000016,0.19887810120000002,1.7611633008,0.0534556746,0.15634347839999999,0.6288226668,0.1413988812,0.0787465314,,0.9811702854000001,0.037361492999999996,0.051731298000000016,0.0511565058,0.0971398818,0.1161080244,0.08506924560000001,0.0684002718,0.17243766,0.063227142,0.045983376,0.0178185582,0.0074722986,0.005747922,0.0011495844,0.14944597199999998
Jiangsu,0.16972936344,0.8271975020399998,0.76844503008,0.055022156279999984,0.12683073311999998,0.035437998959999994,0.08113436603999999,0.25086372948,,0.07367373467999999,0.24340309812,1.83531531456,0.2881668862799999,0.17066194236,1.7495180539200001,1.14986980836,0.05035926168,0.03823573571999999,0.10538141796,0.1538755218,0.14548231152000002,0.1212352596,0.1585384164,0.20423478348000002,0.17998773155999995,0.05688731411999999,0.02424705192,0.013056104879999999,0.01025836812,0.0018651578399999998,0.20236962564
