,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Guangdong,Heilongjiang,Anhui,Sichuan,Shanghai,Hubei,Shaanxi,Jilin,Zhejiang,Hainan,Hunan,Gansu,Fujian,Chongqing,Jiangxi,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,7.053817329360001,1.1336980546799995,0.7562545527600001,0.7138605362399999,0.4458209479199999,0.34188723,0.3282117408,0.28992037104,0.25709919695999994,0.22154292504000006,0.21197008260000003,0.20923498476,0.20102969124,0.18325155528,0.17778135960000002,0.14496018552,0.14496018552,0.11760920712,0.10530126684,0.09436087548000001,0.09162577764,0.08068538628,0.07658273952000001,0.07658273952000001,0.05333440788,0.0410264676,0.038291369760000006,0.0273509784,0.01230794028,0.00136754892,
Tianjin,1.8542197231200002,,0.3930165489599999,0.22933895472,0.14226628104,0.13370175576,0.10182268944,0.10229849640000001,0.06708878136,0.12418561656,0.08850009456,0.07279846488,0.05043553776,0.06233071176,0.06661297440000001,0.06946781616,0.053766186479999985,0.04377424032,0.029975838480000003,0.05900006304,0.0404435916,0.030451645439999998,0.02283873408,0.031403259360000005,0.029975838480000003,0.03711294288,0.01808066448,0.011895174,0.006661297440000001,0.0023790348,0.7703314682400001
Hebei,,1.6403326848000002,1.3014744854400002,0.6906663936000002,0.7111705521600001,0.3528873604800001,0.3971331763200001,0.25036656768000004,0.12626245008,0.15539993855999998,0.15108327359999998,0.13273744752000002,0.07230413808000001,0.15108327359999998,0.21151658304000004,0.09928329408,0.13057911504000005,0.06798747312000003,0.07554163679999999,0.04748331456000001,0.05072081328,0.056116644480000005,0.05503747824000002,0.053958312000000015,0.04424581584,0.034533319680000014,0.021583324800000005,0.024820823520000004,0.010791662400000002,,3.648661057440001
Shanxi,0.66804287004,0.09676088604000001,0.18423843984000002,0.5477166021600001,,0.03784743144,0.312419835,0.10104550092,0.06284101824,0.01928076696,0.05927050584,0.09890319347999997,0.03677627772,0.06819678684,0.5769948038399999,0.01392499836,0.05105832732,0.047130763679999986,0.03499102152,0.02963525292,0.026778843,0.032848714079999994,0.01856666448,0.025350638039999998,0.01999486944,0.016424357039999997,0.008569229759999998,0.01749551076,0.01285384464,0.00035705123999999996,0.3320576532
Inner Mongolia,0.3526634376000001,0.06186553524000001,0.08428058424000001,0.07800437052,0.27973981152,0.3634226611200001,,0.036760680360000006,0.030185599320000006,0.25911796644,0.023909385600000003,0.028093528080000003,0.021219579720000003,0.018529773840000003,0.3410076121200001,0.19605696192000002,0.02331165096000001,0.02540372220000001,0.01285129476,0.09145339992000004,0.01434563136,0.01464449868,0.006575081040000002,0.014046764040000001,0.0071728156800000015,0.006873948360000001,0.008069417640000002,0.22235728608000005,0.005379611760000001,0.00029886732000000005,0.3553532434800001
Liaoning,0.38801341872,0.11354791248,0.23963485824000005,0.12330049392,0.053290891440000016,,0.40856350104,0.11110976712000001,0.08324524872000001,0.4005524520000001,0.06165024696,0.062346859920000004,0.08916645888000001,0.04110016464,0.047021374800000015,0.5983905326400001,0.07175113488000001,0.04562814888,0.027167905440000004,0.017415324000000003,0.03935863224,0.02229161472,0.01846024344,0.025774679520000003,0.020201775840000002,0.02333653416,0.013583952720000002,0.0066178231200000005,0.00278645184,0.00104491944,0.31417244496
Jilin,0.10472300784000002,0.04912931232,0.09998246016000001,0.04697451791999999,0.02305630008,0.5929994188800001,0.19522437264000003,0.051068627280000015,0.05020670952,0.44194833143999995,0.024995615040000002,0.02176342344,0.04589712072,0.01896219072,0.026503971119999997,,0.043095888000000006,0.03964821696,0.016160958,0.00711082152,0.018315752400000003,0.010343013120000001,0.01271328696,0.013790684160000002,0.015299040239999999,0.006464383200000001,0.007541780400000001,0.0032321916000000003,0.0015083560800000005,0.0004309588800000001,0.16010122391999998
Heilongjiang,0.10747551744000002,0.05919549984,0.13140561312,0.06339376224,0.031486968,0.29954602224,0.22607643024000001,0.05499723744,0.05709636864000001,,0.02770853184,0.036734796,0.03589514352,0.02246070384,0.02141113824,0.49665444192,0.03757444848,0.05289810624,0.0167930496,0.012804700320000001,0.019312007040000002,0.010915482240000001,0.01973183328,0.019312007040000002,0.015323657759999998,0.02288053008,0.00860643792,0.00440817552,0.0029387836800000003,0.0008396524800000001,0.17716667327999994
Shanghai,0.07547920847999999,0.03674645676,0.24928001748,0.38832066468,0.05660940636,0.06852717612,0.018869802119999998,4.23378770724,0.23934854268000003,0.06058199628,0.8848944046799999,0.17975969388000002,,0.18373228380000006,0.09534215808,0.04171219416,1.87605558972,0.05561625888000001,0.12612972996,0.05859570132,0.15592415435999998,0.10130104296,0.22047874056,0.08243124084,0.05561625888000001,0.08640383076,0.02284239204,0.0099314748,0.004965737400000001,0.00099314748,0.20160893844
Jiangsu,0.21164895647999998,0.07190637624,1.24275925728,1.0039758192,0.1492396488,0.09904085784,0.036631550160000005,,0.29033895311999997,0.08276016888,3.0797636616000004,0.26998809192,2.8898222904,0.3608886052800001,0.21843257688,0.05562568728,1.7433904428,0.047485342800000004,0.18180102672,0.11667827087999999,0.17501740631999999,0.14516947655999998,0.2577775752,0.16959051000000006,0.07597654848000003,0.20622206016,0.029847929760000006,0.01763741304,0.01221051672,0.004070172239999999,0.26727464376
