,Hebei,Tianjin,Henan,Shandong,Shanxi,Inner Mongolia,Liaoning,Guangdong,Jiangsu,Sichuan,Anhui,Heilongjiang,Shanghai,Hubei,Shaanxi,Zhejiang,Jilin,Hunan,Hainan,Gansu,Fujian,Jiangxi,Chongqing,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,5.71003645968,1.00167378624,0.7190232623999999,0.71778356712,0.4239757857600001,0.31240321056000003,0.29876656248000005,0.29752686720000004,0.28141082856000005,0.25041844656,0.24050088432,0.23802149375999998,0.20578941648,0.20083063536000004,0.19587185424000006,0.16859855808000002,0.15372221472,0.12644891855999998,0.12520922328,0.10909318464000002,0.10289470824,0.09545653656,0.092977146,0.08801836488,0.05578628760000001,0.049587811200000005,0.045868725360000015,0.028512991440000007,0.014876343359999999,0.0024793905600000005,
Tianjin,2.2169914812,,0.25357565159999995,0.43643739600000003,0.1640783628,0.1138051944,0.1414278144,0.074581074,0.11325274199999998,0.0806580504,0.1005463368,0.132588576,0.0613222164,0.0685040976,0.0740286216,0.0563501448,0.07789578839999999,0.0314897868,0.0475109064,0.06905655,0.043091287199999995,0.0292799772,0.035909406,0.0370143108,0.033147144,0.038671667999999985,0.021545643599999997,0.0116015004,0.0077343336,0.005524523999999999,0.9358543656
Hebei,,1.9310366304,0.7828526880000001,1.4753272608,0.7726692384,0.43279660799999997,0.4060650528,0.1502058816,0.2825907264,0.146387088,0.1616622624,0.17057278080000002,0.0865593216,0.17439157440000003,0.19475847359999998,0.1476600192,0.1183826016,0.08274052800000001,0.07128414720000001,0.0534631104,0.0547360416,0.06491949120000001,0.06491949120000001,0.0560089728,0.0470984544,0.038187936,0.0203668992,0.0216398304,0.0101834496,0.0012729312,4.6831138848
Shanxi,0.8012253477599999,0.08756771976,0.6264756691199999,0.1851652224,,0.2831484859199999,0.03934760976,0.06095021904,0.11649978576,0.10376967671999998,0.06095021904,0.017745000480000002,0.045134022959999985,0.07252304543999998,0.6029442554399999,0.05362076231999999,0.01890228312,0.030089348639999996,0.038961848880000004,0.03201815304,0.03201815304,0.02083108752,0.03626152271999999,0.030089348639999996,0.01967380488,0.015044674319999998,0.010029782879999996,0.016973478719999997,0.008872500240000001,0.00077152176,0.37804566240000004
Inner Mongolia,0.4368706812,0.0767722536,0.08189040384000001,0.1041909156,0.37874311776,,0.44893489248,0.0383861268,0.04240753056,0.02997773712,0.026321915519999996,0.31330391112,0.0255907512,0.0255907512,0.41603249808,0.02412842256,0.24347771856000006,0.013526539919999999,0.0255907512,0.10528766207999998,0.014988868559999997,0.00987071832,0.01169862912,0.014988868559999997,0.01060188264,0.006946061040000001,0.0109674648,0.28186384536,0.00840838968,0.00036558216,0.420419484
Liaoning,0.43906580063999995,0.12092429088,0.1258833312,0.25367398560000004,0.062178736320000004,0.4775937292800001,,0.0915515136,0.12740918976,0.06790070592,0.07514853408,0.40969302336,0.08315929152000001,0.04806454464,0.05073479712,0.07934464512,0.64734549408,0.03128010048,0.04806454464,0.017928838080000002,0.03776499936,0.021362019840000003,0.028609847999999997,0.033568888320000004,0.02784691872,0.0228878784,0.017165908799999997,0.00801075744,0.00305171712,0.00114439392,0.34179231744000005
Jilin,0.11681020692,0.05482424087999999,0.0543303288,0.11903281127999997,0.027412120439999996,0.24152300712,0.6633239234399999,0.05482424087999999,0.06322074624,0.025189516080000002,0.030869505,0.5023085853599999,0.043217307,0.02543647212,0.0333390654,0.049391208,,0.0197564832,0.04469904324,0.010125197639999998,0.017780834880000002,0.018521703,0.013088670120000001,0.017039966759999997,0.01580518656,0.010125197639999998,0.011606933879999998,0.00469216476,0.0027165164399999995,0.00098782416,0.17015271156
Heilongjiang,0.118489068,0.06703365600000001,0.06679762200000001,0.14539694400000006,0.030448386000000008,0.26789859,0.33209983800000004,0.06490935,0.05877246600000001,0.04366629000000001,0.032100624000000015,,0.044610426000000016,0.024783570000000005,0.024547536,0.042250086000000006,0.568605906,0.021243060000000005,0.05664816000000001,0.013217904000000004,0.020770992000000002,0.019590822000000004,0.014634108000000003,0.021007026,0.015342210000000004,0.025019604000000004,0.010149462,0.0047206800000000005,0.0016522380000000005,0.0007081020000000001,0.19614425400000005
Shanghai,0.09333454392000001,0.043688509920000014,0.41801960628,0.27404610768000004,0.06652568555999999,0.02581593768,0.07645489236000001,0.27901071108000003,3.915086241240001,0.21248502552000004,0.8459684193600001,0.06851152692000001,,0.20255581872000006,0.10127790936000003,1.9093864676400003,0.043688509920000014,0.12709384704,0.06453984420000003,0.06851152692000001,0.1638319122,0.22638591504,0.1141858782,0.09532038527999999,0.06851152692000001,0.09730622664,0.03078054108,0.01290796884,0.0069504447600000005,0.00099292068,0.21049918416
Jiangsu,0.25344137952,0.08146330056000001,1.0967373982800002,1.4497450340399998,0.16594376040000006,0.048274548480000005,0.11766921192000003,0.32132746332,,0.33339610044,3.3852527121600007,0.09353193768,3.1876287793199998,0.3922307064000001,0.23684700348000004,1.923439041,0.06939466343999999,0.20667541068000006,0.0528002874,0.12973784904000002,0.19913251248,0.27757865375999996,0.15840086220000002,0.19762393284,0.07995472092000001,0.23684700348000004,0.03318875208,0.021120114960000002,0.01357721676,0.0030171592800000003,0.26551001664
