,Hebei,Tianjin,Shandong,Henan,Shanxi,Guangdong,Jiangsu,Liaoning,Inner Mongolia,Shanghai,Sichuan,Anhui,Heilongjiang,Zhejiang,Shaanxi,Hubei,Jilin,Hainan,Hunan,Gansu,Jiangxi,Fujian,Chongqing,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,3.9743275968,0.7319490479999999,0.7039169568000001,0.633317616,0.36545541119999997,0.3239263872,0.3197734848,0.3104294544,0.30731477760000003,0.2730533328,0.2398301136,0.22840963200000006,0.2273714064,0.212836248,0.2014157664,0.197262864,0.1567720656,0.1277017488,0.1204341696,0.09759320639999998,0.0965549808,0.0955167552,0.09344030400000003,0.07786691999999999,0.062293536,0.05191128,0.0477583776,0.0332232192,0.0186880608,0.005191128,
Tianjin,1.86283677528,,0.3755511863999999,0.20989710144,0.12398333687999998,0.06327780263999999,0.10854972647999996,0.13118568839999994,0.09105830135999997,0.06070553423999999,0.06739343208,0.08488485719999997,0.11986770743999997,0.05298872904,0.05916217319999999,0.06173444159999999,0.07048015415999999,0.04167074808,0.029323859759999987,0.055046543760000004,0.025722684,0.03806957232,0.029838313439999993,0.029323859759999987,0.02623713768,0.03138167447999999,0.01852033248,0.011317980959999998,0.0066878978399999974,0.00360117576,1.2403478224799998
Hebei,,1.8787182768,1.12061576088,0.5794919755199999,0.41278880448,0.11113544736,0.23550130512,0.35986716288000004,0.3042994392,0.07541333927999998,0.11642761152,0.13230410399999998,0.16405708896,0.11775065256,0.12568889879999998,0.13891930919999998,0.09922807799999997,0.05821380576,0.07012117511999999,0.04101427224,0.052921641599999986,0.048952518480000005,0.047629477439999984,0.050275559519999985,0.03704514912,0.034399067039999995,0.01852257456,0.017199533519999997,0.01058432832,0.00132304104,6.74354018088
Shanxi,0.3775647297600001,0.06196304952000001,0.10246807800000003,0.28184748984,,0.04484485296000002,0.07932234744000001,0.027726656400000004,0.15985020168000005,0.04171053528000001,0.07040159712,0.03664740672,0.016153791120000004,0.038335116240000015,0.3688850808,0.04171053528000001,0.012055068000000002,0.03134317680000001,0.023386831920000004,0.02025251424,0.012778372080000005,0.02097581832,0.026762250960000004,0.02242242648000001,0.013501676160000005,0.012296169360000005,0.006509736720000003,0.01133176392,0.0077152435200000015,0.0007233040799999999,0.4322947384800001
Inner Mongolia,0.327356964,0.058329059039999985,0.0729113238,0.051484322519999993,0.19611658116,0.03095011296,0.037199655,0.43032560904,,0.022617390240000004,0.02886693228,0.01874862612,0.30503717099999994,0.022617390240000004,0.24760090368,0.015177459240000002,0.24373213956,0.029462126759999995,0.012201486839999998,0.07618489344,0.007439930999999999,0.012201486839999998,0.011308695120000002,0.01249908408,0.0071423337599999985,0.00505915308,0.008035125479999999,0.19462859496,0.0071423337599999985,0.00029759724,0.47704837572
Liaoning,0.40984002864,0.13017161051999998,0.23955951852,0.11595118248,0.0474014268,0.08568719459999999,0.12105595152000001,,0.419320314,0.08495794187999998,0.05724633852000001,0.06235110756,0.3883270734,0.07438377743999999,0.04776605316,0.03937964688,0.5859545605200001,0.04083815232,0.02844085608,0.0200544498,0.021512955240000003,0.03609800963999999,0.02297146068,0.026982350639999996,0.02333608704,0.021512955240000003,0.013491175319999998,0.005469395399999999,0.00291701088,0.00145850544,0.4579707081600001
Jilin,0.10307210472,0.050359430159999996,0.11389702896,0.049182807959999984,0.02282647068,0.04871215908,0.0553012434,0.6591437564399999,0.22096964915999998,0.04824151019999999,0.02565036396,0.02776828392,0.4777086132,0.040240479239999995,0.025179715079999998,0.022120497359999998,,0.040240479239999995,0.01741400856,0.00894232872,0.01364881752,0.02164984848,0.00988362648,0.0141194664,0.014354790839999998,0.01035427536,0.007295057640000001,0.0040005154799999994,0.0023532444,0.00070597332,0.19249539192
Heilongjiang,0.10949119272,0.06664681296,0.13216017672,0.0600728076,0.024029123040000003,0.05757921936000001,0.058032599040000014,0.36179698464,0.2504922732,0.0487383156,0.034683545520000005,0.02765616048,,0.039670722000000005,0.02538926208000001,0.022895673840000002,0.5250136694399999,0.0532721124,0.01949532624,0.01201456152,0.017681807520000002,0.01836187704,0.010654422479999998,0.01972201608,0.01564159896,0.02062877544,0.007707454560000002,0.003853727280000001,0.00272027808,0.0004533796800000001,0.2142218988
Shanghai,0.08938988280000001,0.0534586554,0.2821915908,0.39436713,0.0639751122,0.31987556100000003,3.0296159298000003,0.07449156900000001,0.0280438848,,0.2138346216,0.7808469173999999,0.065727855,1.5985014336,0.1077936822,0.20507090760000002,0.04381857,0.0552113982,0.12707385300000001,0.0630987408,0.22259833559999997,0.1717687944,0.1148046534,0.0955244826,0.06485148360000001,0.0867607686,0.030672999,0.012269199600000004,0.0061345998,0.0017527428,0.2874498192
Jiangsu,0.22649638284,0.09090671148,1.2588268352399998,1.03541203584,0.1463752134,0.33897417840000005,,0.11710017072000001,0.04468295988,4.23101406312,0.33281101152000003,2.96910564444,0.08782512803999999,1.8566540226,0.22803717456,0.38365713828,0.06471325223999999,0.053927710199999986,0.20184371532,0.12018175415999999,0.26655696756,0.19105817327999997,0.15716075544000002,0.1848950064,0.08320275288000001,0.2388227166,0.03543820956,0.02003029236,0.01386712548,0.0030815834399999997,0.36824922108
