,Hebei,Shandong,Tianjin,Henan,Shanxi,Guangdong,Jiangsu,Liaoning,Inner Mongolia,Shanghai,Sichuan,Heilongjiang,Anhui,Hubei,Shaanxi,Zhejiang,Jilin,Hunan,Hainan,Jiangxi,Fujian,Gansu,Chongqing,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,3.44303634312,0.7120045864799999,0.6625878375600001,0.65149428168,0.37213837452,0.36407033388000004,0.33381518147999995,0.32070461544,0.3075940494,0.28137291732,0.277338897,0.23901570396,0.23397317856,0.21481158204,0.2117860668,0.20775204648,0.15833529756,0.14320772135999998,0.13009715532,0.10791004355999999,0.10690153848,0.1058930334,0.10286751815999999,0.100850508,0.06756984036000001,0.06353582004,0.056476284480000014,0.0403402032,0.01815309144,0.0050425254,
Tianjin,1.549254357,0.3778782807599999,,0.22784522724,0.14863523003999998,0.07175493863999999,0.11834905463999998,0.1374526422,0.09877952592,0.05917452731999999,0.07082305632000001,0.12906570131999998,0.10064329056,0.07268682096,0.06756146819999999,0.06197017427999999,0.07408464444,0.032615881199999995,0.04100282208,0.03214994004,0.0419347044,0.06197017427999999,0.03447964584,0.03447964584,0.033081822359999985,0.032615881199999995,0.01956952872,0.01537605828,0.008852882040000001,0.0023297058,0.8890157332799997
Hebei,,1.0812562506,1.5483495384,0.6482831274,0.4612105008,0.129421314,0.2694316446,0.3459078756,0.2717847594,0.0800059032,0.1388337732,0.17766016739999999,0.1505993472,0.15883524900000004,0.1494227898,0.1305978714,0.1129495104,0.08471213279999999,0.07177000139999999,0.06588721440000002,0.0564747552,0.0494154108,0.064710657,0.0564747552,0.0494154108,0.041179509,0.0223545906,0.021178033199999998,0.011765573999999999,0.0011765574,5.2898020704
Shanxi,0.4365810770400001,0.14032001304000002,0.06975601416,0.3805608031200001,,0.057905571600000004,0.09641950992,0.0377059536,0.13331747880000006,0.042284533680000014,0.08753167800000003,0.020199618,0.044439159600000014,0.05036438088,0.37759819248000004,0.05171102208000001,0.015082381440000002,0.031242075839999998,0.0525190068,0.01939163328,0.02666349576,0.02343155688,0.033935358240000005,0.029356778160000006,0.01723700736,0.015082381440000002,0.00888783192,0.012927755520000002,0.006463877760000001,0.0035012671200000006,0.35847588744000003
Inner Mongolia,0.30093027659999994,0.08674703747999997,0.06272912807999999,0.056795291639999974,0.16558229304000002,0.02882149128,0.04153685507999999,0.388525005,,0.026560982159999996,0.027126109439999997,0.30432104027999995,0.02062714572,0.0183666366,0.22068220284,0.02514816396,0.23339756663999994,0.011302545599999998,0.031929691319999995,0.009324600119999998,0.014128181999999996,0.08250858287999999,0.013563054719999995,0.013845618359999996,0.009889727399999998,0.0067815273599999976,0.008476909199999999,0.18536174783999995,0.0067815273599999976,,0.41649880536
Liaoning,0.35138087712000005,0.23243517648,0.11057948928,0.1400431032,0.06147346607999999,0.08875459008,0.1291306536,,0.41030810496,0.09020958336000001,0.07129467072000001,0.40048690032,0.0800246304,0.040376063520000005,0.05165226143999999,0.0836621136,0.5838160536,0.03237360048,0.05128851312,0.024371137440000003,0.03855732192,0.02327989248,0.02655362736,0.029463613920000006,0.02655362736,0.028736117280000008,0.02073365424,0.0072749664,0.006547469760000001,0.0018187416,0.38084449104
Jilin,0.11023197336,0.11397658392,0.047041670159999986,0.056403196560000014,0.027148426560000005,0.04985012808,0.06365837952,0.6159884371200001,0.21063434399999997,0.050786280720000014,0.024574006800000003,0.4645657476000001,0.0374461056,0.025744197600000004,0.025744197600000004,0.047041670159999986,,0.021063434400000004,0.04587147936000001,0.015680556720000002,0.0198932436,0.010765755359999999,0.013574213280000002,0.01591459488,0.015680556720000002,0.014276327759999999,0.009127488240000002,0.005148839520000001,0.00304249608,0.00093615264,0.17272016208000002
Heilongjiang,0.1101287178,0.1354077648,0.0608895306,0.0597904416,0.0312141276,0.059130988200000005,0.0562733568,0.3053269242,0.2532301056,0.0477004626,0.0364897548,,0.028796131800000003,0.024619593600000003,0.0265979538,0.041545564199999996,0.4805217108,0.020003419799999998,0.0608895306,0.0180250596,0.019783602,0.013628703600000002,0.0140683392,0.022201597799999997,0.02198178,0.0259385004,0.0072539874,0.004396356,0.002198178,0.0004396356,0.2031116472
Shanghai,0.09423505008,0.29656324583999993,0.05728012847999999,0.415742868,0.06651885887999999,0.33351816744,3.2317078939199995,0.08314857360000001,0.02956393728,,0.2217295296,0.06189949368,0.8083889099999999,0.20971918008,0.11640800304000001,1.69623090144,0.04249815984,0.13673320992000002,0.05728012847999999,0.2355876252,0.17368813151999996,0.06651885887999999,0.12379898736,0.1016260344,0.06282336672,0.08961568488,0.02956393728,0.0138580956,0.006467111280000001,0.00092387304,0.300258738
Jiangsu,0.23551903440000002,1.214860842,0.089437608,1.0866669372,0.1609876944,0.3473160444,,0.1147782636,0.044718804,3.6863200764,0.3607316856,0.0924188616,2.8634940827999995,0.4143942504,0.2399909148,1.7932240403999995,0.07005945959999997,0.2176315128,0.052171938,0.29216285280000004,0.1922908572,0.134156412,0.1669502016,0.1997439912,0.089437608,0.26085969000000003,0.0432281772,0.022359402,0.0193781484,0.0059625072,0.33986291039999994
Zhejiang,0.14372904384000001,0.32450165567999995,0.042970538879999985,1.2491091129599998,0.06816016511999999,0.36895393728,1.6565883609599998,0.08445933503999999,0.028153111680000002,1.5765742540799998,0.6564120249600001,0.0666784224,1.82847051648,0.8105132678399999,0.18966306816,,0.04889750976,0.76457924352,0.05037925248,1.4876696908799998,0.43859584511999994,0.08445933503999999,0.43859584511999994,0.49638381119999997,0.1555829856,1.46396180736,0.02370788352,0.01185394176,0.0074087136,,0.19855352448
Anhui,0.09515211264,0.26654790528000005,0.032937269760000006,0.6831433727999999,0.03598701696000001,0.13845852288000002,2.3971012992,0.03232732032,0.015248736,0.55627388928,0.06526459007999999,0.02256812928,,0.22812109056,0.06221484288000001,0.72218013696,0.0182984832,0.07746357888,0.02317807872,0.17200574208,0.08112327552000001,0.0213482304,0.04757605632,0.045746208,0.026837775360000003,0.04513625856,0.01097908992,0.006709443840000001,0.004269646080000001,0.00182984832,0.14699781504
Fujian,0.05379812964,0.09319361040000004,0.02329840260000001,0.2372200992,0.032194156320000014,0.5689046307600001,0.15419306448000006,0.034735800239999996,0.01101379032,0.14106123756000005,0.3045736630800001,0.02414561724,0.14572091808000004,0.21646334052000007,0.060999454080000015,0.4024269540000001,0.017367900119999998,0.20375512092000006,0.024992831880000003,0.5413701549600001,,0.02753447580000001,0.20544955020000005,0.12538776672000002,0.09192278844,0.32914288764000005,0.010590183,0.0063541098,0.002965251240000001,0.0008472146400000001,0.10039493484000003
Jiangxi,0.05858903988,0.08406253547999999,0.016011911519999998,0.14629064615999995,0.0309321018,0.58807384128,0.172855863,0.02474568144,0.016011911519999998,0.16557772140000002,0.07241750892000001,0.02219833188,0.20524359312,0.30167896931999993,0.04294103544,0.47235138984,0.016739725679999998,0.44505835883999995,0.042213221280000005,,0.291125664,0.035298986760000005,0.048763548719999994,0.05385824784,0.06805062396,0.09316021247999999,0.010553305320000001,0.008005955759999999,0.00982549116,0.00327516372,0.07532876556
