,Hebei,Shandong,Henan,Tianjin,Shanxi,Inner Mongolia,Jiangsu,Guangdong,Liaoning,Sichuan,Shanghai,Heilongjiang,Anhui,Shaanxi,Hubei,Zhejiang,Jilin,Hunan,Hainan,Jiangxi,Fujian,Gansu,Chongqing,Yunnan,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,4.38284678112,0.72513696744,0.71255572668,0.6668057602799999,0.40717470096,0.36371223288000004,0.35799348708000006,0.34769974464000003,0.34655599547999993,0.29851853076,0.29623103244000004,0.257343561,0.25505606268000003,0.2344685778,0.22989358115999994,0.228749832,0.16813112651999998,0.15440613660000002,0.13381865172000001,0.1200936618,0.11551866516,0.11208741768,0.1086561702,0.09950617692,0.07319994624,0.06633745127999999,0.06061870547999999,0.04117496976,0.02058748488,0.00457499664,
Tianjin,1.7019953280000002,0.3863335986,0.251431128,,0.1755182682,0.1247485212,0.1189462644,0.06769299599999999,0.14167177020000002,0.08171511659999997,0.0589896108,0.13441894919999994,0.1121769648,0.06866003879999999,0.0681765174,0.0691435602,0.08123159519999999,0.033362976600000004,0.036747626400000004,0.033362976600000004,0.0440004474,0.0860668092,0.034330019399999995,0.042066361799999986,0.046418054399999985,0.034330019399999995,0.027560719799999998,0.019340856,0.010637470800000002,0.002417607,0.7281832284
Hebei,,1.0507135287600002,0.6519694633200002,1.6797666664800004,0.46978467479999997,0.37582773983999995,0.2566628467200001,0.11458162800000002,0.3998898817200001,0.14781030012000002,0.08249877216000001,0.20853856296000006,0.16958080944000006,0.17530989084000004,0.16385172804000006,0.12833142336000006,0.13062305592,0.09051948612000002,0.08135295588000001,0.06989479307999999,0.06301989540000001,0.061874079120000015,0.06072826284000001,0.059582446560000016,0.042395202360000016,0.049270100040000014,0.02635377444,0.025207958160000002,0.011458162800000005,0.0022916325600000004,4.583265120000001
Shanxi,0.44934702372,0.13371765119999998,0.33875138304,0.07270897284,,0.19277628048,0.09471666960000001,0.05543710956,0.03872240316,0.09666671867999999,0.045686864159999986,0.02590779492,0.049865540759999986,0.3955813848,0.06323730588,0.04707975636,0.01894333392,0.03175794216,0.040951030679999986,0.0222862752,0.0320365206,0.02952931464,0.03426514812,0.03175794216,0.015600392640000004,0.01922191236,0.00919308852,0.0181075986,0.00919308852,0.0016714706399999998,0.3607590798
Inner Mongolia,0.3682636876800001,0.1057513968,0.07215977663999999,0.06656117328000001,0.21274692768000006,,0.0450998604,0.032036452560000005,0.404343576,0.03234748608,0.02737094976,0.2917494417600001,0.0264378492,0.27619776576000005,0.020217178800000003,0.02519371512,0.23171997239999997,0.01337444136,0.031103352000000008,0.00995307264,0.015551676000000004,0.09579832416000002,0.0124413408,0.01368547488,0.0062206704,0.01026410616,0.00964203912,0.21741243048000006,0.00808687152,,0.42269455368
Liaoning,0.43385186303999995,0.24859395072000004,0.1425060864,0.12192187392,0.06452358911999999,0.44374811904,0.12944302848,0.09183725568,,0.07837834751999999,0.10252521216,0.4294975104,0.09579575808,0.057398284800000005,0.050668830719999995,0.08629535232,0.6119844710400001,0.0376057728,0.04591862784,0.02731366656,0.044731077120000004,0.0277095168,0.02889706752,0.036022371840000005,0.03720992256,0.0316680192,0.022167613440000004,0.00910455552,0.008312855039999999,0.0027709516800000005,0.39862119168000004
Jilin,0.12554459892,0.12241200816,0.06819409116000001,0.050603389200000015,0.033012687240000005,0.21831747912,0.0734953986,0.049639515120000005,0.5795292906000001,0.03060300204,0.054217917,0.4330204304400001,0.041446585439999996,0.03277171872,0.02867525388,0.05084435772,,0.029157190920000006,0.04216949100000001,0.0204823242,0.02313297792,0.01662682788,0.015181016759999999,0.02000038716,0.021687166800000005,0.018313607519999997,0.01156648896,0.0060242130000000005,0.004578401879999999,0.0012048426000000002,0.18024445296
Heilongjiang,0.11170237607999998,0.1502823132,0.07267383504000001,0.06302885075999999,0.03656121947999999,0.24628355208,0.062355944879999986,0.06684198408,0.30191043816,0.041047258680000004,0.051589450799999985,,0.033869595960000005,0.02512181952,0.02758914108,0.042617372399999985,0.4391832376799999,0.02534612148,0.06504756839999999,0.01973857248,0.022654497959999995,0.015701137199999996,0.01973857248,0.02220589404,0.03072936852,0.02063578032,0.009196380359999996,0.00426173724,0.00157011372,0.0008972078399999998,0.20725501104
Shanghai,0.09967996080000002,0.30188788128000005,0.4537811548800001,0.05980797648,0.07594663680000001,0.030378654720000006,3.2657053824,0.32182387344,0.09113596416000001,0.25347190032,,0.07309863792000001,0.9085116427200002,0.11012262335999999,0.22689057744000005,1.566399384,0.05411197872,0.16138660320000006,0.06550397424,0.2515732344,0.18132259535999998,0.07025063904,0.13100794848,0.1091732904,0.10442662560000003,0.07025063904,0.033226653599999996,0.01803732624,0.006645330720000002,0.0018986659200000003,0.31897587456000004
Jiangsu,0.24584212800000002,1.195553682,1.2131138339999998,0.08487406800000001,0.196088364,0.05121711,,0.345349656,0.13316448600000005,0.4009568040000001,3.010102722,0.108287604,2.916448578,0.261938934,0.440467146,1.6652877480000003,0.07902068400000001,0.244378782,0.048290417999999995,0.32632615800000003,0.201941748,0.165358098,0.19316167199999998,0.206331786,0.289742508,0.10243422,0.05121711,0.027803573999999998,0.02195019,0.010243422000000002,0.333642888
