,Hebei,Shandong,Henan,Tianjin,Shanxi,Jiangsu,Liaoning,Inner Mongolia,Guangdong,Sichuan,Shanghai,Anhui,Heilongjiang,Shaanxi,Hubei,Zhejiang,Jilin,Hunan,Hainan,Fujian,Jiangxi,Chongqing,Gansu,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,4.577760603000001,0.842117472,0.7857256770000001,0.7305870329999999,0.47995683299999997,0.412286679,0.4047677730000001,0.392236263,0.37970475299999995,0.348375978,0.33083186400000003,0.3095282970000001,0.284465277,0.264414861,0.25940225699999997,0.24311129400000006,0.204263613,0.181706895,0.145365516,0.13408715699999998,0.13408715699999998,0.124061949,0.12155564700000003,0.096492627,0.077695362,0.07393590900000001,0.07017645600000001,0.043860285,0.021303567,0.003759453,
Tianjin,1.86598354752,0.45275925888,0.28462293216,,0.21868711776,0.14450932655999998,0.16593846624000003,0.14286093119999999,0.07252939584,0.09285960528,0.06263902367999999,0.14890504752,0.15220183824,0.07582618656000001,0.08132083776,0.07747458192000001,0.09505746576,0.045605604960000004,0.037913093280000004,0.05329811664,0.041209884,0.04011095376,0.10604676816,0.043407744479999996,0.04835293056,0.06648527952000001,0.03736362816,0.02087967456,0.013736628,0.00329679072,0.7873835169600001
Hebei,,1.22801885136,0.7289045496000001,1.8136133539200001,0.63871805448,0.2841492312,0.41881125816,0.432401004,0.11613055535999997,0.16184151864,0.08524476936,0.20755248192,0.24832171943999995,0.23102567928000003,0.19396273608000006,0.13713288984000002,0.15195806712,0.10130537807999998,0.08153847504,0.06918416063999999,0.09018649512,0.07165502352000001,0.06300700344,0.06053614056,0.05435898336,0.04694639472,0.02594406024,0.02841492312,0.0123543144,0.00123543144,4.543916836319999
Shanxi,0.6796306036800001,0.19186850376000006,0.5863932986400001,0.10094286744,,0.13484734200000004,0.04700393064,0.26930940588,0.06472672416,0.11519815788000005,0.055094771160000014,0.07975257084000001,0.029666415240000008,0.54670965228,0.09285202692,0.059718108600000014,0.02234613096,0.048930321240000005,0.057021161760000015,0.03775725576,0.030436971480000005,0.044306983800000005,0.041224758840000014,0.030051693360000006,0.02581363404,0.019649184120000003,0.01232889984,0.0269694684,0.01117306548,0.00038527812,0.3794989482
Inner Mongolia,0.39819697200000004,0.11928964607999999,0.08878945248,0.07082822736000001,0.245696004,0.0457502904,0.41073594048,,0.03524466816,0.033889104,0.030500193600000006,0.03355021296,0.32940209088000005,0.31889646864,0.02609461008,0.029822411519999998,0.24467933088000005,0.016266769919999997,0.030161302560000002,0.01762233408,0.014572314719999998,0.0135556416,0.10878402383999998,0.01389453264,0.00881116704,0.00948894912,0.008472275999999999,0.23993485632,0.0077944939199999985,,0.4307305118400001
Liaoning,0.4477311547199999,0.31943135376,0.1823438952,0.12786041807999998,0.08216459856000001,0.1581778368,,0.4666246185599999,0.10193682815999998,0.09051287328,0.10193682815999998,0.10281559391999998,0.4877149968,0.06107422031999999,0.05624100864,0.09798238224,0.6384233246399998,0.044377670880000004,0.048771499680000004,0.05140779695999999,0.03207495024,0.03207495024,0.0351506304,0.04086260784,0.03690816192,0.05140779695999999,0.02680235568,0.010984572,0.00966642336,0.00307568016,0.43103460528000004
Jilin,0.14285309040000002,0.13914949176000002,0.08597639700000001,0.05872849272,0.042062298840000005,0.07989191352000001,0.60924197628,0.23888211228,0.05476035132,0.03888778572,0.046559525760000005,0.049469496120000005,0.47458971143999995,0.039681414,0.0317451312,0.06110937756,,0.03280330224,0.04285592712000001,0.02539610496,0.02327976288,0.01666619388,0.020369792520000003,0.01878253596,0.0238088484,0.02883516084,0.01349168076,0.01005262488,0.00476176968,0.0010581710400000002,0.18359267544
Heilongjiang,0.11914112447999994,0.15943885776,0.07734161231999997,0.07308657215999999,0.041298919199999985,0.06783034607999998,0.35091566495999993,0.2858385801599999,0.07258597919999997,0.045553959359999986,0.05106048192,0.04405218048,,0.033039135359999985,0.03178765296,0.048807813599999986,0.5108551156800001,0.02553024096,0.06257412,0.023778165599999998,0.02177579376,0.017520753599999994,0.01927282896,0.02177579376,0.02352786911999999,0.03128706,0.008510080319999998,0.0050059296,0.004255040159999999,0.00100118592,0.21850882704
Shanghai,0.10540546848,0.35371642788,0.53918951184,0.061824361319999986,0.09932438376,3.22398841572,0.11756763791999998,0.03243245184,0.35270291376,0.28986503832,,1.0337844023999998,0.07804058724,0.12972980736,0.24628393116,1.60743339432,0.06385138956,0.17533794275999998,0.06385138956,0.20270282399999998,0.30000017952,0.15405414624000002,0.08716221432,0.12364872264,0.07804058724,0.12060818028,0.038513536560000006,0.01824325416,0.00912162708,0.00202702824,0.34560831492
Jiangsu,0.26579959812,1.3544638203599997,1.36242189216,0.10186331904,0.22919246784,,0.14483690676,0.05093165952,0.3724377602399999,0.4408771777199999,3.0765905578799986,3.23416037952,0.11777946263999997,0.30081511403999994,0.4743010792799999,1.7364512667599998,0.08435556107999999,0.27375766991999995,0.052523273879999985,0.22441762476,0.38039583204000005,0.22600923912,0.18462726576,0.2307840822,0.12096269136,0.32946417251999993,0.058889731319999986,0.0318322872,0.02705744412,0.014324529239999996,0.35333838791999994
