,Hebei,Tianjin,Henan,Shandong,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Guangdong,Shanghai,Anhui,Sichuan,Hubei,Heilongjiang,Shaanxi,Zhejiang,Jilin,Hunan,Hainan,Jiangxi,Fujian,Chongqing,Gansu,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,4.79025993312,0.83862589248,0.7833582835199999,0.7509186,0.44214087168000005,0.38206738368,0.3676497465600001,0.36164239776,0.3123821376,0.28114392384,0.27513657504,0.27513657504,0.24990571008,0.24149542175999994,0.22827925440000002,0.20304838944,0.17060870592,0.15859400832,0.120146976,0.120146976,0.10572933888,0.10092345984,0.0961175808,0.08290141344,0.06487936704,0.05646907871999999,0.05166319968,0.03724556256,0.01682057664,0.00360440928,
Tianjin,1.89512213436,,0.28301344920000004,0.4389378400800001,0.18849763692,0.14898255155999998,0.1228171572,0.12975899652000006,0.06194256624,0.053932751640000005,0.13670083584,0.0747582696,0.07529225724000001,0.13189494708000002,0.07369029432,0.059806615680000015,0.07422428196,0.04165103592000001,0.03043729548,0.03097128312,0.038981097719999996,0.034709196600000006,0.07903017072000001,0.03631115952,0.034709196600000006,0.04538894940000001,0.028835332560000006,0.01815557976,0.01228171572,0.00213595056,0.9430221722400002
Hebei,,1.8937472112,0.8828090856,1.4235136344,0.7623677879999999,0.4074503472,0.4177006704,0.29597808239999995,0.1012219416,0.07944000479999999,0.20628775440000002,0.13069162080000002,0.20500646399999997,0.19219356,0.19475614079999998,0.12428516880000001,0.1294103304,0.09737807039999999,0.0538141968,0.07944000479999999,0.05253290639999999,0.057658068000000014,0.048689035199999994,0.0461264544,0.0410012928,0.037157421600000004,0.0217819368,0.0230632272,0.0102503232,0.0012812904,4.766400288000001
Shanxi,0.6642115927200001,0.10076274936,0.49387456404,0.19569908124000002,,0.04249857456,0.26458789968,0.11378650607999999,0.05380867908000001,0.044554957200000016,0.06443332271999999,0.09802090583999999,0.08122711428000001,0.01850744376,0.47776623336,0.055865061720000005,0.016108330679999998,0.04318403544,0.03564396576,0.0274184352,0.03358758312,0.037700348400000014,0.02878935696,0.02947481784,0.02090655684,0.01679379156,0.00822553056,0.018850174200000003,0.008568261,0.0006854608800000001,0.32148115272000005
Inner Mongolia,0.39233516399999996,0.06978420540000001,0.077180688,0.1080529632,0.2627359254,0.4122735084,,0.0430925508,0.03215862,0.0218678616,0.024118965,0.0292643442,0.0218678616,0.3116170278,0.32062144140000004,0.023475792599999996,0.229934133,0.013828206599999998,0.024118965,0.0106123446,0.015757723799999998,0.0122202756,0.09100889460000001,0.012541861800000002,0.007718068799999998,0.007074896400000002,0.006753310199999999,0.24762137399999998,0.0061101378,,0.3736831644
Liaoning,0.43854398568,0.12307273487999999,0.15423038928,0.262892709,0.07633625327999999,,0.44360710452,0.1441041516,0.08139937212000001,0.08763090300000001,0.08490460823999998,0.0642626622,0.04790489364,0.44828075268,0.0545258952,0.07049419307999999,0.60095325924,0.03661024392,0.03816812664,0.02687347692,0.0408944214,0.028820830319999997,0.02414718216,0.030378713039999995,0.02765241828,0.03427341984,0.01908406332,0.0077894136,0.0077894136,0.00155788272,0.3758392062
Jilin,0.1305703476,0.054611172000000006,0.0722356866,0.1246127652,0.037483122599999995,0.6101557308,0.24177855239999999,0.0628028478,0.046419496200000014,0.0404619138,0.0424477746,0.0275538186,0.026809120800000003,0.4949758044000001,0.034256098799999996,0.058831126200000014,,0.0302843772,0.0332631684,0.017376282,0.017128049399999998,0.014397490800000001,0.014397490800000001,0.015886886399999998,0.015886886399999998,0.016879816800000003,0.0104257692,0.0071987454000000005,0.0029787912,0.0007446978,0.1732663548
Heilongjiang,0.1105136298,0.0624545964,0.068655762,0.133989471,0.034770821400000006,0.314487684,0.2553551406,0.061347245399999986,0.061347245399999986,0.0434081592,0.036542583,0.0372069936,0.0250261326,,0.0263549538,0.038757285,0.5047305858,0.021482609399999998,0.042300808200000005,0.0168317352,0.0219255498,0.014395563,0.0146170332,0.017939086200000003,0.0161673246,0.0217040796,0.0057582252000000006,0.0042079338,0.0022147020000000003,0.0004429404,0.1942293654
Shanghai,0.10042704,0.055234872000000004,0.4991223887999999,0.30630247199999994,0.08435871359999997,0.08938006559999999,0.029123841599999995,3.5551172159999997,0.29123841599999994,,0.9339714720000001,0.2329907328,0.2370078144,0.06929465759999999,0.11448682559999995,1.8257635872,0.05322633119999999,0.1536533712,0.055234872000000004,0.26814019679999995,0.1877985648,0.1516448304,0.06929465759999999,0.1024355808,0.06326903519999999,0.1014313104,0.029123841599999995,0.0140597856,0.006025622399999999,0.0020085408,0.29425122719999997
Jiangsu,0.25440174792,0.08683173431999999,1.31618628864,1.3253264712000001,0.19346719752,0.11577564575999999,0.042654185280000007,,0.30924284328,3.24628817256,3.08938170528,0.35494375608,0.47833622064,0.09749528063999999,0.27115874928000006,1.7366346864,0.06702800544,0.2513550204,0.042654185280000007,0.3503736648,0.1980372888,0.22241110896,0.1599531948,0.19499056127999997,0.09444855312000001,0.26658865800000003,0.044177549039999986,0.024373820159999997,0.0228504564,0.0076168188,0.30924284328
