,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Anhui,Guangdong,Sichuan,Heilongjiang,Shanghai,Shaanxi,Hubei,Zhejiang,Jilin,Hunan,Jiangxi,Fujian,Hainan,Chongqing,Gansu,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,7.2511869870000005,1.3339081943999995,0.8949593350799999,0.84842765388,0.5242569415199999,0.42343829891999996,0.40482562644000003,0.3955192901999999,0.3024559278,0.29780275968000003,0.28849642344000004,0.28694536740000004,0.26988375095999995,0.25437319056,0.25437319056,0.19698411708,0.18767778084,0.16751405232,0.12563553924,0.116329203,0.1085739228,0.09926758656,0.09771653052000001,0.08685913824000001,0.07134857784,0.06359329763999999,0.05118484932,0.03567428892,0.0155105604,0.00310211208,
Tianjin,2.1008205651600003,,0.4787758141200001,0.2811317058000001,0.18401348016000005,0.15732016667999998,0.11813211072000003,0.12551536764,0.12892302468000005,0.06304165524000001,0.07837611192,0.13289862455999998,0.053954569800000005,0.07951199760000001,0.07440051204000002,0.07042491216,0.08121582612000001,0.042027770160000005,0.036916284600000016,0.048843084240000015,0.030100970520000006,0.03521245608,0.07496845488000001,0.036348341760000014,0.036348341760000014,0.051114855600000016,0.02328565644,0.01647034236,0.011358856800000004,0.0034076570400000004,1.0109382552000004
Hebei,,1.835055567,1.3868901809999998,0.8188102727999998,0.7667261873999999,0.399715074,0.3912362694,0.2628429426,0.19137873239999997,0.1174920066,0.14292842039999998,0.1865337012,0.06783043679999999,0.211970115,0.1804774122,0.1308158424,0.1187032644,0.1005343974,0.0811542726,0.055717858799999985,0.054506600999999995,0.061774147800000005,0.0472390542,0.044816538600000004,0.0520840854,0.0411827652,0.015746351399999997,0.0193801248,0.0096900624,,4.2963314166
Shanxi,0.6360290035199999,0.08518851647999999,0.17207401535999997,0.48839153471999996,,0.03936999168,0.27151718399999997,0.10317652992000001,0.0695762784,0.050909472000000004,0.09570980736,0.022400167680000003,0.036654819840000005,0.57595582656,0.07364903616,0.0492124896,0.016969823999999998,0.039709388160000005,0.026133528959999996,0.03020628672,0.038012405760000006,0.040727577599999995,0.025794132480000002,0.022060771200000003,0.016630427519999998,0.015951634559999997,0.007806119040000001,0.016291031039999997,0.0067879296,0.00033939648000000003,0.31054777920000004
Inner Mongolia,0.42501442608,0.061236502200000015,0.09797840352000002,0.08242102188000001,0.29856932424000004,0.42567644232,,0.033431820120000004,0.027473673960000004,0.029128714560000005,0.02416359276,0.3128026734,0.0198604872,0.3356422336800001,0.020522503440000003,0.023170568399999997,0.23435374896,0.012909316680000005,0.00926822736,0.013240324800000002,0.02614964148000001,0.013240324800000002,0.10294352531999999,0.01191629232,0.00761318676,0.00761318676,0.00761318676,0.27506774772000003,0.005296129920000001,,0.3591438102
Liaoning,0.44937984168,0.11756581056,0.25872212916,0.16745393411999998,0.07115825376,,0.43468411536,0.12220656624,0.08740089863999999,0.07966630583999999,0.07386536124,0.43971160068000004,0.07811938728,0.05491560888,0.04215353076,0.07811938728,0.6342366096000001,0.03519239724,0.02475069696,0.03751277508,0.03403220832,0.026297615519999998,0.02823126372,0.02823126372,0.02823126372,0.03983315292,0.016629374519999997,0.00734786316,0.00618767424,0.0019336482000000001,0.35192397239999995
Jilin,0.12683853504,0.05888931984,0.12381856992,0.07147250784,0.038001227760000006,0.6638889988800001,0.23379563304,0.06165762120000001,0.03951121032000001,0.04731278688,0.02944465992,0.50408251128,0.03951121032000001,0.033722943840000005,0.02667635856,0.04429282176,,0.02466304848,0.01811979072,0.02365639344,0.02667635856,0.015099825600000004,0.014093170560000003,0.01560315312,0.01585481688,0.021139755840000003,0.00956322288,0.007298249039999999,0.003774956400000001,0.00050332752,0.17138302056
Heilongjiang,0.11321856,0.060092928,0.11996812800000001,0.06161702400000001,0.029828736,0.30917376,0.264757248,0.055956096,0.034401024,0.06640704,0.031135104,,0.043763328,0.024603264,0.025256447999999997,0.035925120000000005,0.510789888,0.022643712000000003,0.0163296,0.017853696000000002,0.042021504,0.013499136,0.01197504,0.016547328,0.01524096,0.022643712000000003,0.0069672959999999996,0.0032659200000000003,0.0023950079999999997,0.00043545599999999997,0.19377792
Shanghai,0.09788802048000003,0.050756751360000005,0.30816599040000003,0.5559072768000001,0.07130115072000001,0.09184555008000002,0.027795363840000004,4.77717709824,1.1371929292800005,0.27553665024,0.2622432153600001,0.06525868032000001,,0.12810037248000006,0.27916213248000005,2.33118508032,0.050756751360000005,0.16072971264000005,0.28399610880000004,0.20181851136000006,0.050756751360000005,0.15347874815999998,0.06405018624000001,0.09909651456,0.06767566848000002,0.10634747904000004,0.030212352000000005,0.012084940800000004,0.008459458560000003,0.0012084940800000002,0.2682856857600001
Jiangsu,0.241768476,0.07736591232000001,1.35873883512,1.4973527613600002,0.19663836048,0.11604886848,0.041906535839999995,,3.71356379136,0.2820632220000001,0.40778282952,0.09187202088,3.1220369200800007,0.28367501184000005,0.52705527768,1.83905220744,0.06930696312000001,0.27239248296,0.35459376480000004,0.19180299096,0.040294746000000006,0.23693310648,0.14828466527999998,0.18857941128,0.10960170912000003,0.27239248296,0.04351832568,0.02256505776000001,0.019341478080000002,0.009670739040000001,0.28367501184000005
