,Hebei,Henan,Shandong,Tianjin,Shanxi,Liaoning,Inner Mongolia,Anhui,Jiangsu,Sichuan,Heilongjiang,Guangdong,Hubei,Shaanxi,Shanghai,Zhejiang,Jilin,Hunan,Jiangxi,Gansu,Fujian,Chongqing,Hainan,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,3.77240539572,0.84664471428,0.73796118228,0.5531991778800001,0.48798905868,0.34887413772,0.34017945516000003,0.33800578452,0.33148477260000003,0.31952958408000004,0.30214021896,0.27279566531999994,0.244537947,0.23584326444000003,0.22714858188,0.18693567504,0.18150149844,0.15976479204000002,0.13259390904,0.12281239116,0.11303087328,0.108683532,0.10759669668,0.0923810022,0.07173113112000001,0.06629695451999999,0.05325493068,0.03912607152,0.0217367064,0.0054341766,
Tianjin,1.57614464304,0.26758750464000003,0.41222939904,,0.15368201280000002,0.13198572864000002,0.10486537344,0.13379375232,0.10531737936000002,0.07232094720000001,0.14418988848,0.059664781439999995,0.06870489984,0.06689687616000001,0.045652597919999996,0.05152867488,0.08090905967999999,0.03796849728,0.0384205032,0.06644487024000001,0.03932451504,0.028928378880000005,0.02621634336,0.028928378880000005,0.028928378880000005,0.029380384800000006,0.020340266400000005,0.01084814208,0.0067800888,0.0022600296000000004,0.6680647497600001
Hebei,,0.7291180072800001,1.0910767327200002,1.3823078911200002,0.5387776430400001,0.3484372788000001,0.3432367224000001,0.19034036424000006,0.20594203344,0.14873591304000006,0.20282169960000004,0.09465012648000004,0.15705680328000002,0.16537769352000006,0.06136656552000001,0.10401112800000002,0.11649246336000005,0.08112867984000002,0.06968745576000003,0.06760723320000002,0.05616600912000001,0.05928634296,0.06552701064000001,0.044724785040000006,0.04576489632000001,0.037444006080000015,0.016641780480000003,0.019762114320000003,0.008320890240000002,0.0010401112800000002,3.92746019328
Shanxi,0.7286867243999999,0.6081254171999999,0.18332410536,0.0655995348,,0.03475002384,0.25991599464000004,0.07836484967999999,0.10247711111999999,0.09644904575999999,0.0212755248,0.04716074664,0.07907403384,0.52266872592,0.034395431760000005,0.047515338719999994,0.01737501192,0.040068905039999984,0.02943114264,0.0283673664,0.035459208,0.03616839216,0.04219645752,0.02517603768,0.0195025644,0.016311235679999998,0.01099235448,0.0195025644,0.008510209920000001,0.00070918416,0.29537520264
Inner Mongolia,0.39573922464,0.09468800208,0.10035040752,0.05473658591999999,0.28060364736,0.36113563584,,0.03334527648,0.03806394768,0.03208696416,0.2815473816,0.02327877792,0.02170588752,0.35232744959999995,0.0188746848,0.02170588752,0.21234020399999998,0.0125831232,0.01038107664,0.1132481088,0.01950384096,0.013841435519999999,0.023593356,0.0110102328,0.00912276432,0.0059769835200000005,0.007864452,0.23782102848,0.00503324928,,0.346035888
Liaoning,0.356430213,0.14748836399999998,0.220900365,0.080055621,0.058796037,,0.370713996,0.08935668899999999,0.113605902,0.07274763899999999,0.396291933,0.066104019,0.047501883,0.04318353,0.06577183799999999,0.059128218,0.545773383,0.030228471,0.024249213,0.026242299,0.034879005,0.024249213,0.030228471,0.025245756,0.025577937000000002,0.034214643,0.018934317,0.006975800999999999,0.004318353,0.0016609049999999998,0.291987099
Jilin,0.08760997583999999,0.058281314400000006,0.08798598431999999,0.030456686880000007,0.02180849184,0.46756654488000005,0.1908243036,0.03252473352,0.04662505152,0.02895265296,0.38221261992,0.03797685648,0.02105647488,0.0225605088,0.034028767439999996,0.03271273776,,0.02218450032,0.016732377359999998,0.01353630528,0.01861241976,0.01447632648,0.028576644480000003,0.01259628408,0.01654437312,0.01729639008,0.01052823744,0.00488811024,0.00413609328,0.0022560508800000003,0.11035848888
Heilongjiang,0.10218650903999997,0.05099846184,0.11223453312000001,0.047017169279999986,0.02104397496,0.28267177175999997,0.23755045608,0.03260868192,0.046637998560000005,0.028437804,,0.053083900799999986,0.02692112112,0.02350858464,0.04095043776,0.035452462319999996,0.40722935328000004,0.0199064628,0.016493926319999998,0.0113751216,0.02142314568,0.01440848736,0.045879657119999986,0.015925170239999998,0.0151668288,0.01725226776,0.00625631688,0.0032229511199999995,0.00151668288,0.0005687560799999999,0.1526162148
Shanghai,0.11330782847999997,0.7056891072,0.35085669696000005,0.043732846080000005,0.08448390720000001,0.09044747712,0.027829992960000004,1.3487607302400002,2.9748274617600003,0.33296598720000004,0.06659319744,0.25643350655999997,0.30414206592000004,0.12424104,,1.3606878700799998,0.054666057600000005,0.18188888256,0.3667595500800001,0.07852033727999999,0.21170673216,0.17294352768,0.04472677440000001,0.10038676031999999,0.06261748416,0.10833818687999999,0.02882392128,0.014908924799999999,0.006957498240000001,0.0029817849600000004,0.25444564991999996
Jiangsu,0.28656300204,1.95103073844,1.3126987818,0.07550162928,0.22478894172,0.13212785124,0.04633054524,4.1937723172800005,,0.5593984351199999,0.1115364978,0.27283543308,0.62803627992,0.31916597832000004,2.83645893636,1.54778340024,0.0772175754,0.32946165504,0.47016923688,0.19047001932,0.23336867231999997,0.25052813352,0.039466760760000004,0.20762948052000002,0.10638865944,0.31401813996,0.042898652999999995,0.025739191800000002,0.024023245680000003,0.01029567672,0.2831311098
