,Hebei,Henan,Shandong,Shanxi,Tianjin,Liaoning,Anhui,Inner Mongolia,Jiangsu,Heilongjiang,Sichuan,Hubei,Guangdong,Shaanxi,Shanghai,Jilin,Zhejiang,Hunan,Jiangxi,Gansu,Fujian,Chongqing,Hainan,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,4.078554379199998,1.0697847552,0.8500968143999998,0.5587715015999999,0.5444440271999998,0.3963934584,0.3916176335999999,0.3808720278,0.3665445533999999,0.32475608640000003,0.3199802616,0.28774344420000003,0.2674461888,0.2602824516,0.23520937139999995,0.2077483788,0.18983903579999997,0.17670551760000003,0.14327474399999998,0.13730496299999995,0.1229774886,0.11700770759999997,0.1098439704,0.09432253980000001,0.06805550339999998,0.0668615472,0.05611594139999999,0.045370335599999985,0.023879124,0.0047758248,
Tianjin,1.6198888550400004,0.32247787392000005,0.4724675827200001,0.15608304072000004,,0.15139586232000002,0.15842662992,0.10780510320000003,0.10686766752,0.16077021912000006,0.06983895816,0.07546357224000001,0.052027680240000006,0.06702665112,0.042184605600000015,0.09561843936000003,0.04874665536,0.042653323440000016,0.037028709360000016,0.059058447840000014,0.04077845208,0.029997941760000008,0.020623584960000003,0.023904609840000004,0.02249845632,0.01968614928,0.016873842240000003,0.01218666384,0.0046871784,0.0018748713600000005,0.6360501088800001
Hebei,,0.8617324319999999,1.14688752768,0.5703101913599999,1.3620595046399997,0.3551382144,0.2454631776,0.33947035200000003,0.21308292864,0.22770626688,0.14518885823999994,0.17130196223999994,0.07625026368,0.17130196223999994,0.05535978048,0.12429837503999998,0.10131884352,0.0835619328,0.07207216704,0.06371597375999999,0.05327073216,0.05849335296,0.06684954624,0.04595906304,0.042825490559999985,0.035513821439999996,0.013578814079999998,0.017756910719999998,0.00731166912,0.00104452416,3.69343742976
Shanxi,0.7074551599200001,0.59664045312,0.18609834888000004,,0.06121193328000001,0.03729002832,0.09076252176,0.26067840552000004,0.11292546312000001,0.022514734080000005,0.09146610720000002,0.08618921640000002,0.048195602640000015,0.5020082114400001,0.03447568656,0.016886050559999997,0.052768907999999996,0.048195602640000015,0.030605966640000006,0.0281434176,0.040807955519999994,0.03764182104000001,0.0404561628,0.026384453999999998,0.01829322144,0.013719916080000002,0.0105537816,0.015478879680000003,0.008443025279999999,0.00035179272000000013,0.27967521240000004
Inner Mongolia,0.4054149306000001,0.1141741332,0.1061109882,0.293498478,0.053861808600000005,0.37154972159999994,0.0416058282,,0.043863508800000006,0.29059574579999997,0.033220157400000005,0.0287047962,0.0267696414,0.3412322964,0.0174163932,0.2164148118,0.024834486600000004,0.01612629,0.011933454599999999,0.1235273814,0.019351548000000003,0.014513661000000002,0.02612458980000001,0.010965877200000002,0.008063145,0.004837887000000001,0.005482938600000001,0.24092677260000006,0.004837887000000001,,0.32317085160000003
Liaoning,0.37053250416,0.15913896012,0.24159262176,0.05395116132,0.08313229259999999,,0.09840148919999997,0.38614101624,0.11129547743999996,0.4445032788,0.06379131023999997,0.043771696919999985,0.06582720312000001,0.04546827432,0.06175541736,0.5686927444800001,0.056665685159999986,0.031217024159999995,0.025109345519999996,0.02171619072,0.038342649239999985,0.02341276812,0.031895655119999984,0.02239482168,0.02103755976,0.02646660744,0.01459056564,0.006107678639999999,0.0033931548,0.0010179464399999998,0.26161223508000003
Jilin,0.08733541824000003,0.050245272000000014,0.08916251903999999,0.01717474752,0.03197426400000001,0.4730363971200001,0.0283200624,0.18307550016,0.040013507520000005,0.39611545344,0.02174249952,0.02174249952,0.03983079744,0.019732688640000003,0.03087800352,,0.029233612800000006,0.01881913824,0.0109626048,0.00986634432,0.01790558784,0.010231764480000002,0.034532205120000006,0.011145314879999998,0.01151073504,0.01297241568,0.01077989472,0.0040196217600000006,0.00237523104,0.0010962604800000002,0.10651997664
Heilongjiang,0.0996658668,0.0524458962,0.1228092516,0.0216502632,0.044793648000000005,0.26764204680000003,0.0324753948,0.2303140068,0.047593250999999996,,0.029302511400000005,0.025009786800000003,0.0572985414,0.022396824000000003,0.0377013204,0.41471452439999995,0.0339685164,0.021276982799999997,0.016797618000000004,0.008772089399999999,0.0209037024,0.011198412,0.0479665314,0.0134380944,0.011385052199999999,0.013064814,0.005972486400000001,0.0027996030000000003,0.0011198412,0.0005599206,0.147445758
Shanghai,0.11863201680000003,0.79591298544,0.38932870968,0.09598408632000001,0.04745280672,0.09921950496,1.7018302046399998,0.030197240640000005,3.0412935216,0.0701007372,0.3494252131200001,0.34618979448,0.25236265392,0.14667231168,,0.05823753552,1.38475917792,0.20598832008,0.43246762488,0.08519935752,0.25236265392,0.18981122688,0.04745280672,0.09814103208,0.0647083728,0.10892576088,0.030197240640000005,0.01833403896,0.006470837279999999,0.00107847288,0.2588334912
Jiangsu,0.30393563255999995,2.265358752,1.4328394106399998,0.23031147312,0.07173636048,0.13969712304,5.17823254728,0.05097057192,,0.11704353552,0.62674925472,0.7154758058399999,0.26051625648000004,0.37378419408,2.69766471384,0.08683875215999999,1.4970245752799998,0.37378419408,0.56445188904,0.18122870016,0.283169844,0.29449663776,0.041531577119999996,0.2265358752,0.10949233968000001,0.31715022528000003,0.04341937608,0.02454138648,0.02265358752,0.0094389948,0.28505764296
