,Hebei,Henan,Shandong,Shanxi,Tianjin,Liaoning,Anhui,Inner Mongolia,Jiangsu,Heilongjiang,Sichuan,Hubei,Shaanxi,Guangdong,Shanghai,Jilin,Hunan,Zhejiang,Jiangxi,Gansu,Fujian,Chongqing,Hainan,Yunnan,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,4.227278544,1.2968873063999995,1.004631012,0.6549672311999999,0.5610277079999999,0.450126882,0.43316557920000004,0.4201184232,0.40185240479999995,0.3796722396,0.332702478,0.3183506064,0.300084588,0.2909515788,0.241372386,0.2361535236,0.2061450648,0.20092620239999998,0.1617847344,0.13699513800000002,0.1343857068,0.12264326639999998,0.1213385508,0.09002537640000001,0.07697822039999999,0.0743687892,0.0574074864,0.046969761599999986,0.0182660184,0.0026094312,
Tianjin,1.6807901921999997,0.36322786584,0.5256468302399999,0.1870278984,,0.16635639383999998,0.15749717759999998,0.1181228832,0.10975584564,0.17767650348000003,0.06299887103999999,0.08613126900000001,0.06890501519999999,0.052170940080000006,0.04626479591999999,0.10532623752,0.0442960812,0.051678761399999995,0.0393742944,0.05463183348,0.04035865175999999,0.030022899479999993,0.02067150456,0.023132397959999995,0.017226253799999997,0.023132397959999995,0.013781003040000002,0.011812288319999998,0.003937429439999999,0.0004921786799999999,0.6280199956799999
Hebei,,0.9058802248799999,1.167651369,0.5897997147599999,1.38163027104,0.38125174931999994,0.23787502308000003,0.34649375508,0.22701314988000001,0.244392147,0.14554910088,0.17596234584000006,0.17596234584000006,0.0868949856,0.061912677239999984,0.13903197696,0.09123973488,0.10644635736,0.07277455044,0.05105080404,0.05865411528,0.0651712392,0.07277455044,0.05213699136,0.03475799424,0.047792242080000005,0.01303424784,0.01520662248,0.00651712392,0.00108618732,3.88420585632
Shanxi,0.6101520048,0.40587072084,0.17138093076000002,,0.05951972988,0.039480423839999994,0.06520251816,0.23299431948000002,0.10378565964,0.024226623720000003,0.08015722416,0.05922063576,0.43428466224,0.04935052980000001,0.02931122376,0.01914202368,0.0388822356,0.047256870959999996,0.02452571784,0.02332934136,0.04007861208,0.035293106160000004,0.04935052980000001,0.02332934136,0.01465561188,0.01884292956,0.0089728236,0.01286104716,0.006280976519999999,0.0005981882400000001,0.25363181376
Inner Mongolia,0.384183,0.08644117500000001,0.11153700000000004,0.285039,0.053599725,0.381394575,0.03284145,,0.047403225000000014,0.29433375,0.030982500000000007,0.020758275000000003,0.3126134250000001,0.02788425000000001,0.018899325,0.21501855000000006,0.018279675,0.026335125000000004,0.01053405,0.110607525,0.01920915,0.013942125000000005,0.028194075,0.010843875,0.006196500000000001,0.007745625000000002,0.005886675,0.22989015,0.004957199999999999,,0.29743200000000003
Liaoning,0.3592707015600001,0.17342879868000002,0.25429130604000005,0.059937560279999996,0.07837988652000001,,0.09753153300000003,0.4039578766800001,0.11881114020000005,0.5085826120800001,0.06809474303999999,0.05071639716000001,0.04610581560000001,0.06029222040000001,0.06383882160000001,0.60363152424,0.03511135188,0.06312950135999999,0.026954169120000003,0.0212796072,0.039367273320000014,0.021988927440000004,0.034756691760000014,0.022343587560000003,0.023407567920000004,0.021988927440000004,0.01489572504,0.00744786252,0.002837280960000001,0.0007093202400000003,0.2535819858000001
Jilin,0.08420945652,0.04524687216,0.08887778460000001,0.016877801519999996,0.03106233684,0.4632417864,0.028369070639999997,0.1822443462,0.041476299480000006,0.40650364512,0.020827925280000003,0.02226433392,0.017416454760000002,0.04183540164,0.03196009224,,0.01490273964,0.02998503036,0.01238902452,0.006284287799999999,0.01993016988,0.009875309399999999,0.033576051960000006,0.01113216696,0.008798002919999999,0.01202992236,0.00861845184,0.00287281728,0.00161595972,0.00035910216,0.09570072564
Heilongjiang,0.10224786816,0.0488684664,0.12329889983999998,0.0178557858,0.04586117615999999,0.27516705696,0.03326814828,0.23795184024,0.04811664384,,0.02687765652,0.027629479079999998,0.0216148986,0.05939398224,0.042290018999999984,0.41087102904,0.02029920912,0.038342950560000005,0.01390871736,0.005638669200000001,0.018795564,0.011653249679999998,0.052815534840000004,0.01240507224,0.0103375602,0.01372076172,0.00507480228,0.00244342332,0.0016916007599999995,0.00037591128,0.14679335484
Shanghai,0.1326336768,0.9169023744,0.43019444736,0.09342024192000002,0.047286789119999985,0.10841361407999997,1.8914715648,0.02998674432,3.1797482342400003,0.07958020608,0.36099426816,0.39098101248000006,0.17069377536000002,0.25373399040000005,,0.06574017023999999,0.22605391871999997,1.4105303193599998,0.49939462656000005,0.08996023296000001,0.2768007168,0.18684048384000004,0.04844012544,0.10149359616,0.10495360512,0.06804684288,0.02768007168,0.01499337216,0.008073354240000002,0.00115333632,0.25258065408
Jiangsu,0.32633872272000003,2.50061961024,1.4881832114400002,0.22411213488,0.07273814904,0.15137398584000006,5.4357022188,0.049147398000000016,,0.12581733888000002,0.6566092372800001,0.75293813736,0.3912132880800001,0.27915722064,2.6795161389600004,0.08649942048000002,0.4207017268800001,1.4134791664800002,0.62318900664,0.19265780015999998,0.30667976352000004,0.29685028391999996,0.045215606160000005,0.23983930224,0.35582716152000005,0.11205606744,0.039317918400000006,0.021624855120000005,0.01769306328,0.0098294796,0.28898670024
Zhejiang,0.21528738576,3.3256235642400003,0.5467166506799999,0.11614187915999998,0.03682547388,0.1133091504,5.38785010152,0.031160016360000004,2.00557196208,0.10764369288,1.27756067076,1.88943008292,0.354091095,0.35975655251999994,1.3512116185199996,0.08214913403999999,1.6656445108799998,,3.92899479012,0.12180733668,0.6996840037200001,0.9263023045200001,0.04815638892,0.7280112913199999,2.4219830898,0.2974365198,0.02266183008,0.0141636438,0.00566545752,,0.18129464064
Anhui,0.11324762279999999,0.93399486804,0.28907945820000003,0.04112676828,0.029205965880000007,0.035762407200000006,,0.013112882640000002,2.00984728464,0.025033685040000003,0.09953870004,0.2729863749600001,0.08165749643999999,0.11801594375999998,0.4541825714400001,0.019073283840000003,0.12338030484,0.56862227448,0.22649524559999998,0.023841604800000003,0.10788326172000004,0.060200052120000014,0.020265364080000004,0.05185549044,0.05543173116000001,0.032186166480000014,0.009536641920000002,0.00357624072,0.0029802006000000003,0.0005960401200000001,0.12397634496
Fujian,0.06285698496,0.51033885408,0.11897929296000002,0.032176789920000004,0.02020403088,0.03891146688,0.3741487200000001,0.0112244616,0.16761862656000004,0.027687005280000003,0.6016311417600001,0.5485020235200001,0.09278888256,0.5080939617600001,0.12496567248,0.02319722064,0.5724475416,0.3614276635200001,1.74577792752,0.033673384800000004,,0.4474818691200001,0.021700625759999998,0.17285670864,0.55299180816,0.16238054448000006,0.01047616416,0.00523808208,0.00224489232,0.0007482974400000001,0.08156442096000001
Jiangxi,0.05707643940000001,0.2097650034,0.081797445,0.020358475200000004,0.007997972400000001,0.017086577399999997,0.250845498,0.009088605,0.16105008059999998,0.0185407542,0.096339213,0.3940819128,0.0443523924,0.50896188,0.110880981,0.0123605028,0.538045416,0.3704515398,,0.0229032846,0.2824738434,0.06652858860000001,0.0276293592,0.049078467,0.10615490640000001,0.08506934279999999,0.005089618800000001,0.0032718978,0.0025448094000000004,,0.06325669079999999
