,Hebei,Henan,Shandong,Shanxi,Tianjin,Liaoning,Anhui,Heilongjiang,Inner Mongolia,Jiangsu,Hubei,Sichuan,Shaanxi,Jilin,Guangdong,Hunan,Shanghai,Zhejiang,Gansu,Jiangxi,Fujian,Chongqing,Hainan,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,4.87187512812,1.3746009419999998,1.08231737328,0.7147924898400001,0.6294225365999999,0.4919624424,0.46736432028,0.46157652683999995,0.44421314651999994,0.4369784047200001,0.37186572852,0.36607793508,0.32990422608000003,0.28504882692,0.27636713676,0.2315117376,0.21559530563999998,0.2025727704,0.18665633844,0.18376244172000003,0.14758873272,0.13601314584000002,0.12588450732,0.09839248848,0.08102910816000003,0.07813521143999999,0.05643098604000001,0.04630234752,0.0217042254,0.00434084508,
Tianjin,1.7104571971199998,0.36452366496,0.54478262016,0.17825607791999998,,0.17975823588,0.15822730512,0.18977262228,0.11216112768,0.10915681176,0.08311940712,0.07060142411999999,0.0801150912,0.1151654436,0.04606617744,0.04606617744,0.03605179104,0.05157408996,0.07260430139999999,0.04155970356,0.04155970356,0.025536685319999995,0.02052949212,0.02103021144,0.02203165008,0.02103021144,0.014020140960000002,0.01201726368,0.00450647388,0.00050071932,0.6238962727199999
Hebei,,0.8820246556799999,1.1353611628800002,0.57802084704,1.31941789056,0.37328358816,0.23265597600000001,0.24506429472,0.32675239296,0.21507752448000003,0.17888659487999997,0.1499338512,0.17371646208,0.14269566528,0.09099433728,0.0930623904,0.05687146080000001,0.10547070912,0.06721172639999999,0.07134783264,0.06721172639999999,0.06514367328000001,0.07341588576000001,0.05066730143999999,0.04756522176,0.03825898272,0.01137429216,0.01654442496,0.006204159359999999,0.00206805312,3.50224795872
Shanxi,0.6204147112799999,0.6054806051999999,0.17726134608,,0.04869817199999999,0.037984574159999986,0.08700740064,0.02240115912,0.20875283064,0.11460303144,0.07629380279999999,0.09285118128,0.4824365572799999,0.01720668744,0.04610093616,0.04090646448,0.029218903199999997,0.050646098880000004,0.02467374048,0.026621667359999997,0.04252973688,0.039607846559999986,0.04058181,0.024349085999999995,0.01720668744,0.012012215759999998,0.008441016479999999,0.01038894336,0.004545162720000001,0.00064930896,0.22693348152
Inner Mongolia,0.35605541628,0.09838768032,0.119984976,0.29456311608,0.050093727479999996,0.35335575431999994,0.03119609376,0.2687663462400001,,0.05069365236,0.02459692008,0.03509560548,0.3314584962,0.1979752104,0.029996244,0.017697783959999998,0.019497558600000003,0.023397070319999998,0.11758527648,0.011698535159999999,0.020397445920000003,0.011398572720000002,0.02639669472,0.01079864784,0.0089988732,0.00479939904,0.005699286360000001,0.21777273144,0.0029996244000000004,,0.25256837448
Liaoning,0.37562129352,0.17697894767999994,0.28970205335999993,0.05948255088,0.07673983415999998,,0.110152872,0.5827086928799998,0.3928785767999999,0.12520709783999998,0.04993596864,0.0697634856,0.04736573496,0.6319103090399999,0.06425584200000001,0.03561609528,0.06095125584,0.05911537463999999,0.01982751696,0.02717104176,0.041490915119999985,0.02276492688,0.03451456655999999,0.020929045679999998,0.01946034072,0.01982751696,0.012851168399999995,0.00514046736,0.00403893864,0.00036717624,0.22544621135999995
Jilin,0.0840632256,0.04413319344,0.09176902127999999,0.01628724996,0.030648051000000006,0.46234774079999996,0.02574436284,0.39422150172,0.17565711516,0.04325753484,0.02031527952,0.02206659672,0.019089357480000003,,0.03887924184,0.015761854800000002,0.032049104759999995,0.0280210752,0.005429083320000001,0.011383561799999999,0.016812645119999997,0.00858145428,0.03309989508,0.01033277148,0.012609483840000001,0.006304741920000001,0.0052539516,0.00227671236,0.0010507903199999998,0.00017513172,0.08949230892000001
Heilongjiang,0.11134733688000002,0.05027388120000001,0.13722907572,0.01936475424,0.041894901000000005,0.27129275892000004,0.034819317720000006,,0.22288087332000006,0.05139107856,0.02401974324,0.026067938399999997,0.02066815116,0.4051702425600001,0.06237685260000001,0.0176889582,0.03668131332,0.041522501880000014,0.006144585480000001,0.015640763040000002,0.02066815116,0.0102409758,0.056232267120000005,0.0102409758,0.0111719736,0.0072617828400000015,0.0033515920799999997,0.0020481951600000003,0.0009309978,0.00018619956,0.13797387396000002
Shanghai,0.13883619672,1.16191069488,0.5014278172800001,0.11592148464000002,0.044481499919999994,0.11726940888000001,2.3629111927200004,0.09300677256,0.03100225752,3.6124369632,0.5256904536,0.40976896896,0.21971165112,0.07143998472,0.25340975712,0.2898037116,,1.4948479821599998,0.1145735604,0.64565571096,0.33967690848000004,0.21566787839999998,0.05256904536,0.10648601496,0.07413583320000001,0.12535695432000002,0.02561056056,0.016175090880000003,0.00539169696,0.00269584848,0.24127843895999998
Jiangsu,0.32642606016000003,2.80268999424,1.5281729568,0.2910805632,0.06653270016,0.14761942847999998,5.76339515136,0.13514454720000002,0.05405781887999999,,0.95017012416,0.72354311424,0.48236207616000004,0.0935616096,0.27028909440000004,0.4969161043200001,2.54279663424,1.37639523456,0.22038956928000003,0.69235591104,0.32850520704,0.31187203199999997,0.04782037824,0.24533933184,0.11227393152,0.37216729151999994,0.03534549696000001,0.02287061568,0.01663317504,0.00623744064,0.27028909440000004
