,Hebei,Henan,Shandong,Shanxi,Liaoning,Tianjin,Anhui,Heilongjiang,Inner Mongolia,Jiangsu,Hubei,Sichuan,Shaanxi,Jilin,Guangdong,Hunan,Zhejiang,Gansu,Jiangxi,Shanghai,Fujian,Hainan,Chongqing,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,5.608813196159999,1.6822981627200002,1.48346538912,1.02701450016,0.6500967206399999,0.6500967206399999,0.5671056499199999,0.54635788224,0.5394419596800001,0.48584355984,0.45126394704,0.41841331488000005,0.40285248912,0.3475251086399999,0.29738467008,0.27144996048000003,0.2247674832,0.21958054128,0.21266461872,0.19710379296,0.18500092848,0.16079519952000002,0.15042131568,0.12794456735999998,0.10200985776,0.07953310944,0.05878534176000001,0.055327380479999994,0.02074776768,0.0086449032,
Tianjin,2.01093233472,0.387356256,0.7027749216,0.23739404832,0.19976515488,,0.15217567199999998,0.20308535136,0.14221508255999998,0.10071262655999999,0.07968471551999999,0.06751066176,0.07691788511999999,0.12229390367999997,0.03984235776,0.041502456,0.042609188160000006,0.0802380816,0.040395723839999995,0.029881768319999998,0.03984235776,0.01604761632,0.02324137536,0.01770771456,0.01770771456,0.015494250240000004,0.01272741984,0.00996058944,0.00442692864,0.00055336608,0.6081493219199999
Hebei,,0.87870501,1.147485366,0.5840803889999999,0.392832828,1.2612001320000001,0.2294970732,0.21088920239999998,0.33907675679999993,0.2057203494,0.17057214899999998,0.139559031,0.17057214899999998,0.1364577192,0.0796003362,0.07649902439999999,0.0920055834,0.0661613184,0.062026235999999985,0.047553447599999986,0.056857383,0.06512754779999999,0.050654759399999985,0.042384594599999985,0.046519677,0.0289455768,0.0113714766,0.0144727884,0.006202623599999999,,3.7050338304
Shanxi,0.670147344,0.5982050556,0.1990731816,,0.0400774392,0.0486185328,0.0972370656,0.022995252,0.2181263904,0.11760428879999997,0.0794978712,0.0929665188,0.4549774859999999,0.0144541584,0.0545315976,0.041719957200000005,0.0479615256,0.0269372952,0.026608791600000004,0.0282513096,0.0463190076,0.0420484608,0.0351498852,0.0233237556,0.0193817124,0.0111691224,0.006898575599999999,0.014782662,0.004927554000000001,0.0006570072,0.19053208800000002
Inner Mongolia,0.42226813728,0.10320711552,0.11893990752,0.32850069695999995,0.36751802112,0.0456250968,0.035870765759999985,0.28130232096,,0.04593975264,0.02737505808,0.037444044960000006,0.34108693056,0.21176338032000003,0.031780239839999995,0.01636210368,0.023599187999999997,0.13498735535999998,0.01164226608,0.01856469456,0.01982331792,0.0298923048,0.012586233600000002,0.008810363520000001,0.008810363520000001,0.00503449344,0.00566380512,0.22088839968,0.004405181760000001,,0.22088839968
Liaoning,0.39389691852,0.17598846024,0.29910485087999994,0.05551567308,,0.0679783752,0.09932395932,0.61595961084,0.4414817811599999,0.12424936356,0.04947315084,0.07024432103999999,0.05136143904,0.6673210498800001,0.06948900576,0.0339891876,0.061180537680000015,0.019638197280000002,0.02756900772,0.05740396128,0.04871783556,0.03663279108,0.0245477466,0.02190414312,0.01926053964,0.0151063056,0.01019675628,0.0052872069600000005,0.0030212611199999994,0.0015106305599999997,0.20053620683999995
Jilin,0.0905273658,0.0412931844,0.097938963,0.0178231266,0.44946043020000004,0.028587589200000006,0.023822991,0.4249315728,0.1863487296,0.0411167178,0.0190583928,0.0178231266,0.0178231266,,0.044116650000000014,0.0162349272,0.0278817228,0.0063527976000000005,0.0100585962,0.029116989000000006,0.018881926200000003,0.0349403868,0.0081174636,0.00882333,0.0095291964,0.0038822652,0.0037057986,0.0015881994000000001,0.0005293998,0.0003529332,0.0797629032
Heilongjiang,0.11429340084,0.046310130000000005,0.14059755468000001,0.02074693824,0.26267105735999996,0.04204959804,0.03019420476,,0.22451151024,0.049459218839999985,0.019820735640000003,0.02611891332,0.022784583959999997,0.41364208116,0.06409321992,0.01630116576,0.039641471280000014,0.00426053196,0.015189722639999997,0.039641471280000014,0.02167314084,0.05909172588,0.008706304439999998,0.012596355359999999,0.011670152759999998,0.0064834182,0.00222288624,0.00203764572,0.0007409620800000001,0.00018524052,0.13022408556
Shanghai,0.19628252100000002,1.582638345,0.7922033279999999,0.164452923,0.14500150199999998,0.051281019000000004,3.839003181,0.113171904,0.045976085999999985,4.247483022,0.7214708879999999,0.5499447209999999,0.268783272,0.09372048300000001,0.291771315,0.42793126200000003,1.57379679,0.137928258,0.915985098,,0.46329748200000004,0.065427507,0.270551583,0.129086703,0.08841555,0.157379679,0.031829598,0.019451421,0.007073244,0.001768311,0.219270564
Jiangsu,0.3969576072,3.3581134224,1.898492904,0.3624395544,0.1627279632,0.059173804799999986,7.978601347200001,0.14053778639999998,0.0567082296,,1.0084202568,0.7791217631999999,0.5572199952,0.09862300800000001,0.283541148,0.591738048,1.3831876872000002,0.2564198208,0.9541776024,2.4211948463999997,0.4561314120000001,0.05424265440000001,0.3131280504,0.234229644,0.12327876,0.34024937759999996,0.0320524776,0.022190176800000003,0.014793451199999997,,0.2514886704
