,Hebei,Henan,Shandong,Shanxi,Liaoning,Anhui,Heilongjiang,Tianjin,Inner Mongolia,Hubei,Jiangsu,Sichuan,Shaanxi,Jilin,Hunan,Guangdong,Gansu,Jiangxi,Zhejiang,Fujian,Shanghai,Hainan,Chongqing,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,6.437608812000001,2.17994142672,1.80253046736,1.2029974329600002,0.7351650979200002,0.63098394768,0.63098394768,0.6014987164800001,0.59756735232,0.5228714332800001,0.5012489304000001,0.442278468,0.442278468,0.40689619056,0.30861208656000005,0.30468072240000005,0.24571026000000004,0.2260534392,0.20639661840000004,0.196568208,0.17887706928000002,0.17101434096,0.16511729472,0.12973501728,0.10221546816,0.08452432944,0.058970462400000014,0.05503909824000002,0.0196568208,0.003931364160000001,
Tianjin,2.14748473968,0.4747637286,0.8402422215600001,0.27828917928,0.21259860048,0.1851279948,0.20722391676,,0.1552686408,0.08957806199999999,0.11167398396,0.06688495296000001,0.08778650076,0.13795021547999994,0.046580592239999996,0.04120590852,0.08539775243999999,0.03523403772,0.044789030999999986,0.040608721439999995,0.028067792759999998,0.0179156124,0.02567904444,0.0179156124,0.014929677,0.013735302839999998,0.01134655452,0.011943741599999998,0.00477749664,,0.5225386949999999
Hebei,,0.9434519906400002,1.2753504108,0.5910660136799999,0.41282426952,0.26838699408000005,0.22843625831999997,1.25588723184,0.34931284344,0.17926612200000006,0.21921685776,0.14648603112,0.18131487768,0.14443727543999998,0.09014524992,0.08297460504000001,0.06453580392000001,0.06248704824,0.09424276127999999,0.05941391472,0.0409751136,0.08092584936000001,0.05429202552,0.046097002800000016,0.04404824712,0.028682579520000005,0.01229253408,0.0153656676,0.0051218892,,3.24830213064
Shanxi,0.70939381716,0.6304607946,0.20535964344000002,,0.043480054800000015,0.09164257703999999,0.02374679916,0.050169294,0.2207448936,0.07157485944000001,0.11003798484,0.09298042488,0.4314559284,0.017057559960000003,0.044483440680000014,0.058196381039999995,0.028429266600000006,0.024415723080000003,0.04883144616000001,0.044483440680000014,0.02709141876000001,0.052176065760000015,0.035118505800000005,0.024081261119999996,0.017392021919999997,0.013044016440000002,0.005351391360000001,0.012040630559999998,0.0033446196000000003,0.00033446196000000005,0.19933932816
Inner Mongolia,0.4248750996,0.10630079712,0.13550070743999998,0.34350905736000004,0.38123927856,0.04297964328,0.29232719208,0.04330773216,,0.0262471104,0.049213332,0.03707404344,0.35892923471999993,0.21949146071999998,0.01706062176,0.028871821439999997,0.14140630728,0.0131235552,0.02755946592,0.023622399359999997,0.01738871064,0.03346506576,0.014435910719999999,0.013451644079999998,0.00885839976,0.005249422080000001,0.0049213332,0.23195883815999999,0.00557751096,,0.22769368272
Liaoning,0.38223892224,0.18876963168,0.30586946544000004,0.05757082128,,0.09007679519999999,0.6873251112000001,0.06462030960000001,0.46526622912,0.04973805648,0.1155332808,0.07206143616,0.04895478,0.7519454207999999,0.03407252688,0.07127815968000001,0.01879863552,0.02858959152,0.05992065072000001,0.04660495056,0.04934641824,0.036422356320000016,0.02467320912,0.01997355024,0.01723208256,0.011749147199999999,0.00822440304,0.00509129712,0.0019581912000000003,0.0003916382400000001,0.19111946112
Jilin,0.08280554832,0.043848889919999995,0.09838821168,0.016307438400000002,0.47255332608,0.02464235136,0.44501187456,0.0262730952,0.19786358592,0.01866295728,0.04040620848,0.02011250736,0.017938182240000003,,0.01304595072,0.044754858720000006,0.00579820032,0.010690431840000002,0.027179064,0.0208372824,0.029896970400000007,0.038775464640000014,0.007791331679999999,0.00833491296,0.010690431840000002,0.00326148768,0.0027179064,0.00163074384,0.00036238752,0.00018119376,0.077007348
Heilongjiang,0.1031600934,0.0385680204,0.1426642308,0.020032903799999998,0.2769034086,0.028270733399999998,,0.0441847224,0.23796094140000004,0.0228412548,0.052235328600000006,0.0211562442,0.023402925,0.436230522,0.014416201799999999,0.06683875379999997,0.0059911488,0.014041755,0.0413763714,0.0189095634,0.037631903399999986,0.059911488,0.007114489200000001,0.012169521,0.0110461806,0.005429478599999999,0.0026211276,0.0016850106,0.000936117,,0.119822976
Shanghai,0.1908241092,1.7529626501999998,0.7670380859999999,0.17585751239999994,0.15153679260000005,4.1663263842000005,0.121603599,0.046770615,0.0486414396,0.8269044731999999,4.441337600399999,0.5818264505999999,0.299331936,0.09354123,0.4508687286,0.2750112162,0.15340761719999998,0.9784412658,1.5864592608,0.4733186238,,0.0579955626,0.3049444098,0.1421826696,0.1047661776,0.1721158632,0.026191544400000003,0.018708246,0.0074832983999999995,0.0018708245999999999,0.1945657584
Jiangsu,0.3956523213600001,3.3945457125600007,1.8648580752000004,0.38557200744,0.17136533664000006,8.30113851312,0.14868463031999998,0.06048188352,0.057961805039999995,1.21215774888,,0.8139853490400001,0.6501802478400001,0.09828306072,0.62497946304,0.29736926063999997,0.27972871128000004,0.9273888806399999,1.3356415944,0.43849365552,2.2529501611200002,0.057961805039999995,0.36289130111999995,0.22932714168,0.12600392400000002,0.33265035936000004,0.03024094176,0.022680706319999997,0.0126003924,,0.23184722015999998
Zhejiang,0.23020587503999995,3.42782162712,0.6653511266400001,0.1684433232,0.1263324924,6.17344779528,0.13756204728,0.03930344208,0.04491821952,1.84726177776,2.25152575344,1.32508747584,0.4744486936799999,0.09264382776,1.5244120749599996,0.35653836743999995,0.17125071191999994,3.4839694015199996,,0.73553584464,1.1959475947199998,0.070184718,0.7804540641599998,0.5951664086399999,0.27231670584,1.5917894042399998,0.01965172104,0.01965172104,0.00842216616,,0.16282854575999994
Anhui,0.12636217728,1.31390201088,0.30895883136,0.049618656,0.03374068608,,0.025801701119999996,0.025140119040000002,0.0132316416,0.34931533824,2.21497680384,0.10651471488,0.09063674495999999,0.01852429824,0.14620963967999998,0.12503901312000001,0.02844802944,0.29241927935999995,0.5259577536,0.11511528192,0.36453172608,0.02117062656,0.06086555136,0.04697232768,0.03374068608,0.053588148480000014,0.00793898496,0.00529265664,0.00264632832,0.00066158208,0.09394465536
Fujian,0.06938026164000001,0.6059795004,0.13700406095999998,0.04215509568,0.0351292464,0.44965435391999997,0.02546870364,0.01668639204,0.014929929719999999,0.6771162243600001,0.19057616172000003,0.87735292884,0.11504828195999998,0.02019931668,0.62705704824,0.47161013292,0.04127686451999999,1.9988541201599996,0.3934475596800001,,0.0966054276,0.02546870364,0.592806033,0.20901901608,0.1844285436,0.7298100939600001,0.01053877392,0.006147618120000001,0.00263469348,0.0008782311599999999,0.0614761812
Jiangxi,0.06147785951999999,0.21357568079999995,0.08503106543999997,0.024351619679999995,0.016766688959999998,0.32176074528,0.016367482079999995,0.007584930719999998,0.008383344479999997,0.4902260486399999,0.16088037264,0.11417316767999998,0.04710641184,0.01077858576,0.6351381460799999,0.5237594265599999,0.02355320592,,0.37485526032,0.33812822736000003,0.08862392736,0.030738929759999995,0.06906279023999999,0.04830403247999999,0.10139854751999998,0.10419299567999996,0.00279444816,0.00439127568,0.0019960343999999995,,0.054292135679999985
Shandong,1.2365168108399998,1.3663390554,,0.26204860476,0.32695972704,0.4720080373199999,0.35100088344,0.19393199496,0.11539755072,0.20274708564,1.1860303824,0.19232925120000002,0.19633611059999997,0.22117863888,0.11299343508,0.13943870711999998,0.09055502244,0.10658246004,0.19793885436,0.11139069131999997,0.13783596335999998,0.0520891722,0.07613032859999999,0.08254130364,0.05048642844,0.04567819715999999,0.02884938768,0.01923292512,0.01362332196,0.0016027437599999998,0.40309005564000006
Henan,0.5346794966399999,,0.8630867001600001,0.390153186,0.06310303704,1.1521393214400002,0.04139016408,0.06038892792,0.035961945839999995,0.7077039530400001,0.4037237316000001,0.19609438392000006,0.40711636799999995,0.0271410912,0.22323547511999997,0.3019446396000001,0.06988830984000001,0.11602816487999999,0.21305756592000005,0.11602816487999999,0.11331405575999999,0.11195700120000003,0.09702940104,0.07260241896000001,0.07599505536000002,0.058353346080000014,0.0373190004,0.01628465472,0.012892018319999999,0.00271410912,0.24698392992000004
Hubei,0.14598707111999998,1.1063648282399998,0.16167163248,0.07600979735999999,0.041624412839999986,0.38728801512,0.03197237508,0.01930407552,0.019907327880000002,,0.2382846822,0.27267006671999994,0.22380662556,0.02051058024,0.92780212968,0.40960835244000005,0.05067319823999999,0.4838083927199999,0.1930407552,0.15141634235999996,0.0784228068,0.04946669351999999,0.49225392576000004,0.07721630208,0.12185697671999997,0.10798217243999997,0.01628781372,0.0072390283199999985,0.00482601888,0.00120650472,0.09290086344000001
Hunan,0.08512620480000001,0.28320833520000005,0.09003733200000001,0.0376519752,0.0261926784,0.1424226888,0.018007466399999998,0.0125506584,0.015279062400000003,1.0520725824,0.1140472872,0.1980821304,0.079123716,0.0174617856,,0.9805883976,0.02455563600000001,0.5806043712000001,0.14133132720000002,0.14078564640000002,0.0458371872,0.06111624960000001,0.2089957464,0.0987682248,0.4436384904000001,0.447458256,0.010913616,0.0049111272,0.0038197656000000008,0.0005456808,0.07202986559999999
Guangdong,0.22761845964,2.98822182912,0.36769135788,0.145909269,0.14007289824000002,0.98051028768,0.11672741519999999,0.040854595320000006,0.04669096608,4.41229629456,0.437727807,3.3267313332,0.6128189298,0.09338193216,13.15517969304,,0.15758201052,6.5600807342400005,0.46107329004,1.7217293742,0.18092749356,0.5602915929600001,1.5408018806400001,1.0797285906,14.97612737016,1.99020242916,0.029181853799999997,0.017509112280000003,0.01167274152,,0.23345483039999998
Guangxi,0.08140101479999999,0.1649554956,0.08269309439999999,0.027133671600000003,0.027995058,0.08312378759999997,0.017658421199999996,0.010336636799999998,0.0120594096,0.1890743148,0.0788168556,0.2149159068,0.049529717999999986,0.014212875600000001,0.7782626123999999,1.1753617427999998,0.017658421199999996,0.18562876920000002,0.0930297312,0.1576337112,0.0267029784,0.0590049684,0.11241092519999997,0.202425804,,0.3734110044,0.004737625200000001,0.004737625200000001,0.0025841592,,0.0443613996
Hainan,0.054476582400000015,0.08052319836,0.041708633400000014,0.026046615960000002,0.02366326548,0.044602701840000016,0.02196087228,0.018896564520000003,0.015321538800000003,0.08546013864,0.044262223200000006,0.14010696035999998,0.037963368360000006,0.015321538800000003,0.12887116524000006,0.35137395648,0.01225723104,0.07354338624000001,0.042389590680000006,0.055838496960000004,0.02962164168,,0.05890280472,0.019066803840000004,0.13619145600000002,0.043240787280000005,0.0110655558,0.00612861552,0.0027238291200000005,0.00017023932000000006,0.07371362556000001
Chongqing,0.07524607103999999,0.15519502151999998,0.07793343071999999,0.04501327464,0.0235143972,0.07994895047999999,0.01478047824,0.014108638319999997,0.013436798400000002,0.45550746576,0.09808862832000001,3.47139686664,0.1478047824,0.01209311856,0.23178477239999998,0.21297325464,0.05509087343999999,0.08801102951999999,0.09405758879999998,0.08935470936,0.04635695448,0.08801102951999999,,0.21901981392,0.11690014608,0.66982440024,0.026873596800000003,0.0100775988,0.00739023912,0.006718399200000001,0.054419033520000014
