,Hebei,Henan,Shandong,Shanxi,Liaoning,Inner Mongolia,Anhui,Heilongjiang,Tianjin,Hubei,Jiangsu,Shaanxi,Jilin,Sichuan,Hunan,Guangdong,Gansu,Jiangxi,Zhejiang,Fujian,Chongqing,Hainan,Shanghai,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,8.07960694104,2.4641966253599996,2.29244235912,1.5219336369599998,0.99951441048,0.7848215776799999,0.7705087221600001,0.76812324624,0.70848634824,0.5844416004,0.57489969672,0.50810637096,0.5009499432000001,0.48186613584,0.35305043616000004,0.34112305655999997,0.29579901408000003,0.2743297308,0.23377664016,0.20992188096,0.1908380736,0.17891069399999998,0.16698331439999994,0.1431285552,0.119273796,0.09303356087999999,0.06202237392000001,0.05725142208,0.01908380736,0.00238547592,
Tianjin,2.5673926698,0.5182472502000001,1.0645457723999998,0.3281998823999999,0.28121400179999995,0.1851383952,0.2180986398,0.238435812,,0.1009845792,0.12623072400000002,0.1009845792,0.16409994119999996,0.0757384344,0.0511935714,0.0448820352,0.1093999608,0.043479471599999986,0.048388444199999985,0.042778189799999984,0.029453835599999995,0.0196358904,0.028051272000000002,0.021038454,0.0161294814,0.014025636000000001,0.0098179452,0.014025636000000001,0.0049089726,,0.5322728861999999
Hebei,,0.9543044159999999,1.3886627040000001,0.65795652,0.47715220799999997,0.41189148,0.277090632,0.261042912,1.3223321279999998,0.18722339999999998,0.234296712,0.185083704,0.17117568,0.17010583199999998,0.09949586400000003,0.105914952,0.072749664,0.067400424,0.10163556,0.066330576,0.068470272,0.09949586400000003,0.049213007999999996,0.049213007999999996,0.05991148800000001,0.029955744000000006,0.01069848,0.019257264,0.006419087999999999,0.001069848,3.0736733039999997
Shanxi,0.8003030428800001,0.69150951936,0.22429349712,,0.04880805336000001,0.24590316960000005,0.10394997624000002,0.023472575280000005,0.048062892240000016,0.07861449816,0.13114835712000006,0.47653053623999997,0.018629028,0.11028384576000004,0.04843547280000001,0.06482901744000001,0.032787089280000015,0.029806444800000005,0.05961288960000001,0.04582740888000001,0.046199989440000006,0.06371127576000002,0.031296767040000006,0.029061283680000008,0.022727414159999997,0.01527580296,0.005961288960000001,0.013785480720000005,0.005216127840000002,0.0003725805600000001,0.1993305996
Inner Mongolia,0.48986536212,0.1169883162,0.15858416195999994,0.41558706611999996,0.46832465628,,0.051994807199999986,0.32793867684,0.04865228388,0.0297113184,0.0538517646,0.3955319262,0.2432614194,0.04530976056,0.01634122512,0.03416801616,0.16081251083999998,0.01411287624,0.027854361,0.020797922880000003,0.01448426772,0.03565358208,0.01634122512,0.01634122512,0.012998701799999998,0.0059422636800000005,0.005570872199999999,0.25217481492,0.0059422636800000005,,0.222834888
Liaoning,0.43086594383999993,0.21449426616000006,0.3825225972,0.06711746183999999,,0.58481368848,0.10935922104,0.8706495924000001,0.07274969640000001,0.052098169680000014,0.12766398335999998,0.052098169680000014,0.95888793384,0.08119804824,0.03801758328000001,0.08025934248000001,0.018304762319999997,0.02722246704,0.07181099063999999,0.048812699519999996,0.025345055520000003,0.04740464088,0.05819975712,0.02487570264,0.021120879600000003,0.011733822,0.00657094032,0.005162881679999999,0.0014080586399999998,,0.19055726928
Jilin,0.10863655199999997,0.041290722,0.12232652399999998,0.020755763999999996,0.581603004,0.23449597199999994,0.031354451999999984,0.57188754,0.033783318,0.020314152,0.043940394,0.019210122,,0.020093346,0.013689971999999998,0.054759887999999986,0.005078538,0.0110403,0.03709540799999999,0.020093346,0.010377881999999995,0.047694096,0.032679287999999994,0.00993627,0.011481912,0.003532896,0.002870478,0.001766448,0.0006624179999999997,0.000220806,0.09008884800000001
Heilongjiang,0.12612706344000002,0.0428480442,0.15952656455999997,0.017798418360000002,0.35113422888000007,0.27334854864,0.0307626984,,0.04856111676,0.02482989228,0.055812324239999996,0.023731224480000004,0.5203290700800001,0.0252693594,0.0186773526,0.07492914396,0.0043946712,0.013843214280000002,0.044386179119999994,0.024610158720000004,0.00922880952,0.0681174036,0.04965978456,0.01406294784,0.014282681400000004,0.005713072560000001,0.00241706916,0.00241706916,0.00065920068,0.00021973356,0.14436494892000004
Shanghai,0.22801886855999998,2.1560199948000003,1.01818326456,0.20995796808000006,0.17835139224000002,0.05644031400000001,5.303131903440001,0.13319914104,0.051925088880000005,0.9323939872799999,5.36634505512,0.33638427144,0.10610779032,0.63664674192,0.5260237264800001,0.32509620864,0.17609377967999998,1.18976181912,1.8354390112800003,0.5689183651199999,0.3273538212,0.07675882704,,0.16706332944000002,0.12191107824,0.19189706760000005,0.031606575840000005,0.02031851304,0.006772837679999999,,0.19641229272
Jiangsu,0.47102088384,3.9778288056,2.38956936192,0.4767650409600001,0.18955718495999999,0.06318572832000001,9.946008053280002,0.16658055648,0.06892988543999999,1.2780749592000002,,0.7122754828800001,0.10913898528000003,0.91044890352,0.6433455974400002,0.32454487728000003,0.32454487728000003,1.05118075296,1.4848646155200003,0.48250919808,0.3906026841600001,0.06318572832000001,2.0908731916800005,0.24987083472,0.14647600656000004,0.3216727987200001,0.034464942719999996,0.022976628480000004,0.014360392800000003,,0.22115004912000005
