,Hebei,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Tianjin,Heilongjiang,Anhui,Jiangsu,Jilin,Hubei,Shaanxi,Sichuan,Hunan,Guangdong,Gansu,Jiangxi,Zhejiang,Fujian,Hainan,Chongqing,Shanghai,Yunnan,Guangxi,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Beijing,8.801691303600002,2.24627737464,2.1343208140800005,1.5435713030400002,1.06239629808,0.8170446866400001,0.76702154256,0.73605483432,0.69555990816,0.56454691176,0.49070322288,0.4883211684,0.48117500496000004,0.42638775192,0.32634146376,0.29061064656,0.27155421072,0.26440804728,0.22629517559999998,0.20009257632,0.16912586808,0.15483354119999998,0.1429232688,0.12148477848,0.10481039712,0.08098985232000001,0.06193341648,0.057169307520000004,0.01905643584,0.00238205448,
Tianjin,2.6860323718799997,1.02438485136,0.40432761252,0.32756492340000004,0.26602242264000003,0.181980513,,0.19323021744000002,0.16808381928,0.1091883078,0.16080459876000006,0.0761009418,0.07874793107999999,0.06485123736000001,0.03904309188,0.0430135758,0.0860271516,0.035734355280000005,0.0430135758,0.035734355280000005,0.01852892496,0.02514639816,0.025808145480000003,0.01852892496,0.016543683,0.01191145176,0.01257319908,0.01124970444,0.0046322312400000005,,0.43278274728
Hebei,,1.1628895895999998,0.772917552,0.5313808170000001,0.452332431,0.3680141526,1.137418443,0.21430895760000002,0.2028908574,0.1853245494,0.1422870948,0.1255991022,0.144922041,0.1255991022,0.074656809,0.08783154,0.0553338702,0.051820608600000005,0.08080501679999999,0.050063977799999985,0.08783154,0.0491856624,0.0421591392,0.0447940854,0.050063977799999985,0.021957885,0.013174731,0.008783154,0.005269892399999999,0.0008783154,2.4768494279999995
Shanxi,0.68959871316,0.18996856127999998,0.61162175304,,0.04396231908,0.22655034504000002,0.04139517636,0.0192535704,0.08118588852000001,0.10172303027999999,0.015402856319999996,0.0657830322,0.40015337148,0.09947678039999999,0.04107428352,0.06000696108,0.02823856992,0.0208580346,0.053909997120000004,0.043320533400000014,0.0545517828,0.035939998080000014,0.03080571264,0.031768391160000006,0.02021624892,0.00930589236,0.0096267852,0.00417160692,0.00417160692,0.0006417856800000001,0.16718516964000002
Inner Mongolia,0.4387988959199999,0.15520541543999994,0.08648595503999998,0.3905276651999999,0.4304184739199999,,0.038549941199999986,0.30806431272,0.030839952959999993,0.04324297751999999,0.24336745487999994,0.022124314079999995,0.37913029128,0.037544290560000006,0.012067807679999995,0.03553298928,0.14682499343999994,0.01139737392,0.02614691664,0.018772145280000003,0.03385690487999999,0.0150847596,0.016760843999999997,0.012403024559999998,0.00905085576,0.00368738568,0.20917533312,0.00368738568,0.005698686959999999,,0.18068189831999995
Liaoning,0.405771606,0.338143005,0.14409754199999994,0.06188237999999999,,0.598933035,0.06409246499999999,0.838064232,0.08884541699999997,0.11448240300000001,1.011334896,0.038897496000000004,0.045527751,0.06144036299999999,0.030057156,0.077352975,0.015028578,0.022542867,0.05746221,0.041549597999999986,0.043317666,0.021216816,0.059672295,0.019448748000000002,0.01768068,0.009724374000000001,0.00442017,0.006188238,0.0013260509999999993,0.0008840339999999999,0.168408477
Jilin,0.09915998616000002,0.10284059700000002,0.034424536680000006,0.016887508560000004,0.6018881256000002,0.23209498944000004,0.031176938880000005,0.6031871647200001,0.02468174328,0.04091973228000001,,0.01602148248,0.016887508560000004,0.016887508560000004,0.011907858600000005,0.050013006120000016,0.003680610840000001,0.0075777282000000015,0.033991523640000014,0.01883606724,0.04416733008000001,0.007361221680000002,0.035290562760000005,0.008227247760000002,0.01039231296,0.003031091280000001,0.0017320521600000006,0.0017320521600000006,0.00043301304000000016,,0.08400452976000003
Heilongjiang,0.11566514232000001,0.14680575756,0.04067345664,0.015888068999999998,0.34784279064,0.26480115,0.04427475228,,0.023938023959999995,0.055290480119999985,0.53892330048,0.01758279636,0.01885384188,0.02372618304,0.014617023480000003,0.07753377672,0.005084182079999999,0.0137696598,0.0413089794,0.021184092,0.06397595784,0.0084736368,0.04575763871999999,0.01080388692,0.01016836416,0.005296023,0.0019065682800000002,0.0019065682800000002,0.0008473636800000001,0.00021184092000000001,0.13642555248
Shanghai,0.21916593792,1.02561147648,1.808650944,0.19788769152,0.16384249727999994,0.05106779135999999,0.053195616,0.11277470591999998,5.096140012799999,5.462125850880001,0.09575210880000001,0.7426107993599999,0.2978954495999999,0.5149335628799999,0.4681214208,0.28938415104000004,0.15533119871999998,1.1298748838399997,1.7958839961599995,0.5425952831999998,0.06809038848,0.24682765823999994,,0.14043642623999994,0.11064688127999997,0.16597032192,0.01915042176,0.02766172032,0.00851129856,,0.17235379584000002
Jiangsu,0.39650087736,2.17467352368,3.0868687936799994,0.37217567016,0.16784392967999998,0.05351545584,0.05594797656,0.1337886396,9.12438522072,,0.0973008288,0.9778733294399996,0.5497496827199999,0.6713757187199999,0.4816391025599999,0.27244232064,0.2554146756,0.8976001456799999,1.2941010230399999,0.42812364672,0.058380497279999985,0.27244232064,1.641951486,0.19216913688,0.11189595312,0.22622442695999997,0.02189268648,0.02919024864,0.014595124319999996,,0.182439054
