,Hebei,Shandong,Henan,Shanxi,Liaoning,Tianjin,Inner Mongolia,Anhui,Heilongjiang,Jiangsu,Jilin,Shaanxi,Sichuan,Gansu,Hunan,Guangdong,Zhejiang,Hubei,Jiangxi,Fujian,Hainan,Chongqing,Shanghai,Yunnan,Guangxi,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Beijing,7.14240346212,1.82521873908,1.80471066336,1.2435351368399998,0.82218739932,0.6171066421199999,0.57236174964,0.55744678548,0.5406674507999999,0.39524655024000005,0.37100973348000005,0.36728099244,0.30202802424,0.20880949824000006,0.20321638667999997,0.20135201616,0.19948764564,0.1957589046,0.19389453408,0.14728527108,0.13609904795999997,0.1025403786,0.09694726704,0.09135415548,0.07830356184,0.05779548612,0.054066745079999985,0.041016151439999995,0.0186437052,0.00186437052,
Tianjin,2.0981020788,0.9542897582399998,0.36415039751999995,0.21931201655999996,0.20595812328,,0.11145364775999997,0.16281477575999995,0.12994365383999998,0.08320502736,0.11710337183999996,0.058551685919999985,0.044170570079999985,0.0539291844,0.0231125076,0.02978945424,0.03287112192,0.040575291119999995,0.0282486204,0.0333847332,0.01900361736,0.01438111584,0.0154083384,0.014894727119999996,0.01181305944,0.00873139176,0.008217780479999999,0.007704169199999999,0.00359527896,,0.22907063088000004
Hebei,,0.9013864356,0.758712258,0.38086750799999997,0.383890266,0.6468702119999999,0.27688463280000003,0.202524786,0.1638334836,0.15053334840000002,0.1190966652,0.12091032,0.102773772,0.036273096000000005,0.036273096000000005,0.04715502480000001,0.05682785039999999,0.0767780532,0.0344594412,0.0405049572,0.07194164039999999,0.0356685444,0.027204822000000004,0.0314366832,0.0344594412,0.015718341599999998,0.010277377200000002,0.0054409644,0.003022758,0.0006045516,1.2610946376
Shanxi,0.5229121536,0.13813255619999998,0.540019143,,0.032426681400000004,0.029618071199999995,0.1925174628,0.079151742,0.0132770664,0.0885988854,0.0125110818,0.2964360402,0.08681158800000001,0.024000850799999997,0.027320117400000003,0.0403418556,0.0469803888,0.049788999,0.0163410048,0.0380439018,0.04800170159999999,0.031150040399999995,0.0196602714,0.027320117400000003,0.0137877228,0.007404517799999999,0.0079151742,0.0035745948,0.0045959076,0.0007659845999999999,0.1069825158
Inner Mongolia,0.32360654088,0.07973978255999999,0.07484777136,0.31749152688,0.29743428096,0.0256830588,,0.027150662160000002,0.21378088944,0.033510276719999996,0.17709080544,0.30501689832,0.034488678960000005,0.10224303408,0.010762424640000002,0.023481653760000002,0.02005724592,0.017366639759999997,0.013697631360000002,0.01443143304,0.03008586888,0.01002862296,0.014186832479999996,0.0110070252,0.006115014,0.0034244078400000005,0.1504293444,0.00391360896,0.007582617359999998,0.00024460056,0.09245901168
Liaoning,0.30090389327999995,0.27345423096,0.11535807455999998,0.05350946832,,0.04725511488,0.41626196784,0.06323846256,0.6716480666399998,0.08304391511999999,0.8776942660799999,0.0364837284,0.04551779448,0.0104239224,0.0191105244,0.06497578295999999,0.0451703304,0.013551099119999998,0.019457988480000004,0.03891597696000001,0.039263441039999986,0.016678275839999996,0.04725511488,0.018415596240000002,0.01528841952,0.0072967456799999985,0.00382210488,0.004517033039999999,0.0017373203999999998,,0.11431568232
Jilin,0.0786817152,0.08046993599999999,0.034333839359999986,0.01394812224,0.54504969984,0.02378333664,0.17488799423999998,0.015915165119999998,0.48764781216,0.03093621984,,0.01215990144,0.01269636768,0.0028611532799999997,0.007510527359999998,0.040234968,0.03415501728,0.00822581568,0.0071528832,0.013590478080000003,0.04041379008,0.005722306559999999,0.03165150816,0.00822581568,0.00822581568,0.00214586496,0.0010729324799999998,0.00160939872,0.0005364662399999999,0.00017882207999999998,0.06044186304
Heilongjiang,0.08602564823999999,0.11110262292000002,0.029893082400000007,0.01311974172,0.25674836328,0.03221809992,0.21074623092,0.01760370408,,0.043012824119999994,0.42049602576,0.015942977280000003,0.01727155872,0.00365359896,0.008967924720000001,0.06128081892000001,0.03686813496,0.012289378319999999,0.00946614276,0.01876621284,0.06427012716,0.007473270600000002,0.04218246072,0.00979828812,0.0091339974,0.0033214536,0.0014946541199999997,0.00132858144,0.00066429072,0.0004982180400000001,0.10977404148
Shanghai,0.17188084656000002,0.8372809555200001,1.18444622976,0.17017905600000002,0.14805577872,0.044246554560000005,0.039141182880000014,3.3116844297600005,0.10040564303999999,5.387868912960001,0.08338773744000001,0.21612740112000006,0.32163841584,0.13103787312,0.2978133480000001,0.2314435161600001,2.17148475456,0.24846142176000005,0.7504896369600002,0.4067279438400001,0.054457297920000015,0.14805577872,,0.11401996752000003,0.09189669024000002,0.10551101472000002,0.020421486719999996,0.022123277280000003,0.006807162240000001,0.0017017905600000005,0.11742354864
Jiangsu,0.2936693491199999,1.7392916807999996,1.95954369264,0.28318115808,0.12760632432,0.0349606368,0.040204732319999985,7.149450225599999,0.1048819104,,0.07341733727999998,0.38281897296,0.4037953550399999,0.19577956608,0.26045674416,0.18878743872,1.09077186816,0.3408662088,0.5943308256000001,0.35485046351999994,0.052440955199999986,0.18703940688,1.005118308,0.13634648352,0.08040946463999997,0.14333861087999994,0.01922835024,0.02447244576,0.01398425472,,0.13110238800000001
