,Hebei,Shandong,Henan,Shanxi,Liaoning,Tianjin,Heilongjiang,Inner Mongolia,Anhui,Sichuan,Jiangsu,Shaanxi,Jilin,Guangdong,Gansu,Zhejiang,Hunan,Hainan,Jiangxi,Fujian,Hubei,Chongqing,Yunnan,Shanghai,Guangxi,Xinjiang,Ningxia,Guizhou,Qinghai,Tibet,Beijing
Beijing,3.1866109236,0.7077750192,0.6606982404,0.5243379156,0.34171248060000003,0.3230441028,0.2443122486,0.24025390559999998,0.2126571732,0.1574637084,0.15665203979999998,0.15015869099999998,0.1493470224,0.1306786446,0.1087635924,0.101458575,0.09740023199999999,0.0957768948,0.07548517980000001,0.0698034996,0.0633101508,0.0543817962,0.0478884474,0.04383010440000001,0.04058343,0.036525087000000005,0.028408401,0.0251617266,0.0113633604,0.0024350057999999995,
Tianjin,1.1294330029200002,0.3856354596,0.14392016172,0.08846931132000001,0.0970389882,,0.060239787480000015,0.058475442239999995,0.07385045076000002,0.02318853744,0.03503485548,0.02570903064,0.04864551876,0.014114761920000003,0.027725425200000004,0.016131156480000002,0.010081972800000002,0.013106564640000002,0.01058607144,0.013862712600000002,0.01058607144,0.010334022120000001,0.00907377552,0.007057380960000002,0.00529303572,0.007309430279999999,0.00579713436,0.00529303572,0.0025204932000000005,0.00025204932000000003,0.17467017876000002
Hebei,,0.5469918174,0.3734308818,0.21596949,0.2210742234,0.5591646432,0.07853436000000001,0.1798436844,0.0965972628,0.062827488,0.064790847,0.06164947260000001,0.056152067400000005,0.026701682400000003,0.023560308,0.0345551184,0.0188482464,0.051832677599999995,0.0168848874,0.019633590000000003,0.0243456516,0.0204189336,0.020026261800000004,0.013743513,0.021204277200000003,0.0054974052,0.0070680924,0.008246107800000001,0.0031413744000000003,0.0003926718,1.0853448552
Shanxi,0.2380851792,0.061243776000000014,0.24153014160000005,,0.016586856000000004,0.0154385352,0.007910654400000001,0.1121526648,0.032535756,0.037129039200000005,0.0447845112,0.21409803360000004,0.006507151200000001,0.021945686400000004,0.0113556168,0.0214353216,0.010590069600000002,0.0355979448,0.0061243776000000005,0.013907440800000002,0.012631528799999998,0.013014302400000002,0.0131418936,0.0091865664,0.0059967864,0.003189780000000001,0.0037001447999999997,0.0043381008,0.003189780000000001,0.00025518240000000004,0.054098668800000006
Inner Mongolia,0.1753819452,0.03598746408,0.032039472239999985,0.16627119479999994,0.21061018008,0.0121476672,0.15351614424,,0.01791780912,0.01852519248,0.016247504880000003,0.21653216784,0.1336243392,0.013210588079999998,0.06058649016,0.01229951304,0.00516275856,0.01913257584,0.0083515212,0.006377525279999999,0.0060738336,0.0060738336,0.0083515212,0.00652937112,0.0030369168,0.0034924543199999995,0.11191038408,0.0021258417600000003,0.00485906688,0.00015184583999999998,0.04904620632
Liaoning,0.18164860416,0.10854611712000001,0.05316544512,0.02473670016,,0.02547510912,0.27505733759999995,0.28650267648,0.03452061888,0.02658272256,0.03895107264,0.01532198592,0.51060979584,0.03470522111999999,0.006830282879999999,0.02141385984,0.008860907519999999,0.0304593696,0.007568691839999998,0.01790641728,0.00498426048,0.013106759039999995,0.01273755456,0.01919863296,0.008676305279999998,0.00332284032,0.00221522688,0.004615055999999999,0.0018460224,0.0005538067199999999,0.058703512320000005
Jilin,0.033917162400000006,0.03990254400000001,0.0128574864,0.006207062400000002,0.3474846540000001,0.008978072400000002,0.312015726,0.1489694976,0.007647987600000001,0.007980508800000001,0.016515219600000002,0.004766137200000001,,0.025714972800000003,0.0016626060000000005,0.02405236680000001,0.004101094800000001,0.02759925960000001,0.0032143716000000004,0.008202189600000001,0.0036577332,0.0034360524000000003,0.0048769776,0.017623623600000003,0.004101094800000001,0.0009975636,0.0007758828000000003,0.0014409251999999999,0.0003325212,,0.0264908556
Heilongjiang,0.03627138852,0.0633969828,0.01538156304,0.006963275159999999,0.11463421644,0.013614761880000001,,0.15599814948,0.0114322428,0.011744031240000001,0.023384133,0.0072750635999999985,0.32093423423999995,0.04437788796,0.0020785896,0.02421556884,0.005196474,0.053731541159999986,0.005923980359999999,0.012367608119999998,0.00530040348,0.005196474,0.00769078152,0.025878440519999997,0.008418287880000002,0.0009353653199999999,0.0010392948,0.0028060959600000003,0.0007275063600000001,0.00010392948,0.04853506716
Shanghai,0.07949580408000001,0.31352550768000004,0.5156082993600001,0.09584073575999999,0.09806959007999999,0.018573786,0.06686562960000003,0.024517397519999998,1.2630174480000005,0.16790702544,2.39453249112,0.10475615304,0.05126364936,0.1263017448,0.07206628967999999,1.02453003576,0.10029844440000002,0.037147572,0.25334644104000004,0.1448755308,0.08023875552000001,0.08692531848,0.06537972672,,0.048291843600000016,0.020802640320000003,0.01337312592,0.048291843600000016,0.00817246584,0.00074295144,0.048291843600000016
Jiangsu,0.127491975,0.8660661749999999,0.827378955,0.12573346500000002,0.07209890999999999,0.0175851,0.05715157500000001,0.021981375,3.72100716,0.197832375,,0.180247275,0.03868722,0.09320103,0.1055106,0.5820668099999999,0.10199358,0.03341169,0.23212332,0.13804303500000004,0.106389855,0.099355815,0.06858189,0.7368156900000001,0.04044573,0.0175851,0.012309570000000002,0.07121965500000002,0.009671805,0.0008792550000000001,0.048359025000000014
