,Hebei,Shandong,Henan,Shanxi,Liaoning,Tianjin,Inner Mongolia,Heilongjiang,Anhui,Jiangsu,Guangdong,Jilin,Sichuan,Shaanxi,Zhejiang,Hunan,Gansu,Hainan,Fujian,Shanghai,Jiangxi,Chongqing,Yunnan,Xinjiang,Guangxi,Hubei,Guizhou,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.0247739775999998,0.4422895488,0.3616804224,0.2900867904,0.2476609344,0.2434183488,0.19197699840000004,0.1606879296,0.1278078912,0.11932272,0.11508013439999999,0.1108375488,0.1071252864,0.1039433472,0.09598849920000002,0.07159363200000002,0.07159363200000002,0.054092966400000005,0.045077472000000014,0.042425856000000005,0.041365209600000015,0.040834886400000006,0.0312890688,0.028637452800000008,0.028107129600000003,0.0275768064,0.023864544,0.019621958400000004,0.009015494399999999,0.0021212928,
Tianjin,0.9177146035200001,0.21659348160000005,0.07540661951999998,0.05956320744,0.08984618495999999,,0.053145622799999986,0.048131884800000004,0.04592584008,0.0310851756,0.00982692648,0.05093957808,0.0160439616,0.01925275392,0.009425827439999998,0.0060164856000000004,0.01865110536,0.00621703512,0.008222530320000001,0.006818683680000001,0.005013738,0.0064175846400000005,0.00461263896,0.00581593608,0.0034093418400000003,0.00461263896,0.0028076932799999997,0.0034093418400000003,0.00180494568,0.00020054952000000002,0.27354954528000003
Hebei,,0.7090244409600001,0.29733283008000005,0.31719514464000004,0.29011017024,1.1110858387200002,0.29853660672,0.0692171568,0.05958694368,0.06680960352000001,0.022871756160000003,0.06018883200000001,0.0421321824,0.06259638528,0.02588119776,0.016852872960000004,0.01865853792,0.030696304320000006,0.01083398976,0.017454761279999998,0.01083398976,0.01384343136,0.01143587808,0.00541699488,0.010232101440000002,0.01143587808,0.006620771520000001,0.006620771520000001,0.00361132992,,2.39972873184
Shanxi,0.25900287192000004,0.051065235000000014,0.16504283951999998,,0.017430266880000003,0.033362620200000005,0.20480563584000003,0.006672524040000001,0.019881398159999997,0.028188009720000008,0.014434439760000002,0.005991654240000001,0.026281574280000004,0.26662861368,0.014298265800000003,0.006808698000000001,0.010213047,0.017974962719999998,0.008987481359999999,0.011030090760000005,0.0049022625600000005,0.00939600324,0.006808698000000001,0.00285965316,0.003676696920000001,0.0047660886,0.0029958271200000003,0.005446958400000001,0.0025873052399999997,0.00013617396000000005,0.14597848512000006
Inner Mongolia,0.2598939270000001,0.027068197680000003,0.01941848964,0.19987314084,0.3263875430400001,0.024322148640000003,,0.23086426572000004,0.00843429348,0.010984196160000004,0.010003464360000002,0.23714094924000004,0.00843429348,0.26558217144,0.006865122600000001,0.0025499026800000005,0.06002078616000001,0.010984196160000004,0.00411907356,0.003922927200000001,0.004903659000000001,0.0023537563200000003,0.0029421954000000004,0.0029421954000000004,0.0021576099600000005,0.0019614636000000003,0.0009807318,0.11337259608000005,0.003138341760000001,,0.10709591256000002
Liaoning,0.25434898776000003,0.0954383634,0.031046214600000007,0.018627728760000004,,0.05036385924,0.48754055520000006,0.26400781008,0.022767224040000002,0.03173613048,0.02437702776,0.7232618142,0.015408121319999999,0.009198878399999999,0.01678795308,0.005289355079999999,0.005289355079999999,0.01632800916,0.00942885036,0.01678795308,0.0045994391999999995,0.00620924292,0.005519327039999999,0.00367955136,0.00505938312,0.00252969156,0.00206974764,0.00206974764,0.0011498597999999999,0.00045994392,0.16236020376
Jilin,0.0444002796,0.0374725764,0.0081872856,0.0045659862,0.5646078108,0.014800093199999998,0.26293782600000004,0.4643135622,0.0069277031999999995,0.0151149888,0.020468214,,0.004723434,0.0031489559999999996,0.018893736,0.0028340604,0.0011021346000000005,0.018106497,0.0031489559999999996,0.0151149888,0.0025191648,0.0020468214,0.0031489559999999996,0.0011021346000000005,0.002361717,0.0018893736,0.0009446868,0.0004723434,0.0001574478,,0.045502414200000015
Heilongjiang,0.04883194836,0.06266988468000001,0.014370164640000004,0.005322283200000001,0.18800965404000006,0.02102301864,0.25600182192,,0.00891482436,0.025546959359999996,0.03299815584,0.47421543312,0.008648710200000001,0.0049231119600000005,0.02501473104,0.00412476948,0.0018627991200000004,0.03366344124,0.00691896816,0.017962705800000003,0.0049231119600000005,0.003725598240000001,0.004790054879999999,0.0007983424799999999,0.00439088364,0.0027941986800000002,0.0015966849599999998,0.00106445664,0.00026611416000000003,0.00026611416000000003,0.0612062568
Shanghai,0.046810794240000016,0.18013796712000002,0.24868234440000006,0.05308009704,0.06311098152000001,0.016300187280000003,0.019225861919999997,0.038869677360000014,0.68586172632,1.4335805736000002,0.08233684344,0.0334362816,0.1003088448,0.05767758576,0.51784441128,0.05600577168,0.045974887200000016,0.02131562952,0.08442661104,,0.12622196304000002,0.038869677360000014,0.03218242104,0.01755404784,0.027166978799999998,0.030092653439999995,0.030092653439999995,0.01212065208,0.007105209840000001,0.0020897676,0.03636195624
Jiangsu,0.09622745243999999,0.8038248094799998,0.4616023658399999,0.06728686524000001,0.05209305695999999,0.026046528479999997,0.015193808279999997,0.03689924868,2.8246013107199994,,0.06656335055999997,0.02749355784,0.11793289283999996,0.10273908456,0.50356621728,0.06366929183999999,0.062222262479999985,0.01953489636,0.08899230563999999,1.3262024084399997,0.13891481855999996,0.04992251292,0.03689924868,0.013023264239999995,0.0217054404,0.04558142484,0.044857910159999986,0.009405690839999998,0.008682176159999997,0.00072351468,0.07596904139999999
