,Hebei,Shandong,Henan,Shanxi,Liaoning,Tianjin,Heilongjiang,Inner Mongolia,Guangdong,Jilin,Jiangsu,Anhui,Sichuan,Shaanxi,Zhejiang,Hunan,Gansu,Shanghai,Fujian,Jiangxi,Hainan,Chongqing,Xinjiang,Yunnan,Guangxi,Guizhou,Ningxia,Hubei,Qinghai,Tibet,Beijing
Beijing,1.2164497963199998,0.2641266144000001,0.23954816555999997,0.2054318112,0.18122020488000004,0.17314966944,0.1504054332,0.13206330720000006,0.12142487412,0.10491696072,0.10124853552000002,0.08840904732,0.08180588196000001,0.0788711418,0.073368504,0.0697000788,0.061629543360000004,0.04548847248,0.033749511839999996,0.03228214176000001,0.03008108664,0.029714244120000007,0.02604581892,0.025312133880000004,0.024945291360000003,0.0220105512,0.015407385840000001,0.01504054332,0.007336850400000002,0.00146737008,
Tianjin,0.5711377651200001,0.11696990976,0.05246856,0.047431578240000015,0.06841900224000001,,0.047711410560000014,0.03623828544,0.012172705919999999,0.04547275200000001,0.024345411839999997,0.031061387520000008,0.01371178368,0.017209687680000002,0.010913460480000005,0.006156311040000001,0.013012202880000004,0.012172705919999999,0.0055966464,0.0037777363200000007,0.0037777363200000007,0.005456730240000002,0.00475714944,0.00433740096,0.0029382393600000003,0.00405756864,0.0037777363200000007,0.0036378201600000006,0.0013991616000000005,0.00013991616000000006,0.22498518528
Hebei,,0.56164149684,0.24254029260000004,0.29572382664,0.28812617892000003,1.04789095092,0.09175620708000004,0.3039059088000001,0.04792362408,0.09000290376000003,0.13032888012000002,0.06428778840000003,0.054936837360000004,0.08649629712000001,0.048508058520000015,0.02220850872,0.02279294316,0.045585886320000005,0.01110425436,0.01402642656,0.019870770960000003,0.018701902080000003,0.008182082160000001,0.012857557680000005,0.01051981992,0.00993538548,0.012857557680000005,0.01110425436,0.0064287788400000006,,2.2518258973200003
Shanxi,0.247239378,0.0617340042,0.123619689,,0.0209319228,0.0725033268,0.0069773076000000005,0.21538645199999995,0.0256340214,0.006825627,0.0453524994,0.017443268999999997,0.031852926000000004,0.25057635119999994,0.0207802422,0.008949155399999999,0.012741170399999998,0.024723937799999998,0.0066739464,0.005308820999999999,0.010921003200000001,0.0107693226,0.0040953762,0.006067224,0.0039436956,0.004550418,0.0071289881999999985,0.0056121822,0.0050054598,0.0001516806,0.24981794819999995
Inner Mongolia,0.28114471439999994,0.0369387216,0.01395462816,0.20583076535999997,0.39873297816,0.05479243704,0.2431799172,,0.01313376768,0.2247105564,0.01477548864,0.00554080824,0.00882425016,0.15760521215999998,0.0082086048,0.00246258144,0.04371082056,0.008413819920000001,0.0028730116800000003,0.00266779656,0.0041043024,0.0028730116800000003,0.0030782267999999997,0.0030782267999999997,0.00184693608,0.00184693608,0.097477182,0.0012312907199999998,0.0038990872799999996,,0.20152124784000006
Liaoning,0.27672941735999995,0.13301493084000002,0.02504668716,0.01994008104,,0.09045987984,0.2759999022,0.382995459,0.033314525639999995,0.6801513008399999,0.04717531368,0.01799470728,0.01410395976,0.011429070839999998,0.025533030600000003,0.006079293,0.0041339192400000006,0.039393818640000015,0.00705197988,0.0048634344,0.01045638396,0.0065656364400000005,0.0024317172,0.0041339192400000006,0.0036475758,0.0031612323600000002,0.0019453737600000002,0.0036475758,0.0009726868800000001,0.0007295151599999999,0.29302192260000004
Jilin,0.0745749504,0.06076477440000001,0.009206784,0.005339934720000001,0.68332750848,0.041246392320000005,0.46291709952,0.23219509248,0.027067944960000003,,0.02356936704,0.006997155840000001,0.007549562879999998,0.00386684928,0.026883809280000004,0.00478752768,0.00110481408,0.0220962816,0.005339934720000001,0.00313030656,0.008654376959999998,0.0027620352,0.0012889497600000002,0.00313030656,0.0025778995200000003,0.0012889497600000002,0.0009206784,0.00423512064,0.00036827136,,0.110481408
Heilongjiang,0.08700835968000001,0.08385079824000001,0.016840327680000003,0.008420163840000001,0.3510155800800001,0.05367854448000002,,0.25470995616000003,0.039995778239999995,0.5211730576800001,0.042451659360000005,0.01087604496,0.011226885120000002,0.00719222328,0.031926454560000005,0.007016803200000001,0.0017542008000000005,0.033505235280000004,0.009998944559999999,0.00719222328,0.018243688320000003,0.003332981520000001,0.0012279405600000006,0.004210081920000001,0.00473634216,0.0028067212800000005,0.0017542008000000005,0.0026313012000000005,0.0007016803200000001,,0.13086337968
Shanghai,0.037311671520000006,0.12161895984000001,0.17260208352,0.03902060304,0.059242959360000014,0.011392876800000002,0.03674202768,0.014810739840000003,0.07519298687999999,0.029621479680000007,0.94503913056,0.4332141403200001,0.06978137040000001,0.046995616800000015,0.32640592032000004,0.045571507200000014,0.033324164639999994,,0.045571507200000014,0.07747156224000001,0.014241096000000003,0.026203616640000003,0.014241096000000003,0.027627726240000004,0.020792000160000004,0.03161523312,0.00882947952,0.014241096000000003,0.005696438400000001,0.00170893152,0.034748274239999995
Jiangsu,0.099972306,0.5886568080000001,0.29494935,0.05774797800000001,0.054643248000000005,0.04657095,0.029805408,0.019249326,0.09935136,0.026079732,,1.7007710940000005,0.094383792,0.09624663,0.5588514,0.056506086,0.045329058,1.7945339399999998,0.065820276,0.101214198,0.010556082,0.03725676,0.014281758,0.029805408,0.017386488000000002,0.045950004,0.009935135999999999,0.023595948,0.007451352,0.0006209459999999999,0.156478392
Zhejiang,0.042614449920000005,0.10919952792,0.20964787415999997,0.028155975840000007,0.039951046800000015,0.017121877200000003,0.026253545040000003,0.012936529440000002,0.12974578056,0.02511208656,0.6213338992799999,0.52735381776,0.11148244488000003,0.051746117760000016,,0.10881904176,0.03119986512,0.79445510208,0.20660398488,0.28878899544,0.014838960240000003,0.05136563160000001,0.01027312632,0.06278021639999999,0.03310229592,0.13240918368,0.008751181680000001,0.0228291696,0.004946320079999999,0.0007609723200000001,0.06354118872
