,Hebei,Shandong,Henan,Shanxi,Liaoning,Heilongjiang,Tianjin,Inner Mongolia,Jilin,Guangdong,Jiangsu,Anhui,Sichuan,Shaanxi,Hunan,Gansu,Zhejiang,Shanghai,Fujian,Jiangxi,Chongqing,Hainan,Guizhou,Guangxi,Xinjiang,Yunnan,Ningxia,Hubei,Qinghai,Tibet,Beijing
Beijing,0.8171540917200001,0.15237964296000006,0.14848495560000002,0.13168911636000002,0.12049189020000002,0.11781429264,0.10393946892000001,0.08836071947999999,0.079110837,0.0778937472,0.062071579800000005,0.06036765408000001,0.05744663856000001,0.054769041,0.05136118956,0.047709920159999995,0.04089421728,0.033591678480000005,0.02215103436,0.02166419844,0.02020369068,0.018986600880000003,0.017282675159999997,0.016065585360000002,0.015578749440000003,0.015091913520000003,0.01144064412,0.01071039024,0.005598613079999999,0.0004868359200000001,
Tianjin,0.41246819028,0.07631753256,0.034623621720000004,0.032544124920000014,0.045021105719999996,0.037638892080000014,,0.02890500552,0.033063999120000014,0.01580417568,0.02048304348,0.019027395720000003,0.012373005959999999,0.01206108144,0.003847069080000001,0.01102133304,0.009461710440000002,0.013516729200000004,0.005406691680000001,0.003847069080000001,0.005302716840000001,0.0029112955200000013,0.003431169720000001,0.00218347164,0.0025993710000000005,0.00592656588,0.003431169720000001,0.0014556477600000007,0.00124769808,0.00031192452,0.17935659899999998
Hebei,,0.44919116352,0.18683172288,0.24695576136,0.22260801024000004,0.09192518280000002,0.8347800384000001,0.23652101088000002,0.07652150352,0.07801218216000001,0.14658339960000002,0.05267064528,0.0571426812,0.07900596792000003,0.024347751119999997,0.022360179600000002,0.055155109680000015,0.06409918152,0.014906786400000004,0.01540367928,0.020372608080000004,0.01043475048,0.0099378576,0.01192542912,0.01043475048,0.01540367928,0.018385036559999998,0.0069565003200000005,0.007453393200000002,0.00049689288,1.89266497992
Shanxi,0.22674513708,0.07056320832,0.11512144115999999,,0.026157051360000003,0.0066913387199999995,0.07664624352,0.15633400464000002,0.00897247692,0.033912921240000005,0.06782584248000001,0.01931363676,0.03528160416,0.22902627528,0.01247022216,0.01125361512,0.02478836844,0.03680236296,0.005930959320000001,0.00638718696,0.011709842759999999,0.00623511108,0.004106048760000001,0.003953972879999999,0.004258124640000001,0.00638718696,0.009428704559999999,0.0030415176000000003,0.005930959320000001,0.00015207588,0.29152946196
Inner Mongolia,0.25195715496,0.04571144928,0.012516230159999999,0.14511571199999998,0.37766364048,0.2113247556,0.05659512767999999,,0.1804876668,0.016325517600000002,0.02104177824,0.00653020704,0.012879019440000002,0.11119491432,0.0036278928000000005,0.03029290488,0.01142786232,0.013604598,0.00235813032,0.00217673568,0.0027209196,0.0030837088800000005,0.00235813032,0.0014511571200000002,0.0029023142400000004,0.00326510352,0.07600435416000001,0.0014511571200000002,0.0034464981600000003,,0.20098526112
Liaoning,0.25198713144,0.13616296992000002,0.027403868160000004,0.01755560304,,0.25220122415999996,0.0931303332,0.27125547624,0.48128043456,0.04581584208000001,0.0620868888,0.017983788480000002,0.01969653024,0.015842861280000002,0.008135523359999999,0.0040677616799999995,0.029544795360000004,0.04688630568,0.009634172400000002,0.0055664107200000005,0.0062086888799999995,0.0074932452,0.00385366896,0.0042818544,0.0032113908000000004,0.0040677616799999995,0.0029972980800000012,0.00192683448,0.00128455632,0.0010704636,0.30358347696000004
Jilin,0.08712627299999999,0.08694663119999999,0.010598866200000001,0.006826388399999999,0.6806627801999999,0.3684453318,0.054251823600000006,0.1631147544,,0.0330540912,0.0379044198,0.008443164599999999,0.0088024482,0.0066467466000000005,0.0048503285999999994,0.0014371344000000002,0.030898389600000006,0.029640897000000006,0.0071856720000000015,0.003952119600000001,0.0035928360000000007,0.0064671048,0.0014371344000000002,0.0035928360000000007,0.0014371344000000002,0.0030539106,0.0008982090000000002,0.0014371344000000002,0.0008982090000000002,,0.139222395
Heilongjiang,0.13233225312000002,0.10754379072,0.01658920176,0.00877130208,0.46659513456,,0.07646287248,0.19296864575999997,0.443332116,0.046335356640000006,0.04919556384,0.01182218976,0.011440828799999999,0.011059467839999998,0.008580621600000001,0.00152544384,0.0400429008,0.0352758888,0.01067810688,0.006292455840000001,0.0041949705600000005,0.01067810688,0.0038136096,0.00648313632,0.0007627219200000001,0.00591109488,0.00171612432,0.005339053440000001,0.0009534024,,0.18648550944000003
Shanghai,0.02267425224,0.07186585032000001,0.11759866415999999,0.02824673796,0.04265833896000001,0.029976130080000007,0.00826265124,0.011529280800000001,0.025172263080000003,0.05899148676,0.58837763016,0.2584480446,0.05418761976,0.0307447488,0.0317055222,0.026709500519999995,0.23750318448,,0.03305060496,0.05457192912,0.024019335000000003,0.01133712612,0.02325071628,0.01614099312,0.01018419804,0.025172263080000003,0.00691756848,0.00979988868,0.00518817636,0.0013450827600000005,0.03228198624
Jiangsu,0.08421451740000001,0.4275093654,0.21026809440000002,0.0466666434,0.061149394799999986,0.030038299200000007,0.0423754578,0.021992326200000002,0.0278927064,0.13409955,,1.0797695766,0.08528731380000001,0.08904210119999999,0.050421430799999986,0.042911856,0.5476625622000001,1.8543285774,0.0649041822,0.088505703,0.0359386794,0.007509574800000002,0.0391570686,0.018237538799999998,0.014482751399999999,0.028965502799999997,0.012873556799999998,0.0166283442,0.010727964,0.0010727964,0.1678926366
