,Hebei,Henan,Shandong,Tianjin,Heilongjiang,Liaoning,Shanxi,Inner Mongolia,Jilin,Anhui,Hunan,Guangdong,Shaanxi,Sichuan,Jiangsu,Gansu,Shanghai,Zhejiang,Jiangxi,Guizhou,Hainan,Chongqing,Fujian,Xinjiang,Yunnan,Guangxi,Ningxia,Hubei,Qinghai,Beijing,Tibet
Beijing,0.5965538220000001,0.094285701,0.093803832,0.08448769799999999,0.08063274599999998,0.07629592499999999,0.076135302,0.05557555799999999,0.045456309,0.039673881,0.038388897000000005,0.037425159,0.035818929,0.0321246,0.030678992999999995,0.028430271,0.026663418,0.020720367,0.013652955,0.013010463,0.012207347999999998,0.011886102,0.011243609999999998,0.010440495,0.008834264999999999,0.007870526999999999,0.0065855429999999975,0.004658066999999999,0.003373083,,
Tianjin,0.3543729588,0.022705434000000004,0.056090831399999985,,0.0274147092,0.0326285496,0.0212758326,0.018080253,0.021612209399999995,0.009586738799999998,0.0032796738,0.012193659,0.0086617026,0.0076525722,0.0150528618,0.0086617026,0.014548296599999996,0.006895724399999999,0.0028592028,0.002102355,0.0017659782000000001,0.0031955796000000002,0.0032796738,0.0027751086,0.0026910144,0.0022705434,0.0013455072,0.001261413,0.001261413,0.17247720419999998,0.0002522826
Hebei,,0.16191389375999996,0.40182289488,0.8870709362399999,0.06713502912000001,0.19893688776000001,0.25471819872,0.21177152568,0.05528767103999999,0.04344031296,0.02270743632,0.06812230895999999,0.07157778839999998,0.050844911759999986,0.10070254368,0.01875831696,0.05627495087999999,0.04837671216,0.012834637919999996,0.0098727984,0.007898238719999999,0.02172015648,0.012340998,0.008885518559999998,0.01826467704,0.013821917759999998,0.012834637919999996,0.00543003912,0.008391878640000001,2.07476858376,
Shanxi,0.22748377608000003,0.10062375984,0.06883159032000001,0.088740279,0.006790560479999999,0.02361263076,,0.14723169767999994,0.006790560479999999,0.012655135439999998,0.009877178879999999,0.03750241356,0.21621761891999997,0.03688508988,0.05694810948,0.01064883348,0.0408976938,0.025773263640000002,0.004475596679999999,0.00416693484,0.00370394208,0.01111182624,0.0075622150799999985,0.004321265760000001,0.006327567719999999,0.004475596679999999,0.0084882006,0.0023149638,0.006173236800000001,0.35943671268,0.00046299276
Inner Mongolia,0.22355433,0.010792278,0.0468693216,0.0681455268,0.14985848880000002,0.3128218866,0.12025681199999999,,0.1284281082,0.005396139,0.003083508,0.015725890800000003,0.0721540872,0.0109464534,0.0189635742,0.0206595036,0.0132590844,0.008942173199999999,0.0018501048,0.0020042802,0.0018501048,0.003854385,0.003083508,0.0026209818000000004,0.0026209818000000004,0.0016959294000000002,0.047486023200000005,0.000770877,0.003854385,0.23712176520000006,
Liaoning,0.2321759538,0.020905085880000004,0.11266546284000002,0.11155545827999999,0.20276083296000005,,0.02146008816,0.18759077064,0.32726634444,0.013505055480000002,0.007770031920000001,0.04662019152,0.015355063080000002,0.019425079799999998,0.05753523636,0.004070016720000001,0.05032020672,0.025715105640000003,0.005920024320000001,0.0035150144400000003,0.0055500228,0.0074000304,0.00999004104,0.0035150144400000003,0.00629002584,0.006105025080000001,0.0027750114,0.00111000456,0.0009250038,0.33522137712,0.0005550022799999999
Jilin,0.09103433508,0.00863116236,0.08126320788,0.06497799588000001,0.2980193796,0.6180237954,0.0074911975199999994,0.11920775184,,0.007328345400000002,0.004559859360000001,0.029639085840000006,0.007002641159999999,0.0089568666,0.030941902799999997,0.00146566908,0.027847712519999998,0.02410211376,0.0027684860400000004,0.0016285212,0.0027684860400000004,0.003582746640000001,0.0074911975199999994,0.0016285212,0.00390845088,0.00309419028,0.00130281696,0.0011399648400000002,0.0006514084800000001,0.16496919756,0.00016285212
Heilongjiang,0.12295657116,0.01129012992,0.11149003296000004,0.0987886368,,0.4837115037600001,0.00723273948,0.14006817432000002,0.35952007464,0.006879922920000001,0.00458661528,0.03686933052,0.007585556040000002,0.010760905079999999,0.03757496363999999,0.0017640828000000004,0.03298834836,0.025402792320000003,0.002998940760000001,0.00229330764,0.006350698080000001,0.0037045738799999996,0.006879922920000001,0.00105844968,0.004410207,0.0037045738799999996,0.0012348579600000005,0.00105844968,0.0007056331200000001,0.22721386464,
Shanghai,0.01228098996,0.07295637599999999,0.042193104120000005,0.00522854028,0.02079256716,0.024318792,0.01568562084,0.006809261760000001,0.01605040272,0.13837392648000002,0.02285966448,0.042557885999999996,0.018968657759999997,0.040490788680000014,0.37061839008,0.01629359064,,0.16767807084,0.03331674504,0.01836068796,0.007174043640000001,0.01288895976,0.01860387588,0.008389983240000001,0.01836068796,0.01446968124,0.00401260068,0.0036478188,0.00376941276,0.02285966448,0.00097275168
Jiangsu,0.06676465823999997,0.14386194215999998,0.3147476745599999,0.03616418988,0.02225488608,0.04570199819999999,0.034177146480000004,0.013114486439999998,0.020665251359999998,0.6215471755199999,0.039740867999999985,0.13392672515999998,0.07590505787999999,0.06914911031999997,,0.03139528572,1.4485546386,0.4180739313599999,0.06477761483999997,0.026626381559999995,0.00635853888,0.03060046836,0.05325276311999999,0.01867820796,0.0238445208,0.019870434,0.007153356239999999,0.0119222604,0.010332625679999995,0.15101529839999994,0.0007948173599999999
