,Hebei,Henan,Shandong,Tianjin,Heilongjiang,Shanxi,Liaoning,Inner Mongolia,Jilin,Anhui,Hunan,Shaanxi,Guangdong,Jiangsu,Gansu,Sichuan,Shanghai,Zhejiang,Guizhou,Jiangxi,Chongqing,Fujian,Hainan,Xinjiang,Yunnan,Guangxi,Ningxia,Hubei,Qinghai,Tibet,Beijing
Beijing,0.5476867811999999,0.08483075568,0.078546996,0.07497667799999999,0.07340573807999998,0.06797885471999998,0.06426572400000001,0.04727101031999999,0.039273498,0.034417865519999986,0.032704112880000004,0.032132862000000005,0.03056192208,0.0271344168,0.026848791359999992,0.02627754048,0.0235640988,0.016994713679999995,0.012424706639999998,0.0121390812,0.010853766719999998,0.009854077679999998,0.009854077679999998,0.00842595048,0.008140325039999998,0.007140635999999999,0.004998445199999999,0.00399875616,0.00328469256,0.0007140635999999999,
Tianjin,0.31957886448,0.016569126719999997,0.04486860864,,0.02360733984,0.019428400800000002,0.024927004800000003,0.01568935008,0.014223055680000003,0.0073314719999999995,0.0030059035199999995,0.006011807039999999,0.01121715216,0.01121715216,0.0066716395200000006,0.005791862880000001,0.01334327904,0.00564523344,0.00190618272,0.0016862385600000002,0.0025660152,0.0024927004800000003,0.0023460710399999998,0.00278595936,0.00190618272,0.00153960912,0.00124635024,0.0010264060800000002,0.00095309136,7.331471999999999e-05,0.16158564288
Hebei,,0.13893611184000002,0.35481469068000004,0.7399666969199999,0.0681490422,0.21368022264000006,0.16267835880000006,0.16707507119999998,0.05232087756,0.039130740360000006,0.025940603160000002,0.06770937096,0.06902838468000001,0.09804668652,0.021983562,0.053200220039999996,0.05539857624,0.048803507640000014,0.010991781,0.014948822160000003,0.017586849600000003,0.014069479680000002,0.0065950686,0.010991781,0.02066454828,0.0131901372,0.017586849600000003,0.003957041160000001,0.00967276728,0.0004396712400000001,1.8712407974400005
Shanxi,0.20593450368000002,0.08752593024000001,0.06643534463999999,0.09204534144,0.0049713523200000005,,0.023651585279999998,0.12021633792,0.00587523456,0.01190111616,0.011298528,0.20156573952,0.03720981888,0.06297046272000001,0.01039464576,0.03479946624,0.04760446464,0.025609996800000003,0.00647782272,0.0049713523200000005,0.011599822079999999,0.01009335168,0.0045194112,0.00331423488,0.0090388224,0.004218117120000001,0.00949076352,0.0025609996800000003,0.006176528639999999,0.0007532352000000001,0.3800824819200001
Inner Mongolia,0.17528422355999998,0.01161600588,0.0443757528,0.06656362919999999,0.117465228,0.09749613924,0.25046196948000005,,0.09449425008,0.004307058359999999,0.00234930456,0.07074017063999999,0.01605358116,0.017619784200000002,0.019838571840000003,0.009919285920000001,0.012268590479999996,0.0091361844,0.00117465228,0.0024798214800000004,0.00287137224,0.00234930456,0.00182723688,0.0019577538,0.00287137224,0.00208827072,0.04541988815999999,0.0006525846,0.004307058359999999,,0.21483085032
Liaoning,0.19276132788,0.01900463796,0.1014113034,0.09454408127999998,0.17982539783999998,0.019164340800000002,,0.1581058116,0.24610207644,0.01070009028,0.006068707919999999,0.013415038559999998,0.047910852000000004,0.0495078804,0.0027149482799999998,0.01565087832,0.044716795199999985,0.026670374280000003,0.00367316532,0.004631382359999999,0.0054298965599999995,0.00910306188,0.00415227384,0.00255524544,0.004471679520000001,0.0047910852000000006,0.00255524544,0.00127762272,0.0017567312399999998,0.00031940568,0.32084300555999995
Jilin,0.08278992503999999,0.008707678200000001,0.07274260403999999,0.06604439004,0.22532791895999998,0.00857371392,0.46070315892,0.08962210332000001,,0.00522460692,0.00616235688,0.005894428320000001,0.02907024876,0.027730605960000005,0.0009377499600000002,0.007368035400000001,0.023979606119999997,0.02263996332,0.0018754999200000003,0.00241135704,0.0036170355600000006,0.006296321159999999,0.0034830712799999997,0.00120567852,0.00455478552,0.0034830712799999997,0.0025453213199999997,0.0006698213999999999,0.00080378568,,0.16303452876000002
Heilongjiang,0.12604200048,0.01126541196,0.10906224912000001,0.09893970504,,0.00751027464,0.44702460792,0.11200105224,0.28392103476,0.00685720728,0.0039184041600000006,0.007673541479999999,0.034449303239999986,0.03200030064,0.0016326684,0.0114286788,0.03118396644,0.026449228080000005,0.00179593524,0.0032653368,0.00375513732,0.00555107256,0.00555107256,0.0013061347200000002,0.00342860364,0.00293880312,0.00179593524,0.0004898005200000001,0.0004898005200000001,,0.24783906312
Shanghai,0.0120060468,0.0571866966,0.033279919200000015,0.004633912800000001,0.0197994456,0.0125326278,0.018956916000000004,0.0044232804,0.010742252400000004,0.1143733932,0.0183250188,0.016218694800000003,0.035807508000000016,0.3390128478,0.013480473600000004,0.0329639706,,0.1530244386,0.014112370800000003,0.029699168400000007,0.0135857898,0.01958881320000001,0.006318972000000001,0.0068455530000000025,0.012111363000000002,0.009794406600000005,0.004212648000000001,0.0030541697999999996,0.002843537400000001,0.002106324000000001,0.0204313428
Jiangsu,0.0552655872,0.13091035968,0.26838350784000004,0.032813942400000004,0.023487874559999997,0.03385017216,0.04075837056,0.012089347199999998,0.01796131584,0.51880569984,0.03730427136,0.06804575423999999,0.12331134144,,0.02866902336,0.06493706495999997,1.25867374848,0.33297516288,0.02521492416,0.0535385376,0.02797820352,0.04593951936000001,0.00932606784,0.014161806719999996,0.027287383680000003,0.01830672576,0.008635248,0.0103622976,0.01105311744,0.0010362297599999998,0.14092724736
Zhejiang,0.025872618240000003,0.07552521647999999,0.05821339104000001,0.015409427040000003,0.01940446368,0.013887508319999999,0.01883374416,0.0062779147200000005,0.01598014656,0.14077748160000006,0.05478907392000001,0.03157981343999999,0.15390403056000002,0.29639367071999995,0.01826302464,0.0580231512,0.43336635552,,0.061257228479999995,0.09911495663999999,0.027775016639999997,0.10253927376000001,0.008560792800000001,0.006468154560000001,0.04052108592,0.03196029312,0.004755996,0.008180313120000001,0.0038047968,0.00057071952,0.061257228479999995
Anhui,0.07238017764,0.3121740486,0.10939904711999998,0.05690960532000001,0.01160292924,0.02320585848,0.03978147168,0.01049788836,0.01215544968,,0.04641171696,0.05580456444,0.34201015236000004,1.69292262816,0.01602309276,0.04751675784,1.21057228404,0.8514339980400001,0.02044325628,0.09890115876,0.02320585848,0.13813011,0.01049788836,0.013813011000000002,0.01878569496,0.02707350156,0.008287806600000001,0.02154829716,0.00663024528,0.00055252044,0.21714053292
Fujian,0.013220288640000001,0.02453380488,0.02313550512,0.007881325920000001,0.0064830261600000005,0.007118616960000002,0.007881325920000001,0.00368642664,0.00546608088,0.029999885760000004,0.038898156960000006,0.012711816,0.39571883208,0.09076236624,0.0064830261600000005,0.038008329840000014,0.1188554796,0.12877069608,0.04016933856,0.08783864856000001,0.02466092304,,0.00978809832,0.00266948136,0.0260592228,0.04296593808,0.0015254179199999998,0.00546608088,0.00216100872,0.00012711816,0.04550830128
Jiangxi,0.02245704912,0.028581698880000003,0.025519373999999997,0.01667265768,0.0051038748,0.008506458,0.00918697464,0.0030623248800000003,0.00442335816,0.07383605543999999,0.16264347695999998,0.02279730744,1.3484437221599999,0.1888433676,0.01122852456,0.04661538984,0.25417296504000003,0.4253229,0.052059522960000014,,0.0323245404,0.40354636751999995,0.0204154992,0.0023818082400000004,0.03946996512,0.07859967192,0.0017012916,0.025519373999999997,0.00204154992,0.00034025832000000004,0.07962044687999999
Shandong,0.35413461144,0.22469944644,,0.29580249708,0.07938690120000001,0.06178371876,0.14979963095999999,0.044180536320000005,0.05280954732000001,0.08214818472,0.02830315608,0.08629011000000003,0.13288676940000002,0.5070406863600001,0.020364465959999998,0.053845028640000014,0.28510252344,0.15670283976000002,0.014496738480000002,0.033480562680000006,0.023816070360000004,0.040383771480000004,0.007248369240000001,0.01277093628,0.018638663760000004,0.017948342880000002,0.016222540679999998,0.0075935296800000015,0.01415157804,0.00103548132,0.6199081502400001
Henan,0.22797361224,,0.25843355208,0.10089855072000001,0.012850287120000001,0.12707506151999998,0.05996800656,0.02474870112,0.0166577796,0.3517171178399999,0.09613918512,0.19751367239999998,0.7638781788,0.45785097072,0.05282895816000001,0.10756166256,0.41977604592,0.40502201256,0.03712305168,0.07186642056,0.0380749248,0.12993068087999998,0.01332622368,0.04806959256,0.03188774952,0.0404546076,0.03045993984,0.07281829367999999,0.02998400328,0.00190374624,0.5240061525599999
Hubei,0.00283109904,0.05577632784,0.00253695888,0.0012868631999999995,0.00040444272,0.0012868631999999995,0.00044121024,0.00040444272,0.00102949056,0.02047950864,0.08666104463999999,0.0161777088,0.05327613648,0.009816927839999998,0.00106625808,0.01444963536,0.00437533488,0.0074638065599999985,0.00205898112,0.02025890352,0.0516583656,0.003676752,0.0004779777599999999,0.0006618153599999999,0.00136039824,0.00227958624,0.0003676752,,0.0005515127999999999,,0.00393412464
Hunan,0.02353624776,0.04502586528,0.02251293264,0.013814754119999998,0.0030699453599999987,0.010744808759999995,0.00920983608,0.0035816029200000004,0.004093260479999999,0.03786265944,,0.024559562879999997,3.0064998225599995,0.13405428071999995,0.007674863399999998,0.08340018227999997,0.12689107487999998,0.23894408052,0.243037341,0.15810218603999995,0.08902841543999998,0.1381475412,0.03683934432,0.005628233159999999,0.13251930803999998,0.29829635747999994,0.00204663024,0.0946566486,0.00204663024,0.0005116575599999999,0.10795974515999997
Guangdong,0.023252767200000003,0.1138789368,0.032792364000000004,0.010135821600000004,0.032196139200000015,0.017886744000000003,0.031301802000000004,0.0098377092,0.023252767200000003,0.045313084800000014,0.49993449479999996,0.048890433600000005,,0.05515079400000002,0.020569755600000003,0.14547885119999998,0.0533621196,0.06469039080000001,0.13862226600000002,0.19854285840000005,0.07810544880000002,0.13862226600000002,0.0915205068,0.016098069600000004,0.0518715576,0.5851946412000001,0.005366023199999999,0.02772445320000001,0.0065584728,0.00029811240000000004,0.061411154400000015
Guangxi,0.016678509120000004,0.028889560440000007,0.01250888184,0.004169627280000001,0.005658779880000001,0.0059566104,0.008339254560000002,0.00387179676,0.006254440920000001,0.01250888184,0.16261546392000004,0.01221105132,2.0380542483600004,0.030676543560000005,0.0053609493600000006,0.08607302028000001,0.02859172992,0.05569430724000001,0.14474563272000002,0.044674578000000006,0.03782447604,0.040504950720000016,0.03246352668,0.0020848136400000005,0.09590142743999999,,0.0020848136400000005,0.00685010196,0.0020848136400000005,,0.0342505098
Hainan,0.04918820904000002,0.05437106208,0.020926991520000004,0.010561285440000002,0.041462824320000015,0.031390487280000004,0.022491626400000003,0.018188880480000003,0.030217011119999998,0.007334226000000002,0.04380977664000001,0.026305423920000005,0.18051974928000006,0.019753515359999998,0.013299396480000005,0.07588479168000001,0.02161151928,0.025034158080000004,0.05886938736,0.017308773359999998,0.052513058160000015,0.006551908560000001,,0.012614868720000002,0.005280642720000001,0.045765570240000004,0.00352042848,0.00176021424,0.00508506336,0.00019557936000000006,0.07109309736000001
