,Hebei,Henan,Tianjin,Shandong,Shanxi,Heilongjiang,Liaoning,Inner Mongolia,Jilin,Anhui,Hunan,Shaanxi,Guangdong,Gansu,Jiangsu,Sichuan,Shanghai,Zhejiang,Guizhou,Fujian,Chongqing,Jiangxi,Hainan,Guangxi,Yunnan,Xinjiang,Ningxia,Hubei,Qinghai,Tibet,Beijing
Beijing,0.5149474819200001,0.06994951344,0.06932939364,0.06312819564,0.0595315008,0.053330302799999986,0.053206278839999996,0.03621499632,0.03075794208,0.0297657504,0.02753331912,0.02703722328,0.02703722328,0.0254249118,0.02282040864,0.021952240919999998,0.01823152212,0.01513092312,0.01041801264,0.009673868879999999,0.0080615574,0.00768948552,0.0075654615599999985,0.005953150079999999,0.005581078200000001,0.0049609584,0.00409279068,0.00396876672,0.00136426356,0.00012402396,
Tianjin,0.29362665888,0.013334543999999999,,0.04060368648,0.014934689280000003,0.022268688480000003,0.021335270400000002,0.01446798024,0.012734489519999998,0.006667271999999999,0.00206685432,0.00580052664,0.00926750808,0.00513379944,0.010600962479999998,0.00513379944,0.010200926159999998,0.00493378128,0.00140012712,0.00280025424,0.0027335815199999998,0.00140012712,0.0018001634399999998,0.00140012712,0.0022668724800000003,0.0008000726399999999,0.00240021792,0.00053338176,0.0014667998399999999,,0.15294721968
Hebei,,0.12295944828,0.6736392216000001,0.29867377536,0.18545368932000006,0.04707358416,0.13675687812,0.13229300375999997,0.03489938136,0.03002970024,0.01542065688,0.05153745852,0.060871014,0.01542065688,0.07872651144000001,0.041392289520000014,0.051943265280000005,0.0385516422,0.00933355548,0.01339162308,0.016232270400000002,0.01055097576,0.005681294640000001,0.0142032366,0.01663807716,0.0077103284400000015,0.01095678252,0.0036522608399999997,0.006898714920000001,0.00040580676,1.91865436128
Shanxi,0.17887236803999998,0.07586043983999999,0.08500189572000001,0.05061910643999999,,0.004775387399999999,0.01896510996,0.10437632460000001,0.005730464879999999,0.00873213696,0.00873213696,0.1903332978,0.03656582352,0.007777059479999998,0.04666235688,0.02988028116,0.04352424516,0.020875264919999997,0.00518470632,0.00450250812,0.00996009372,0.0032745513599999995,0.00450250812,0.00382030992,0.00491182704,0.00382030992,0.0054575856,0.00150083604,0.00491182704,0.00013643964,0.39253684428
Inner Mongolia,0.14388638471999998,0.008902483199999998,0.05519539584,0.03093612912,0.08112387816000001,0.09581297544,0.21599649864,,0.07711776072000001,0.00344971224,0.00300458808,0.05942407535999999,0.016469593919999997,0.01435525416,0.015134221440000001,0.0073445486399999985,0.01135066608,0.008346077999999998,0.0021143397600000002,0.0021143397600000002,0.00244818288,0.00200305872,0.0022256208,0.00200305872,0.0026707449599999997,0.00178049664,0.03371815512,0.0005564051999999999,0.0023369018399999994,,0.20887451208000002
Liaoning,0.16057704384000002,0.01444920768,0.08001589536,0.0702013392,0.01444920768,0.12649872384000002,,0.13263282144000002,0.2037883536,0.00926930304,0.00654303744,0.01254082176,0.04484706911999999,0.00286257888,0.04457444256,0.01853860608,0.04471075584,0.025490583360000003,0.003407832,0.00736091712,0.00490727808,0.0040893984,0.00490727808,0.00504359136,0.00490727808,0.00109050624,0.00163575936,0.00122681952,0.00163575936,,0.30711381984
Jilin,0.059519435039999985,0.007811238239999998,0.050718039839999986,0.05412858047999999,0.0055008719999999995,0.17833827024,0.36602802288,0.07261151039999998,,0.004070645279999999,0.0038506103999999992,0.005830924319999999,0.029044604159999994,0.0014302267199999994,0.02519399376,0.008031273119999998,0.02662422048,0.019363069440000002,0.00187029648,0.0063810115199999995,0.00308048832,0.0019803139199999994,0.0036305755199999993,0.0034105406399999997,0.00297047088,0.0011001743999999997,0.0007701220799999999,0.0011001743999999997,0.0007701220799999999,,0.15270420672
Heilongjiang,0.10027276416,0.008542791360000001,0.09397070496,0.08878901184000003,0.005461784640000001,,0.3576768710400001,0.09018946944000003,0.23975834112000005,0.007282379520000002,0.0028009152,0.0067221964799999995,0.03277070784,0.0007002288000000001,0.029129518080000007,0.01148375232,0.031650341760000006,0.02562837408000001,0.0028009152,0.004761555840000001,0.0033610982399999998,0.0019606406400000005,0.005881921920000001,0.0028009152,0.003781235520000001,0.0012604118400000002,0.0007002288000000001,0.0008402745599999999,0.0005601830400000001,,0.23611715136000005
Shanghai,0.009229353840000001,0.05029056072,0.00386126028,0.032020207200000005,0.008852645519999999,0.017516936880000004,0.0155392182,0.003672906120000001,0.00904099968,0.10886870448,0.01393820784,0.012619728719999999,0.032867800919999995,0.01045365588,0.31709422836,0.023920978319999998,,0.1492706718,0.010076947559999999,0.01676352024,0.00838176012,0.022319967960000003,0.0041437915200000005,0.0089468226,0.00932353092,0.0041437915200000005,0.00244860408,0.00291948948,0.0026369582400000004,0.0032020207200000005,0.016951874400000004
Jiangsu,0.041992081560000005,0.09015083244,0.024960328200000003,0.22699216116000004,0.02554763004,0.016444451520000004,0.031126997519999998,0.00792857484,0.01262698956,0.47336528304,0.024079375440000002,0.04316668524,0.10189686924,0.023492073600000003,,0.04757144904000001,1.1637385959600002,0.27368265744000003,0.01791270612,0.03876192144,0.01703175336,0.0396428742,0.006460320240000001,0.015563498759999999,0.016444451520000004,0.01115873496,0.00792857484,0.008222225760000002,0.008222225760000002,0.00058730184,0.10865084040000003
