,Hebei,Tianjin,Shandong,Shanxi,Henan,Heilongjiang,Liaoning,Inner Mongolia,Guangdong,Jiangsu,Jilin,Shanghai,Sichuan,Gansu,Anhui,Shaanxi,Hunan,Zhejiang,Guizhou,Jiangxi,Fujian,Hainan,Chongqing,Yunnan,Guangxi,Xinjiang,Hubei,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.5548175708399999,0.07924218336000001,0.0617550966,0.05857562628,0.0574750404,0.04487944643999999,0.04072167756,0.03644162136,0.02800379628,0.025680337200000004,0.02396831472,0.02372374008,0.0232345908,0.02188943028,0.021277993680000003,0.01822081068,0.017364799440000002,0.01198415736,0.00892697436,0.00880468704,0.00843782508,0.007581813840000001,0.00648122796,0.0061143659999999996,0.00525835476,0.00391319424,0.0037909069200000004,0.0033017576400000003,0.00269032104,0.0006114366,
Tianjin,0.3048104131200001,,0.035657586719999995,0.01362973392,0.012872526480000002,0.01679623776,0.01555717104,0.010325556,0.011908807920000002,0.0092930004,0.00853579296,0.01108276344,0.006883704000000001,0.004474407600000001,0.00598882248,0.005369289120000001,0.0022027852800000003,0.005438126160000001,0.00151441488,0.0018586000800000003,0.0030976668000000005,0.00254697048,0.0020651111999999998,0.0017897630399999998,0.0009637185600000002,0.00041302224,0.00110139264,0.00165208896,0.0011702296800000002,0.00013767408000000002,0.18716791176000006
Hebei,,0.5857590297599999,0.25081703136,0.17681821776,0.1129455576,0.035052069600000006,0.10866141575999999,0.09931419720000001,0.06270425784,0.07750402056,0.0272627208,0.06114638808000001,0.0467360928,0.01713656736,0.026094318480000003,0.041283548639999994,0.015189230159999999,0.03427313472,0.008957751120000001,0.0077893488,0.01324189296,0.0077893488,0.01402082784,0.011294555759999998,0.01402082784,0.006620946480000001,0.0038946744,0.01324189296,0.00701041392,0.0007789348800000001,1.99952583696
Shanxi,0.16787102903999998,0.07082670456000001,0.04917434184,,0.07017452496,0.00469569312,0.013826207519999998,0.09169645176,0.042391674000000004,0.0508700088,0.00404351352,0.05008739328,0.02986982568,0.00665223192,0.01082618136,0.15939269424,0.009260950320000001,0.019565388,0.00286959024,0.003260898,0.00808702704,0.00560874456,0.009521822159999999,0.00482612904,0.0050870008799999995,0.00221741064,0.00286959024,0.00665223192,0.004956564960000001,0.00026087184,0.39378604248000004
Inner Mongolia,0.10324511424,0.04473646848,0.02662004736,0.07107922368000001,0.006562581119999999,0.07209596160000001,0.16129160639999998,,0.01599051456,0.013864608,0.05721461568,0.01645266816,0.00933550272,0.015158638079999997,0.0032350752,0.06044969088,0.00360479808,0.0087809184,0.0018486144,0.0021259065600000003,0.0027729215999999996,0.0018486144,0.0027729215999999996,0.00240319872,0.00194104512,0.0018486144,0.00083187648,0.025418448,0.0018486144,9.243072e-05,0.18726463872
Liaoning,0.12021956495999997,0.06540681311999999,0.061952227920000005,0.01255165956,0.013242576599999998,0.09534655152,,0.10663152984,0.04594598316000001,0.03938227128,0.149698692,0.0495157212,0.01427895216,0.00414550224,0.007830393120000001,0.00898192152,0.006218253359999999,0.027291223080000003,0.00299397384,0.00356973804,0.006909170399999999,0.006218253359999999,0.00426065508,0.00449096076,0.004721266439999999,0.0011515284,0.00333943236,0.00241820964,0.00184244544,0.00011515284,0.27763349724
Jilin,0.0506263284,0.0404122446,0.04103397144,0.0048849966,0.004174451639999999,0.14264190072000002,0.25917127415999996,0.05160332772,0.02682307224,0.02140516692,,0.02868825276,0.011102265,0.0010658174400000001,0.00452972412,0.005062632839999999,0.0029309979600000004,0.020605803840000003,0.0015987261600000002,0.0023980892400000003,0.00470736036,0.0040856335200000005,0.0020428167600000002,0.0029309979600000004,0.0034639066800000004,0.0007993630800000001,0.0031086341999999995,0.0007105449600000001,0.0006217268400000001,,0.1429971732
Heilongjiang,0.08183967840000002,0.07442986968000001,0.07111204488,0.007630997040000001,0.006303867120000001,,0.25558310376000004,0.07166501568000003,0.035832507840000014,0.026763786720000002,0.15250934664000002,0.032957059680000005,0.009400503600000002,0.0015483182400000007,0.005640302160000003,0.005087331360000001,0.0038707956,0.019243383840000003,0.0015483182400000007,0.0018801007200000004,0.005640302160000003,0.006525055440000001,0.00265425984,0.00320723064,0.003539013120000001,0.0011059416000000002,0.0015483182400000007,0.0011059416000000002,0.0011059416000000002,,0.21256197552000006
Shanghai,0.00856860768,0.00363234456,0.031387182480000005,0.007823511359999999,0.04135284576000001,0.013039185599999998,0.01313232264,0.004656852,0.034181293679999995,0.34078842936000003,0.00633331872,,0.02524013784,0.010338211440000002,0.10487230704,0.009499978079999999,0.012014678159999998,0.14380358975999996,0.007823511359999999,0.02058328584,0.01806858576,0.003911755679999999,0.0107107596,0.0088480188,0.006240181679999999,0.00316665936,0.00363234456,0.00149019264,0.00316665936,0.0011176444800000001,0.021700930319999995
Jiangsu,0.046891408679999996,0.02713213584,0.20437576236,0.02831179392,0.08198623656000001,0.01415589696,0.028606708440000007,0.007372863,0.10439974008,,0.01150166628,1.27226123928,0.047776152240000015,0.022413503520000003,0.44561583971999996,0.039813460200000005,0.024477905159999997,0.23091806916,0.01710504216,0.02890162296,0.038928716640000006,0.00678303396,0.0176948712,0.01681012764,0.01386098244,0.00707794848,0.00914235012,0.005308461360000001,0.009437264640000002,0.0014745726000000002,0.12740307264
Zhejiang,0.020227125600000003,0.012885428160000002,0.04405018464,0.009738986400000002,0.052290865440000014,0.011536953120000002,0.01827932832,0.004794577920000001,0.13694513184,0.23583330144000006,0.00913966416,0.4172781096000001,0.045098998560000006,0.017380344960000002,0.10398240864,0.019477972800000003,0.033562045440000014,,0.035659673280000005,0.057085443360000016,0.05918307120000001,0.00539390016,0.0232237368,0.02607051744,0.0247220424,0.003745764,0.006592544640000001,0.00284678064,0.004794577920000001,0.00014983056000000006,0.05034306816
Anhui,0.041860476,0.04018605696000001,0.06446513304000001,0.01423256184,0.26581402260000003,0.00753488568,0.021348842760000004,0.006279071400000001,0.23776750368000002,1.4496282838800003,0.005860466640000001,1.01134910016,0.0334883808,0.010046514240000002,,0.03013954272,0.02595349512,0.4772094264,0.011720933280000002,0.05734885212,0.0858139758,0.00962790948,0.0146511666,0.012558142800000002,0.02176744752,0.008790699959999999,0.01800000468,0.005860466640000001,0.00460465236,0.0004186047600000001,0.18293028012
Fujian,0.011765224080000001,0.00754750224,0.01520599716,0.006548568120000001,0.020533645800000003,0.0038847438,0.008657429040000001,0.0034407730799999995,0.34152447636,0.08923811471999997,0.0043287145200000005,0.13308022332,0.03862545264,0.00810246564,0.02286449208,0.012875150879999998,0.027526184639999996,0.08746223183999999,0.03019000896,0.05971406183999999,,0.01032231924,0.01864677024,0.02208754332,0.04084530624,0.00122091948,0.00410672916,0.0007769487600000001,0.0016648901999999999,,0.05460839856000001
Jiangxi,0.011043802439999998,0.0093989808,0.01715313996,0.00610933752,0.0164482164,0.00211477068,0.005639388479999999,0.0023497452,0.97584918156,0.14709404952000002,0.0023497452,0.24766314408000004,0.03430627992,0.01033887888,0.054749063160000014,0.0140984712,0.09375483348000002,0.22933513152,0.021852630360000003,,0.24319862820000002,0.01433344572,0.017858063520000002,0.02208760488,0.0505195218,0.0023497452,0.021382681320000003,0.00211477068,0.00211477068,0.0007049235599999999,0.06555789107999999
Shandong,0.27222843204,0.191060613,,0.0487533978,0.16813333943999995,0.05165224848,0.0830125422,0.02740731552,0.11041985772,0.40610262708000006,0.03109676184,0.27170136828,0.04321922831999999,0.015284849039999996,0.05428756727999999,0.04690867464,0.01633897656,0.09777032748,0.00869655204,0.01897429536,0.02793437928,0.005797701360000001,0.013176594,0.01660250844,0.01818369972,0.00869655204,0.007115360759999999,0.0105412752,0.012385998359999996,0.0010541275199999998,0.5428756728
Henan,0.15271428312000002,0.06702987167999999,0.19856018592,0.09959627160000001,,0.00822064464,0.033514935839999996,0.014228038800000004,0.3999659796,0.33578171568000004,0.009169180559999998,0.3367302516,0.07398580176,0.03193404264,0.31048742448000005,0.10497130848,0.0411032232,0.18591304032000003,0.01928689704,0.02782372032,0.05722833384000001,0.01454421744,0.025294291200000003,0.02086779024,0.0268751844,0.025610469840000004,0.06197101343999999,0.01296332424,0.017073646560000003,0.00221325048,0.43853977368
Hubei,0.0027948855600000004,0.0008418330000000001,0.0032999853600000004,0.0013469328000000002,0.05313649896000001,0.0007071397200000001,0.0006061197599999999,0.00074081304,0.0434385828,0.0080815968,0.0009428529600000002,0.004983651360000001,0.00818261676,0.0012795861599999999,0.014883607439999997,0.018486652680000003,0.08606900592,0.005488751159999999,0.00154897272,0.015388707240000004,0.00316529208,0.00023571324000000004,0.052193645999999996,0.0009428529600000002,0.0025928456400000004,0.00037040652,,0.0006061197599999999,0.00037040652,,0.0034346786400000005
Hunan,0.015096112559999996,0.007876232639999998,0.012470701679999998,0.0065635272,0.02034693432,0.00262541088,0.006235350839999999,0.00262541088,1.9628228091599997,0.0886076172,0.00229723452,0.11978437139999998,0.0557899812,0.007876232639999998,0.023956874280000002,0.015096112559999996,,0.11354902056,0.1115799624,0.08368497179999998,0.07154244648,0.027566814239999998,0.057430863,0.05939992116,0.18443511432,0.00459446904,0.09221755716,0.00131270544,0.00295358724,0.00032817636,0.11190813875999997
Guangdong,0.0208037808,0.007328604599999998,0.028368792,0.015602835599999997,0.06832150740000001,0.0217494072,0.0219858138,0.0101654838,,0.04680850679999999,0.016548461999999996,0.051536638799999986,0.1094562558,0.0191489346,0.031914891,0.029787231600000002,0.3364065918,0.044444440799999985,0.0695035404,0.1290780036,0.11465720099999994,0.07730495820000001,0.04680850679999999,0.039479902199999986,0.44988175979999995,0.006855791399999999,0.0245862864,0.0037825056,0.006146571599999999,0.0002364066,0.0550827378
Guangxi,0.011692722600000002,0.0021586564800000004,0.008454737879999999,0.0037776488399999994,0.01367149104,0.0037776488399999994,0.0041374249200000005,0.00233854452,1.23259285008,0.02230611696,0.0026983206,0.030041302680000003,0.05720439672,0.005036865120000001,0.0062960814,0.008094961800000001,0.08994402000000001,0.030221190719999996,0.08940435588,0.01816869204,0.02410499736,0.02266589304,0.02032734852,0.04838988276,,0.0010793282400000002,0.00341787276,0.0008994402,0.0019787684399999996,,0.027522870120000004
