,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Heilongjiang,Inner Mongolia,Guangdong,Jiangsu,Anhui,Jilin,Shaanxi,Hunan,Gansu,Shanghai,Sichuan,Zhejiang,Fujian,Guizhou,Hainan,Chongqing,Jiangxi,Hubei,Yunnan,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.52784434728,0.06792349607999999,0.055893159000000005,0.04876012728,0.0473761062,0.03715564284,0.03130016904,0.02778688476,0.022357263600000003,0.01948275828,0.01873751616,0.017459958239999997,0.017459958239999997,0.01575654768,0.01575654768,0.014798379240000001,0.01469191608,0.008517052800000001,0.0077718106799999995,0.005961936960000001,0.005855473800000001,0.00542962116,0.005003768519999999,0.0044714527200000005,0.004364989559999999,0.0042585264000000005,0.0037262106,0.0026615790000000003,0.0013840210800000001,0.00021292632,
Tianjin,0.2710323828,,0.030511429920000006,0.009196707600000005,0.011036049120000002,0.014119651080000004,0.011685228480000002,0.01071145944,0.00881801964,0.008763921360000003,0.004814746920000001,0.006816383280000001,0.0036245847600000006,0.0012983587199999998,0.0038409778800000006,0.009034412759999999,0.005139336600000001,0.004327862400000001,0.0026508157200000005,0.0012442604400000005,0.0017852432400000003,0.0017852432400000003,0.00097376904,0.0010819656000000005,0.0027049140000000005,0.00097376904,0.0005409828000000001,0.0008114742000000001,0.0008655724800000002,,0.10906213248000003
Hebei,,0.4496614883999999,0.22199504112,0.09695403864,0.14637629232000002,0.09128263248,0.02241555768,0.08183028887999999,0.05104265544,0.05185285632,0.015663883679999997,0.01944482112,0.02754682992,0.00999247752,0.01188294624,0.04105017792,0.03159783432,0.0256563612,0.00891220968,0.005401339200000001,0.005671406160000001,0.00864214272,0.006751674,0.00432107136,0.006751674,0.01161287928,0.005671406160000001,0.007831941839999999,0.005671406160000001,,1.2225931279200002
Shanxi,0.14262068519999999,0.040939182000000005,0.032846553,0.0564579882,,0.0108536436,0.0041891256,0.07892693459999997,0.030085538400000007,0.034655493600000004,0.006664518,0.0032370515999999997,0.14233506299999998,0.0050459922,0.006188481,0.0410343894,0.0192318948,0.014757147,0.006474103199999999,0.0028562220000000003,0.0032370515999999997,0.0056172366000000005,0.0035226738,0.0018089406,0.00476037,0.005236407,0.0019041479999999998,0.0049507848,0.0029514294,0.00028562220000000004,0.23620955940000002
Inner Mongolia,0.08616973428,0.0261841734,0.017070720839999998,0.0040806504,0.05583689964,0.13098887784000002,0.05148420588,,0.01285404876,0.011493831959999996,0.00217634688,0.04420704599999999,0.04849172892,0.00108817344,0.01047366936,0.009249474240000001,0.00516882384,0.006801084000000001,0.00210833604,0.0008841409199999998,0.0010201626,0.0016322601599999998,0.0008841409199999998,0.00108817344,0.0023123685600000003,0.0013602168,0.0014282276399999998,0.02353175064,0.00183629268,,0.11691063396
Liaoning,0.099703872,0.0427895784,0.0427895784,0.01038582,0.009887300639999996,,0.06181640063999999,0.09355546655999998,0.0386352504,0.03148980624,0.008225569439999999,0.10618462367999998,0.007727050079999999,0.0054006264000000005,0.0025756833599999995,0.04245723216,0.01113359904,0.013958542079999995,0.007311617279999998,0.002077164,0.004902107039999999,0.00382198176,0.0025756833599999995,0.00141247152,0.0019940774399999995,0.00465284736,0.0009970387199999995,0.0014955580799999998,0.00108012528,8.308656e-05,0.16766867807999994
Jilin,0.0282143574,0.02469528,0.0303134562,0.0033338628,0.0031486482,0.17904077999999998,0.106807086,0.0445132422,0.020003176799999998,0.0177188634,0.0031486482,,0.002778219,0.0023460516000000002,0.0008643348000000001,0.022225752,0.007099893,0.0162988848,0.0040747212,0.0008025965999999999,0.0024077898000000003,0.002160837,0.0019756224,0.0014817167999999995,0.001543455,0.0028399572,0.0008025965999999999,0.0008025965999999999,0.0004321674,,0.0843961194
Heilongjiang,0.047539431360000016,0.04203718236000001,0.04819970124,0.00535552236,0.005208795719999999,0.1419580242,,0.05142768732,0.03125277432,0.02538370872,0.00454852584,0.11165897304000001,0.003961619279999999,0.00242098956,0.00132053976,0.03139950096000001,0.007262968679999998,0.01489275396,0.004108345920000001,0.0011738131199999999,0.00506206908,0.0027878061600000005,0.00176071968,0.0011004498,0.0023476262399999997,0.0027878061600000005,0.0013939030800000003,0.00036681660000000005,0.00014672663999999998,,0.1331544258
Shanghai,0.00648393984,0.00277883136,0.02400601536,0.0312618528,0.006869888639999999,0.012273171840000001,0.008954012159999998,0.00324196992,0.02362006656,0.31169225088,0.08869103424000001,0.00494014464,0.00833649408,0.008799632639999999,0.00856806336,,0.017367696000000002,0.1204160256,0.01211879232,0.005403283199999999,0.0030875904,0.00748740672,0.014434485119999998,0.0040138675200000005,0.006792698879999999,0.004477006079999999,0.00301040064,0.0007718976,0.0023156928,0.0007718976,0.011192515200000001
Jiangsu,0.02560172184,0.015610805999999996,0.17504917128,0.05890477464,0.014986373759999998,0.02060626392,0.01207235664,0.00582803424,0.07618073328,,0.3732023354399999,0.007493186879999999,0.02726687448,0.014986373759999998,0.01706781456,0.8642142201599999,0.03725779031999999,0.14403570336,0.02601801,0.00874205136,0.00437102568,0.011031636239999998,0.020814408,0.006244322399999999,0.010823492159999998,0.0124886448,0.006452466479999999,0.00437102568,0.006452466479999999,0.0010407204,0.06390023255999999
