,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Shaanxi,Inner Mongolia,Hunan,Anhui,Guangdong,Heilongjiang,Jiangsu,Shanghai,Gansu,Jilin,Sichuan,Guizhou,Hainan,Fujian,Zhejiang,Jiangxi,Chongqing,Guangxi,Yunnan,Hubei,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.40655870244000003,0.047436091560000004,0.043447726080000006,0.04132625508,0.03928964292,0.028597429080000004,0.02240273376,0.02146928652,0.02045098044,0.0203661216,0.01985696856,0.019008380160000005,0.014680579319999998,0.01298340252,0.012728826,0.01213481412,0.01128622572,0.00695842488,0.006788707200000001,0.005685542280000001,0.00517638924,0.004921812720000001,0.0038186478,0.00364893012,0.00364893012,0.00347921244,0.0026306240399999996,0.0022911886800000003,0.00186689448,0.00016971768000000002,
Tianjin,0.24372835200000004,,0.024242266440000004,0.007529465159999999,0.00835640064,0.013492105200000002,0.0029160356400000005,0.008574015240000002,0.0012621646800000002,0.0027854668800000003,0.00800821728,0.01027140912,0.006441392160000001,0.006615483839999999,0.0031771731600000004,0.0047875212,0.002393760600000001,0.0004787521200000001,0.00100102716,0.0016538709599999998,0.0015233022,0.00100102716,0.00104455008,0.00052227504,0.0016103480400000002,0.00095750424,0.0004352292,0.0008704584000000001,0.0006963667200000001,,0.06798280104000001
Hebei,,0.33479757864,0.20071146168,0.08437817952,0.1169598528,0.08020104192000001,0.026107110000000003,0.06704305847999999,0.010233987120000001,0.014619981599999997,0.05033450808,0.014619981599999997,0.052214220000000006,0.044068801679999985,0.010025130240000001,0.01378455408,0.0292399632,0.00375942384,0.005221422,0.010442844,0.01837940544,0.007936561440000002,0.00981627336,0.010233987120000001,0.005847992640000001,0.00438599448,0.0041771376,0.006056849519999999,0.0041771376,,0.84503493648
Shanxi,0.13199806008,0.0369348336,0.032801649839999995,0.04555296143999999,,0.011080450079999998,0.14378203080000002,0.0663947604,0.0048367044,0.007386966720000001,0.03886951536,0.00228644208,0.05285198808,0.05091730632,0.00290202264,0.002198502,0.017675956079999996,0.0008794008,0.0026382024,0.00474876432,0.013542772319999999,0.00237438216,0.00448494408,0.0030779028000000003,0.0065075659200000005,0.0018467416800000002,0.0018467416800000002,0.00290202264,0.00193468176,8.794008000000001e-05,0.18273948624000003
Inner Mongolia,0.08108249040000001,0.0218346192,0.019013292,0.004293323999999999,0.0485145612,0.1226050668,0.049495892400000005,,0.0014106636,0.002146662,0.014351968799999996,0.0374745852,0.0123893064,0.0120213072,0.0095679792,0.038026584,0.0040479912,0.0005519988,0.001226664,0.00153333,0.0053973216,0.0011653308,0.0014106636,0.001839996,0.0015946632000000001,0.0009813311999999999,0.0009813311999999999,0.0223252848,0.0013493304,6.133319999999999e-05,0.0935944632
Liaoning,0.09830420496,0.034964252639999985,0.047916748799999985,0.008759780639999997,0.008610040799999998,,0.006513683039999997,0.08662449743999999,0.00441732528,0.0060644635200000005,0.03833339904,0.039531317760000004,0.03586269168,0.048141358559999986,0.0021712276799999994,0.10062517247999997,0.012278666879999995,0.0014973983999999993,0.004492195199999999,0.005989593599999999,0.01317710592,0.00194661792,0.0026953171199999995,0.00321940656,0.0014225284799999998,0.0013476585599999998,0.0011979187199999998,0.0011979187199999998,0.0004492195199999999,7.486991999999999e-05,0.12922548192
Jilin,0.027369449639999998,0.01906574436,0.028243523880000003,0.00284074128,0.00322314876,0.15820743744,0.00284074128,0.03731204412,0.00251296344,0.0033870376799999997,0.025457412239999998,0.07970464476,0.01972130004,0.025402782600000003,0.00131111136,,0.006118519680000001,0.0008740742400000001,0.0024583338000000003,0.005572223280000001,0.01294722468,0.00142037064,0.00202129668,0.0024583338000000003,0.00251296344,0.0008740742400000001,0.0010925928,0.0005462964000000001,0.00021851856,,0.06954353172
Heilongjiang,0.03591493344,0.028494024480000005,0.044298861120000005,0.00475844544,0.00243587088,0.09964411344,0.00379542672,0.039030582240000014,0.00192603744,0.0044185564799999995,0.026907876,,0.025208431200000003,0.029513691360000004,0.00118961136,0.07879759056,0.0069110755200000006,0.00096301872,0.004361908320000001,0.0045318528000000005,0.010706502240000002,0.00118961136,0.00192603744,0.00237922272,0.0022092782399999998,0.0010196668800000002,0.0008497224,0.0005098334400000001,0.0004531852800000001,,0.1011169656
Shanghai,0.005746431600000001,0.0024627564,0.0225436932,0.023048874,0.0054306936000000005,0.0075145644,0.006314760000000001,0.0019575756,0.008840664,0.0680099652,0.023490907200000005,0.0063779076,0.26061014520000003,,0.006062169599999999,0.0030942324000000003,0.0121874868,0.0032836752000000003,0.0022733135999999997,0.0105456492,0.0990785844,0.013260996000000002,0.0063779076,0.0058095792000000005,0.0047992176,0.0038520036,0.0015786900000000002,0.0006946236000000001,0.0018944279999999999,0.00031573800000000003,0.009093254399999999
Jiangsu,0.02504115,0.014223373199999997,0.15705809279999994,0.05228592119999999,0.017228311199999995,0.017428640399999997,0.02003292,0.0040065840000000005,0.014223373199999997,0.3131145395999999,0.07732707119999997,0.006811192799999999,,0.9812124215999998,0.016627323599999997,0.005008229999999999,0.0252414792,0.008213497199999998,0.003806254799999999,0.0204335784,0.09355373639999998,0.023238187199999996,0.0102167892,0.011018106000000001,0.0088144848,0.006410534399999999,0.004807900799999999,0.0018029628,0.005809546799999997,0.0004006584,0.05168493359999999
