,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Hunan,Guangdong,Inner Mongolia,Anhui,Shaanxi,Heilongjiang,Jiangsu,Gansu,Sichuan,Shanghai,Jilin,Guizhou,Jiangxi,Hubei,Zhejiang,Fujian,Hainan,Yunnan,Chongqing,Xinjiang,Ningxia,Guangxi,Qinghai,Tibet,Beijing
Beijing,0.52469122788,0.07621553088,0.05077657044,0.04692525372,0.04013477424,0.0334456452,0.024830857799999998,0.02219574636,0.02158764372,0.021486293280000002,0.01935793404,0.015202566,0.01459446336,0.011756651039999998,0.0116553006,0.01135124928,0.009729642240000001,0.008716137839999999,0.00628372728,0.005675624640000001,0.00527022288,0.0050675220000000005,0.0044594193599999995,0.00435806892,0.00395266716,0.0028378123200000003,0.0028378123200000003,0.0025337610000000003,0.0011148548399999999,0.00010135044,
Tianjin,0.23790271536,,0.02680985952,0.00816355584,0.0111321216,0.01145680848,0.00166981824,0.01038998016,0.008998464959999999,0.0035251718400000002,0.0023191920000000003,0.006957575999999999,0.006957575999999999,0.0032004849600000005,0.00310771728,0.0085810104,0.0037107072,0.00148428288,0.00125236368,0.00106682832,0.00148428288,0.0020872728,0.0014378990400000001,0.00097406064,0.00097406064,0.00041745456,0.00051022224,0.0009276768,0.00083490912,,0.09439111439999999
Hebei,,0.3337635974400001,0.20332988388,0.07908546780000003,0.10292572476000003,0.07656390216,0.013753994400000002,0.06533147339999999,0.06349760748000001,0.014900160600000004,0.021547924559999997,0.010315495800000005,0.06899920524,0.0080231634,0.029800321200000007,0.05776677648,0.013066294679999998,0.004584664800000001,0.0071062304400000015,0.0034384986000000005,0.014670927360000002,0.01054472904,0.005043131280000001,0.009398562840000001,0.01214936172,0.0032092653600000014,0.00435543156,0.010773962279999999,0.0036677318400000006,0.00045846648000000007,1.0361342448000002
Shanxi,0.1260448452,0.041735314800000006,0.0523264374,0.0528507504,,0.0111154356,0.0096473592,0.0537945138,0.060610582800000014,0.0111154356,0.1225843794,0.0017826642000000005,0.10412856179999999,0.0031458780000000004,0.0159391152,0.0936423018,0.0016778016000000002,0.0014680764000000006,0.0030410154,0.0025167024,0.011010573,0.0077598324,0.0027264276,0.0046139544,0.0066063438,0.0008389008000000001,0.0025167024,0.0030410154,0.0019923894,0.00020972520000000006,0.2361505752
Inner Mongolia,0.07339257072000001,0.02103246648,0.01951661304,0.00524232648,0.048507310080000005,0.12013138512,0.0028422252000000004,0.01749547512,,0.0025264224,0.0514758564,0.0366331248,0.011558382479999999,0.00941092344,0.0053686476,0.0195797736,0.034485665760000006,0.00050528448,0.00138953232,0.00069476616,0.0044843997600000005,0.0017053351199999998,0.0008210872799999999,0.0029685463199999994,0.0017684956800000005,0.00069476616,0.022927283280000002,0.0015158534400000001,0.0009474084,0.00012632112,0.11065730112
Liaoning,0.08922846599999999,0.032881638959999994,0.05475210551999999,0.00812548584,0.008353303199999999,,0.00523979928,0.05285362752,0.08262176255999999,0.0074420337599999985,0.005391677519999999,0.031970369519999986,0.036071082000000004,0.004176651599999999,0.01055553768,0.057258096479999986,0.08110298015999999,0.0014428432799999998,0.0031135039199999995,0.00106314768,0.01207432008,0.00896081616,0.003645077759999999,0.00280974744,0.00523979928,0.0008353303199999999,0.0008353303199999999,0.004100712479999999,0.0007593912,0.00030375647999999995,0.14405651063999994
Jilin,0.025250036040000003,0.018012060719999997,0.039615483239999985,0.00375711696,0.00226532052,0.13934483783999996,0.00215481708,0.0287308944,0.034366569839999986,0.0034256066399999995,0.00198906192,0.07116421535999999,0.025194784319999997,0.0011602861199999995,0.00740373048,0.031106718359999994,,0.0009945309599999998,0.0011602861199999995,0.008122002839999998,0.012376385279999999,0.00430963416,0.00298359288,0.003536110079999999,0.00320459976,0.0004972654799999999,0.00060776892,0.00381236868,0.00022100688,5.5251719999999986e-05,0.07470032543999998
Heilongjiang,0.027372433680000002,0.02146547304,0.04340561256,0.0031644432,0.00226785096,0.09234900072,0.00385007256,0.02964028464,0.03422872728,0.004113776160000001,0.00274251744,,0.0239970276,0.0012657772799999998,0.004588442639999999,0.03449243088,0.06840471383999999,0.0005801479199999999,0.0016349623199999998,0.00089659224,0.00854399664,0.0031117024800000003,0.0040082947200000005,0.00226785096,0.0018459252,0.00036918504,0.0006328886399999999,0.0020041473600000003,0.00073837008,,0.10252795968
Shanghai,0.0058001832000000005,0.00256429152,0.018438477119999998,0.02704717008,0.00512858304,0.00750971088,0.008303420160000002,0.02399444208,0.0017095276800000005,0.06465677904,0.005372801280000001,0.004518037440000001,0.26473257215999996,0.004579092,0.012271966559999998,,0.00348010992,0.00317483712,0.01324883952,0.00409065552,0.08511005663999999,0.00750971088,0.0026864006400000003,0.00665494704,0.0064107288,0.0012210912000000002,0.0007326547200000001,0.0036022190399999997,0.0020758550400000004,0.00012210912,0.0085476384
Jiangsu,0.026301659039999998,0.01111018356,0.16710623028,0.04965571835999999,0.01564495236,0.020633198040000002,0.01972624428,0.10157882112,0.005441722559999999,0.3042829864799999,0.016778644559999997,0.004761507239999999,,0.014737998600000001,0.02811556656,1.2232538837999998,0.005895199439999999,0.0065754147599999995,0.022900582439999997,0.006802153199999999,0.09046863756000001,0.02108667492,0.00385455348,0.011336922,0.012017137319999998,0.0029475997199999997,0.00158716908,0.007709106959999998,0.00498824568,0.00022673844,0.05419048716
