,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Hunan,Guangdong,Inner Mongolia,Anhui,Shaanxi,Shanghai,Jiangsu,Heilongjiang,Gansu,Sichuan,Jilin,Guizhou,Fujian,Yunnan,Jiangxi,Chongqing,Zhejiang,Hainan,Hubei,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.4430536185600001,0.06992591328000003,0.052870812480000015,0.04699627776,0.03505770720000001,0.03117293424,0.025582651200000004,0.02548790064,0.02198212992,0.021887379359999997,0.0203713704,0.02018186928,0.01790785584,0.016676098559999998,0.013928332319999999,0.013454579519999997,0.01032781104,0.009096053759999998,0.007106291999999999,0.0070115414400000005,0.00530603136,0.00530603136,0.005211280800000001,0.005116530240000001,0.003600521280000001,0.003600521280000001,0.00293726736,0.00198976176,0.00123175728,0.0004737528,
Tianjin,0.23299488,,0.028378252800000007,0.007539609599999999,0.0098957376,0.011257056000000001,0.0021466944,0.0101051712,0.0106287552,0.0039792384000000005,0.0023037696000000004,0.011309414400000002,0.008063193599999999,0.005759424000000001,0.0031415040000000003,0.0035603712000000006,0.0030367871999999996,0.0008377344000000003,0.0021990528,0.001832544,0.001832544,0.0017801856000000003,0.0016754688000000005,0.0012566016,0.0006283008,0.0021990528,0.0001570752,0.0008377344000000003,0.00047122559999999996,,0.152886528
Hebei,,0.45673713,0.25294194,0.08944708500000001,0.15530373000000006,0.076996575,0.013105799999999999,0.06028668,0.0786348,0.018020475,0.01703754,0.06061432500000001,0.06880545,0.010812285,0.00851877,0.025883955000000004,0.01245051,0.004587030000000001,0.008846415,0.01179522,0.00589761,0.01179522,0.015399314999999997,0.003604095,0.00327645,0.007535835,0.00196587,0.00524232,0.00327645,0.000327645,1.7823887999999999
Shanxi,0.14732465328,0.04421928672,0.05330394216,0.05330394216,,0.012477719519999998,0.007333396559999999,0.04662726768,0.09566251632000002,0.00941301648,0.13232949912,0.08055790848,0.07344341927999999,0.0015323515200000002,0.0030647030400000005,0.019154393999999998,0.00186071256,0.00207961992,0.00864684072,0.00317415672,0.00262688832,0.007442850240000002,0.00941301648,0.00339306408,0.00503486928,0.00251743464,0.0006567220799999999,0.00372142512,0.00229852728,0.00021890736,0.26006194368
Inner Mongolia,0.09075120119999999,0.02668730976000001,0.02109158352,0.0039457044000000005,0.06284431008000001,0.13781269368,0.0022239424800000003,0.017504579519999997,,0.0019369821600000003,0.0548811612,0.018724160880000004,0.01190885328,0.03472219872,0.009039250079999998,0.006313127040000001,0.034363498320000005,0.0003587004,0.0017935020000000004,0.0015782817600000002,0.0007174008,0.00186524208,0.0044478849600000005,0.0010043611200000002,0.0005021805600000001,0.0019369821600000003,0.0012195813600000007,0.026113389120000004,0.0010043611200000002,,0.13924749528
Liaoning,0.109814778,0.047643552,0.06433684199999999,0.009113634,0.008842932,,0.0060456780000000005,0.060095844,0.08888048999999998,0.008481995999999999,0.0045117,0.065329416,0.037808046000000005,0.030408858,0.0021656159999999995,0.011640186,0.093211722,0.002075382,0.00812106,0.003789828,0.002887488,0.004421466,0.011098782,0.003248424,0.01488861,0.005504273999999999,0.00090234,0.000360936,0.0008121059999999999,9.0234e-05,0.194183568
Jilin,0.02493728208,0.0214013988,0.038956749120000016,0.004900610160000001,0.0021091233600000004,0.19348105176,0.00459044496,0.0347385024,0.038832683039999996,0.00297758592,0.00285351984,0.03368394072,0.01991260584,0.07524607752000001,0.00012406608000000002,0.00607923792,,0.0012406608,0.004652478000000001,0.003970114560000001,0.00142675992,0.00291555288,0.01222050888,0.0024813216,0.00111659472,0.0024813216,0.00018609912,0.0006823634400000003,0.00024813216000000004,0.00012406608000000002,0.08076701807999999
Heilongjiang,0.02432892672,0.01981760256,0.04387799808,0.00354461184,0.00247048704,0.09624158207999998,0.0034909056,0.0378628992,0.0341034624,0.00370573056,0.00236307456,0.03539241216,0.01944165888,,0.0011278310399999998,0.0070892236799999985,0.07658509824,0.0009130060800000001,0.005263211519999999,0.0018260121600000001,0.0016111872,0.002685312,0.00821705472,0.00408167424,0.0006444748799999999,0.00193342464,0.00048335616,0.00010741248,0.00032223743999999993,5.370624e-05,0.0964027008
Shanghai,0.005822105040000001,0.00269194104,0.023413626720000004,0.02679420384000001,0.005884708319999999,0.0090774756,0.01195722648,0.02979916128,0.0020659082400000003,0.0560299356,0.005571691920000001,,0.26155650384,0.005822105040000001,0.00538388208,0.01277106912,0.0043196263200000005,0.003756196800000001,0.010830367439999999,0.00519607224,0.013084085520000002,0.00632293128,0.08914707072000001,0.00300495744,0.004131816480000001,0.00400660992,0.00056342952,0.0015650820000000002,0.0015650820000000002,0.00012520656,0.010705160880000002
Jiangsu,0.027418273200000003,0.0142467498,0.2037554028,0.05618057940000001,0.0206981082,0.0172036224,0.0225797544,0.10537218720000001,0.0045697122,0.31934224079999995,0.012633910200000001,1.5338104596000002,,0.0053761320000000005,0.01344033,0.024999013800000004,0.006720165,0.006451358399999999,0.0233861742,0.010483457400000002,0.0196228818,0.0142467498,0.1134363852,0.0048385188,0.0096770376,0.007526584800000001,0.0018816462000000003,0.0018816462000000003,0.0034944858,0.0002688066,0.07687868760000001
