,Hebei,Tianjin,Shandong,Henan,Liaoning,Shanxi,Guangdong,Hunan,Inner Mongolia,Shanghai,Anhui,Shaanxi,Jiangsu,Heilongjiang,Gansu,Jilin,Sichuan,Guizhou,Fujian,Zhejiang,Chongqing,Jiangxi,Yunnan,Hainan,Hubei,Guangxi,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Beijing,0.45217243008,0.09754359551999997,0.057244864319999984,0.0521816904,0.03874878,0.038232129600000005,0.0278991216,0.02717581104,0.0263491704,0.02541919968,0.02366258832,0.021182666399999998,0.020666016000000002,0.01901273472,0.01425955104,0.013432910400000001,0.012502939679999998,0.00950636736,0.00919637712,0.00661312512,0.005889814559999999,0.00557982432,0.005476494239999999,0.005373164159999999,0.0042365332799999995,0.0042365332799999995,0.0028932422399999998,0.00247992192,0.0017566113600000002,0.00010333008,
Tianjin,0.26650399032,,0.033690006,0.008598972960000001,0.0147594312,0.01244925936,0.01360434528,0.0019251432,0.01135834488,0.01116583056,0.004042800720000001,0.00231017184,0.008021430000000001,0.0077005728,0.0026952004800000003,0.00455617224,0.004106972160000001,0.0012834288,0.0035936006400000007,0.0031444005600000003,0.0025668576000000003,0.0012834288,0.00198931464,0.0017968003200000003,0.00847063008,0.00038502864000000003,0.00115508592,0.0005133715200000001,0.00057754296,6.417144000000001e-05,0.20592615096000005
Hebei,,0.4599859460399999,0.31630652928,0.10696526603999998,0.09743370768,0.18498283632,0.05860143288,0.016944992639999996,0.09602162496,0.0600135156,0.02012217876,0.02577050964,0.06672090852000001,0.01270874448,0.010943641079999998,0.0141208272,0.028594675080000007,0.00458926884,0.01023759972,0.01976915808,0.0123557238,0.007766454959999999,0.01270874448,0.00635437224,0.01306176516,0.008119475639999998,0.007413434279999998,0.0017651034,0.005295310199999999,0.00035302068,1.8381786807599998
Shanxi,0.15245078363999998,0.048792773519999985,0.05880701087999999,0.05443909884,0.0111861162,,0.04762089467999999,0.01161225396,0.12421915703999994,0.05838087312,0.008203151879999999,0.13380725664,0.042507241560000006,0.0026633609999999995,0.00383523984,0.00181108548,0.017152044840000002,0.00351563652,0.00596592864,0.01033384068,0.007883548559999998,0.0037287053999999994,0.006178997519999999,0.004580980919999999,0.00468751536,0.0022372232399999995,0.00575285976,0.0006392066399999997,0.0031960332,0.00031960331999999987,0.22702489163999995
Inner Mongolia,0.08770592844000001,0.025151494680000004,0.02572803324,0.005837452920000002,0.13130665704000002,0.06284270303999999,0.016431348959999998,0.0028826928000000003,,0.02010678228,0.0015854810400000002,0.06024827952,0.011242501920000002,0.0353129868,0.01037769408,0.032430294,0.006702260760000001,0.0010810098,0.0031709620800000004,0.00497264508,0.00237822156,0.00093687516,0.0028106254800000004,0.0025223562,0.00100894248,0.00187375032,0.030340341719999997,0.0007927405200000001,0.00093687516,0.00014413464000000002,0.13065805115999998
Liaoning,0.10940380344,0.04418585316,0.07601073695999999,0.01180749312,,0.00977808024,0.05479414776000001,0.00664171488,0.10276208856,0.06374201364,0.0073796832,0.00452005596,0.0341310348,0.039573551160000005,0.0027673812,0.10091716776000001,0.01549733472,0.00212165892,0.00904011192,0.013836906000000001,0.005442516360000001,0.00378208764,0.005627008439999999,0.00590374656,0.006918453000000001,0.00405882576,0.00083021436,0.0009224604,0.00119919852,0.00018449208,0.1771123968
Jilin,0.028598106240000008,0.021854448000000002,0.04395866112000001,0.00387135936,0.19219425984000005,0.0040586832000000005,0.032094817920000004,0.00262253376,0.040774155840000006,0.031033316160000005,0.00293474016,0.0022478860800000003,0.018982149120000003,0.07443000576000001,0.00112394304,,0.006056804160000001,0.00112394304,0.005744597760000001,0.01292534496,0.0032469465600000005,0.0013737081600000006,0.004308448320000001,0.003684035520000001,0.0007492953599999999,0.0018732384000000003,0.00037464767999999997,0.00018732383999999999,0.0003122064000000001,6.244128000000001e-05,0.08054925120000002
Heilongjiang,0.02617319952,0.01920431916,0.03995136756,0.00457499016,0.10708668827999998,0.002659878,0.030588597,0.00250028532,0.035003994479999995,0.02904586776,0.0035110389600000002,0.0018619146,0.0167572314,,0.0009043585199999999,0.08229662532000001,0.00521336088,0.00164912436,0.00489417552,0.00941596812,0.00154272924,0.0014895316800000002,0.002659878,0.00468138528,0.0007979634,0.0018619146,0.00015959267999999998,0.00047877804,0.0005319756000000001,0.00010639512,0.09341491536
Shanghai,0.007092100800000002,0.0034069896,0.02433564,0.028090281600000003,0.009456134400000002,0.006396796800000001,0.032679288,0.013280306399999999,0.0021554423999999997,,0.0568063368,0.004867128,0.2831973192,0.0052147800000000005,0.006118675200000001,0.004867128,0.014253731999999996,0.004171824,0.010777212,0.1159071768,0.006188205600000001,0.0136279584,0.0078569352,0.0027116856000000003,0.005562432,0.004728067200000001,0.0015296688,0.0009734256000000002,0.001390608,0.0002085912,0.014323262400000003
Jiangsu,0.030002805,0.0156014586,0.20257893936,0.07392691152000001,0.02496233376,0.0228021318,0.10705000824,0.02472231132,0.00792074052,1.16794919304,0.31970989008,0.01416132396,,0.00576053856,0.0144013464,0.006960650759999999,0.02856267036,0.00744069564,0.02472231132,0.12529171368,0.01344125664,0.02112197472,0.014641368839999997,0.00576053856,0.01584148104,0.01008094248,0.0024002244,0.00288026928,0.006000561,0.00024002243999999998,0.07800729299999999
