,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Hunan,Inner Mongolia,Shaanxi,Anhui,Gansu,Guangdong,Jiangsu,Sichuan,Heilongjiang,Shanghai,Jilin,Guizhou,Fujian,Jiangxi,Zhejiang,Chongqing,Yunnan,Hainan,Hubei,Xinjiang,Guangxi,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.4307605596,0.0652351644,0.0483834708,0.045690674400000006,0.031444912799999995,0.0287521164,0.023279659200000004,0.020239405200000005,0.019023303600000003,0.0185021172,0.017286015600000003,0.0165911004,0.012855931200000002,0.0119872872,0.0113792364,0.0106843212,0.009120762,0.008599575600000001,0.0051249996,0.004864406400000001,0.0045169488,0.003822033600000001,0.0035614403999999996,0.0033877116000000005,0.0032139828000000005,0.0026927964,0.0025190676,0.0019110168,0.0014766948000000002,0.00017372880000000006,
Tianjin,0.23325462431999996,,0.030908602080000007,0.006835142880000001,0.010661103359999998,0.01130592816,0.0014616028800000002,0.0076089326400000015,0.00163355616,0.0021494160000000003,0.00309515904,0.00537354,0.005502504960000001,0.00206343936,0.00421285536,0.00391193712,0.00391193712,0.0007308014400000001,0.0015045912,0.0009027547199999999,0.0030091824,0.0012896496,0.0006018364800000003,0.0007308014400000001,0.0025363108800000003,0.0004728715200000001,0.0004298832,0.0009027547199999999,0.0006448248000000001,,0.08159183136
Hebei,,0.35804094336000003,0.254321856,0.09376736256000001,0.14861242368,0.07939264895999999,0.013932414719999998,0.08204644223999999,0.02078804736,0.015038161919999998,0.009067127039999998,0.03383586432,0.04489333631999999,0.02145149568,0.00862482816,0.029412875519999996,0.01238436864,0.00353839104,0.007740230399999998,0.006413333759999999,0.019240001280000002,0.00840367872,0.00862482816,0.0026537932799999995,0.00420183936,0.0013268966399999998,0.00707678208,0.007961379840000001,0.00597103488,0.00044229888,0.8994147724799999
Shanxi,0.161033184,0.033032448,0.0540906336,0.05598999936,,0.0090839232,0.0074323008,0.08662759488,0.13155172416,0.007597463039999999,0.00437679936,0.01990204992,0.02749951296,0.014451696000000002,0.0009083923199999999,0.02700402624,0.00239485248,0.00132129792,0.00404647488,0.00189936576,0.008918760960000001,0.00437679936,0.00594584064,0.0028903392,0.00346840704,0.00107355456,0.00256001472,0.00487228608,0.0038813126399999992,0.00033032448,0.13609368576
Inner Mongolia,0.07477403219999999,0.0198295776,0.0170557974,0.0043672284,0.061613330399999985,0.1202168142,0.0020065644,,0.057718234800000004,0.0020065644,0.008616423599999999,0.009442656,0.006727892399999999,0.0044852616,0.0308066652,0.0105049548,0.033934545,0.0005311494,0.0012393486,0.0005311494,0.0039541122,0.0016524648000000002,0.0018885312,0.0010032822,0.0009442656,0.0015344316,0.0013573818,0.0350558604,0.0011213154,0.0001180332,0.074360916
Liaoning,0.09418585392,0.02777918328,0.046904806080000014,0.007023179520000002,0.009782285759999999,,0.0040759524,0.08923200408000001,0.0025709853600000003,0.004577608079999999,0.001567674,0.03336010272,0.01987810632,0.0072113004000000005,0.03091453128,0.026650458,0.09337066344,0.00150496704,0.006772351679999999,0.0023201575200000003,0.0112872528,0.00206932968,0.00451490112,0.003135348,0.001567674,0.00043894872000000014,0.00426407328,0.0006270695999999999,0.0008778974400000003,0.00012541392,0.08716267440000001
Jilin,0.01916455464,0.01605553488,0.033317555039999995,0.0032946328799999995,0.00227376072,0.16064815535999996,0.0037122624,0.0343384272,0.0006032426400000001,0.00157771152,0.00032482296,0.015684308640000002,0.0111367872,0.00375866568,0.060324264,0.01874692512,,0.0013456951199999998,0.00292340664,0.00106727544,0.01104398064,0.00222735744,0.00366585912,0.0025521804,0.0009280656,9.280655999999999e-05,0.00213455088,0.00018561311999999998,0.00041762952,9.280655999999999e-05,0.049558703039999985
Heilongjiang,0.01858982076,0.013975017479999996,0.03735378504,0.0035264062800000008,0.0023509375199999996,0.0973026918,0.0026121528,0.0339579864,0.00161082756,0.0014366840400000002,0.00052243056,0.01976528952,0.01079689824,0.0038746933200000007,,0.016804849679999997,0.08184745439999999,0.00052243056,0.00252508104,0.0006095023200000001,0.008010601919999999,0.00095778936,0.00378762156,0.00252508104,0.00100132524,0.00034828703999999997,0.00148021992,0.00039182292,0.00026121528,,0.06586978644000001
Shanghai,0.005116267800000001,0.0024002244,0.0191386314,0.0457305912,0.006126888600000001,0.0080849664,0.0108010098,0.0017054226000000005,0.0043583022,0.051794315999999986,0.0048636126,0.0182543382,0.2619402786,0.0116221392,0.0044846298,,0.0031581900000000004,0.002842371000000001,0.0106115184,0.0125064324,0.11123145179999999,0.0042951384000000006,0.0043583022,0.0018317502,0.0035371728000000006,0.000947457,0.0046109574,0.001894914,0.0015159312,6.31638e-05,0.009348242400000002
Jiangsu,0.019656347759999998,0.008424149040000002,0.18205522092,0.11200998168000002,0.019500345,0.015600276,0.020436361560000005,0.0054600966,0.015132267720000004,0.24227228628000005,0.01809632016,0.05709701016000001,,0.01669229532,0.00405607176,0.5592698946000001,0.00374406624,0.004212074520000001,0.017316306360000002,0.01669229532,0.12995029908000005,0.007800138000000002,0.00967217112,0.0024960441600000004,0.0109201932,0.0015600276000000005,0.009516168359999999,0.0021840386400000006,0.0056160993600000006,0.00046800828,0.038688684480000006
Zhejiang,0.00737724672,0.00322754544,0.01506187872,0.019416503520000003,0.0021516969600000003,0.00712109232,0.01875050208,0.0023053896000000003,0.0034836998400000004,0.04103593488,0.0053792423999999995,0.039396546720000016,0.07033999824,0.010758484799999999,0.00317631456,0.14411246544,0.00599401296,0.007582170240000002,0.029355294240000007,0.030021295680000008,,0.0054304732800000005,0.00988755984,0.00158815728,0.0054304732800000005,0.00092215584,0.007633401120000001,0.00133200288,0.0013832337600000002,0.00015369264,0.011373255359999999
