,Hebei,Tianjin,Shanxi,Shandong,Henan,Liaoning,Hunan,Anhui,Inner Mongolia,Shaanxi,Guangdong,Jiangsu,Heilongjiang,Jilin,Sichuan,Gansu,Shanghai,Guizhou,Zhejiang,Yunnan,Chongqing,Fujian,Hubei,Xinjiang,Jiangxi,Hainan,Guangxi,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.43496181252,0.06950285351999999,0.06398814348,0.04936978512,0.0446428908,0.028974111480000002,0.02188377,0.017944691399999997,0.01785715632,0.01654413012,0.013480402319999998,0.010941885,0.010241604359999998,0.00980392896,0.008665972919999999,0.00796569228,0.007528016879999999,0.006740201159999999,0.00542717496,0.0037640084399999997,0.00358893828,0.0035014032,0.0034138681200000004,0.00280112256,0.0024509822400000003,0.00236344716,0.002188377,0.0015756314399999998,0.0013130262,8.753508e-05,
Tianjin,0.2416360896,,0.029302884,0.030520080719999988,0.0083400516,0.01379489616,0.0015778475999999994,0.0026598002399999994,0.009827736479999998,0.0024343934399999995,0.00365159016,0.00703269216,0.0038319156,0.00342618336,0.00252455616,0.00311061384,0.0032909392799999994,0.0006762203999999999,0.00284012568,0.00126227808,0.0013524407999999995,0.0014876848799999995,0.00342618336,0.00013524407999999995,0.0011721153599999995,0.0004958949599999999,0.0007663831199999999,0.0007663831199999999,0.00045081359999999993,4.508136e-05,0.06834334176
Hebei,,0.31320524664,0.23065808831999998,0.2587004244,0.0908413704,0.07366050252,0.010861468200000002,0.01500857424,0.07642523988,0.02587004244,0.030214629720000007,0.048975347520000004,0.00908413704,0.01145391192,0.01915568028,0.01026902448,0.024487673760000002,0.0033571810800000004,0.02409271128,0.0078992496,0.00710932464,0.006911843399999999,0.0039496248,0.0019748124,0.00750428712,0.0021722936399999997,0.008886655799999999,0.006319399680000001,0.004344587279999999,0.00019748124,0.6380618864400001
Shanxi,0.17022187908000005,0.0368200404,,0.059478526799999994,0.06806986956,0.01406714364,0.011423653559999998,0.01350068148,0.09138922847999999,0.14803544448,0.029550442680000007,0.04739400072,0.00368200404,0.0039652351200000005,0.017088275160000003,0.00575903196,0.024641103959999997,0.004437286919999999,0.01850443056,0.008780163480000002,0.006136673400000001,0.007836059880000001,0.008213701319999999,0.0024546693600000003,0.006608725199999999,0.002360259,0.0064199044799999995,0.004720518,0.00273790044,0.0004720518,0.11791853964000001
Inner Mongolia,0.07313639039999999,0.016160783039999998,0.08723283983999999,0.017104478399999998,0.005072362559999999,0.11188688111999998,0.00259516224,0.0017694287999999996,,0.0613401984,0.011324344319999995,0.006664848479999999,0.03232156608,0.0362732904,0.0035388576,0.0112063824,0.00843427728,0.0007667524799999999,0.004128667199999999,0.00182840976,0.0017104478399999994,0.0014745239999999998,0.00112063824,0.00165146688,0.0006487905599999999,0.00082573344,0.00112063824,0.03397303296,0.00094369536,5.898096e-05,0.05243407343999999
Liaoning,0.09952054956,0.02818948716,0.0610429284,0.049177280519999984,0.009465083279999998,,0.00404666604,0.00637864308,0.08861512751999999,0.0034979655600000004,0.029286888119999993,0.02311400772,0.02942406324,0.10425309119999998,0.004732541639999999,0.00150892632,0.02078203068,0.0010288134,0.017627002919999996,0.0021262143600000003,0.0024005645999999998,0.005898530159999999,0.0024005645999999998,0.0012345760799999995,0.001714689,0.0021262143600000003,0.005144067,0.0010288134,0.00027435024,6.858756e-05,0.07853275619999997
Jilin,0.02445834528,0.01828249056,0.031761538560000004,0.029751935039999997,0.00333300096,0.15826853087999998,0.0027448243200000003,0.00215664768,0.03230070048,0.00102930912,0.016272887040000003,0.01161648864,0.06553268063999998,,0.00455836896,0.00039211776,0.014606386559999997,0.00044113247999999993,0.0139691952,0.0026958096,0.0007352207999999999,0.00225467712,0.0005391619199999999,9.802944e-05,0.00107832384,0.00161748576,0.0027448243200000003,0.00019605888,0.0005391619199999999,0.00014704415999999994,0.045338616
Heilongjiang,0.01765012032,0.01419329952,0.039163746240000005,0.03225010464,0.00394484256,0.06368683968,0.0029687990399999997,0.00252144576,0.03155874048,0.0008133696000000001,0.017609451840000002,0.01163118528,,0.07169853024,0.0028467936,0.0002846793600000001,0.0136239408,0.00085403808,0.010167120000000002,0.0021960979200000004,0.0010573804800000002,0.0022774348800000004,0.0067102992,0.00044735328,0.0006100272,0.0030094675199999997,0.0011793859199999998,0.0002033424,4.066848e-05,,0.05075426304
Shanghai,0.00512573184,0.00107910144,0.03183349248,0.02016570816,0.03918487104,0.00647460864,0.008970030720000001,0.046806024960000005,0.00114654528,0.004990844160000001,0.01746795456,0.29054806271999994,0.0030349728,0.00276519744,0.008970030720000001,0.00593505792,,0.00350707968,0.12389433408,0.0040466304,0.0047210688,0.00843048,0.0037768550400000007,0.0008767699199999999,0.01288177344,0.001686096,0.0034396358399999996,0.00182098368,0.0008767699199999999,0.00026977536,0.007688597759999999
Jiangsu,0.0222329448,0.0112849038,0.1209337452,0.197064738,0.089268642,0.016000983,0.0153272574,0.2443939614,0.004884510599999999,0.0154956888,0.05103471419999999,,0.003368628,0.0053898048,0.0161694144,0.0153272574,0.5255059679999999,0.0045476478,0.1923486588,0.0112849038,0.007410981600000001,0.0198749052,0.013979806199999998,0.0011790198000000002,0.0220645134,0.002526471,0.007747844399999999,0.0026949024,0.004210785,0.0003368628,0.037223339399999986
