,Hebei,Tianjin,Shandong,Henan,Shanxi,Hunan,Liaoning,Anhui,Shaanxi,Inner Mongolia,Guangdong,Jiangsu,Heilongjiang,Jilin,Sichuan,Guizhou,Gansu,Shanghai,Zhejiang,Hubei,Fujian,Jiangxi,Yunnan,Hainan,Chongqing,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.44228628288000005,0.07528452984,0.03917109456,0.03644399304,0.026857818,0.022312648799999998,0.02099041776,0.01727164296,0.016941085199999997,0.01578413304,0.014461901999999999,0.01049520888,0.01049520888,0.00966881448,0.008263944,0.007520189040000001,0.007354910159999999,0.007189631279999998,0.00611531856,0.00446252976,0.00404933256,0.00404933256,0.00355349592,0.00314029872,0.00264446208,0.00239654376,0.00223126488,0.00157014936,0.0011569521600000002,0.0004958366400000001,
Tianjin,0.20422361519999999,,0.0195012684,0.0050732082,0.0094627926,0.0008995050000000002,0.0083474064,0.0014751882000000002,0.002158812,0.005217129,0.0045694854,0.0045335052,0.0027704754,0.0024466536,0.001259307,0.0005756832000000001,0.0031302774,0.0035260596,0.0037419408000000003,0.0009354852000000001,0.0016550892,0.0011153862,0.0015111684,0.0009714653999999999,0.0015111684,0.0007915644000000001,0.0002518614000000001,0.0008995050000000002,0.000359802,0.0006476436,0.06559190460000001
Hebei,,0.27576140579999997,0.23263610184,0.08281432872000001,0.13367126088,0.01219879116,0.04759246692,0.0146041866,0.0249130242,0.05652679284,0.03625274556,0.038658141,0.0065289304799999994,0.00979339572,0.016150512239999998,0.004467162960000001,0.00996520968,0.017696837880000003,0.027833861520000003,0.0048107908800000005,0.00996520968,0.00635711652,0.008590698,0.0025772094,0.005326232760000001,0.00755981424,0.0015463256400000001,0.0051544188,0.0032644652399999997,0.0005154418799999999,0.61217313948
Shanxi,0.16000690752,0.02825810064,0.055048248,0.06413120892000002,,0.011468385,0.00990868464,0.015505256519999996,0.15239189988,0.07816851216,0.034129913760000005,0.04651576956,0.00385337736,0.00376163028,0.016697968560000002,0.006697536840000001,0.005688318960000001,0.028074606480000003,0.02376249372,0.011468385,0.0077985018,0.006514042679999999,0.00972519048,0.0018349416,0.008348984280000001,0.0073397664,0.00220192992,0.005229583560000001,0.0027524124,0.00055048248,0.10826155440000003
Inner Mongolia,0.052249027319999995,0.008854981559999999,0.011080317240000002,0.00287439192,0.051646332239999995,0.00213261336,0.08660264688,0.00203989104,0.06179942627999999,,0.00815956416,0.004636116,0.031525588800000004,0.031015616040000006,0.0025498638,0.0006954174000000001,0.01103395608,0.00505336644,0.005238811079999999,0.00060269508,0.0017153629199999998,0.00106630668,0.00217897452,0.00074177856,0.00120539016,0.00152991828,0.0012517513200000002,0.03389000796,0.001159029,,0.03843340164
Liaoning,0.0624027888,0.017491690800000004,0.03313966284,0.00718577568,0.00642937824,0.00316741428,,0.00416018592,0.00316741428,0.06802849476,0.0262375362,0.01801171404,0.0231646716,0.07672706532000001,0.00515295756,0.00113459616,0.0026473910400000005,0.018531737280000002,0.015222498480000003,0.00657120276,0.00486930852,0.00222191748,0.0023164671600000002,0.00222191748,0.0025528413600000004,0.00326196396,0.00089822196,0.00047274839999999997,0.00061457292,0.00018909936000000005,0.05379876792
Jilin,0.02329088904,0.014438632319999999,0.02071256184,0.00210563388,0.0011602472400000002,0.0029650762800000003,0.14137827479999998,0.0024064387200000005,0.0013321357199999999,0.0348074172,0.01899367704,0.01155950028,0.06170796432,,0.0031369647600000003,0.0009024145199999999,0.00068755392,0.014352688080000002,0.016114545,0.0006445818,0.004598016840000001,0.0018048290399999998,0.00249238296,0.00146105208,0.0022345502399999996,0.0033947974800000004,0.0003008048400000001,0.00012891636,0.00025783272,0.00012891636,0.039448406160000005
Heilongjiang,0.017031228480000004,0.01126905696,0.01972996704,0.0023705136000000005,0.000911736,0.00167759424,0.07742462112000001,0.0016411248000000006,0.0022246358399999997,0.035594173439999995,0.0167759424,0.01083142368,,0.07953984864000001,0.0022246358399999997,0.0006199804799999999,0.0003646944,0.013347815039999999,0.0111231792,0.00105761376,0.0024434524800000003,0.0011305526400000002,0.0011305526400000002,0.0027352080000000003,0.0010940832,0.0022246358399999997,0.00021881664,0.00029175552,0.00010940832,7.293888e-05,0.04693616928
Shanghai,0.0060674443199999996,0.0022591548,0.02278518984,0.040729333679999986,0.00509923512,0.009036619199999998,0.00471195144,0.04415033952,0.004841046,0.0013554928799999998,0.015233158079999996,0.2885263416,0.0031628167200000003,0.0029046276,0.008842977359999999,0.00335645856,0.00697110624,,0.12302711568,0.00296917488,0.00813295728,0.0158140836,0.004647404159999999,0.00200096568,0.0032919112800000004,0.00426012048,0.0005809255199999999,0.00109730376,0.00109730376,0.00025818912,0.006454728000000001
Jiangsu,0.01955342268,0.007275692159999999,0.1834080732,0.10519438248,0.01151984592,0.013035615119999998,0.01045880748,0.22842641844,0.01333876896,0.00333469224,0.051232998959999984,,0.00394099992,0.00409257684,0.017128191959999997,0.00500203836,0.01834080732,0.4918671054,0.22039284168,0.006669384479999999,0.01985657652,0.02000815344,0.011065115159999998,0.0030315384,0.006214653719999999,0.007275692159999999,0.0013641922799999995,0.00212207688,0.004698884519999999,0.0004547307599999999,0.02303969184
Zhejiang,0.006011761680000001,0.0021807370800000004,0.01998026676,0.02499006816,0.0021217982399999997,0.01809422388,0.006306455880000001,0.045972295200000006,0.00536343444,0.0023575536000000003,0.048565604160000005,0.09023536404000003,0.0025933089600000004,0.006836905440000001,0.014263199280000001,0.0094302144,0.0063653947200000005,0.15371249471999998,,0.006070700520000001,0.035540120519999996,0.04561866216,0.0097249086,0.00312375852,0.005893884,0.00536343444,0.0004715107200000001,0.00094302144,0.00100196028,0.00011787768000000003,0.008899764840000001
Anhui,0.01135197504,0.00648684288,0.039934626479999985,0.22075537176,0.005067845999999999,0.014595396479999996,0.007094984399999999,,0.00648684288,0.004865132159999999,0.09669450167999998,0.5568549184799999,0.00182442456,0.0020271384,0.009730264319999998,0.0030407075999999995,0.004865132159999999,0.3099494613599999,0.5351645375999999,0.02006867016,0.03811020191999999,0.05047574616,0.00567598752,0.00425699064,0.004865132159999999,0.008311267439999997,0.0012162830399999995,0.00040542768,0.00141899688,0.00040542768,0.05189474304
Fujian,0.005739854399999999,0.0032022345599999995,0.01305061632,0.013654811519999996,0.0048335616,0.016252850880000003,0.008760830399999999,0.009848381759999998,0.0033230736,0.00205426368,0.20488259231999995,0.035707936319999994,0.00235636128,0.00217510272,0.011842225919999998,0.008821249920000001,0.00924418656,0.051356592,0.08452690847999997,0.003020976,,0.0374601024,0.016554948479999998,0.00658572768,0.0081566352,0.0193342464,0.00036251711999999987,0.0009062928,0.001510488,0.00018125856,0.014259006719999997
Jiangxi,0.00374444532,0.00142645536,0.01052010828,0.008558732159999999,0.0008915346,0.08255610396,0.00213968304,0.0392275224,0.00231798996,0.00124814844,0.75013721244,0.06526033272000001,0.00035661384,0.00071322768,0.00873703908,0.00677566296,0.0080238114,0.10110002364,0.38371649184,0.01979206812,0.22270534308,,0.012124870559999999,0.00552751452,0.00784550448,0.016939157399999998,0.0005349207599999999,0.0005349207599999999,0.00124814844,,0.015512702039999996
Shandong,0.19604163024,0.04280495544,,0.1348736022,0.027861213600000004,0.01431053244,0.029254274280000003,0.03723271272,0.019629491399999997,0.015830235,0.06446071692000001,0.26683444116,0.01342403928,0.010637917920000002,0.021529119600000004,0.0036726145200000004,0.010511276040000002,0.08409020832000001,0.09510805187999999,0.006458735880000001,0.017096653800000004,0.017223295680000004,0.00987806664,0.004305823920000001,0.006205452120000001,0.01038463416,0.0027861213599999998,0.0037992564,0.007218587159999999,0.0006332094000000001,0.09016901856
Henan,0.08569194120000002,0.013094498880000005,0.15540089112000002,,0.05719214952000001,0.03620243808,0.01001344032,0.2695926240000001,0.032351114880000004,0.006547249440000002,0.27094058711999996,0.21528896688,0.0028884924000000005,0.002695926240000001,0.029462622480000006,0.00828034488,0.01367219736,0.14230639224000002,0.24494415552000004,0.06566506056,0.042942253680000014,0.03158085024,0.013864763520000002,0.004429021680000001,0.008665477200000002,0.014827594320000003,0.00250336008,0.0028884924000000005,0.008472911040000001,0.0013479631200000006,0.12863419488
Hubei,0.00384755508,0.0022340642400000004,0.0039302982,0.059161330800000016,0.0011584036800000002,0.10615942296,0.0011584036800000002,0.015514335,0.016755481800000003,0.0007446880800000001,0.07244160156,0.007653738600000001,0.00078605964,0.0008274312000000001,0.01476964692,0.0018203486399999997,0.0014893761600000002,0.01079797716,0.00860528448,,0.003351096360000001,0.02068578,0.00281326608,0.00024822936,0.04662574812,0.0028960092,0.0002896009200000001,0.00033097248000000005,8.274312000000001e-05,4.137156000000001e-05,0.005585160600000001
Hunan,0.005331906,0.002781864,0.009968346,0.013677498,0.002550042,,0.002550042,0.012518388000000002,0.004404618,0.001390932,1.465578684,0.044973467999999996,0.001390932,0.000927288,0.015532074000000003,0.06583744799999999,0.003013686,0.045437112,0.16737548400000002,0.090642402,0.05215995,0.094583376,0.030368682000000008,0.0069546600000000005,0.028282283999999998,0.094119732,0.000463644,0.000463644,0.00115911,0.0006954659999999999,0.04868262000000001
