,Hebei,Tianjin,Shandong,Henan,Liaoning,Shanxi,Hunan,Inner Mongolia,Anhui,Shaanxi,Guangdong,Jiangsu,Heilongjiang,Sichuan,Jilin,Gansu,Shanghai,Zhejiang,Guizhou,Chongqing,Fujian,Hubei,Yunnan,Jiangxi,Hainan,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.38161581516000004,0.05990246136,0.0472276818,0.040607733240000006,0.03100073472,0.029628306360000006,0.02292762672,0.02026350108,0.0185681484,0.01840668624,0.01719572004,0.01275551064,0.01275551064,0.011463813359999998,0.010898695800000002,0.00912261204,0.009041880960000002,0.009041880960000002,0.007992376919999999,0.005812637759999999,0.0052475202,0.004601671559999999,0.00427874724,0.00395582292,0.0032292432,0.00274485672,0.00209900808,0.0016953526800000001,0.0008073108,0.0005651175600000001,
Tianjin,0.25926995808000003,,0.03326228712,0.009052722,0.01536376248,0.02001944808,0.00170708472,0.01727776656,0.002845141200000001,0.0022243831200000003,0.007500826800000001,0.0071904477599999995,0.0041383871999999995,0.0023278428000000004,0.0031555202399999997,0.0027934113600000003,0.00475914528,0.004655685600000001,0.0007759476000000001,0.0007759476000000001,0.00237957264,0.00268995168,0.00196573392,0.00093113712,0.0008276774400000003,0.0007759476000000001,0.0005690282400000001,0.00025864919999999997,0.0005172983999999999,0.00015518952,0.10640828088
Hebei,,0.36268428456,0.26923467528,0.09685190088,0.06849947088000001,0.16625864952000002,0.01156779144,0.06849947088000001,0.01497008304,0.03130108272,0.03334245768,0.04785890184,0.008619138719999999,0.017918735760000002,0.011340972,0.013155527520000002,0.0238160412,0.035610652080000006,0.00385593048,0.007031402640000001,0.0079386804,0.00725822208,0.00975323592,0.006577763760000001,0.00272183328,0.0068045831999999995,0.0013609166399999998,0.0052168471200000005,0.0034022915999999998,0.00045363888,0.92134056528
Shanxi,0.1480542624,0.0370135656,0.0534837168,0.0657920556,0.008412174,,0.0069953868,0.0740271312,0.0136365768,0.154075608,0.0328517532,0.049321904400000005,0.0020366316,0.013548027600000002,0.0023908284000000004,0.0063755424,0.024351030000000003,0.0258563664,0.0030106728000000005,0.005224402800000001,0.0061098948000000005,0.0065526408000000005,0.007792329600000002,0.0038961648,0.0034534188000000005,0.0038961648,0.00221373,0.004516009200000001,0.0026564759999999996,0.0004427460000000001,0.1162650996
Inner Mongolia,0.0607647096,0.0138933144,0.0124594848,0.00370818,0.08756249039999998,0.051815635199999995,0.001483272,,0.0015821568,0.06249519360000001,0.0100368072,0.005933088,0.0310498272,0.002966544,0.031791463199999995,0.0123111576,0.0051420096000000005,0.004054276799999999,0.0005933087999999999,0.0007416359999999999,0.0016810416,0.0026698896,0.001483272,0.0009394056,0.0010382903999999998,0.0012855024000000001,0.0011866175999999998,0.030456518399999997,0.0010382903999999998,4.94424e-05,0.051172884
Liaoning,0.061241896799999994,0.01711935648,0.029746064160000002,0.00600596208,,0.0069990739199999995,0.00264829824,0.07533462672,0.004114320479999999,0.00274288032,0.024733213920000004,0.01707206544,0.023361773760000003,0.004634521920000001,0.06937595568,0.0016078953599999999,0.016126244640000002,0.01834892352,0.00132414912,0.00156060432,0.0048236860799999995,0.0014187312,0.00373599216,0.002364552,0.0017497684799999999,0.0024118430399999997,0.0005202014400000001,0.00042561935999999994,0.00061478352,0.00028374624,0.06956511984000001
Jilin,0.017638641,0.0149218848,0.0260322012,0.0038926656,0.11321169119999999,0.0035682768000000007,0.003041145,0.0319522968,0.0019868814,0.0029600478,0.017192606399999998,0.0115158024,0.061633872,0.0045008946,,0.0006082290000000001,0.0102587958,0.019503876599999997,0.0007704233999999999,0.0005676804000000001,0.0031627908,0.0036899226,0.0032033394000000005,0.0015813954,0.0014597496,0.0015408467999999999,0.000202743,0.0001621944,0.0001621944,4.05486e-05,0.043792488
Heilongjiang,0.0201872088,0.0141866802,0.0349302294,0.003576474000000001,0.0669198024,0.002781702,0.0023445773999999997,0.031949834399999995,0.0028214406,0.000993465,0.0218164914,0.012120273,,0.002980395,0.0758609874,0.00035764740000000003,0.0136700784,0.013908510000000002,0.0010729422000000002,0.0006755562000000001,0.002781702,0.002980395,0.0030201335999999997,0.0012318966,0.0032983038,0.0014305896,0.000397386,0.0001192158,0.000198693,0.0001192158,0.0578991402
Shanghai,0.00528245712,0.0022726850400000003,0.02377105704,0.0386970696,0.006940902959999999,0.005036761439999999,0.01025779464,0.0018427176,0.0402326676,0.0048524896800000005,0.01922568696,0.24667846272,0.00319404384,0.00958213152,0.00294834816,0.007555142159999999,,0.12598045992,0.00374685912,0.0039925548,0.008722196639999999,0.00380828304,0.0048524896800000005,0.015417403919999998,0.00159702192,0.00380828304,0.0006142392,0.00202698936,0.0006142392,0.00024569568000000003,0.008046533520000001
Jiangsu,0.017273599919999997,0.00907595928,0.16775886024,0.09251623008,0.01156452876,0.01361393892,0.013760325359999995,0.004684366079999999,0.22075075151999995,0.017566372799999997,0.05694432516,,0.004391593199999999,0.016980827039999997,0.0051235254,0.017419986359999997,0.4382810013600001,0.21855495492,0.0074657084400000006,0.007758481319999998,0.022836284640000003,0.0051235254,0.010393437239999996,0.02649594564,0.0021957966,0.007758481319999998,0.0014638644,0.00336688812,0.00395243388,0.00029277288,0.035279132039999994
Zhejiang,0.00785802384,0.0026615887199999996,0.02034214236,0.025158350519999997,0.007034198760000001,0.005323177439999999,0.022179906000000003,0.0025348464,0.04562723520000001,0.004752837,0.06413161392000001,0.09588056508000002,0.00329530032,0.01432188216,0.00621037368,0.006907456440000001,0.14866874136000002,,0.01248411852,0.006907456440000001,0.036121561200000006,0.00386564076,0.0136247994,0.04708477188,0.00297844452,0.00931556052,0.00057034044,0.0006337116,0.00145753668,0.00012674232000000002,0.014005026359999999
Anhui,0.0095452344,0.007526050199999999,0.0354275046,0.2235787596,0.0089945478,0.004956179400000001,0.0126657918,0.002753433,,0.005506866,0.0967372794,0.4980042486,0.0012849354000000002,0.00917811,0.0022027464000000004,0.006424676999999999,0.22045820219999998,0.5025933036,0.004956179400000001,0.0047726172,0.0390987486,0.0168877224,0.004956179400000001,0.04882754520000001,0.0025698708000000004,0.008076736800000001,0.0005506866000000001,0.0005506866000000001,0.0012849354000000002,0.0003671244000000001,0.052315227000000006
Fujian,0.0052988256,0.004239060479999999,0.014505535080000001,0.01669130064,0.009935298,0.00556376688,0.01741988916,0.0026494128,0.013710711240000001,0.003311766,0.22023243899999997,0.04398025248,0.00238447152,0.013379534640000001,0.00377541324,0.0058287081599999995,0.04775566572,0.0914047416,0.0119223576,0.01033270992,,0.00311306004,0.0202017726,0.039012603480000005,0.00536506092,0.02291742072,0.0005298825599999999,0.00192082428,0.0017883536399999997,,0.01881083088
Jiangxi,0.0043659,0.00297675,0.0087318,0.0103194,0.00337365,0.0019844999999999997,0.07937999999999999,0.0013891500000000002,0.03552255,0.0027783000000000005,0.91227465,0.07382340000000001,0.0005953499999999999,0.011907,0.0007938,0.009327149999999998,0.0956529,0.41257755,0.00853335,0.0091287,0.21115079999999997,0.0190512,0.01805895,,0.00496125,0.01924965,,0.0011906999999999998,0.0015876,,0.02044035
Shandong,0.21884324364,0.07453455408000001,,0.14743696464000006,0.025706260440000003,0.033186918239999995,0.011288992680000002,0.011152980719999999,0.043251803280000015,0.018769650480000004,0.05753305908000001,0.27447213528000003,0.010880956800000004,0.020945841840000003,0.00965684916,0.007208633880000002,0.07793485308000002,0.09153604908,0.005848514280000001,0.00421637076,0.018497626560000004,0.007344645840000001,0.0081607176,0.016457447160000003,0.0036723229200000007,0.00843274152,0.002720239200000001,0.002992263120000001,0.0040803588,0.0005440478400000001,0.14063636664
Henan,0.08720441856000001,0.017280138239999996,0.15190447104000002,,0.010247523840000002,0.061083279359999985,0.03335468544,0.007233546239999999,0.27768780287999995,0.035564935679999986,0.2642253696,0.22444086528,0.00221025024,0.02833138944,0.00281304576,0.016074547199999997,0.13623178751999998,0.29476700927999994,0.007434478079999998,0.009845660159999998,0.059274892799999986,0.06490098432,0.010046591999999998,0.031144435199999994,0.004219568639999999,0.012256842239999998,0.00381770496,0.0020093184,0.008037273599999999,0.00180838656,0.14045135615999998
Hubei,0.0020208787200000004,0.00187653024,0.0031395794399999995,0.056873301120000004,0.0012630492,0.00184044312,0.09516173544,0.0006134810400000001,0.014507022239999997,0.01447093512,0.05874983136,0.007397859599999998,0.00043304544000000004,0.00790307928,0.00032478408,0.0012630492,0.00765046944,0.0075782952000000015,0.00230957568,0.04305193416,0.00400567032,,0.0015517461600000001,0.01804356,0.00028869696000000003,0.00353653776,0.00028869696000000003,0.00014434848,0.00028869696000000003,,0.0037891476
Hunan,0.00538597836,0.00333417708,0.00948958092,0.01461908412,0.00333417708,0.0038471274,,0.0012823758000000002,0.01564498476,0.004616552879999999,1.635029145,0.04924323072,0.0007694254799999999,0.01692736056,0.0010259006400000002,0.00436007772,0.04411372752000001,0.2231333892,0.0692482932,0.02513456568,0.06129756324000001,0.09181810728,0.035906522399999995,0.09566523468,0.011284907040000002,0.09002278116000001,0.0007694254799999999,0.0007694254799999999,0.0010259006400000002,0.0007694254799999999,0.041036025600000005
Guangdong,0.009060984,0.003211488000000001,0.016630919999999997,0.041175864,0.01261656,0.008143415999999999,0.228359736,0.0051613200000000005,0.014107608,0.009519768,,0.020989367999999998,0.006078888,0.036243936,0.00630828,0.01548396,0.020415888,0.040372992,0.071799696,0.020186496,0.072143784,0.01548396,0.023168592000000002,0.081778248,0.042552216,0.223542504,0.006996455999999999,0.0013763520000000002,0.0066523680000000005,0.000229392,0.020415888
Guangxi,0.006905204640000001,0.0011508674399999998,0.007097015880000002,0.0115086744,0.00517890348,0.00249354612,0.06732574524,0.0011508674399999998,0.004795281,0.00249354612,1.524899358,0.011700485640000001,0.0017263011600000002,0.025894517400000004,0.0009590562,0.00230173488,0.01131686316,0.03299153328,0.08228702196,0.00556252596,0.016687577880000002,0.006329770920000001,0.04948729992,0.013426786799999998,0.008439694559999999,,0.00019181124000000005,0.0003836224800000001,0.0003836224800000001,,0.00997418448
Hainan,0.011123286119999999,0.00133861896,0.006629351039999999,0.020429875080000003,0.00777673872,0.006565607280000001,0.0097209234,0.0074898918,0.00194418468,0.00538634772,0.08949623904000001,0.003983985000000001,0.017242687080000003,0.0211948002,0.010422104759999998,0.00490826952,0.006820582320000003,0.01026274536,0.01023087348,0.0125893926,0.0024860066400000003,0.0036333943200000003,0.0008605407600000001,0.00611940096,,0.0113145174,0.0018166971600000002,0.0007330532400000001,0.0021035440800000003,9.561564e-05,0.0234258318
Chongqing,0.00702584604,0.00249017328,0.00560288988,0.007826258879999999,0.0022233689999999998,0.004179933719999999,0.043489097639999995,0.00053360856,0.0072037155600000015,0.006136498440000001,0.18551790936,0.01805375628,0.0004446738,0.23541030972,0.00035573904000000005,0.0044467379999999996,0.02063286432,0.06189859296,0.095604867,,0.04953666132,0.05433913836,0.029081666519999997,0.01307340972,0.0028459123200000004,0.016808669640000003,0.0008893476000000002,0.0004446738,0.00160082568,0.00249017328,0.0075594545999999995
Sichuan,0.01317617928,0.00611069184,0.018904952880000003,0.0372370284,0.00973891512,0.0124123428,0.03303592776,0.00210055032,0.01775919816,0.04468443408,0.39509441928000005,0.057478695119999985,0.00152767296,,0.00152767296,0.025970440319999996,0.042011006399999995,0.13539001607999998,0.16842594384,0.35632971792,0.0630165096,0.00973891512,0.28815731208,0.015658647839999998,0.00840220128,0.059770204560000005,0.0053468553600000005,0.0009547956,0.01069371072,0.03169921392,0.03360880512
Guizhou,0.00222912,0.0006687360000000001,0.0031207680000000003,0.004346784,0.0007801920000000001,0.001226016,0.085152384,0.000222912,0.003789504,0.0013374720000000001,0.293798016,0.016161119999999998,0.000445824,0.108000864,0.000222912,0.0006687360000000001,0.013932,0.10499155199999999,,0.08682422399999999,0.04681152,0.005238432,0.191481408,0.024185952,0.002897856,0.097301088,,0.000111456,0.000222912,0.00033436800000000003,0.016161119999999998
Yunnan,0.004388175,0.00303183,0.00686151,0.00686151,0.00239355,0.00287226,0.02138238,0.00127656,0.00367011,0.004069035,0.107949105,0.012685815,0.00063828,0.246615435,0.000558495,0.00303183,0.01228689,0.037100025,0.208956915,0.014760225000000004,0.014441085,0.0047871,,0.00590409,0.0015159149999999998,0.056727134999999984,0.00063828,0.000398925,0.000398925,0.0015159149999999998,0.00877635
Tibet,0.00012959676000000002,3.094848e-05,9.6714e-05,0.0003887902799999999,6.383124e-05,0.00012959676000000002,0.000193428,9.6714e-05,3.094848e-05,0.000193428,0.00035590752,0.000193428,,0.00865010016,3.094848e-05,0.0012959675999999999,6.383124e-05,3.094848e-05,3.094848e-05,0.0007775805599999999,6.383124e-05,,0.0014565128400000002,6.383124e-05,3.094848e-05,6.383124e-05,0.000290142,3.094848e-05,0.0045030038399999995,,3.094848e-05
Shaanxi,0.0146633976,0.00612412488,0.01707854544,0.04217883192,0.00379523232,0.13102177032,0.013197057840000002,0.06952175568,0.021218798880000004,,0.08815289616000001,0.07219566935999999,0.0008625528,0.04450772448,0.00224263728,0.07952736816,0.033035772240000004,0.05183942328,0.011816973359999998,0.008884293840000002,0.012938292,0.020701267199999998,0.00845301744,0.00543408264,0.0012938291999999999,0.006469145999999999,0.0023288925600000003,0.03398458032,0.00750420936,0.00163885032,0.04856172263999999
Gansu,0.005592026159999999,0.00632540664,0.009396437399999995,0.013246684920000001,0.0011000707199999998,0.00380441124,0.00403359264,0.01544682636,0.00692127828,0.07984679976,0.02626418844,0.03190205088,0.00050419908,0.02837265732,0.0004583628,,0.02777678568,0.01888454736,0.00265850424,0.007058787120000001,0.00472113684,0.00330021216,0.0028418493599999995,0.00307103076,0.0005500353599999999,0.002291814,0.01003814532,0.0632540664,0.05491186343999999,0.0016501060799999998,0.02145137904
Qinghai,0.00074358648,0.00032196528,0.0008739057599999999,0.0012265344,0.00022230936000000001,0.00032196528,0.0005136112799999999,0.00070525728,0.00045228456,0.0018398016,0.00197012088,0.0014565096,0.000191646,0.006377978879999999,0.00016098264,0.04263740208,0.0005442746400000001,0.00109621512,0.00025297272,0.00045228456,0.0005136112799999999,0.00022230936000000001,0.00058260384,0.00022230936000000001,,0.000191646,0.00213110352,0.0018398016,,0.00631665216,0.0021694327200000004
Ningxia,0.0019665763200000003,0.00092544768,0.0028052632800000003,0.0022991590800000004,0.00028920240000000004,0.0025594412400000003,0.0006796256399999999,0.0349211898,0.0011278893600000005,0.022933750319999998,0.004178974680000001,0.00212563764,8.676072e-05,0.00258836148,5.7840480000000015e-05,0.04609886256,0.0033258276,0.0015472328400000005,0.00047718395999999996,0.00089652744,0.00135925128,0.0017352144000000007,0.0005784048000000001,0.00021690180000000006,0.00015906132000000002,0.00011568096000000003,0.00044826372,,0.00212563764,8.676072e-05,0.005624986680000001
Xinjiang,0.0008698914000000003,0.0005136501600000001,0.0029079226799999997,0.00333044136,0.0006462050400000001,0.0007373365200000001,0.0008036139600000003,0.0031067550000000005,0.0005467888799999999,0.0025268274000000003,0.01318092588,0.00304047756,0.00019054764,0.010430412120000005,0.0002899638,0.016329104280000003,0.00333044136,0.00203803128,0.00015740892000000006,0.00197175384,0.0009693075599999999,0.00038109528,0.0004473727200000001,0.0002899638,0.0013586875199999998,0.0007704752400000003,,0.0007373365200000001,0.0038192374800000007,2.485404e-05,0.00692599248
Taiwan,6.454079999999999e-05,3.2270399999999995e-05,0.0001936224,3.2270399999999995e-05,3.2270399999999995e-05,6.454079999999999e-05,0.0002581632,,9.68112e-05,,0.004567875119999999,0.00349811136,,6.454079999999999e-05,,,0.00294790104,0.0008099870399999997,,6.454079999999999e-05,0.00249450192,,,9.68112e-05,,3.2270399999999995e-05,,3.2270399999999995e-05,,,0.0003549744
Hong Kong,6.174144000000001e-05,6.174144000000001e-05,6.174144000000001e-05,0.00012734172,0.00012734172,6.174144000000001e-05,0.00022381272000000001,3.0870720000000004e-05,3.0870720000000004e-05,6.174144000000001e-05,0.031233450960000006,0.00015821244,3.0870720000000004e-05,0.000192942,6.174144000000001e-05,,0.0013583116800000002,0.00042061356,6.174144000000001e-05,0.00015821244,0.0015551125199999999,6.174144000000001e-05,3.0870720000000004e-05,,0.00012734172,0.00022381272000000001,,,,,0.0010341691199999999
Macau,,,,9.435204e-05,2.77506e-05,2.77506e-05,0.00019425419999999995,,,,0.05390831555999999,6.105131999999999e-05,,9.435204e-05,,,,6.105131999999999e-05,,2.77506e-05,2.77506e-05,,,,,2.77506e-05,,,,,
