,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Hunan,Anhui,Guangdong,Inner Mongolia,Shaanxi,Jiangsu,Sichuan,Shanghai,Jilin,Zhejiang,Heilongjiang,Gansu,Guizhou,Jiangxi,Fujian,Yunnan,Hainan,Chongqing,Guangxi,Hubei,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.44131587696,0.07558147584,0.05150804904,0.046420834320000014,0.03742736544,0.03097750392,0.02507270112,0.02116644696,0.0199854864,0.01944042768,0.017896094640000002,0.014262369840000002,0.01144623312,0.011173703759999999,0.010992017520000001,0.010174429440000002,0.0099927432,0.009084311999999999,0.008085037679999999,0.0058139596799999995,0.00563227344,0.00472384224,0.0035428816799999993,0.00345203856,0.00336119544,0.0029978229600000003,0.00236192112,0.00154433304,0.0008175880800000001,0.00036337247999999997,
Tianjin,0.31205799504,,0.040273770240000006,0.010259615520000001,0.024470138880000002,0.0156124584,0.001593108,0.00363228624,0.0076469184,0.01484776656,0.00242152416,0.0098772696,0.00248524848,0.004779324000000001,0.0050979456,0.00458815104,0.005225394239999999,0.00248524848,0.0016568323199999998,0.0009558648,0.00216662688,0.0017205566399999999,0.0007009675200000001,0.0018480052800000002,0.0007646918400000001,0.0008921404800000002,0.00019117296000000002,0.00114703776,0.00025489728000000004,6.372432000000001e-05,0.15657065424
Hebei,,0.4397188032,0.32795694072,0.11023506108,0.26352592164,0.08519551812000001,0.014351933159999997,0.017710896239999996,0.03847539528,0.10809753912,0.060461335439999986,0.059545254599999986,0.020153778480000002,0.025039542959999998,0.013435852319999999,0.03939147612,0.008855448119999998,0.010076889240000001,0.0061072056,0.010076889240000001,0.010076889240000001,0.01160369064,0.003969683639999999,0.007939367279999998,0.008550087840000001,0.0045804042,0.00122144112,0.00549648504,0.00274824252,0.00061072056,1.33350834276
Shanxi,0.19461546,0.04299504624,0.07042085568,0.0814390848,,0.012215862720000002,0.008383435199999999,0.01209609936,0.03724640496,0.11784714624000002,0.27677312496,0.05568996240000002,0.018084267360000003,0.02419219872,0.00287432064,0.034611611040000004,0.003353374080000001,0.0074253283200000015,0.00550911456,0.005868404640000001,0.0067067481600000005,0.008383435199999999,0.00251503056,0.0074253283200000015,0.005269587840000001,0.007784618400000002,0.00227550384,0.0064672214399999995,0.00191621376,0.0005988168,0.13461401664
Inner Mongolia,0.0704892942,0.016791494400000002,0.017024709600000004,0.0047226078000000005,0.06856526880000001,0.1023814728,0.0010494684000000002,0.0012826836000000002,0.0097367346,,0.0826164846,0.006471721800000001,0.003265012800000001,0.0055971648,0.0353321028,0.006238506600000002,0.031367444400000014,0.014401038600000002,0.0006996456,0.0012826836000000002,0.0015158988000000002,0.0022155444000000004,0.0006413418000000001,0.0013992912,0.0008745570000000001,0.0022155444000000004,0.0022155444000000004,0.030842710200000005,0.0015742026000000002,0.0003498228,0.059120053200000015
Liaoning,0.10284560928000004,0.03565669248,0.03652150032,0.00891417312,0.018160964640000003,,0.0037253260800000007,0.004523610240000001,0.028206040320000007,0.09606019392,0.0022618051200000004,0.0186266304,0.0055214654400000006,0.018160964640000003,0.11062887984,0.02587771152000001,0.03425969520000001,0.00192918672,0.0011309025600000002,0.0021952814400000003,0.0055214654400000006,0.003525755040000001,0.0026609472000000004,0.003592278720000001,0.00325966032,0.0036588024000000006,0.0005321894400000001,0.00059871312,0.0005321894400000001,0.00026609472000000003,0.08488421568
Jilin,0.017943991560000004,0.015223875480000003,0.02162931012,0.00359757288,0.0074583828000000015,0.13144302864000004,0.0025446247200000003,0.0025884975600000003,0.019304049600000005,0.03803775228,0.0015794222400000002,0.013995435960000002,0.005396359320000001,0.01263537792,,0.021760928640000003,0.061246484640000015,0.0008335839600000001,0.00100907532,0.0017549136000000005,0.004299538320000001,0.00653705316,0.0016232950800000006,0.00100907532,0.0015355494,0.0008335839600000001,0.00013161852000000002,0.00017549136000000006,0.0004826012400000001,0.00021936420000000004,0.041152723920000016
Heilongjiang,0.0203793408,0.016497561600000002,0.029800742400000003,0.0044074368,0.008936179199999998,0.0703168128,0.0024261120000000002,0.0021430656,0.0180340992,0.0282642048,0.0014556672,0.012979699199999998,0.0030730752000000003,0.013464921599999999,0.0809512704,0.0182362752,,0.0006469632,0.0010513152,0.0015365376000000001,0.0029113344,0.0022643712000000003,0.0032348159999999997,0.0007682688000000001,0.0016982783999999998,0.0009704448,0.0001617408,0.0004852224,0.00028304640000000004,4.04352e-05,0.0562453632
Shanghai,0.005458622399999999,0.0027293111999999995,0.024641781119999998,0.02869675776,0.00998148096,0.00670630752,0.0093576384,0.04429282175999999,0.019105178400000002,0.00148162608,0.004990740479999999,0.34108591968,0.01115118576,,0.0031971931199999987,0.19128572496,0.0027293111999999995,0.008187933599999999,0.0039769963200000005,0.016219906559999997,0.00998148096,0.006160445279999999,0.00132566544,0.0042889176,0.0036650750399999992,0.0042889176,0.0007798032000000001,0.001949508,0.00132566544,0.00031192128,0.008343894240000002
Jiangsu,0.0224756532,0.010757577600000002,0.2220671376,0.0906710112,0.0341937288,0.0111417768,0.0130627728,0.2635606512,0.0587824776,0.0036498924,0.0128706732,,0.017096864399999998,0.6400758672,0.005762988,0.3442424832000001,0.005378788800000001,0.016520565600000002,0.0084523824,0.025933446,0.025357147200000003,0.0103733784,0.0042261912,0.0071076852,0.009028681199999998,0.007876083599999998,0.0015367967999999998,0.0026893944000000005,0.0036498924,0.00038419919999999996,0.038612019599999985
Zhejiang,0.0065100186,0.0032924232,0.023271445800000002,0.0267135246,0.0192307446,0.0098024418,0.0219993732,0.0573929226,0.055297744199999985,0.0019455228,0.005612085,0.1252617372,0.017210394,0.1838519046,0.0065100186,,0.0040407012,0.0077072634,0.014067626399999998,0.0576922338,0.0406314954,0.0143669376,0.00374139,0.0088296804,0.0077072634,0.0050134626,0.0008979335999999998,0.0008979335999999998,0.0016462116,0.00014965560000000002,0.015339698999999997
Anhui,0.012952871999999999,0.01088041248,0.05077525824,0.25724403792,0.02176082496,0.0064764359999999995,0.01502533152,,0.08004874895999999,0.00207245952,0.007253608320000001,0.8051505235199999,0.00854889552,0.26631104832,0.00284963184,0.83053815264,0.0018134020800000003,0.0038858615999999998,0.0051811488,0.058546981439999986,0.038599558560000004,0.0051811488,0.00414491904,0.005440206239999999,0.007253608320000001,0.01632061872,0.0007771723199999999,0.0007771723199999999,0.0012952872,0.00103622976,0.058546981439999986
Fujian,0.0039113118,0.00362685276,0.015716361959999998,0.016640853839999997,0.01095167304,0.00910268928,0.01678308336,0.0117339354,0.24420808584000006,0.0021334428,0.0039113118,0.04273997076,0.015005214359999996,0.043522233119999996,0.00419577084,0.11193463224,0.00206232804,0.0076803940800000015,0.01159170588,0.0565362342,,0.01820537856,0.0067559022,0.00682701696,0.01820537856,0.0024890166,0.00085337712,0.00220455756,0.0017778689999999998,0.00014222952,0.0152896734
Jiangxi,0.004749396120000001,0.002487778920000001,0.012212732880000002,0.00995111568,0.013569703200000002,0.002487778920000001,0.11036691936,0.0463631526,0.90736082064,0.00135697032,0.0029401023600000003,0.0927263052,0.01176040944,0.09702337788,0.0006784851600000001,0.5540962140000001,0.0009046468800000002,0.00972495396,0.009046468800000002,,0.27863123904000003,0.01289121804,0.006106366440000001,0.00655868988,0.016057482119999997,0.0214853634,0.0004523234400000001,0.0015831320400000006,0.0018092937600000004,0.0004523234400000001,0.02239001028
Shandong,0.2907888951600001,0.10569093516,,0.18435756816000004,0.07774114320000003,0.033872926680000005,0.015363130680000003,0.05478899616000001,0.06367369824,0.021286265400000004,0.029245477680000007,0.3770445445200001,0.024247832760000004,0.10587603312000002,0.014252542920000003,0.14419131084,0.014807836800000003,0.010365485760000005,0.0046274490000000005,0.01962038376,0.021656461319999997,0.01055058372,0.0027764694000000003,0.009254898,0.00981019188,0.007033722480000001,0.0033317632800000004,0.0024062734800000003,0.0046274490000000005,0.00111058776,0.18343207836000006
Henan,0.10897445808000003,0.02827818216,0.19357910064,,0.11012397768,0.011725099920000004,0.03264635664,0.28990884312,0.21496016520000005,0.00712702152,0.043681744800000005,0.30416288616000003,0.030807125280000007,0.13357417752,0.003908366640000001,0.3832498346400001,0.00275884704,0.0160932744,0.007816733280000002,0.02850808608,0.0540274212,0.015403562640000003,0.006437309760000003,0.008276541120000001,0.012874619520000005,0.06713194464000001,0.003678462720000001,0.0022990392,0.0057475980000000005,0.0020691352800000003,0.16553082240000005
Hubei,0.002891376,0.0015541146,0.00361422,0.0546470064,0.0172759716,0.0012649769999999998,0.09310230719999997,0.016480843199999998,0.0489003966,0.0002891376,0.0134448984,0.007589861999999999,0.006324885,0.0056743254,0.001084266,0.006505596,0.000542133,0.0009758394000000001,0.0018432522,0.0192276504,0.0035419356,0.0017709678,0.00032527979999999993,0.044238052800000004,0.0033250824,,0.0005059908000000001,0.0003975642,0.0001445688,3.61422e-05,0.0032889402000000002
Hunan,0.00555955488,0.00480143376,0.00783391824,0.01819490688,0.019458442080000003,0.00454872672,,0.01490971536,1.5392385806400002,0.0020216563199999997,0.00303248448,0.0581226192,0.012635351999999999,0.0366425208,0.0007581211199999999,0.19660607712000006,0.0010108281599999999,0.0035378985600000006,0.11371816800000001,0.12104667215999998,0.05534284176,0.023754461759999998,0.00833933232,0.031082965919999997,0.10310447232,0.08971099919999999,0.0005054140799999999,0.00025270703999999997,0.0015162422399999998,0.0005054140799999999,0.04447643904
Guangdong,0.007986301920000001,0.0035027640000000002,0.02017592064,0.0406320624,0.031945207680000004,0.01064840256,0.27867990384,0.015131940480000002,,0.0035027640000000002,0.01064840256,0.023118242400000003,0.03768974064,0.02297813184,0.0056044224,0.04959913824,0.007986301920000001,0.014431387680000001,0.08476688880000001,0.10690435728,0.07650036576000001,0.024519348,0.0392309568,0.01877481504,0.2704133808,0.0168132672,0.007986301920000001,0.0012609950399999998,0.006445085759999999,0.00028022112,0.021156694559999998
Guangxi,0.0064779588,0.0011431692,0.006668486999999999,0.0125748612,0.0110506356,0.0030484512,0.07621127999999999,0.0045726768,1.4724019296000002,0.0011431692,0.0026673948000000003,0.0110506356,0.025530778799999997,0.008954825399999998,0.0024768666,0.031246624799999994,0.0017147538000000001,0.0024768666,0.1025041716,0.0158138406,0.0165759534,0.0554437062,0.009335881800000001,0.007049543399999999,,0.0036200358,0.0003810564,0.0003810564,0.0007621128,,0.008954825399999998
Hainan,0.013169757599999998,0.0027945583199999995,0.006360029279999999,0.01969039368,0.010857019679999998,0.01162793232,0.00921883032,0.00186303888,0.07815126888,0.007612762320000002,0.0051394176000000005,0.0058139661600000005,0.02550435984,0.00783761184,0.011178233279999998,0.01114611192,0.01773099072,0.00501093216,0.008993980799999999,0.0064885147200000005,0.004818204,0.002409102,,0.011788539119999998,0.007933975920000001,0.0013812184799999998,0.0019272816,0.00038545632,0.0013812184799999998,9.636408e-05,0.02190676752
Chongqing,0.0042072987599999995,0.0012020853600000002,0.007212512159999999,0.00609629004,0.00892977696,0.0030910766400000004,0.03838086828,0.00523765764,0.11445569892000003,0.00051517944,0.006611469480000001,0.01734437448,0.28291937580000004,0.015712972920000002,0.0006010426800000001,0.051775533719999996,0.0006869059200000001,0.0030910766400000004,0.13961362824000004,0.007985281319999999,0.034602885720000004,0.029107638360000007,0.0024041707200000003,,0.011419810920000002,0.048341004119999996,0.0008586324,,0.0007727691600000001,0.0032628031200000003,0.010561178519999999
Sichuan,0.012684483359999998,0.00354419388,0.017534432879999996,0.027980478,0.02835355104,0.00914028948,0.0205190172,0.011192191200000002,0.3040545276,0.0024249747600000003,0.04495530132,0.057639784679999986,,0.0401053518,0.00223843824,0.13766395176,0.0016788286799999995,0.0289131606,0.20742861024,0.011565264239999998,0.05540134643999999,0.29454116507999994,0.0083941434,0.4044111753599999,0.03805345008,0.01044604512,0.005409559079999999,0.00149229216,0.007834533840000001,0.029099697119999997,0.037866913559999986
Guizhou,0.0020744229600000003,0.00109822392,0.0019523980800000003,0.00707744304,0.009151866,0.0017083483200000002,0.10481937192,0.0042708708,0.23929078968000003,0.00036607464,0.0024404976,0.018303732,0.13581369144000002,0.01744955784,0.00024404976000000003,0.097619904,0.00024404976000000003,0.00109822392,,0.014765010480000002,0.03770568792,0.26198741736000003,0.0019523980800000003,0.11702185992,0.11897425800000001,0.00475897032,0.00012202488000000002,0.00024404976000000003,0.00036607464,,0.01549715976
Yunnan,0.0046961013600000006,0.0006957187200000001,0.006957187199999999,0.008609519159999999,0.01295776116,0.0026089451999999997,0.01965405384,0.007478976240000001,0.09200880072,0.00139143744,0.0037394881200000004,0.015044917319999998,0.26167720355999996,0.01113149952,0.00139143744,0.05817947796,0.0014784022800000002,0.00156536712,0.24811068852,0.0067832575200000005,0.015218846999999999,,0.0011305429199999998,0.014088304080000003,0.05530963824,0.004522171679999999,0.0011305429199999998,0.00034785936000000003,0.00052178904,0.00165233196,0.008000765279999999
Tibet,9.657792e-05,3.2192640000000004e-05,0.00035613108,0.00016096319999999998,0.00064787688,9.657792e-05,3.2192640000000004e-05,3.2192640000000004e-05,0.00042051636,6.438528000000001e-05,0.00022534848000000006,6.438528000000001e-05,0.00832582152,6.438528000000001e-05,,3.2192640000000004e-05,6.438528000000001e-05,0.00174846276,3.2192640000000004e-05,,3.2192640000000004e-05,0.0011971638,3.2192640000000004e-05,0.0005492869200000001,3.2192640000000004e-05,6.438528000000001e-05,3.2192640000000004e-05,,0.0056035314,,6.438528000000001e-05
Shaanxi,0.014897555639999997,0.005530829039999999,0.01926869472,0.04487108076,0.15682576535999998,0.0021409660799999995,0.007314967439999999,0.008742278159999999,0.08269481483999998,0.09991175039999996,,0.06467501699999999,0.046209184559999984,0.024977937599999996,0.00187334532,0.04897459908,0.00142731072,0.08974216152,0.0057984498,0.0051740013599999995,0.013113417239999998,0.007850208959999999,0.00205175916,0.00954514044,0.00454955292,0.02016076392,0.00338986296,0.04139201087999999,0.008920692,0.0013381037999999998,0.047368874519999986
Gansu,0.005959008000000001,0.00689472,0.010982303999999998,0.011277792,0.010883808,0.0017729279999999998,0.0030533759999999996,0.0032011200000000004,0.026692416,0.017581536000000002,0.08322912,0.032946912,0.028662336000000007,0.021767616,0.0005417280000000001,0.031173984,0.00034473600000000005,,0.002019168,0.002905632,0.005712768000000001,0.003890592,0.001132704,0.006402240000000001,0.002314656,0.005860511999999999,0.010785312,0.07475846400000001,0.05525625600000001,0.00344736,0.020388672
