,Hebei,Tianjin,Shandong,Henan,Liaoning,Shanxi,Hunan,Anhui,Inner Mongolia,Shaanxi,Guangdong,Jiangsu,Sichuan,Jilin,Zhejiang,Heilongjiang,Shanghai,Gansu,Guizhou,Fujian,Yunnan,Jiangxi,Hubei,Chongqing,Guangxi,Hainan,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.46929469284,0.06572522412000001,0.05558528772000001,0.045260988839999995,0.03327742764,0.030327627960000002,0.02359839744,0.020648597759999998,0.0193580604,0.017790979319999997,0.017606616840000002,0.015117723359999996,0.011246111279999998,0.011061748799999998,0.01096956756,0.010693023840000001,0.00931030524,0.00931030524,0.00811194912,0.00608396184,0.0051621494399999995,0.00451688076,0.00451688076,0.00405597456,0.0032263434,0.0027654371999999996,0.00248889348,0.00165926232,0.00082963116,0.00027654372,
Tianjin,0.29016320256,,0.0421168896,0.01341090432,0.0155167488,0.016569671040000004,0.0015516748800000002,0.003546685440000001,0.016625088,0.003768353280000001,0.007093370880000002,0.009697968,0.00254918016,0.0047104415999999994,0.007315038720000002,0.003934604160000001,0.00365751936,0.0031033497600000005,0.00044333568,0.0020504275199999997,0.00105292224,0.00116375616,0.0011083392,0.001385424,0.0008866713600000002,0.0006095865600000001,0.00011083392,0.0020504275199999997,0.00027708480000000003,0.00011083392,0.09659176128
Hebei,,0.4279971830400001,0.3769908609600001,0.12851313552000002,0.09317914704,0.2342301494400001,0.01966165488,0.022796121600000004,0.13706168112,0.09032963184,0.041887873439999994,0.07864661952,0.021371364,0.016527188159999998,0.056135449440000006,0.01168301232,0.022226218560000004,0.018806800319999997,0.0071237880000000016,0.011113109280000002,0.010543206240000002,0.013392721440000002,0.005414078880000001,0.0099733032,0.009403400159999999,0.00256456368,0.0011398060800000005,0.0085485456,0.0034194182399999995,0.0002849515200000001,0.9645608952000002
Shanxi,0.21680791452,0.046845734400000005,0.10554929532,0.10789158204000002,0.015664042439999998,,0.01800632916,0.02166615216,0.13365673596,0.30127662935999994,0.04362509016,0.09691211303999997,0.02766826188,0.0057093238800000005,0.04962719988,0.00644128848,0.02810744064,0.011711433600000001,0.008783575200000001,0.0131753628,0.01332175572,0.01112586192,0.0161032212,0.00819800352,0.008929968120000001,0.00190310796,0.00395260884,0.010393897320000001,0.00424539468,0.00043917875999999987,0.12399480324
Inner Mongolia,0.08562547583999998,0.025191641519999995,0.02081899908,0.004437905759999999,0.12510978443999998,0.060760150919999985,0.00189263628,0.0019578996,,0.08497284263999998,0.008092651679999998,0.009202128119999998,0.00248000616,0.04137694488,0.008092651679999998,0.033480083159999986,0.005025275639999999,0.015532670159999996,0.0008484231599999999,0.0011094764399999998,0.00241474284,0.0013052664,0.0011094764399999998,0.0008484231599999999,0.0011747397599999995,0.0015010563599999998,0.0016315829999999998,0.03452429628,0.00189263628,,0.06924438252000001
Liaoning,0.13198127040000002,0.04540784184,0.06551927352,0.011626921440000002,,0.01170548172,0.00416369484,0.006127701840000001,0.11359816488,0.005892021,0.023175282600000003,0.02568921156,0.006206262120000001,0.13017438396000006,0.023175282600000003,0.04140126756,0.01956150972,0.00377089344,0.00094272336,0.0054992196,0.0023568084000000003,0.0029067303600000005,0.0040065742799999995,0.00180688644,0.00463505652,0.00259248924,0.00047136168,0.0008641630800000003,0.0005499219600000002,0.00023568084,0.08814463416000001
Jilin,0.028354578119999998,0.02076741828,0.03195361548,0.0028695027600000003,0.16857112823999998,0.00199406124,0.00141043356,0.00296677404,0.039443504039999994,0.00223723944,0.015320226599999999,0.01172118924,0.00369630864,,0.01960016292,0.06351814584,0.010748476440000002,0.00077817024,0.00063226332,0.00457175016,0.0028695027600000003,0.00199406124,0.0008268058800000001,0.00111861972,0.0021886038,0.00131316228,0.00014590692,0.00029181384,4.863564e-05,9.727128e-05,0.04343162652
Heilongjiang,0.027869103,0.021533202,0.043066404,0.003190104,0.09109519199999998,0.001905201,0.002525499,0.001860894,0.033629012999999985,0.0015507449999999994,0.016792353,0.013469328000000001,0.003854709,0.08081596799999999,0.018653247,,0.012184425,0.0005759909999999999,0.00044307,0.001905201,0.0011519819999999993,0.0017279729999999998,0.0007975259999999999,0.000974754,0.000708912,0.003278718,0.00013292099999999998,0.00044307,0.000265842,4.4307e-05,0.056004048
Shanghai,0.00444450888,0.00296300592,0.028928294639999998,0.027992608560000003,0.007251567120000002,0.00382071816,0.01021457304,0.051852603600000005,0.00171542448,0.00491235192,0.015672741839999997,0.34012189008,0.00927888696,0.0031189536000000005,0.18916453584000004,0.0028850320799999997,,0.0071735932799999996,0.004990325760000001,0.01115025912,0.0057700641599999995,0.02011725072,0.0040546396799999995,0.00374274432,0.00319692744,0.00226124136,0.0008577122400000001,0.0010136599199999999,0.0008577122400000001,0.00015594768000000002,0.00764143632
Jiangsu,0.028972109159999995,0.01500713568,0.24824303604,0.11672216639999998,0.01813362228,0.01729989252,0.0198010818,0.29034638892,0.004585513679999999,0.01729989252,0.054817731720000006,,0.01938421692,0.005210811,0.44354423232,0.004585513679999999,0.5979926703599999,0.021676973760000003,0.008545730039999998,0.02584562256,0.007295135399999999,0.041686488,0.006878270519999999,0.006252973199999999,0.009796324679999998,0.0029180541600000004,0.0010421622,0.0027096217200000003,0.0031264866,0.00041686488,0.040227460919999986
Zhejiang,0.0089917776,0.0044094294,0.032854572000000005,0.033459787799999995,0.0094240746,0.0047552670000000005,0.030779546400000007,0.0725394366,0.003026079,0.006830292600000001,0.061732011600000004,0.15113103120000002,0.019366905600000005,0.0059656985999999995,,0.0037177542,0.1912481928,0.0106345062,0.026888873400000003,0.04495888800000001,0.0120178566,0.0802343232,0.0045823482,0.0121907754,0.0097699122,0.003026079,0.0005187564,0.0008645940000000001,0.0020750256,8.645940000000001e-05,0.015130395000000003
Anhui,0.01807180308,0.017008755839999997,0.06094804175999999,0.27143139527999993,0.015237010439999997,0.0070869815999999985,0.02374138836,,0.0017717453999999996,0.00956742516,0.12933741419999994,1.0793472976799998,0.0106304724,0.003189141719999999,1.2303000057599998,0.0014173963199999998,0.3809252609999999,0.006378283439999999,0.0070869815999999985,0.06413718348,0.00496088712,0.08114593931999999,0.01807180308,0.005315236199999999,0.012402217799999995,0.00248044356,,0.0010630472399999998,0.00248044356,0.0007086981599999999,0.07086981599999999
Fujian,0.0051178780800000025,0.0036556272000000008,0.019374824159999998,0.016358931719999997,0.007494035759999999,0.005483440800000001,0.028605282840000006,0.017821182600000002,0.0028331110800000003,0.0042039712800000005,0.3046965271200001,0.06625824300000001,0.013343039280000002,0.0031986738,0.13882244292000004,0.0016450322400000002,0.05675361228000001,0.0072198637200000014,0.02677746924000001,,0.02385296748,0.08279995608000001,0.00383840856,0.01041853752,0.031986738000000015,0.006854301000000001,0.00054834408,0.0009139068000000002,0.0016450322400000002,0.00027417204,0.0164503224
Jiangxi,0.007348158,0.00499674744,0.01499024232,0.013814537039999998,0.00382104216,0.0023514105600000003,0.12550653864,0.048791769119999995,0.0014696316,0.00382104216,1.1918712276,0.13461825455999998,0.01263883176,0.0014696316,0.7257040840800001,0.0005878526400000001,0.1219794228,0.007348158,0.026159442480000003,0.37504998432,0.01557809496,,0.02145662136,0.01205097912,0.0264533688,0.005584600079999999,0.0005878526400000001,0.0014696316,0.0020574842400000004,0.00029392632000000004,0.02410195824
