,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Anhui,Hunan,Inner Mongolia,Shaanxi,Jiangsu,Guangdong,Jilin,Sichuan,Zhejiang,Heilongjiang,Gansu,Guizhou,Shanghai,Jiangxi,Fujian,Yunnan,Guangxi,Hainan,Hubei,Chongqing,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.46647695232,0.06624848736000001,0.052195777920000005,0.04717695312,0.0323942328,0.02993044608,0.02171782368,0.0209878128,0.01907153424,0.01907153424,0.015330228480000003,0.014326463520000002,0.01295769312,0.01168017408,0.010585157759999998,0.010037649600000002,0.00985514688,0.00967264416,0.007208857440000002,0.00620509248,0.00556633296,0.00474507072,0.003558803040000001,0.00301129488,0.0028287921600000003,0.0027375408,0.00237253536,0.0012775190400000002,0.00118626768,0.00027375408,
Tianjin,0.2824097724,,0.047492496719999985,0.010397445119999998,0.019332749519999998,0.015921087839999997,0.004061502,0.00238274784,0.01510878744,0.00373658184,0.0097476048,0.0066067099199999995,0.00481964904,0.0030867415199999997,0.005198722559999999,0.00552364272,0.0030867415199999997,0.0010289138400000001,0.0030325881600000004,0.0016787541599999998,0.00238274784,0.00119137392,0.0007039936799999999,0.00059568696,0.0007581470400000001,0.0012996806399999995,0.00021661343999999997,0.002707668,0.00037907352,0.00010830671999999999,0.08556230879999999
Hebei,,0.44420955984,0.39628772748,0.12683502936,0.2467830888,0.10215672048,0.02353048056,0.01922612436,0.12253067315999998,0.08780886648000001,0.08149581071999999,0.0416087766,0.016930467719999998,0.02640005136,0.05796533016,0.01033045488,0.01807829604,0.01119132612,0.024678308880000003,0.014347853999999998,0.012052197360000001,0.013486982759999998,0.01090436904,0.0028695708000000004,0.005739141600000001,0.0086087124,0.0011478283199999998,0.009469583640000001,0.00487827036,0.0008608712399999999,0.92314092636
Shanxi,0.23478194412000006,0.05127255288,0.1144217988,0.11138020668,,0.013904421119999998,0.01998760536,0.016511500079999998,0.12905040852,0.28402676891999995,0.10413832068,0.03519556596,0.00448996932,0.026794978200000003,0.04663774584,0.00391061844,0.013614745679999995,0.0086902632,0.026505302760000002,0.0086902632,0.01042831584,0.013035394799999999,0.00840058776,0.0028967544000000002,0.00984896496,0.007531561439999998,0.00405545616,0.0086902632,0.00521415792,0.0005793508799999999,0.12108433391999998
Inner Mongolia,0.10107470303999999,0.031407393600000014,0.024269349600000004,0.0056390547600000005,0.0756632664,0.13783562963999998,0.00199865232,0.00164175012,,0.08694137592000001,0.00778046796,0.008351511479999999,0.04161479652,0.00521077212,0.00706666356,0.0317642958,0.015132653280000002,0.00099932616,0.00521077212,0.0014276088,0.00121346748,0.0018558914399999997,0.0019272718799999999,0.0009279457199999998,0.00199865232,0.0010707066,0.0028552176,0.03740335056000001,0.00242693496,0.00021414132000000002,0.06988145075999999
Liaoning,0.11624921712000001,0.03864415392,0.07412075423999999,0.01156157064,0.013462102800000002,,0.0070478067600000015,0.005305652280000001,0.1195751484,0.007602128640000001,0.030012570360000008,0.026924205600000004,0.12495998952,0.00839401704,0.0312795918,0.03967360884,0.0026924205600000004,0.0026924205600000004,0.019005321600000003,0.0039594420000000005,0.006097540679999999,0.00451376388,0.00427619736,0.003088364760000001,0.00205890984,0.0028507982399999998,0.00063351072,0.00102945492,0.0007918884000000001,0.00031675536,0.08172288288
Jilin,0.027527600519999997,0.02227382388,0.034368455519999994,0.0044328740400000005,0.00388560564,0.20243458116000002,0.003557244600000001,0.0043781472,0.045696911399999984,0.00169653204,0.017840949840000002,0.016472778839999997,,0.00415923984,0.02659724424,0.059925889799999986,0.001368171,0.0005472684,0.00864684072,0.0028457956800000002,0.00399505932,0.00235325412,0.0019701662399999997,0.00257216148,0.00060199524,0.0008209026,0.0002736342,0.00087562944,0.00021890736,0.00010945368,0.04372674516
Heilongjiang,0.024950916,0.0193958064,0.042322402800000006,0.0044723340000000006,0.0026363232000000004,0.1304979984,0.00235386,0.0018360108,0.032906962799999995,0.0017889336,0.014782240800000002,0.0177481044,0.07876015559999999,0.003295404,0.0177481044,,0.0006590808000000001,0.000706158,0.0104040612,0.0010356984000000002,0.0029187864,0.001412316,0.0014593932,0.0026363232000000004,0.0013652388,0.0013652388,0.0001883088,0.00023538600000000005,0.0001412316,9.41544e-05,0.049854754800000005
Shanghai,0.005459561999999999,0.002118636,0.030149820000000008,0.031535082,0.004481730000000001,0.006844824,0.050113890000000015,0.00977832,0.0013852620000000002,0.005378076,0.35633827799999995,0.016867602,0.002526066,0.008637516,0.203877972,0.002200122,0.007089282,0.005459561999999999,,0.022082706,0.012059928,0.005052132,0.0030149820000000003,0.001548234,0.0060299640000000005,0.0037483559999999996,0.0005704020000000001,0.001059318,0.0008963460000000002,8.148600000000001e-05,0.00611145
Jiangsu,0.030606258239999993,0.015303129119999996,0.2741256172799999,0.11333186927999997,0.01951703424,0.02173487904,0.31293790127999993,0.02373093936,0.00487925856,0.02018238768,,0.06187786991999999,0.0053228275199999975,0.017964542880000003,0.4739534337599999,0.003548551679999999,0.028166628959999995,0.01641205152,0.5990398804799999,0.05056686143999999,0.030162689279999995,0.012198146399999998,0.010645655039999995,0.00310498272,0.007097103359999998,0.008649594719999999,0.0006653534399999997,0.003992120639999999,0.004435689599999999,0.00022178448,0.03836871503999999
Zhejiang,0.01277532,0.0066431664,0.039961200960000005,0.037814947200000004,0.0066431664,0.01154888928,0.07879817375999999,0.037917149760000005,0.0021462537599999994,0.008585015039999998,0.19183420512000002,0.07409685599999999,0.006949774079999999,0.02309777856,,0.003577089599999999,0.011037876479999998,0.0337268448,0.20757339935999994,0.09474177311999997,0.058459864319999985,0.01522818144,0.014308358399999997,0.0030660767999999994,0.006336558719999999,0.01093567392,0.00081762048,0.00112422816,0.00194184864,0.00020440512,0.01798765056
Anhui,0.02181032892,0.023044875840000003,0.07242675264000001,0.28106518212,0.008641828439999999,0.02181032892,,0.023867907119999997,0.00370364076,0.01152243792,1.2719948432400001,0.13127348915999998,0.0032921251200000003,0.013991531760000002,1.4711684130000002,0.0016460625600000002,0.00740728152,0.016049109960000002,0.43250293764,0.09506011284,0.07613039340000001,0.006584250240000001,0.0144030474,0.00246909384,0.01687214124,0.006995765880000001,0.00041151564,0.00123454692,0.00246909384,0.00041151564,0.06872311187999999
Fujian,0.0086386176,0.005831066879999999,0.02235242304,0.02073268224,0.00572308416,0.011122220159999998,0.01900495872,0.03315069504,0.00226763712,0.00518317056,0.07936729919999999,0.3336666048,0.0031314988800000003,0.018033114240000002,0.15689889215999994,0.00151175808,0.00896256576,0.046648535039999994,0.06921692352000001,0.10344744576,,0.02677971456,0.040925450880000006,0.005507118720000001,0.00410334336,0.01382178816,0.00032394816,0.0019436889600000001,0.0019436889600000001,0.00032394816,0.021812509440000002
Jiangxi,0.009208582199999999,0.007503289200000001,0.0211456332,0.0146655198,0.0034105859999999997,0.0040927032,0.0586620792,0.1411982604,0.0020463516,0.0037516446000000004,0.15245319419999998,1.3608238139999995,0.0013642344,0.01705293,0.8492359140000001,0.00034105860000000003,0.006480113399999999,0.042632325,0.131307561,,0.4471278246,0.0228509262,0.0334237428,0.0071622306000000005,0.022509867599999997,0.013983402599999998,,0.0013642344,0.0013642344,,0.027284687999999998
