,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Anhui,Hunan,Inner Mongolia,Guangdong,Jiangsu,Shaanxi,Zhejiang,Jilin,Sichuan,Gansu,Guizhou,Shanghai,Heilongjiang,Jiangxi,Fujian,Hainan,Chongqing,Yunnan,Guangxi,Hubei,Xinjiang,Ningxia,Qinghai,Beijing,Tibet
Beijing,0.48828179268,0.07110406799999999,0.06013372607999999,0.05972741712,0.037583578799999996,0.0340283754,0.02478484656,0.0238706514,0.02265172452,0.02112806592,0.01919809836,0.018893366640000003,0.017674439759999997,0.015439740479999997,0.01452554532,0.01239242328,0.0106656102,0.009751415039999996,0.009751415039999996,0.008430910920000001,0.0057899026799999994,0.004977284760000001,0.004672553039999999,0.0045709758,0.004164666839999999,0.00325047168,0.00243785376,0.0022346992800000003,0.0011173496400000002,,
Tianjin,0.33633558072,,0.05341762079999999,0.017849302560000002,0.02266991712,0.02384249904,0.00560233584,0.00241030728,0.01680700752,0.00820807344,0.01543899528,0.00482061456,0.008924651280000001,0.007882356239999999,0.00534176208,0.0052114752,0.00188915976,0.00351774576,0.0027360244800000003,0.0035828891999999998,0.0026057376,0.00104229504,0.00143315568,0.00214973352,0.00169372944,0.00104229504,0.0003257172,0.00182401632,0.00045600408,0.09126595944,
Hebei,,0.5128259039999999,0.484935984,0.188954208,0.304348752,0.129688128,0.04183488,0.035559648,0.147119328,0.073908288,0.152697312,0.090293616,0.106678944,0.028587168,0.045669744000000005,0.024752304,0.020220192,0.02788992,0.009761472000000002,0.030330288,0.01917432,0.00522936,0.016385327999999998,0.017082576000000002,0.017779824,0.006275232,0.002091744,0.009761472000000002,0.011155968,0.9189728640000001,0.001045872
Shanxi,0.25830275004000003,0.05441445216,0.11513301767999999,0.14648768675999999,,0.011281044960000002,0.02057131728,0.015760283400000002,0.15561206136000005,0.0439628958,0.17137234476000002,0.32366645171999997,0.06851575836,0.00431334072,0.027041328360000002,0.013935408480000003,0.0069677042400000016,0.027704919239999997,0.00199077264,0.00962206776,0.01028565864,0.00381564756,0.0069677042400000016,0.0099538632,0.00713360196,0.00597231792,0.0028202612400000005,0.00763129512,0.00547462476,0.11894866524,0.00049769316
Inner Mongolia,0.13222743912000004,0.034201394640000014,0.0350093016,0.01023348816,0.10000092816000003,0.16858325232000004,0.0036804650399999994,0.0026930232,,0.011669767200000002,0.014811627600000004,0.10350185832,0.01247767416,0.056463719759999996,0.006822325440000001,0.027558604080000004,0.0024237208800000003,0.0053860464,0.032854883040000005,0.00260325576,0.00260325576,0.0005386046400000001,0.00188511624,0.00161581392,0.00161581392,0.0008976744000000002,0.0031418604,0.04793581296,0.0022441860000000004,0.07037767296,0.00026930232000000004
Liaoning,0.1413650556,0.0502828884,0.09246519359999998,0.0169914672,0.0145217772,,0.009483609599999998,0.0058284684,0.1356353748,0.0372429252,0.0477144108,0.0071127071999999986,0.04504714559999999,0.1919443068,0.0105702732,0.0025684776,0.0036551412,0.019263582,0.030920518799999998,0.008001795600000002,0.008890884000000002,0.003457566,0.0031612032,0.0058284684,0.005532105600000001,0.0026672652000000003,0.0007903008,0.0005927255999999999,0.0008890883999999998,0.083475522,0.0001975752
Jilin,0.03874812876,0.028174596119999996,0.04551776855999999,0.007349894639999998,0.0035460018000000007,0.23216640876,0.0038683656,0.00348152904,0.048354569999999986,0.022565466,0.027014086439999998,0.0035460018000000007,0.034815290400000004,,0.004577565959999999,0.00070920036,0.0015473462399999995,0.009477495720000001,0.06228068616,0.005480184599999999,0.006382803239999999,0.00219207384,0.0014828734799999998,0.00251443764,0.00283680144,0.00141840072,0.0003223638,0.00045130932,0.00051578208,0.04210071228,0.00019341828
Heilongjiang,0.01964792052,0.016277517000000002,0.035350936920000006,0.00463430484,0.00271930284,0.06541646831999999,0.00218310228,0.00214480224,0.032325233759999995,0.01681371756,0.0183840192,0.00157030164,0.0202990212,0.07751928095999999,0.0036768038399999994,0.00068940072,0.0018767019600000002,0.008234508599999999,,0.00271930284,0.0038683040399999998,0.00333210348,0.0011490012,0.00126390132,0.00180010188,0.0005745006,0.0003830004,0.0005362005600000001,0.00030640032000000004,0.036538238159999986,7.660008000000001e-05
Shanghai,0.0068286402000000005,0.0025731108,0.0352318248,0.0416646018,0.00494829,0.0076203666,0.0726408972,0.0124696908,0.0016824186000000002,0.023751792,0.4221881028,0.007026571800000001,0.22979858760000002,0.003958632,0.0121727934,0.0116779644,0.008214161400000001,,0.0018803501999999999,0.0290959452,0.0175169466,0.0023751792000000003,0.006927605999999999,0.0072245033999999994,0.0045524268,0.002968974,0.00019793160000000005,0.0011875896000000002,0.000989658,0.006432777000000001,9.89658e-05
Jiangsu,0.0480825072,0.0200609136,0.3633254352000001,0.1471133664,0.0292953024,0.0280215936,0.5776269408,0.036619128,0.006368544,0.10380726719999997,,0.033434856,0.6941712959999999,0.0101896704,0.030887438399999998,0.034390137599999995,0.026111030399999995,0.7416169488,0.0035026992,0.0741935376,0.0468087984,0.005731689599999999,0.0165582144,0.0194240592,0.0187872048,0.0073238256,0.0022289904000000003,0.004776408,0.0066869712,0.0410771088,0.0006368544
Zhejiang,0.02095618392,0.00981281628,0.06536333556,0.07451087616,0.012640237920000002,0.016798210919999997,0.16349149836,0.06054008687999999,0.0031600594800000005,0.12856452516,0.35409298067999995,0.015301340640000001,,0.007816989239999999,0.03143427588,0.0133055136,0.06419910311999999,0.26028910980000003,0.00199582704,0.14170371984000002,0.09846080064,0.00532220544,0.022453054200000003,0.03126795696,0.02228673528,0.00615380004,0.0008315945999999999,0.0016631892,0.0031600594800000005,0.02145514068,0.00016631892
Anhui,0.036001097999999995,0.02808085644,0.10296314028,0.4032122976,0.017280527039999997,0.027360834480000002,,0.03888118584,0.00576017568,0.25344772992,2.5891989681600003,0.01944059292,2.58271877052,0.007200219599999999,0.02016061488,0.01008030744,0.01944059292,0.6012183365999999,0.00072002196,0.13824421631999995,0.14400439199999998,0.0036001097999999996,0.01152035136,0.01152035136,0.02016061488,0.02088063684,0.00072002196,0.00144004392,0.00288008784,0.07056215208,
Fujian,0.0127185228,0.007986049200000001,0.0312047478,0.034901992800000003,0.008873388000000001,0.0112396248,0.0312047478,0.046585287,0.003993024600000001,0.4534301268,0.12984724439999998,0.0090212778,0.2310038676,0.0034014654,0.026620164,0.0097607268,0.06492362219999999,0.07098710400000001,0.0016267878000000007,0.1273331178,,0.015824208600000004,0.0246975966,0.0372682296,0.049690972800000004,0.0038451348,0.0001478898,0.0016267878000000007,0.0022183470000000003,0.021887690400000003,0.0001478898
Jiangxi,0.01375955424,0.008663423040000002,0.029557560960000003,0.027009495360000003,0.0050961312,0.0066249705599999995,0.08408616480000003,0.21505673664,0.0030576787199999996,1.8891358358400003,0.27671992416,0.008663423040000002,1.5023394777599999,0.0020384524800000003,0.02904794784,0.004586518079999999,0.05707666944000001,0.16664349024,,,0.5855454748800001,0.012230714879999998,0.024461429759999997,0.028028721600000004,0.05758628256,0.022422977280000003,0.0005096131200000001,0.0005096131200000001,0.0010192262400000002,0.02751910848,
Shandong,0.3978009792,0.14274035136,,0.32760080639999994,0.0892127196,0.07371018144,0.10734776424,0.02954257272,0.044752610160000005,0.09828024192,0.6856216876800001,0.0599626476,0.3085882596,0.02457006048,0.03627008928,0.01989004896,0.01989004896,0.12343530383999997,0.01287003168,0.05206512816000001,0.040950100799999986,0.00526501296,0.01579503888,0.0131625324,0.017257542480000002,0.008190020160000002,0.00468001152,0.00614251512,0.0058500144,0.14888286648,0.00058500144
Henan,0.19696800780000004,0.062021068200000015,0.3837127626,,0.17856615239999998,0.040893012000000006,0.5145704010000001,0.1233605862,0.0197649558,0.9500809788,1.29494538,0.1029140802,1.6507145844000002,0.0081786024,0.06338416860000001,0.042937662599999996,0.042937662599999996,0.3537245538,0.0020446506,0.1751584014,0.18401855400000006,0.0081786024,0.0218096064,0.025898907599999996,0.0395299116,0.07360742160000001,0.006133951800000001,0.0081786024,0.0190834056,0.2099174616,0.0027262008
Hubei,0.0047083842,0.0037667073600000005,0.006591737880000001,0.05968782432000001,0.0015211702800000003,0.0015211702800000003,0.021513693960000004,0.14965418088000002,0.00043462008000000004,0.23657819688,0.02448359784,0.016443126360000004,0.037739510280000006,0.0007968034800000001,0.008909711640000002,0.0015211702800000003,0.00630199116,0.026874008280000004,0.0005070567600000001,0.032668942680000014,0.011155248720000002,0.0002897467200000001,0.05099542272000001,0.0039840174,0.009054585000000002,,0.0002897467200000001,0.0006519301200000001,0.0003621834000000001,0.00420132744,
Hunan,0.013091748119999998,0.007399683719999999,0.0199222254,0.04155207012,0.00626127084,0.00455365152,0.04041365724,,0.00227682576,3.4630519809599996,0.16165462896,0.013091748119999998,0.69500106324,0.0017076193199999994,0.03472159284,0.0085380966,0.21174479568,0.05009016672,0.00113841288,0.25158924648000003,0.15596256456,0.0199222254,0.062043501960000004,0.06375112127999999,0.21743686008,0.09164223684,0.00056920644,0.00056920644,0.0028460322,0.03927524436,0.00056920644
