,Hebei,Tianjin,Henan,Shandong,Shanxi,Liaoning,Hunan,Guangdong,Anhui,Inner Mongolia,Jiangsu,Shaanxi,Jilin,Zhejiang,Sichuan,Guizhou,Gansu,Shanghai,Heilongjiang,Jiangxi,Fujian,Yunnan,Chongqing,Hainan,Guangxi,Hubei,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.5263999488000001,0.0935338752,0.0609057792,0.05796925056,0.03828363264,0.033933219839999994,0.02599371648,0.02414479104,0.02403603072,0.02360098944,0.023274708480000003,0.02001189888,0.016314047999999998,0.01598776704,0.0146826432,0.012507436799999999,0.01228991616,0.010114709760000002,0.00913586688,0.00804826368,0.006960660479999999,0.00565553664,0.0054380159999999995,0.00391537152,0.0034803302399999997,0.00293652864,0.00239272704,0.0013051238400000002,0.00119636352,0.00010876031999999999,
Tianjin,0.3995358890400001,,0.019377568440000003,0.057432311279999995,0.021790036800000002,0.02303518176,0.0028793977200000003,0.00809344224,0.00684829728,0.02031142716,0.01719856476,0.0057587954400000006,0.007237405080000002,0.0089494794,0.005447509200000001,0.0027237546000000003,0.005603152320000001,0.004358007360000001,0.0033463270799999997,0.0026459330400000003,0.0025681114800000003,0.00210118212,0.0026459330400000003,0.0014786096400000001,0.0011673234,0.00093385872,0.00046692936,0.0015564312,0.00093385872,0.00015564312000000002,0.14039009424
Hebei,,0.59992670088,0.1862120664,0.48941388756000004,0.32303745432000003,0.13237249068,0.02793180996,0.06800788512,0.039671266319999995,0.16232834484,0.14411194704000002,0.08986756248000001,0.02064525084,0.08824832712000001,0.041695310519999994,0.021050059680000004,0.021859677360000003,0.029955854160000007,0.00971541216,0.0242885304,0.017811588960000003,0.022264486200000003,0.01457311824,0.0068817502800000005,0.018621206640000002,0.005667323760000002,0.0032384707200000004,0.010120221,0.00728655912,0.00121442652,1.41399727812
Shanxi,0.27949564512,0.057568268159999984,0.17457832799999998,0.11258173152,,0.012774023999999998,0.014306906879999998,0.041558158080000004,0.0204384384,0.15873853824,0.14988188160000002,0.34915665599999995,0.0037470470399999997,0.062166916799999986,0.0263996496,0.00868633632,0.0119224224,0.028102852799999998,0.00221416416,0.00783473472,0.007323773759999999,0.0119224224,0.008516016,0.0034064064,0.007153453439999999,0.00459864864,0.0023844844800000003,0.0066424924800000005,0.00613153152,0.0005109609599999999,0.11973518496
Inner Mongolia,0.13321065599999998,0.036059904,0.011220768,0.032415552,0.10952236800000001,0.180587232,0.003452544,0.011700288,0.00383616,,0.013042943999999999,0.131196672,0.058789152000000004,0.012563423999999998,0.00575424,0.002589408,0.031360608,0.005658336,0.032990976,0.002493504,0.0016303679999999999,0.002493504,0.002589408,0.0012467519999999998,0.001534464,0.0010549440000000002,0.0031648320000000002,0.052459488,0.0030689280000000003,0.000191808,0.06953039999999999
Liaoning,0.14780729664,0.05561275967999999,0.01934816544,0.07961294304,0.01321596,,0.00676657152,0.0428197104,0.01131286176,0.16419508703999994,0.05254665695999999,0.00803530368,0.20257423488,0.05191229088,0.01014985728,0.005603567039999999,0.004334834879999999,0.02209708512,0.033832857599999995,0.006555116159999999,0.01067849568,0.0047577456,0.0047577456,0.004229107199999999,0.006449388479999999,0.0015859152,0.0008458214399999999,0.0006343660799999999,0.0007400937599999999,0.00031718304,0.08236186271999997
Jilin,0.037653267959999986,0.03234408732,0.006846048719999999,0.05050707372,0.004750319520000001,0.25609810824,0.0035627396399999997,0.02528846568,0.00579818412,0.05504782032,0.0293402088,0.0030737361600000003,,0.035697254039999994,0.006566618159999999,0.0039120278399999995,0.00062871876,0.01355238216,0.059658424559999985,0.00405174312,0.00544889592,0.00335316672,0.001746441,0.00251487504,0.0035627396399999997,0.00125743752,0.00020957292,0.00055886112,0.00027943056,0.00020957292,0.044010313200000005
Heilongjiang,0.0313040376,0.02613412836,0.00502761816,0.041216982839999985,0.00251380908,0.09263149308,0.0025612394400000003,0.016031461679999998,0.00270353052,0.0348613146,0.02096421912,0.00275096088,0.088931925,0.02338316748,0.0055967824800000005,0.00151777152,0.0007114554,0.01052953992,,0.00270353052,0.00317783412,0.0028458216,0.0018497840399999998,0.00398415024,0.0013280500800000002,0.00398415024,0.00018972144,0.00056916432,0.0003320125200000001,0.00014229108,0.04311419723999999
Shanghai,0.006707609999999999,0.0036221094000000002,0.0417213342,0.030184244999999995,0.0059026968,0.0096589584,0.0122078502,0.025220613599999997,0.08867460419999999,0.0016098263999999995,0.643259799,0.007378371,0.004695326999999999,0.34007582700000005,0.0143542854,0.007646675399999999,0.011402937,,0.0024147396,0.0272328966,0.0179763948,0.007646675399999999,0.006171001199999999,0.0026830440000000003,0.004695326999999999,0.004024565999999999,0.0005366088,0.0013415220000000002,0.0010732176,,0.008049131999999999
Jiangsu,0.04582701036,0.020864329920000004,0.14977608263999995,0.37294989732,0.029806185600000007,0.024590103119999998,0.03576742272,0.11289092795999998,0.72540804204,0.007451546400000002,,0.039865773240000006,0.00968701032,0.7175839183200001,0.035022268079999995,0.027198144360000003,0.030923917560000007,1.0774936094399998,0.0037257732,0.07339773204,0.04061092788,0.02272721652,0.01825628868,0.0067063917599999995,0.020864329920000004,0.00894185568,0.0018628866,0.0037257732,0.0055886598,0.0007451546400000001,0.048435051600000015
Zhejiang,0.019886391,0.0070075854,0.07575768,0.0602273556,0.0109848636,0.018181843199999995,0.0590909904,0.11780319239999998,0.196969968,0.0041666724,0.4511369844,0.016856083799999998,0.00946971,,0.041856118199999987,0.057765230999999986,0.015530324399999997,0.336174705,0.0026515188,0.15530324399999995,0.11325773160000001,0.0354167154,0.023674275,0.0073863737999999984,0.023295486600000002,0.004734855,0.0011363651999999995,0.0020833362,0.0030303071999999995,0.00037878839999999994,0.01893942
Anhui,0.03391844544,0.02685210264,0.46213881912,0.1130614848,0.01695922272,0.023318931239999997,0.039571519680000014,0.23884238664000002,,0.007772977080000002,2.6251463502,0.025438834080000004,0.004946439960000001,2.36581156944,0.024025565520000004,0.01907912556,0.009892879920000002,0.59922586944,0.00141326856,0.13496714748,0.11942119332000001,0.01625258844,0.012012782760000002,0.00565307424,0.02261229696,0.019785759840000004,0.00211990284,0.0035331714,0.00282653712,0.00070663428,0.07843640508000001
Fujian,0.009654662159999999,0.007460420760000002,0.031889641680000004,0.02735487612000001,0.008923248359999999,0.012434034600000005,0.04622535216000001,0.4609369767600001,0.029549117520000005,0.003949634520000001,0.10868809068,0.011556338040000004,0.0048273310799999995,0.24692529888,0.031011945120000006,0.053539490160000015,0.009800944920000002,0.06641237304000001,0.0014628276000000005,0.14013888408000005,,0.038472365880000005,0.02282011056000001,0.013896862200000002,0.043445979720000014,0.002925655200000001,0.0005851310400000001,0.002194241400000001,0.0023405241600000003,0.00043884828,0.018139062240000003
