,Hebei,Tianjin,Henan,Shandong,Shanxi,Liaoning,Inner Mongolia,Anhui,Shaanxi,Guangdong,Hunan,Jiangsu,Jilin,Zhejiang,Sichuan,Heilongjiang,Gansu,Guizhou,Shanghai,Jiangxi,Fujian,Yunnan,Hainan,Chongqing,Xinjiang,Guangxi,Hubei,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.5867855135999999,0.0868551984,0.06371660879999999,0.0601831296,0.04285768319999999,0.0351068256,0.0275839344,0.0263301192,0.022910623199999997,0.022226724,0.022226724,0.021656808,0.0147038328,0.0145898496,0.012994084799999998,0.0109423872,0.0100305216,0.0095745888,0.0095745888,0.006952975199999999,0.006269076,0.005129244000000001,0.0038754288,0.0033055127999999994,0.0029635632,0.0027355968,0.0026216136,0.0013677984,0.0006838991999999999,0.0001139832,
Tianjin,0.3912482412,,0.0222808158,0.061578694799999986,0.023073984,0.025669807200000002,0.0199734174,0.0065616642,0.0051916464,0.0073548324,0.0020910798000000003,0.0142770276,0.0069943014,0.006705876600000001,0.0035332038000000002,0.0034610976,0.005119540200000001,0.0015863364000000002,0.0030284604,0.0019468673999999998,0.0025958232,0.0025958232,0.001081593,0.0012258053999999999,0.000360531,0.0009373806,0.0007931682000000001,0.0018747612,0.0008652743999999999,0.0002163186,0.0957570336
Hebei,,0.6197848358400001,0.1917839106,0.5563632258,0.36154115424000005,0.142413795,0.18684689904,0.045952184519999995,0.0987402312,0.06342161003999999,0.02810298888,0.13405885236,0.02620413828,0.08468873676000001,0.03911632236,0.00987402312,0.02620413828,0.017089655400000004,0.02544459804,0.02202666696,0.018988506,0.020507586480000003,0.0056965518000000005,0.01481103468,0.002658390840000001,0.01784919564,0.00493701156,0.01101333348,0.006456092040000001,0.0007595402400000001,1.00904920884
Shanxi,0.27661936104,0.0561799476,0.17585215343999994,0.11806706447999997,,0.01319782896,0.21294875376,0.023542073280000003,0.35794652327999993,0.04316046768,0.01373287608,0.15926569271999996,0.00285358464,0.0615304188,0.02443381848,0.00142679232,0.014267923200000001,0.007312310639999998,0.03067603488,0.01123598952,0.008917452,0.008739102959999998,0.00249688656,0.008204055839999998,0.00249688656,0.00642056544,0.0035669808000000002,0.00659891448,0.007490659679999998,0.0007133961599999999,0.12074230007999998
Inner Mongolia,0.15201189648000002,0.03915946944,0.010005029280000004,0.034425907200000015,0.12511665648000006,0.21397852944,,0.004303238400000001,0.14641768655999998,0.01086567696,0.003442590720000001,0.0150613344,0.06347276640000002,0.01269455328,0.005594209920000001,0.036900269280000016,0.03485623104000001,0.0026895240000000004,0.00451840032,0.0017212953600000006,0.00193645728,0.0024743620800000005,0.0016137144000000002,0.0021516192000000005,0.0033350097600000003,0.0015061334400000006,0.0008606476800000003,0.059815013760000015,0.0035501716800000007,0.00021516192000000005,0.07939474848000001
Liaoning,0.17265265668000002,0.05497012836,0.018470847959999998,0.08892551952,0.014046692759999998,,0.18515089512,0.011945219040000002,0.00818468712,0.038821961880000005,0.005972609520000001,0.044020344240000016,0.21280186512,0.04656423348,0.01294065396,0.03860075412,0.00420294744,0.0032075125199999997,0.02090413332,0.006857440560000001,0.00973314144,0.0047559668400000005,0.0034287202800000003,0.003649928040000001,0.0011060388000000002,0.00575140176,0.0011060388000000002,0.00099543492,0.0004424155200000001,0.00066362328,0.08317411776
Jilin,0.04368047472,0.035289432,0.007214728320000001,0.05363993664,0.0029015755199999996,0.30560648112,0.07120623168,0.005803151039999999,0.005489467199999999,0.02266365744,0.0031368384000000004,0.026349442560000002,,0.035289432,0.0048620995200000005,0.07426464912,0.0013331563199999999,0.0021957868800000003,0.0141157728,0.005567888159999999,0.007685254079999999,0.0031368384000000004,0.0035289432,0.00211736592,0.0004705257599999999,0.00203894496,0.00086263056,0.0005489467200000001,0.00023526287999999995,7.842096e-05,0.04148468784
Heilongjiang,0.03429787536,0.03020678892,0.0076217500800000015,0.047299684319999986,0.0024098180399999996,0.13153123115999998,0.04242400596,0.0033625368,0.0029702408399999995,0.01804561416,0.002802114,0.02426630724,0.10748909304000001,0.024434434080000005,0.00509984748,,0.0006725073599999999,0.001401057,0.010591990919999999,0.0018493952399999997,0.0029702408399999995,0.0019614798,0.00325045224,0.00106480332,0.0002802114,0.00173731068,0.00100876104,0.00022416912,,,0.04825240308
Shanghai,0.0076597876799999985,0.0030907915199999995,0.04824322416,0.03359556,0.006181583039999999,0.009137992320000001,0.0013438224,0.10387747152,0.007794169919999998,0.02445756768,0.0127663128,0.6544415088000001,0.0040314672,0.30383824464000003,0.013706988480000003,0.00255326256,0.010078668,0.007794169919999998,,0.02996723952,0.01894789584,0.008734845599999999,0.00282202704,0.0080629344,0.00053752896,0.004165849439999999,0.00322517376,0.0008062934399999999,0.00107505792,0.00013438224,0.0069878764799999995
Jiangsu,0.04998247884,0.02060346456,0.16330153392000002,0.42580493424000004,0.04044383784,0.02785283172,0.00801245844,0.81345530448,0.04921938756,0.09958341204,0.04044383784,,0.00839400408,0.74363245236,0.04044383784,0.00305236512,0.0305236512,0.0267081948,0.96874437996,0.07974303876,0.047693205,0.02136655584,0.00419700204,0.015643371240000002,0.0019077282,0.0209850102,0.007249367159999999,0.0038154564,0.0064862758800000005,0.00076309128,0.038154564
