,Hebei,Tianjin,Henan,Shandong,Shanxi,Liaoning,Inner Mongolia,Anhui,Jiangsu,Shaanxi,Hunan,Guangdong,Jilin,Sichuan,Gansu,Zhejiang,Guizhou,Heilongjiang,Shanghai,Fujian,Jiangxi,Hainan,Yunnan,Chongqing,Guangxi,Hubei,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.6037230024,0.08518573980000001,0.0681014628,0.060207348600000016,0.045243878399999986,0.0389992806,0.0292200048,0.0263922624,0.0238001652,0.022386293999999998,0.0208546002,0.0205011324,0.0157882284,0.0148456476,0.014020889399999998,0.0128426634,0.0114287922,0.011075324399999998,0.010486211399999999,0.006833710799999999,0.005773307399999999,0.005537662199999999,0.0049485492,0.004123791,0.004123791,0.0034168554,0.0027099197999999997,0.0015316937999999998,0.0010604034,0.00035346779999999994,
Tianjin,0.41010363504,,0.021971204640000002,0.06721504415999999,0.024880284,0.027865918080000003,0.0260286048,0.00834446448,0.01898557056,0.0061243776000000005,0.00336840768,0.00926312112,0.008574128640000001,0.0038277359999999996,0.00658370592,0.007578917279999998,0.00145453968,0.004363619039999999,0.004669837919999999,0.0020669774399999998,0.0017607585600000002,0.00068899248,0.00130143024,0.00244975104,0.00091865664,0.00068899248,0.00038277360000000003,0.0020669774399999998,0.00091865664,7.655472e-05,0.08987524127999999
Hebei,,0.6224446555200001,0.20352198024,0.58878829692,0.35913314412,0.15600712103999995,0.20035432296,0.05464208807999999,0.16075860696,0.11443161924,0.03326040144,0.0653329314,0.028112958359999995,0.048306773519999985,0.034844230080000003,0.09661354703999997,0.01940190084,0.011086800479999999,0.029696787000000002,0.02058977232,0.02652912972,0.0079191432,0.02296551528,0.016234243559999997,0.02019381516,0.0059393574,0.00356361444,0.0138585006,0.01148275764,0.00079191432,0.9760343994
Shanxi,0.2921501844,0.05768570520000001,0.18180301284000003,0.13044412692,,0.01190930688,0.22162475772,0.02679594048,0.17435969604,0.3684441816,0.01432838484,0.04056607656,0.0035355754800000007,0.030331515960000003,0.01749179448,0.06215169528,0.008001565560000002,0.0009304146000000002,0.02809852092,0.00967631184,0.009304146,0.00223299504,0.01190930688,0.00893198016,0.00576857052,0.0033494925600000003,0.0033494925600000003,0.008001565560000002,0.006512902199999999,0.0007443316800000001,0.11741832252
Inner Mongolia,0.15648390324,0.04398590952,0.01278124596,0.0443313486,0.13437580212,0.2170508886,,0.0049512934800000005,0.01830827124,0.15395068331999998,0.00276351264,0.014393295,0.07288764587999999,0.005181586200000001,0.0368468352,0.01278124596,0.0017271954,0.03961034784,0.006793635240000001,0.0021877808399999995,0.0028786590000000004,0.00092117088,0.0025332199200000004,0.00207263448,0.0014969026800000001,0.0008060245200000001,0.004375561679999999,0.07127559684000001,0.00276351264,,0.0788752566
Liaoning,0.18141746256,0.05818392,0.02082984336,0.096003468,0.01966616496,,0.1931706144,0.01256772672,0.051667320960000006,0.013498669440000001,0.00628386336,0.03921596208,0.20690201952,0.011753151840000002,0.0040728744,0.04619803248,0.005585656319999999,0.04282336512,0.02222625744,0.01082220912,0.007214806079999999,0.00500381712,0.00907669152,0.004305610079999999,0.00616749552,0.0015127819199999997,0.0011636784,0.0011636784,0.0006982070399999999,0.00046547136,0.0820393272
Jilin,0.0551920554,0.04112018784,0.00867905604,0.06985376171999999,0.005814124920000001,0.30073350492,0.07398263304,0.005814124920000001,0.033789334680000005,0.0050557608000000006,0.00438165936,0.02393060112,,0.00522428616,0.0008426267999999999,0.037075579200000014,0.0025278804000000003,0.07777445364,0.011712512520000001,0.00699380244,0.00404460864,0.0028649311199999998,0.00497149812,0.00269640576,0.0034547698799999994,0.00042131339999999996,0.00033705072000000003,0.00092688948,0.00025278804,0.00025278804,0.050304819960000004
Heilongjiang,0.05886115127999999,0.04975672859999999,0.008610384239999998,0.06937711235999999,0.004728653639999999,0.16239749292000003,0.04820403636,0.004234615199999999,0.029783460239999986,0.003387692159999999,0.004305192119999999,0.02018499912,0.11172326435999998,0.0031759614000000003,0.0007763461199999999,0.028089614159999998,0.0014115384,,0.012633268679999995,0.004799230559999999,0.00232903836,0.0038817306,0.0018349999199999997,0.00225846144,0.00225846144,0.0007057691999999999,0.00042346151999999985,0.0007763461199999999,0.00042346151999999985,,0.06344865107999999
Shanghai,0.0087129432,0.0032170867200000002,0.06072251183999999,0.036728406719999995,0.007104399840000001,0.00924912432,0.00214472448,0.10897881264000002,0.6286723632,0.0107236224,0.0140747544,0.0281495088,0.004155403679999999,0.015549252480000001,0.010857667680000002,0.28229935968000003,0.0077746262400000005,0.0029489961600000004,,0.02024083728,0.034985818079999995,0.00308304144,0.00844485264,0.0087129432,0.005897992320000001,0.0029489961600000004,0.00026809056,0.00120640752,0.00107236224,0.00013404528,0.00790867152
Jiangsu,0.05450446908,0.0238705704,0.18380339208000002,0.46109985156000005,0.044558398080000006,0.029440370160000003,0.013924499399999998,0.8645124913200002,,0.058085054639999995,0.041773498199999995,0.11298736655999997,0.009548228159999998,0.04097781252,0.04097781252,0.7383963110399999,0.029440370160000003,0.00437627124,0.94248968796,0.052913097719999996,0.08474052491999999,0.005569799760000001,0.02625762744,0.01909645632,0.022279199040000003,0.008354699640000001,0.0019892142,0.005171956920000001,0.00636548544,0.00079568568,0.04217134103999999
Zhejiang,0.02333272392000001,0.0073571652000000015,0.09837580895999999,0.07504308504,0.016395968160000003,0.020389857840000004,0.0063061416000000006,0.23984358552000004,0.4706483680800001,0.024593952239999998,0.07252062840000002,0.12612283200000002,0.009459212400000005,0.04708585728000001,0.0168163776,,0.06957776232000001,0.003153070800000001,0.3186703555200001,0.12696365088000006,0.17825360256000006,0.0060959368800000005,0.04897769976000002,0.02711640888,0.032371526880000015,0.0052551180000000005,0.0008408188800000003,0.00252245664,0.0054653227200000005,0.00042040944000000015,0.017867401200000004
Anhui,0.039740301,0.033741765000000014,0.450640017,0.136466694,0.021744693,0.034491582,0.006748353,,2.66934852,0.043489386,0.049487922000000004,0.272933388,0.0059985360000000005,0.024743961000000002,0.015746157,2.5463785320000003,0.02249451,0.001499634,0.650841156,0.134217243,0.15371248499999998,0.0059985360000000005,0.021744693,0.011997072,0.026993412,0.021744693,0.0007498170000000001,0.002999268,0.005248719000000001,,0.0749817
Fujian,0.011542765679999999,0.008735065920000002,0.039931729920000006,0.02994879744,0.01201071564,0.01279063224,0.003431633040000001,0.03915181332,0.12806230572000002,0.01778209848,0.05412621204000001,0.4529755612800001,0.004367532960000001,0.032444530560000004,0.014194482120000003,0.22648778064,0.06551299440000001,0.0010918832400000002,0.07097241060000001,,0.13851318816000002,0.014506448760000004,0.05428219536,0.025113314520000003,0.07019249400000001,0.003899583,0.00015598332000000002,0.00202778316,0.0024957331200000004,0.00031196664000000005,0.01778209848
Jiangxi,0.012254652,0.00686260512,0.033822839519999995,0.026960234399999998,0.0049018608,0.00784297728,0.0024509304,0.09999796032,0.24215192351999998,0.01372521024,0.24019117920000002,1.7019260697599998,0.0014705582399999998,0.02597986224,0.0073527912,1.44948023856,0.05343028272,,0.16274177856,0.60734055312,,0.01617614064,0.042646188960000005,0.02254855968,0.06764567903999999,0.02107800144,0.00049018608,0.0014705582399999998,0.00098037216,,0.02009762928
Shandong,0.462097062,0.16992200736000002,0.37389327192,,0.11706458904000001,0.08658239688,0.04766896008,0.14041265111999998,0.745840872,0.08658239688,0.02983363488,0.10149921432,0.02529373392,0.039237715439999994,0.02399661936,0.29768779152,0.020429554319999998,0.01556537472,0.13230568512000002,0.039237715439999994,0.048641795999999994,0.00680985144,0.01751104656,0.012971145600000001,0.02237522616,0.008106966,0.00518845824,0.0077826873599999985,0.0077826873599999985,0.00097283592,0.14397971616
Henan,0.21894379056,0.08480217240000001,,0.46409916168000004,0.2235693636,0.04317201504,0.02929529592,0.6175140008400001,1.41157070604,0.18656477927999998,0.12951604512,1.0368992897999998,0.01310579028,0.08094752820000001,0.06938359560000001,1.7870130511200002,0.04317201504,0.00308371536,0.40473764100000004,0.18964849464000003,0.17962641971999999,0.013876719119999997,0.04548480156,0.0308371536,0.05550687647999999,0.07863474168000001,0.0077092884,0.01233486144,0.02389879404,0.00308371536,0.21046357332
Hubei,0.006056097839999999,0.00325402272,0.06019942032000001,0.006598434959999999,0.00216934848,0.0028924646399999996,0.0008135056799999997,0.02548984464,0.034709575679999986,0.01970491536,0.14932348703999998,0.35595392975999995,0.0009038952,0.01428154416,0.004248307439999999,0.042302295359999985,0.01147946904,0.0005423371199999999,0.02783997216,0.01843946208,0.032269058639999994,0.0011750637599999998,0.008496614879999998,0.0510700788,0.017535566880000002,,0.00036155807999999995,0.0006327266400000001,0.0008135056799999997,9.038951999999999e-05,0.00280207512
Hunan,0.013434212880000004,0.0073277524800000006,0.04946232924000001,0.02503648764,0.008549044560000002,0.00549581436,0.0024425841600000005,0.04946232924000001,0.15205086396000006,0.023204549520000003,,3.61868843304,0.0018319381200000001,0.04213457676,0.01099162872,0.6710999979600001,0.25769262888,0.0006106460400000001,0.055568789640000005,0.1770873516,0.27295877988,0.025647133680000003,0.10258853472000001,0.08182656936,0.30715495812000004,0.08915432184000001,0.0006106460400000001,0.0012212920800000002,0.0030532302,0.0012212920800000002,0.039081346560000015
Guangdong,0.01560687588,0.004761419760000001,0.09020245212000001,0.029626611840000008,0.010316409480000002,0.01666496916,0.0039678498,0.039678498,0.05502085056,0.022749005520000004,0.4991555048400001,,0.0076711762800000015,0.08676364896,0.01269711936,0.09231863868,0.17908228764000003,0.004761419760000001,0.027774948600000002,0.17908228764000003,0.24759382751999998,0.09152506872000002,0.06480821340000001,0.04258825451999999,0.7044256011600001,0.01640044584,0.0066130830000000005,0.00158713992,0.0023807098800000003,0.00026452332000000004,0.0158713992
