,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Anhui,Shaanxi,Hunan,Guangdong,Jiangsu,Sichuan,Zhejiang,Gansu,Jilin,Heilongjiang,Shanghai,Guizhou,Fujian,Jiangxi,Yunnan,Chongqing,Hainan,Hubei,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.6731980243200001,0.09606476232,0.06627723912000001,0.06131265192000001,0.03959258292,0.036117371880000006,0.027553458960000003,0.0254435094,0.024202362600000003,0.023830018560000003,0.021720069,0.02072715156,0.0148937616,0.013900844160000005,0.01216323864,0.011666779919999998,0.01042563312,0.009308601,0.00893625696,0.0075709954799999995,0.006826307400000001,0.00521281656,0.0045922431599999996,0.0045922431599999996,0.0033510963600000003,0.00322698168,0.00322698168,0.0012411467999999999,0.0008688027600000003,0.00024822936,
Tianjin,0.441204408,,0.07107621696000001,0.02353090176,0.02183861088,0.029655383039999997,0.02530377792000001,0.0068497488,0.0092673072,0.0034651670399999997,0.008219698559999999,0.019259881920000003,0.00394867872,0.00838086912,0.005802140160000001,0.0076556016,0.00531862848,0.00531862848,0.00153112032,0.0024175584000000003,0.00233697312,0.00209521728,0.00193404672,0.00104760864,0.0006446822400000001,0.0013699497599999999,0.00024175584,0.0016117056000000002,0.0005640969600000001,8.058528000000001e-05,0.09243131616
Hebei,,0.6299454920399999,0.54363171708,0.17843015664,0.31152744828,0.13998788712000002,0.190398033,0.04750884252,0.09683099964,0.02647439316,0.06419133683999999,0.12620669616,0.036991617840000005,0.07325790984,0.023210426880000003,0.022485101040000004,0.01341852804,0.023210426880000003,0.01559450556,0.015957168480000002,0.02139711228,0.02393575272,0.01559450556,0.006890595479999999,0.0047146179600000004,0.01958379768,0.0032639662800000003,0.010154561760000002,0.0065279325600000005,0.0007253258400000001,0.92950506396
Shanxi,0.27224317404000004,0.0456576102,0.08930319012,0.14037780492000002,,0.0092862936,0.19516693715999997,0.01872735876,0.32919910812000003,0.01067923764,0.04318126524,0.11081643695999999,0.0216680184,0.04519329552,0.014548526639999997,0.00325020276,0.0026311165200000003,0.0247634496,0.009131522040000001,0.01052446608,0.0069647202000000024,0.01300081104,0.00634563396,0.00495268992,0.0021668018400000004,0.005571776160000001,0.004024060560000001,0.00634563396,0.00495268992,0.00061908624,0.09394633692
Inner Mongolia,0.16156086336,0.04529854368,0.04529854368,0.00922529088,0.13897072800000002,0.22176179999999998,,0.00390300768,0.17161406496,0.0033116428800000004,0.01289175264,0.015730303680000002,0.008160834240000001,0.011590750079999998,0.03560016096,0.07593124032000001,0.044588905920000005,0.007451196479999999,0.0017740944,0.0021289132800000003,0.00224718624,0.0029568240000000003,0.00224718624,0.0008279107200000001,0.0008279107200000001,0.00272027808,0.0047309184,0.07001759232,0.0041395536,0.00011827296,0.07309268928
Liaoning,0.180791757,0.057602421,0.098095212,0.0189346572,0.017109629999999997,,0.1923122412,0.013003318799999998,0.0133455114,0.007414173,0.0380974428,0.047906964,0.0134595756,0.043686588600000006,0.002851605,0.2042889822,0.0476788356,0.0187065288,0.0063875952,0.0104939064,0.006957916199999999,0.0075282371999999985,0.0042203753999999994,0.0037641186,0.001140642,0.005703209999999999,0.0009125136,0.0012547062,0.0009125136,0.0004562568,0.0739136016
Jilin,0.04907941308,0.035636267520000015,0.06451118964,0.008749976400000001,0.004454533440000001,0.27236290176000005,0.08455659012000001,0.007159071600000001,0.0055681668000000005,0.0058863477600000005,0.02012494572,0.030465826919999998,0.00604543824,0.033806727,0.0012727238400000002,,0.08209068768000001,0.012886328880000002,0.0023068119600000003,0.005090895360000001,0.004454533440000001,0.0034204453200000003,0.0015909048000000002,0.0026249929200000003,0.00071590716,0.0027840834000000003,0.00047727144,0.0011136333600000002,0.0003181809600000001,0.00015909048000000006,0.044465789160000005
Heilongjiang,0.057616272,0.046901916000000016,0.07216225200000001,0.00922428,0.0072375120000000015,0.13616456400000002,0.05030780400000001,0.005250744000000001,0.002838240000000001,0.004612140000000001,0.027956664000000003,0.03625851600000001,0.0065989080000000006,0.033916968000000006,0.0015610320000000002,0.113742468,,0.014262156000000002,0.0021286800000000004,0.004044492,0.0026963280000000004,0.002199636,0.0014191200000000005,0.0043283160000000005,0.0007805160000000001,0.0031930200000000013,0.0002838240000000001,0.0009933840000000002,0.00042573599999999996,0.00021286799999999998,0.059177304000000014
Shanghai,0.00962108928,0.0033072494399999995,0.03848435712,0.05652389951999999,0.006614498879999999,0.0090197712,0.00240527232,0.11906097983999997,0.01142504352,0.01458196344,0.02871293832,0.73917024984,0.016085258640000002,0.32561374031999996,0.00992174832,0.0040588970399999995,0.0036079084799999993,,0.007817135040000001,0.02164745088,0.03202018776,0.007516475999999999,0.00886944168,0.0033072494399999995,0.0034575789600000003,0.0055621922399999996,0.0009019771199999998,0.0015032951999999998,0.00105230664,0.0004509885599999999,0.007516475999999999
Jiangsu,0.05729504544,0.02356817472,0.48436662528,0.18610731072,0.034133218560000005,0.030882435839999996,0.010565043840000002,0.8773049865600001,0.0589204368,0.040634784,0.10605678624,,0.041853827520000005,0.7659656784000001,0.04104113184,0.008939652480000001,0.0060952176,0.98783159904,0.026818957440000003,0.0467300016,0.08045687232000001,0.028038000960000004,0.01991104416,0.006501565440000001,0.0081269568,0.02194278336,0.0020317392,0.007720608959999999,0.006501565440000001,0.0008126956800000001,0.03941574048
