,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Anhui,Hunan,Shaanxi,Guangdong,Jiangsu,Sichuan,Jilin,Gansu,Heilongjiang,Zhejiang,Shanghai,Guizhou,Jiangxi,Fujian,Yunnan,Hainan,Chongqing,Guangxi,Xinjiang,Hubei,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.8020101276,0.12427931736,0.06851847024,0.06737171759999999,0.04845029904,0.035262643680000004,0.02881216008,0.026231966640000003,0.02494186992,0.02479852584,0.02307839688,0.021071579759999997,0.015194472480000002,0.01419106392,0.013904375759999999,0.01376103168,0.01347434352,0.01089415008,0.009604053360000002,0.00817061256,0.007453892159999999,0.0061637954400000005,0.006020451360000001,0.00473035464,0.004013634240000001,0.00272353752,0.0025801934399999997,0.0014334407999999999,0.00114675264,0.00043003224,
Tianjin,0.4427725939200001,,0.07098430464000001,0.02534011776,0.02094356736,0.02661911424,0.023101873919999998,0.0075141043199999985,0.0031974912,0.008553288959999999,0.00823353984,0.017985888000000002,0.00671473152,0.008553288959999999,0.0071943552,0.005195923200000001,0.008153602559999999,0.00423667584,0.0020783692800000002,0.00223824384,0.00295767936,0.0019184947199999997,0.0014388710399999998,0.00247805568,0.0011990592,0.00023981183999999996,0.0007993728,0.0020783692800000002,0.0007993728,7.993728000000001e-05,0.08409401856000001
Hebei,,0.6404158857600001,0.57290660748,0.20953699488,0.32906161871999995,0.12837829967999995,0.19478086848,0.05607328032,0.030250059119999995,0.11841791436,0.07341172884,0.13760087867999998,0.048326313960000006,0.01992077064,0.030618962280000002,0.01254270744,0.08337211416,0.02840554332,0.01807625484,0.023240899080000002,0.01881406116,0.023609802239999998,0.008484772679999999,0.016231739040000002,0.01807625484,0.0036890316,0.0059024505599999996,0.015862835880000002,0.011435997959999998,0.0018445158,0.8031021793199999
Shanxi,0.339734655,0.067718025,0.121129425,0.195523875,,0.00915624,0.227189205,0.02823174,0.013925115,0.39600738,0.03929553,0.141730965,0.026133435000000003,0.00190755,0.017358705000000002,0.0013352850000000005,0.05646348,0.02517966,0.00953775,0.008202465,0.010491525000000002,0.01297134,0.0034335900000000003,0.01335285,0.006104160000000001,0.004005855,0.0030520800000000004,0.00953775,0.00724869,0.0013352850000000005,0.10720431
Inner Mongolia,0.17227318464000002,0.04331025288,0.039801880440000006,0.012944684520000005,0.15654599784,0.21086528148000008,,0.0042342426,0.0025405455600000003,0.19005700356000005,0.012097836,0.017904797280000002,0.006048918,0.07476462647999998,0.03714035652,0.042463404360000005,0.014033489760000002,0.006774788160000002,0.003387394080000001,0.00290348064,0.0025405455600000003,0.00435522096,0.0013307619600000007,0.0020566321200000005,0.00278250228,0.005202069480000001,0.0008468485200000003,0.06798983832000001,0.003992285880000001,0.00012097836000000002,0.066538098
Liaoning,0.16807177296,0.048889656,0.09060882912,0.0184694256,0.015101471519999998,,0.18404239392,0.012602666879999998,0.0054321840000000005,0.01314588528,0.03661292016,0.05062795488,0.01358046,0.19132152048,0.00456303456,0.046173564,0.04497848352,0.02140280496,0.00391117248,0.00673590816,0.0097779312,0.0059754024000000005,0.006084046080000001,0.006409977119999999,0.00727912656,0.0015210115200000002,0.0015210115200000002,0.00119508048,0.0015210115200000002,0.0005432184,0.06648993216
Jilin,0.0404358804,0.031872988080000005,0.05772023712,0.007770031920000001,0.00721502964,0.28249616052000004,0.08269533972000001,0.006580741320000001,0.003567871800000001,0.007373601720000002,0.02227937724,0.03155584392,0.006422169240000001,,0.00206143704,0.07738317504,0.03861230148,0.014747203440000004,0.0031714416000000003,0.00507430656,0.007928604,0.004043588040000001,0.0030128695199999997,0.00253715328,0.00325072764,0.0005550022799999999,0.00095143248,0.00047571624,0.0005550022799999999,0.00015857208,0.03900873168
Heilongjiang,0.044799512399999984,0.0372483198,0.06047299619999999,0.007614648000000001,0.0048860658000000005,0.13769821799999998,0.0461955312,0.0045053334,0.0045053334,0.004759154999999999,0.0236688642,0.0340120944,0.0059013521999999995,0.08420531579999999,0.0010787417999999999,,0.034392826800000005,0.0111681504,0.0025382160000000003,0.0023478498,0.0051398874,0.0030458592,0.0048860658000000005,0.0022843944,0.0027920376,0.00044418779999999997,0.0005076432,0.0009518310000000001,0.00044418779999999997,0.00031727700000000003,0.060599907
Shanghai,0.01166969916,0.00295851528,0.04174793784,0.056376152280000015,0.007889374079999999,0.00953299368,0.0011505337200000002,0.12869541468,0.014956938360000003,0.012327147,0.03106441044,0.82690502076,0.02070960696,0.00476649684,0.0115053372,0.0034516011600000005,0.34203723876000003,,0.010683527400000002,0.035173459440000006,0.018408539520000003,0.012162785039999999,0.00443777292,0.009039907800000002,0.006081392519999999,0.0008218098,0.0032872392,0.0004930858799999999,0.0021367054800000003,0.00016436196,0.009039907800000002
Jiangsu,0.07099943544000001,0.02635907184,0.5025229502399999,0.19216613664,0.0403889004,0.027634510800000008,0.014029828560000002,0.98166285288,0.0403889004,0.07142458176000001,0.11053804320000003,,0.05101755840000001,0.00977836536,0.03953860776000001,0.0051017558400000005,0.7945984720800002,0.9442499767200002,0.0297602424,0.09013101984000002,0.05314329000000001,0.031035681360000008,0.007652633760000001,0.019131584400000002,0.02508363288,0.0017005852800000005,0.006802341120000001,0.008928072720000001,0.008928072720000001,0.0008502926400000001,0.03826316880000001
