,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Hunan,Inner Mongolia,Shaanxi,Anhui,Guangdong,Jiangsu,Sichuan,Gansu,Zhejiang,Heilongjiang,Jilin,Guizhou,Shanghai,Jiangxi,Yunnan,Fujian,Hainan,Chongqing,Xinjiang,Guangxi,Hubei,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.63635139,0.08989542,0.07096329,0.06838749,0.04868262,0.03902337,0.03335661,0.03065202,0.030523230000000005,0.028333800000000006,0.02717469,0.02678832,0.02137914,0.01815939,0.016098750000000002,0.012879000000000002,0.01275021,0.01262142,0.01120473,0.007856189999999999,0.007341029999999998,0.0069546600000000005,0.00618192,0.005022810000000001,0.00463644,0.00399249,0.00373491,0.00193185,0.0014166900000000002,0.0005151600000000001,
Tianjin,0.5129122175999999,,0.08723251584000001,0.027517553280000003,0.027891941760000004,0.03257179776,0.0033694963200000005,0.024241654080000005,0.00917251776,0.01010848896,0.009640503359999998,0.0215273376,0.007113381120000001,0.00542863296,0.01113805728,0.0065517984,0.007674963839999998,0.0022463308800000003,0.004492661760000001,0.0026207193600000004,0.00205913664,0.0032758992,0.00159115104,0.0022463308800000003,0.00037438848,0.0017783452800000002,0.00046798559999999996,0.0022463308800000003,0.0026207193600000004,9.359712e-05,0.10407999744
Hebei,,0.69481881,0.6836187456,0.25511257800000003,0.36877249079999996,0.15680090160000001,0.0286223868,0.1792010304,0.13149705239999998,0.0543410532,0.0738374616,0.1476749232,0.0460447092,0.0282075696,0.0941635044,0.0149334192,0.0236445804,0.0149334192,0.0306964728,0.0257186664,0.026963117999999998,0.019496408399999998,0.008296343999999999,0.0153482364,0.004148172,0.0190815912,0.0045629892,0.0120296988,0.0095407956,0.0008296344,0.968598162
Shanxi,0.294419286,0.054374733000000015,0.117085662,0.20291058900000009,,0.015914556,0.017430228000000002,0.22166703,0.4253354550000001,0.027850472999999997,0.042628275,0.13451589,0.030123981000000005,0.019514277000000003,0.059679585000000014,0.002841885000000001,0.0034102620000000003,0.009851868,0.028039932000000004,0.010988622,0.017240769000000003,0.008715114000000001,0.003978639,0.010420245000000002,0.002841885000000001,0.007009983000000001,0.002652426000000001,0.008904572999999999,0.0062521469999999996,0.0013262130000000006,0.10325515500000003
Inner Mongolia,0.15961836672000002,0.037584557280000014,0.03688854696,0.01403620812,0.14337812592,0.19140283800000002,0.00336404988,,0.17887465224,0.0051040756799999995,0.01403620812,0.01728425628,0.0092801376,0.04071660372,0.016124239079999998,0.04848871896,0.07447310423999999,0.0031320464400000003,0.00788811696,0.0025520378399999997,0.00394405848,0.0031320464400000003,0.00197202924,0.0023200344,0.004756070519999999,0.00220403268,0.0009280137599999999,0.07168906296,0.00452406708,0.00023200343999999997,0.05834886516000001
Liaoning,0.17724088871999996,0.05008741272,0.08602209072,0.0210079656,0.017469781919999997,,0.005196707279999998,0.18929282688000001,0.016585235999999996,0.0116096652,0.0458858196,0.043121613600000004,0.01304705232,0.00486500256,0.03792490632,0.05207764103999999,0.20355612984000002,0.0049755708,0.01957057848,0.00751864032,0.0071869356,0.00961943688,0.005307275519999999,0.0047544343200000005,0.00176909184,0.00707636736,0.0016585235999999998,0.0006634094399999999,0.0016585235999999998,0.00033170471999999994,0.057053211839999986
Jilin,0.053872128000000005,0.0361111608,0.06102702,0.007996644,0.007659943200000002,0.2890576368000001,0.0038720592,0.08779473360000001,0.0073232424,0.0059764392,0.0299663712,0.0299663712,0.0053030376,0.0021885552,0.0318182256,0.0956230272,,0.0036195336,0.0150673608,0.0044612856,0.003787884000000001,0.007659943200000002,0.0038720592,0.0026936064000000004,0.0005050512,0.006060614399999999,0.0009259272,0.0008417520000000001,0.0006734016000000001,8.417520000000001e-05,0.0346801824
Heilongjiang,0.07436227032,0.04866176736,0.07798773312000001,0.00950676912,0.00499508208,0.17651975543999998,0.0036254628000000006,0.06509719872,0.005639608799999999,0.00555904296,0.029809360800000007,0.03488500872,0.007250925600000001,0.00128905344,0.0370602864,,0.12358799856,0.00177244848,0.01756335312,0.0028198044,0.00330319944,0.004431121200000001,0.0048339504,0.00177244848,0.00024169752,0.00346433112,0.00064452672,0.00096679008,0.00136961928,8.056584e-05,0.055026468720000006
Shanghai,0.010045114559999999,0.004934442240000002,0.04687720128000001,0.06044691744000001,0.00722543328,0.01039757472,0.014979556800000004,0.002995911360000001,0.01251233568,0.13904553312,0.038418157439999996,0.8515437465600001,0.01744677792,0.01251233568,0.40762017504,0.004229521920000001,0.00370083168,0.010045114559999999,,0.0361271664,0.01163118528,0.02185252992,0.004934442240000002,0.0066967430400000005,0.0005286902400000001,0.007049203200000001,0.0026434512000000003,0.0010573804800000002,0.0019385308800000003,,0.00863527392
Jiangsu,0.07357337892000003,0.02777273244,0.6178214865600001,0.23777356896,0.04872409200000001,0.032645141640000014,0.04531340556000001,0.013642745760000005,0.08234371548000001,1.0300273048800002,0.11888678448,,0.04774961016,0.03751755084,0.9262449889200004,0.006821372880000003,0.012181023000000004,0.031670659800000014,1.16499303972,0.09452473848000002,0.033619623480000006,0.05895615132000001,0.007795854720000002,0.02192584140000001,0.003897927360000001,0.02290032324,0.007308613800000001,0.007795854720000002,0.00925757748,0.0009744818400000002,0.03946651452000001
