,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Guangdong,Shaanxi,Jiangsu,Anhui,Hunan,Sichuan,Gansu,Zhejiang,Heilongjiang,Jilin,Shanghai,Hainan,Jiangxi,Guizhou,Yunnan,Fujian,Chongqing,Guangxi,Hubei,Ningxia,Qinghai,Xinjiang,Tibet,Beijing
Beijing,0.64975361112,0.09773277912,0.06862622616,0.0639842328,0.043408910880000005,0.034877679839999995,0.029859308639999995,0.02659736736,0.02647190808,0.02647190808,0.02459001888,0.02308450752,0.0194461884,0.014553276479999997,0.0144278172,0.01292230584,0.012169550159999999,0.00978582384,0.007527556800000001,0.007402097519999999,0.007276638239999998,0.00614750472,0.006022045439999999,0.004391074799999999,0.00351285984,0.0027601041600000004,0.00225826704,0.00225826704,0.00225826704,0.0008782149600000001,
Tianjin,0.49794100056,,0.0904350744,0.029779630560000003,0.025120853999999998,0.02932288776,0.02439006552,0.01123587288,0.0109618272,0.020553426,0.00977429592,0.0034712452799999997,0.00484147368,0.00557226216,0.0105050844,0.00465877656,0.0070338391200000005,0.004567428,0.00200966832,0.00264910824,0.0015529255200000002,0.002283714,0.0031058510400000005,0.0015529255200000002,0.002283714,0.00100483416,0.00219236544,0.0007307884799999999,0.00054809136,9.134855999999999e-05,0.10203634152
Hebei,,0.7052294743199999,0.7132868164800001,0.28243104624000004,0.3769987989600001,0.15520985424000006,0.18489479904000006,0.07209200880000001,0.13612667544,0.14672844144000002,0.062338384079999996,0.025444238400000003,0.039438569520000015,0.030533086080000008,0.08099749224000001,0.0127221192,0.018659108160000003,0.02756459160000001,0.007633271520000002,0.0233238852,0.016114684320000003,0.02289981456000001,0.018659108160000003,0.01738689624,0.018235037520000004,0.005512918320000001,0.014842472399999999,0.00890548344,0.0050888476799999995,0.0012722119199999999,1.0029270636
Shanxi,0.303917184,0.05109607656,0.12080708064,0.21350182176,,0.015005910960000004,0.21996006191999998,0.04254840576000001,0.43365183192,0.14189133528,0.024883219440000003,0.01348632504,0.03210125256,0.01918477224,0.052995558960000015,0.002659275360000001,0.0032291200800000004,0.0265927536,0.0037989648,0.00987730848,0.008357722560000001,0.01595565216,0.01006725672,0.01006725672,0.00626829192,0.0032291200800000004,0.00892756728,0.00797782608,0.0041788612800000005,0.0009497412,0.08927567280000001
Inner Mongolia,0.15003285911999995,0.03611489328,0.0367836876,0.013152954960000001,0.14022387575999998,0.17009668871999994,,0.013264420679999998,0.18258084936000002,0.01571666652,0.0050159574,0.00267517728,0.00902872332,0.03812127624,0.01148096916,0.04592387664,0.06933167784,0.007691134679999999,0.0014490543599999998,0.0022293144,0.00178345152,0.00289810872,0.00211784868,0.0022293144,0.00267517728,0.00078026004,0.08382222143999997,0.00479302596,0.0044586288,0.00011146572,0.056624585759999985
Liaoning,0.17294665428000006,0.05322221316,0.09071271648,0.01889848260000001,0.015731709840000004,,0.17029065132000004,0.03943142856,0.016140325680000005,0.044641280520000014,0.01184985936,0.006027083640000001,0.00990893412,0.0040861584000000005,0.033506498880000006,0.03963573648,0.16589803104,0.019920022199999998,0.00582277572,0.004903390079999999,0.00367754256,0.006946469280000001,0.009806780159999999,0.003984004440000001,0.0059249296800000005,0.00163446336,0.00183877128,0.00194092524,0.00132800148,0.00030646187999999996,0.05884068096
Jilin,0.04592924532,0.030996584280000006,0.07021367388000001,0.007164660600000001,0.00693840816,0.218710692,0.08295922800000001,0.027678215160000002,0.00935176752,0.035370798120000005,0.0059579809200000005,0.00535464108,0.00512838864,0.00135751464,0.03107200176,0.08680551948,,0.01199137932,0.00362003904,0.00346920408,0.0033937866000000004,0.0041479614000000005,0.00693840816,0.0041479614000000005,0.0052792236,0.0007541748000000001,0.00135751464,0.0008295922800000001,0.0003770874,7.541748e-05,0.035747885520000015
Heilongjiang,0.056023416720000004,0.04911748308,0.08589739932,0.009621750240000001,0.005354038439999999,0.13672196712,0.07092161064000001,0.03127068828,0.00938896596,0.037866242880000005,0.005431633199999999,0.00333657468,0.0048108751200000004,0.0011639214,0.03949573284,,0.12508275312,0.017691605279999998,0.00527644368,0.00302619564,0.00225024804,0.004500496079999999,0.007914665520000001,0.00248303232,0.00364695372,0.00100873188,0.00108632664,0.00062075808,0.00069835284,0.00015518952,0.05299722108
Shanghai,0.01057907628,0.00450911448,0.052028244,0.06538215995999999,0.00763080912,0.010058793839999998,0.0029482671600000003,0.0364197708,0.015088190759999997,0.8364407360399999,0.14221053359999994,0.014567908319999996,0.0190770228,0.009885366359999998,0.38154045600000003,0.0034685496000000002,0.00364197708,,0.004855969440000001,0.0372869082,0.008671373999999999,0.01057907628,0.0234127098,0.009191656440000001,0.0057231068400000005,0.00312169464,0.0008671374000000001,0.0015608473199999998,0.0006937099199999999,,0.008844801480000001
Jiangsu,0.0779270382,0.02644796448,0.62955601164,0.23236425936000002,0.047700793080000005,0.0306985302,0.014640837479999997,0.11665441475999999,0.08595588456,,1.03713803568,0.04297794228,0.050062218480000004,0.04156108704,0.8784502488000001,0.005667420959999999,0.008501131439999999,1.04800059252,0.0094457016,0.09067873535999997,0.03353224068,0.03447681084,0.060924775320000006,0.02266968384,0.02314196892,0.00802884636,0.006139706039999999,0.01039027176,0.0033059955600000003,0.0014168552399999998,0.035421380999999995
