,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Guangdong,Anhui,Shaanxi,Sichuan,Hunan,Jilin,Heilongjiang,Zhejiang,Gansu,Shanghai,Fujian,Jiangxi,Hainan,Yunnan,Chongqing,Guizhou,Guangxi,Ningxia,Xinjiang,Hubei,Qinghai,Tibet,Beijing
Beijing,0.7510787856000001,0.10465206155999998,0.07484526359999999,0.05488652663999999,0.0433314684,0.0341399448,0.026261496000000002,0.0249484212,0.02284750152,0.02153442672,0.01746389484,0.015231667679999996,0.01404990036,0.01391859288,0.013393362959999999,0.012868133039999998,0.01221159564,0.00997936848,0.0059088366,0.005646221639999999,0.005383606679999999,0.00512099172,0.004727069279999999,0.00420183936,0.00407053188,0.00223222716,0.00183830472,0.00183830472,0.0015756897599999995,0.00026261496,
Tianjin,0.5547733286400001,,0.09321209136,0.03100549104,0.025625989440000004,0.029636163360000002,0.0249413256,0.02083334256,0.009194057280000001,0.009585293759999999,0.009194057280000001,0.0048904560000000005,0.00254303712,0.00850939344,0.006651020160000001,0.0102699576,0.0051838833600000005,0.004988265120000001,0.0033255100800000004,0.0019561824,0.0019561824,0.00224960976,0.0017605641600000003,0.0013693276800000006,0.0017605641600000003,0.0013693276800000006,0.0008802820800000001,0.00078247296,0.00117370944,9.780912e-05,0.10651413168
Hebei,,0.7488793342800001,0.7617246058800001,0.28559320524,0.38150456652,0.15499961064000006,0.18968184395999999,0.14557974480000002,0.06337000656000001,0.05951642508,0.12374278308000003,0.04024851768,0.02654689464,0.02611871892,0.018411555960000003,0.07450257528,0.02654689464,0.02483419176,0.015842501640000003,0.02483419176,0.008135338680000001,0.021836961720000003,0.016270677360000003,0.01370162304,0.01798338024,0.01327344732,0.005566284360000001,0.004709932920000001,0.00941986584,0.00128452716,0.9698180058
Shanxi,0.30871520604,0.04788159804,0.13265252064000002,0.22990619448000002,,0.01434584844,0.2217085668,0.12464120268,0.037820873160000004,0.02813276772,0.4219915158,0.0307411038,0.012669060959999999,0.0031672652399999997,0.00204940692,0.044900642520000006,0.017885733119999997,0.021052998360000002,0.00801131796,0.00968810544,0.00409881384,0.011923822079999999,0.008570247119999999,0.00726607908,0.006707149920000001,0.007825008239999999,0.0037261944,0.0033535749600000003,0.007825008239999999,0.0007452388799999999,0.07955425043999999
Inner Mongolia,0.16642490688,0.03985174728,0.048749464440000015,0.01804607424,0.15903102923999998,0.21730481063999998,,0.0144117954,0.01165475628,0.00513811836,0.19111293899999998,0.0067672778400000005,0.0028823590800000003,0.08521757280000003,0.053762262840000005,0.01203071616,0.04110494688,0.00651663792,0.00275703912,0.0017544794400000006,0.0012531996000000002,0.0028823590800000003,0.0031329990000000005,0.00150383952,0.00225575928,0.08972909136,0.004260878640000001,0.0005012798400000001,0.00338363892,0.00012531996000000002,0.05789782152
Liaoning,0.20728256399999997,0.05938035803999999,0.11827299239999994,0.02584935504,0.01804577616,,0.19996670879999995,0.04779692063999999,0.03987141084,0.014143986719999996,0.017070328799999996,0.011217644639999998,0.005730753239999999,0.219475656,0.06596462772,0.033287141160000006,0.004267582199999999,0.0188992926,0.009998335439999995,0.00682813152,0.005121098639999999,0.006462338759999999,0.0037798585199999993,0.00414565128,0.006950062439999997,0.00170703288,0.0012193092,0.00158510196,0.0013412401199999998,0.00048772368,0.060843529079999986
Jilin,0.05609908368,0.03542673348,0.06785394948,0.008187872039999999,0.0065665112400000005,0.26420074235999996,0.0920122254,0.03226507992,0.025131092400000003,0.00745825968,0.006971851439999999,0.004620878279999999,0.00437767416,,0.09841660056,0.02723886144,0.0012160206,0.012646614240000001,0.00437767416,0.004053402,0.003648061800000001,0.005674762799999999,0.0031616535600000003,0.00194563296,0.00340485768,0.0004864082399999999,0.0004053402,0.00129708864,0.0007296123599999999,0.00016213608,0.02902235832
Heilongjiang,0.06660004032000001,0.05034835584,0.09766943712,0.01003780512,0.00549689328,0.15407234207999998,0.05927084928000001,0.036805285439999995,0.03242370384,0.0066122049600000005,0.007647851519999999,0.005815553760000001,0.0033459350399999994,0.12053332656,,0.03991222512,0.00103564656,0.016650010080000003,0.0067715352000000005,0.0027086140800000004,0.004461246720000001,0.00414258624,0.00262894896,0.0022306233600000005,0.00342560016,0.00095598144,0.0005576558400000001,0.0008763163199999999,0.0003983256,0.00015933024,0.05194165824
Shanghai,0.011237778,0.004534542,0.047908422000000006,0.061314894,0.008674776,0.011434932,0.0029573100000000003,1.00844271,0.03647349,0.14727403800000002,0.012815010000000002,0.020306862,0.01577232,0.003154464,0.0037459259999999997,0.43945626600000004,0.00788616,,0.026418636,0.039036492,0.007097544,0.011632086000000002,0.009463392,0.008871930000000002,0.006506082,0.000788616,0.000591462,0.003154464,0.0013800780000000005,,0.009463392
Jiangsu,0.0827763948,0.028093806720000003,0.7018434928799999,0.24582080879999998,0.05117086224,0.033612233039999995,0.014046903360000002,,0.11137187664,1.1187355176,0.08929817136,0.04916416176,0.042140710080000005,0.012541878000000001,0.008528477040000001,0.8995034901599999,0.03210720768,1.1638862784000001,0.05568593832,0.0903015216,0.00802680192,0.03060218232,0.01906365456,0.028093806720000003,0.023077055519999997,0.007023451680000001,0.0035117258400000004,0.00953182728,0.00903015216,0.00100335024,0.03812730912
