,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Guangdong,Jiangsu,Shaanxi,Anhui,Sichuan,Hunan,Gansu,Jilin,Zhejiang,Heilongjiang,Shanghai,Jiangxi,Chongqing,Fujian,Hainan,Yunnan,Guangxi,Guizhou,Ningxia,Hubei,Qinghai,Xinjiang,Tibet,Beijing
Beijing,0.9224048858399999,0.13570201835999998,0.07745619168,0.05563321704,0.04856380272,0.031658681519999995,0.023974535519999996,0.02351348676,0.02351348676,0.02166929172,0.02136192588,0.016751438280000003,0.01567565784,0.015214609079999997,0.0145998774,0.0138314628,0.013216731119999998,0.0099893898,0.0084525606,0.006608365559999999,0.006608365559999999,0.0058399509600000005,0.00568626804,0.00399575592,0.00368839008,0.0023052438,0.00199787796,0.00184419504,0.0015368291999999998,0.0004610487599999999,
Tianjin,0.587415564,,0.09468342396,0.028474720560000003,0.023397060600000002,0.03215851308,0.01921545828,0.009358824239999996,0.01831940064,0.00915970032,0.00906013836,0.0057745936800000005,0.0028872968400000002,0.00637196544,0.007765832879999999,0.008164080719999998,0.0071684611200000005,0.00617284152,0.002489049,0.0025886109600000004,0.002489049,0.00189167724,0.0023894870399999994,0.0012943054800000002,0.0014934294,0.00159299136,0.0006969337200000001,0.0014934294,0.0010951815600000001,,0.09886502628
Hebei,,0.7223171921999998,0.7644489857999999,0.28357938,0.36460206,0.15272775179999998,0.16812206100000002,0.07048973159999998,0.1421948034,0.1182931128,0.05631076259999999,0.0376755462,0.027952824599999995,0.0267374844,0.024306804,0.07211018519999997,0.019445443199999995,0.0259272576,0.022281237000000002,0.016609649399999996,0.017014762799999996,0.006481814399999999,0.018230103,0.019445443199999995,0.012963628799999998,0.0109380618,0.004861360799999999,0.008912494799999999,0.007292041199999998,0.0012153401999999995,0.8195444081999999
Shanxi,0.3291149232,0.052315956,0.14306035967999994,0.23266332431999998,,0.01160463024,0.22143917376,0.035194370400000015,0.11433414384000001,0.43127371728,0.03119933376,0.02891645568,0.01255582944,0.01826302464,0.0034243171200000005,0.04489660223999999,0.00304383744,0.02054590272,0.0104631912,0.01065343104,0.00799007328,0.004375516320000001,0.013697268480000002,0.006468154560000001,0.008941272479999998,0.008941272479999998,0.004185276480000001,0.00799007328,0.004185276480000001,0.00057071952,0.07666665552
Inner Mongolia,0.16129844280000002,0.03715512768,0.042929235360000005,0.015188413680000004,0.16054529832,0.21364198416,,0.011799263519999999,0.015313937759999998,0.20975073768,0.005397535440000001,0.0057741076799999996,0.003389150160000001,0.042678187200000016,0.08610951888000003,0.01205031168,0.053222209920000006,0.00602515584,0.0020083852800000003,0.0023849575199999997,0.0021339093600000005,0.00301257792,0.00263600568,0.0022594334400000003,0.0021339093600000005,0.091004958,0.0006276204000000001,0.004267818720000001,0.004895439120000001,0.00012552408000000002,0.053347734000000015
Liaoning,0.21417264756,0.05457909924,0.10809266292000001,0.023678568,0.017403747480000002,,0.19724247144,0.035873030519999995,0.04700195748,0.017522140319999997,0.012194462520000001,0.012549641039999998,0.007458748919999998,0.004380535079999999,0.21227836211999995,0.031729281119999994,0.06109070544,0.02024517564,0.006748391879999999,0.004262142239999999,0.00958982004,0.004262142239999999,0.00603803484,0.00805071312,0.0035517852,0.0021310711199999995,0.00165749976,0.0010655355599999998,0.0017758925999999996,0.0005919641999999999,0.05481588492
Jilin,0.06360052608,0.035613049679999995,0.07114497624,0.008923543200000002,0.007382203920000002,0.25707916728,0.09272372616,0.022308857999999997,0.03107015496,0.008680173840000001,0.0077066964,0.0056786184,0.0042184022399999995,0.00186583176,,0.027095122080000002,0.09523854288,0.012492960479999999,0.00389390976,0.0025148167199999997,0.0062464802399999995,0.00332604792,0.00397503288,0.00462401784,0.0024336936,0.0012168468,0.00032449248000000004,0.0005678618400000001,0.0004056156000000001,0.00016224624000000002,0.027419614560000003
Heilongjiang,0.08426096279999999,0.05333800751999999,0.10013147424,0.01079849232,0.0049084056,0.15068805192,0.06405469307999999,0.02912320656,0.03894001776,0.0075262219199999985,0.00605370024,0.006544540799999999,0.003844917719999999,0.0012271014,0.12082858451999998,0.036567621719999985,,0.015870511440000002,0.003354077159999999,0.00188155548,0.004826598839999999,0.005726473199999999,0.004090338,0.003844917719999999,0.00196336224,0.00057264732,0.0007362608399999999,0.00065445408,0.0008998743599999998,0.0004090338,0.05325620075999998
Shanghai,0.01199258136,0.006109428240000001,0.055437404400000015,0.06245193312,0.0072408038400000015,0.011540031120000002,0.00271530144,0.04005069624000001,1.2092142412800002,0.01312395696,0.18079382087999998,0.02036476080000001,0.017423184240000004,0.007693354080000002,0.003846677040000001,0.48173973048,0.004525502400000001,,0.041182071840000015,0.009051004800000002,0.02398516272,0.00520432776,0.00972983016,0.005883153120000001,0.009051004800000002,0.0006788253600000001,0.0031678516800000014,0.0022627512000000004,0.0015839258400000007,,0.00950355504
Jiangsu,0.08175771936000001,0.02535524208,0.71253404784,0.25200005904,0.049158122400000004,0.03156468912,0.013453801919999998,0.11487477024,,0.08486244287999999,1.3220947656,0.05226284592,0.045535944960000005,0.03052978128,0.01086653232,0.91485853056,0.00724435488,1.09493249472,0.09210679776000001,0.0181108872,0.05743738512,0.0077618088,0.02742505776,0.02173306464,0.0284599656,0.006209447040000001,0.00879671664,0.00931417056,0.00724435488,0.00103490784,0.03518686656
