,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Anhui,Jiangsu,Guangdong,Shaanxi,Heilongjiang,Hunan,Sichuan,Zhejiang,Jilin,Shanghai,Gansu,Jiangxi,Fujian,Hainan,Yunnan,Chongqing,Guangxi,Guizhou,Ningxia,Hubei,Xinjiang,Qinghai,Tibet,Beijing
Beijing,0.6389212024800001,0.08712561852000003,0.07027416144,0.05856180120000001,0.042905482919999995,0.029997983880000002,0.026890623,0.025097914800000003,0.02426131764,0.02258812332,0.02199055392,0.016253887680000002,0.01565631828,0.01446117948,0.014222151719999998,0.012309929640000002,0.0113538186,0.01027819368,0.007170832800000001,0.006812291159999999,0.006573263400000001,0.00621472176,0.00501958296,0.004780555200000001,0.00442201356,0.0023902776000000003,0.00227076372,0.0016731943200000005,0.00155368044,0.00035854164,
Tianjin,0.5715887990399999,,0.08814536640000001,0.030608720640000007,0.026249883840000002,0.021116142719999998,0.02440948608,0.01026748224,0.01908201888,0.009686304,0.0092019888,0.00619923456,0.0031964803200000003,0.005618056319999999,0.00803963232,0.0074584540799999995,0.0049400150400000006,0.005618056319999999,0.00203412384,0.0027121651200000003,0.00174353472,0.00203412384,0.00203412384,0.0011623564799999998,0.0014529456,0.0018403977600000001,0.00077490432,0.0008717673599999999,0.00077490432,9.686304e-05,0.09802539648
Hebei,,0.7028369805600001,0.7695620103600003,0.29520770760000004,0.36759425508,0.12738414779999999,0.17591144220000002,0.056210782680000015,0.13102369488000004,0.06308548272000003,0.11889187128000002,0.018602129520000003,0.02588122368000001,0.035182288440000015,0.06551184744000002,0.01658015892,0.023859253080000004,0.021837282480000005,0.02062410012000001,0.017793341280000003,0.007279094160000002,0.01900652364,0.015366976560000004,0.018602129520000003,0.012131823600000004,0.010918641240000002,0.005257123560000001,0.008896670640000002,0.008492276520000001,0.0016175764800000006,0.8767264521600001
Shanxi,0.34412993208000003,0.04730373108,0.14059196568,0.23369173920000003,,0.010553820480000002,0.21371486472,0.02506532364,0.10158052212,0.03995374896,0.42987972348000003,0.00207307188,0.012626892360000001,0.03373453332,0.041649898679999985,0.0028269162,0.019411491240000002,0.01903456908,0.008103826440000001,0.00923459292,0.00489998808,0.01281535344,0.00791536536,0.0075384432,0.00866920968,0.00791536536,0.00395768268,0.00452306592,0.006973059959999999,0.00113076648,0.0791536536
Inner Mongolia,0.17761205016000006,0.040676443920000006,0.03916055160000001,0.014148328320000006,0.17104318344000002,0.20931946452000005,,0.00517929876,0.011116543680000002,0.013011409080000005,0.19681335288000004,0.051287690159999996,0.0031581090000000005,0.008211083400000003,0.01099021932,0.09095353920000004,0.005558271840000001,0.039792173400000005,0.0022738384800000005,0.0017685410400000007,0.0026528115600000005,0.0027791359200000005,0.0025264872000000005,0.0024001628400000005,0.0015158923200000007,0.08539526736000001,0.0012632436000000007,0.003537082080000001,0.004168703880000001,0.0002526487200000001,0.06265688256000003
Liaoning,0.17853058367999994,0.05506589951999999,0.09669051648,0.018969552,0.017993975039999995,,0.19262225088,0.012682500479999996,0.039456668159999986,0.032627629439999986,0.019294744319999998,0.05300634815999999,0.0053114745599999996,0.0092137824,0.029917693439999993,0.19338103296,0.01886115456,0.0037939103999999994,0.00607025664,0.0092137824,0.00422750016,0.006937436159999999,0.0035771155199999993,0.00607025664,0.003902307839999999,0.0011923718400000001,0.0016259615999999998,0.002709936,0.0010839743999999998,0.00075878208,0.057017053439999986
Jilin,0.047994350039999994,0.035514278280000006,0.05685366024000001,0.007010410680000001,0.00554669856,0.25938519515999997,0.09152052624,0.006548185800000001,0.029967579720000005,0.02334235644,0.00631707336,0.09637388748,0.0043140988800000005,0.00546966108,0.022803094080000003,,0.01186377192,0.0013096371600000002,0.003466686600000001,0.005161511160000001,0.00362076156,0.0046222488,0.0016177870800000002,0.003851874,0.00200297448,0.00092444976,0.0007703747999999999,0.00100148724,0.0006162998400000001,0.00015407496000000002,0.029043129960000004
Heilongjiang,0.06011820324,0.04614978888,0.08944415604,0.00902930652,0.005788017,0.14801888808,0.07061380739999999,0.007099967519999998,0.0354998376,0.028477043639999994,0.00717714108,,0.00416737224,0.0054793227600000004,0.032258548080000005,0.12563855568,0.0150488442,0.0017749918799999996,0.0027010746,0.0061738848,0.00532497564,0.00378150444,0.00208368612,0.00362715732,0.00138912408,0.00123477696,0.0011576034,0.00084890916,0.00100325628,0.00069456204,0.0486193428
Shanghai,0.014372264160000004,0.004081013279999999,0.054295220160000005,0.06316698815999999,0.008162026559999999,0.0079845912,0.0026615303999999998,0.15472363392000002,0.83447849808,0.037971167039999996,0.016324053119999998,0.0049681900800000005,0.0195178896,0.0204050664,0.39230958096,0.00319383648,,0.007274849759999999,0.04205218031999999,0.021292243199999998,0.00638767296,0.0115332984,0.00958150944,0.0078071558400000015,0.00851689728,0.0008871767999999999,0.00372614256,0.00141948288,0.00159691824,0.00017743536,0.009049203359999999
Jiangsu,0.08907202584000001,0.02312920008,0.6968286662400001,0.24507109872,0.051671617200000006,0.02263708944,0.0147633192,1.24061092344,,0.10432745568,0.07578503856,0.007873770240000001,0.044289957600000006,0.0467505108,0.8685752795999999,0.007873770240000001,1.0162084716,0.028050306480000002,0.09300891096,0.056592723600000006,0.0063974383200000005,0.03247930224,0.02165286816,0.023621310719999997,0.027066085200000003,0.00541321704,0.010334323440000001,0.009350102159999998,0.009350102159999998,0.0004921106400000001,0.031987191600000006
Zhejiang,0.03959278704,0.00975046248,0.10252759032,0.16309864512,0.02245561056,0.01270514808,0.006204839760000001,0.41926988664000003,0.7401487428,0.15600739968,0.04343387832,0.00679577688,0.0856858824,0.04934324951999999,,0.005318434079999999,0.42813394344000005,0.013296085200000002,0.2688763896,0.15748474248,0.00797765112,0.04520668968,0.02895591888,0.02570576472,0.07563995136,0.0029546856,0.00709124544,0.00472749696,0.0044320284,0.00029546856,0.014773428
Anhui,0.06914279232000001,0.029015278919999995,0.2129844942,0.55622907036,0.033336703440000004,0.011112234479999998,0.0092601954,,2.29714580556,0.1944641034,0.06852544596,0.00246938544,0.04074485976,0.02592854712,1.7094320708400002,0.0030867318,0.5049893224800001,0.01172958084,0.13458150648,0.09692337852,0.007408156319999999,0.01605100536,0.0123469272,0.02037242988,0.016668351720000002,0.0030867318,0.022224468959999997,0.00246938544,0.00432142452,0.00061734636,0.04753566972
Fujian,0.0159221376,0.00636885504,0.035294071680000004,0.04657225248,0.01273771008,0.00517469472,0.006501539519999999,0.0417956112,0.07735505184,0.36979164575999995,0.03356917344,0.00278637408,0.04471466976,0.0318442752,0.20791658015999998,0.00318442752,0.047766412800000005,0.007563015359999999,0.15417936576,,0.014064554880000002,0.0344979648,0.0252100512,0.03237501312,0.040734135359999986,0.00119416032,0.00610348608,0.00278637408,0.00212295168,0.00026536896,0.011145496319999998
Jiangxi,0.01729515564,0.004941473040000001,0.036002160719999995,0.042708445559999995,0.006000360120000001,0.003882585960000001,0.0028236988800000003,0.09988834788000002,0.15530343840000002,1.0472393221200005,0.024001440480000004,0.0014118494400000002,0.23895551772,0.020118854519999996,1.1488924818000001,0.0017648117999999999,0.10024131024,0.0063533224800000005,,0.39108229488000007,0.01129479552,0.02929587588,0.020118854519999996,0.0423554832,0.032119574760000005,0.0007059247200000001,0.022942553400000003,0.0010588870800000002,0.0014118494400000002,0.0007059247200000001,0.012000720240000002
Shandong,0.7131310502399999,0.14388963119999998,,0.5646790648799999,0.1087945992,0.051589697039999986,0.04597449192,0.16985995487999994,0.7671773995199999,0.08984328192,0.10142464248,0.0193022676,0.032287429439999994,0.04386879,0.19583027856,0.018249416640000002,0.09510753671999997,0.02175891984,0.04843114416,0.0368497836,0.00631710576,0.02246082048,0.016143714719999997,0.02000416824,0.017547516000000003,0.008773758000000001,0.010177559279999998,0.01123041024,0.008422807679999998,0.0017547516000000001,0.11265505271999998
Henan,0.34747973568,0.07436592828,0.7094377936799999,,0.32181361884,0.02369180016,0.030930961319999995,0.6627122989199999,0.97004759544,0.77459024412,0.31720687991999996,0.004606738920000001,0.10529688960000001,0.0691010838,1.1510266244399998,0.00592295004,0.25402874616,0.052648444800000006,0.1283305842,0.14083458984000002,0.02171748348,0.04014443916,0.02698232796,0.042776861400000005,0.030930961319999995,0.01513642788,0.07502403383999999,0.01908506124,0.02237558904,0.00526484448,0.12767247864
Hubei,0.00403565652,0.00044087004,0.0043408742400000006,0.058669628400000014,0.0015260886000000005,0.0007460877600000001,0.0005765223600000001,0.01614262608,0.0108521856,0.03896612892,0.01946610792,0.00040695696000000005,0.08814009492000001,0.00247565484,0.010784359440000002,0.00061043544,0.0056295712800000005,0.0012547839599999998,0.01844871552,0.00257739408,0.0003730438800000001,0.0009834793199999998,0.046223528039999996,0.00172956708,0.0008139139200000001,0.00016956540000000002,,0.00040695696000000005,0.00020347848000000003,3.3913080000000004e-05,0.0011869577999999998
