,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Guangdong,Inner Mongolia,Jiangsu,Anhui,Shaanxi,Sichuan,Zhejiang,Hunan,Heilongjiang,Shanghai,Gansu,Jilin,Jiangxi,Yunnan,Fujian,Hainan,Chongqing,Guizhou,Guangxi,Hubei,Ningxia,Qinghai,Xinjiang,Tibet,Beijing
Beijing,0.6667725600000001,0.11004984,0.08260211519999999,0.05813220960000001,0.0458325216,0.033662304000000004,0.0305550144,0.030425544,0.02913084,0.025117257599999998,0.022139438400000003,0.0178669152,0.017219563200000003,0.016183799999999998,0.014759625600000001,0.0132059808,0.012947040000000002,0.012688099199999999,0.0081566352,0.0075092831999999995,0.007120872000000001,0.006344049599999999,0.005696697600000001,0.0046609344,0.0042725232,0.0029778191999999997,0.001942056,0.0018125856000000004,0.0015536448000000001,0.00025894080000000004,
Tianjin,0.6167999988,,0.10325436444,0.033736574520000014,0.028965745800000005,0.029988066240000007,0.011245524840000002,0.02385414360000001,0.02385414360000001,0.011131933680000004,0.009541657440000002,0.00556596684,0.010223204400000005,0.004089281760000001,0.006929060760000001,0.006020331480000001,0.005338784520000001,0.00931447512,0.0029533701600000005,0.0031805524800000012,0.0019310497200000008,0.0021582320400000007,0.0017038674000000005,0.00136309392,0.00136309392,0.0011359116000000005,0.0009087292800000002,0.0012495027600000006,0.00102232044,0.00011359116000000004,0.17515756872000005
Hebei,,0.7744072845600001,0.8109500976,0.30385599335999997,0.4074773947200001,0.16469295192,0.06407506944000001,0.17120057616,0.14817359808000002,0.06207272352000001,0.12064134168,0.03604222656,0.06858034776000001,0.02853342936,0.01902228624,0.027532256400000003,0.02102463216,0.025029324,0.02202580512,0.0175205268,0.01551818088,0.008009383680000001,0.016018767360000002,0.01051231608,0.017019940320000003,0.0055064512800000005,0.00951114312,0.00650762424,0.007508797199999999,0.0015017594400000003,1.6073831872800002
Shanxi,0.3074418406800001,0.046937685600000015,0.12889810584,0.24010431480000005,,0.00938753712,0.0370085598,0.18341803296,0.10127708316000003,0.027801552240000003,0.4215365226000001,0.03231479124,0.04260497616,0.011734421400000002,0.002527413840000001,0.02039984028,0.018052956,0.002527413840000001,0.00740171196,0.01029018492,0.008845948440000001,0.0043327094400000005,0.01047071448,0.006138005040000001,0.006138005040000001,0.0043327094400000005,0.009207007560000004,0.009207007560000004,0.00469376856,0.0005415886800000001,0.08665418880000003
Inner Mongolia,0.1448694072,0.039250332000000006,0.0425806632,0.0141539076,0.1418958972,0.19839258720000005,0.012369801599999999,,0.015938013600000002,0.005471258400000001,0.1981547064,0.0071364240000000015,0.009158410799999999,0.0027356292000000003,0.0525716568,0.0057091392,0.039607153200000016,0.0894431808,0.0013083444000000005,0.0028545696,0.001784106,0.0023788080000000005,0.0015462251999999999,0.0013083444000000005,0.0019030464000000004,0.0009515232000000002,0.08777801520000003,0.004757616000000001,0.0067796028,0.00023788080000000005,0.054712584
Liaoning,0.17741721600000002,0.047569991039999995,0.09791212608,0.02062475136000001,0.015524006399999998,,0.036924958080000014,0.18939287808,0.039031787520000014,0.011643004800000002,0.014415148800000003,0.009757946880000002,0.026501696640000003,0.005433402239999999,0.0632048832,0.022066266240000004,0.0038810015999999996,0.22332392064,0.004435430400000001,0.005433402239999999,0.008981746560000002,0.003991887360000001,0.00288302976,0.0038810015999999996,0.0055442880000000005,0.0013306291199999998,0.0015524006400000005,0.0015524006400000005,0.0026612582399999996,0.0007762003200000002,0.05954565312000001
Jilin,0.0435282984,0.02950251336,0.060617185919999976,0.008060795999999999,0.006206812920000001,0.29607303707999993,0.021844757159999995,0.09535921667999997,0.029663729279999995,0.006126204959999999,0.00789958008,0.004997693519999999,0.0217641492,0.00298249452,0.10075995,0.01104329052,0.00217641492,,0.00394979004,0.0036273582,0.006126204959999999,0.0036273582,0.00145094328,0.00274067064,0.004755869639999999,0.0008060795999999999,0.0004030398,0.00137033532,0.0007254716399999999,0.00024182388,0.02603637108
Heilongjiang,0.0595039284,0.0396172944,0.08929488599999999,0.0088125084,0.0060049835999999995,0.1798375608,0.028075248000000004,0.065898846,0.034236205199999994,0.0060829704,0.006628878,0.0076427064,0.0324425088,0.0039773268,,0.016377228,0.0014037624,0.1168242264,0.0035873928000000003,0.0031194720000000003,0.005303102400000001,0.0060049835999999995,0.002729538,0.0018716832000000001,0.004211287199999999,0.0008578548000000001,0.00031194720000000004,0.0009358416000000001,0.0007018812,0.00015597360000000002,0.0462461724
Shanghai,0.013262538240000002,0.0061576070400000005,0.051155504639999995,0.065128536,0.0082890864,0.01018373472,0.046182052800000005,0.00284197248,1.17657660672,0.16436074175999998,0.01752549696,0.01989380736,0.6157607039999999,0.021551624640000003,0.00402612768,,0.0075785932799999995,0.0030788035200000003,0.038840290560000004,0.012315214080000001,0.02676190752,0.005210282879999999,0.011131058879999996,0.010420565759999998,0.006631269120000001,0.0026051414399999996,0.0009473241599999999,0.0018946483199999999,0.00142098624,,0.01136788992
Jiangsu,0.08422132464,0.032620935600000005,0.7099501802399999,0.26096748480000004,0.0504141732,0.02609674848,0.11743536816,0.01245526632,,1.2484921716,0.08125578504,0.04626241776000001,1.03556642832,0.047448633600000005,0.008303510880000002,1.7894065946400002,0.026689856400000003,0.0088966188,0.09252483552000001,0.026689856400000003,0.05871768408,0.00948972672,0.01957256136,0.029655396,0.023131208880000004,0.01008283464,0.00533797128,0.008303510880000002,0.007710402959999999,0.00118621584,0.040331338560000006
Zhejiang,0.03553955028,0.01108573128,0.09748922507999999,0.15813469619999998,0.0195630552,0.015324393239999998,0.16400361276,0.0065210184,0.83012564232,0.41278046472,0.044016874200000014,0.0521681472,,0.08444718828,0.0071731202400000015,0.60775891488,0.0130420368,0.00619496748,0.2836643004,0.048907638,0.18128431152,0.0097815276,0.02869248096,0.0749917116,0.027714328200000003,0.00619496748,0.0035865601200000007,0.00423866196,0.0032605092,0.00032605092,0.015324393239999998
