,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Anhui,Guangdong,Shaanxi,Heilongjiang,Zhejiang,Sichuan,Hunan,Jilin,Shanghai,Gansu,Fujian,Yunnan,Hainan,Jiangxi,Chongqing,Guizhou,Guangxi,Hubei,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.7539456348000001,0.10420162704,0.08779951908000001,0.05968161972,0.04493350584,0.03569870556,0.031701553199999996,0.031012389,0.025499075400000005,0.02329374996,0.02191542156,0.01640210796,0.016126442279999997,0.01557511092,0.014472448200000003,0.0130941198,0.01295628696,0.01185362424,0.007994304720000001,0.0074429733600000015,0.0074429733600000015,0.0071673076799999985,0.006478143479999999,0.0048241494,0.0045484837200000005,0.00261882396,0.00248099112,0.00192965976,0.0017918269199999996,0.00013783284,
Tianjin,0.6534312282,,0.1191168504,0.0355981392,0.0297792126,0.0327457242,0.026584507799999997,0.0248730588,0.011637853200000001,0.011980143,0.008214955199999999,0.0099264042,0.0098123076,0.0044497674,0.0038792844,0.0098123076,0.004906153799999999,0.0052484436,0.003993380999999999,0.0023960286,0.0027383184,0.003422898,0.0021678354,0.0015973524000000002,0.001711449,0.0009127728,0.0014832557999999998,0.0018255456,0.001140966,0.0001140966,0.1132979238
Hebei,,0.82347516324,0.8957266156799999,0.32872018428000005,0.4114983384,0.17608300991999998,0.22249619460000006,0.1459383642,0.06842356092,0.06028929144,0.11292279984,0.026316754200000004,0.06938053379999999,0.03636496944,0.02775221352,0.029666159280000003,0.02727372708,0.024402808440000003,0.01579005252,0.0191394576,0.008612755920000001,0.023924322,0.014833079640000002,0.01339762032,0.01961794404,0.00622032372,0.01291913388,0.011962161,0.008134269480000001,0.00095697288,1.13305588992
Shanxi,0.33370288632,0.04829165568,0.13789531368,0.254663028,,0.01207291392,0.23844004992000006,0.08941501872000003,0.027918613440000004,0.032068677600000005,0.42009967655999997,0.0024523106399999997,0.033011874000000004,0.033011874000000004,0.013582028159999999,0.0033955070399999997,0.0198071244,0.018109370880000003,0.009431964,0.01112971752,0.0035841463200000007,0.007734210479999998,0.0084887676,0.006979653360000001,0.0066023748,0.00433870344,0.006225096239999999,0.010186521120000002,0.006791014079999999,0.00037727856,0.08300128320000001
Inner Mongolia,0.17262974987999996,0.03886428923999999,0.04996837187999999,0.0135573102,0.16475359823999994,0.21381814944,,0.0142028964,0.005422924079999999,0.0103293792,0.20051907372,0.06533332344,0.007617917159999999,0.006326744759999997,0.00296969652,0.09864557135999998,0.005293806839999997,0.04041369612,0.0021949930800000002,0.00296969652,0.0012911724,0.0015494068799999994,0.0019367586,0.0011620551599999993,0.00206587584,0.0014202896399999998,0.0043899861600000005,0.09464293692,0.0032279309999999994,0.00025823448,0.061588923479999974
Liaoning,0.21932707608,0.06075436427999997,0.12290977259999998,0.023690381040000003,0.01897777836,,0.23461119288,0.04279552703999999,0.011972558159999995,0.032733483479999985,0.0165577932,0.07642058399999999,0.026492469119999997,0.01006204356,0.0061136467199999975,0.23613960455999994,0.01834094016,0.004330499759999999,0.008915734799999998,0.00649574964,0.004967337959999999,0.0057315438,0.0042031321200000004,0.0030568233599999987,0.005986279079999999,0.0015284116799999994,0.00203788224,0.0015284116799999994,0.00203788224,0.00038210291999999984,0.06228277595999999
Jilin,0.057820281840000015,0.033217669080000005,0.06908612472,0.0071239888799999995,0.005218736040000001,0.2654100043200001,0.10470606912000002,0.028992978000000006,0.005632921440000001,0.0182241576,0.008283708,0.12127348512,0.020460758760000003,0.005964269760000001,0.004224691080000001,,0.0120113766,0.00107688204,0.00513589896,0.0033134832000000004,0.004224691080000001,0.00339632028,0.00273362364,0.00223660116,0.00397617984,0.00107688204,0.0014082303600000002,0.00049702248,0.00049702248,0.00016567416000000002,0.029490000480000007
Heilongjiang,0.07891897068000002,0.045831578760000005,0.10472397012,0.01044865008,0.0064116716400000025,0.13108306464000002,0.07100332667999999,0.03736183968,0.006174202320000001,0.028575474840000007,0.00926130348,,0.030791855160000006,0.00546179436,0.0034828833600000003,0.12324657708000003,0.015277192919999998,0.00174144168,0.00546179436,0.00324541404,0.006174202320000001,0.0027704754,0.00174144168,0.00189975456,0.004195291320000001,0.00071240796,0.0010290337199999999,0.0005540950800000001,0.0010290337199999999,0.00015831288,0.05168915532
Shanghai,0.013104400320000001,0.00577482048,0.06085772352000001,0.07462844928,0.00977277312,0.011105424,0.00288741024,1.0825567315200002,0.18146262816,0.04819754016,0.01532548512,0.00488638656,0.5101831785600001,0.023543498880000003,0.01910132928,0.0044421696,,0.0066632544,0.03176151264,0.01088331552,0.0066632544,0.04508802144,0.01088331552,0.00977277312,0.00821801376,0.00399795264,0.0011105424,0.0008884339199999999,0.0017768678399999998,,0.01066120704
Jiangsu,0.09140720399999998,0.031212216,0.7953541469999998,0.29595869099999994,0.050719851,0.030654855,0.014491385999999997,,1.280815578,0.11202956099999996,0.07914526200000001,0.010589858999999998,1.0065939659999998,0.049605129000000005,0.046260963,0.010589858999999998,1.27078308,0.02786805,0.06353915399999999,0.030654855,0.007803054,0.108685395,0.021737079,0.02786805,0.021179718,0.013934025,0.009475137,0.006688331999999999,0.008917775999999999,0.0011147219999999998,0.037900548
Zhejiang,0.03670090236,0.0115723566,0.1058044032,0.17689173660000002,0.021160880640000004,0.015870660480000003,0.005620858920000001,0.8484190581600001,0.4440478546800001,0.16201299240000006,0.040999206239999995,0.008265969000000001,,0.050257091520000005,0.09290949156000003,0.006282136440000001,0.51778029816,0.0132255504,0.206649225,0.047942620199999994,0.007274052720000002,0.29988935532000005,0.03240259848,0.08232905124000002,0.02678173956000001,0.00958852404,0.0069434139599999995,0.002314471320000001,0.00429830388,0.0003306387600000001,0.015209382960000004
Anhui,0.06761905920000001,0.0326020464,0.2312330328,0.6031378584,0.0344132712,0.016904764800000003,0.010263607200000002,2.2682571912,,0.18232996320000006,0.0652040928,0.0036224496,1.5268625063999999,0.021130956,0.042865653600000005,0.0054336744000000005,0.49808682,0.0108673488,0.08512756560000001,0.0187159896,0.010263607200000002,0.1461054672,0.0138860568,0.0163010232,0.0229421808,0.024149663999999998,0.004829932800000001,0.004226191200000001,0.0054336744000000005,0.0018112248,0.053129260800000015
Fujian,0.01262699604,0.006242559840000001,0.031212799200000006,0.04667732244,0.01035697428,0.00666818892,0.0051075489600000005,0.08058577248,0.043697918880000006,0.39711193164,0.02567962116000001,0.00368878536,0.2377847793600001,0.03319906824,0.048096086040000006,0.00255377448,0.05689242036,0.008228828879999999,,0.03561096636,0.01177573788,0.18018297719999998,0.024970239360000004,0.04298853708000001,0.034050326400000004,0.007661323440000002,0.0024118981200000004,0.0009931345200000002,0.00227002176,0.00042562907999999997,0.0134782542
Jiangxi,0.018433785600000002,0.0042244092,0.036483534,0.04992483599999999,0.0065286324000000005,0.0053765207999999995,0.0026882603999999997,0.1601435124,0.1129069368,1.1014186896,0.0199699344,0.0015361488,1.2600260531999998,0.0222741576,0.26652181680000003,0.0011521116000000001,0.11905153199999999,0.0053765207999999995,0.4489394868,0.0295708644,0.0142093764,,0.0195858972,0.034563348,0.0476206128,0.0261145296,0.0019201860000000002,0.0007680744,0.0015361488,0.0003840372,0.013441302
Shandong,0.72534342672,0.17767445255999997,,0.6151158921600001,0.12371691815999998,0.08401958927999999,0.0558845892,0.8455916462399999,0.19733041152,0.09172780848,0.10483178112,0.02852041104,0.20002828824000002,0.04162438368,0.033916164480000004,0.02466630144,0.10714424688,0.025051712400000002,0.03699945216,0.02081219184,0.00616657536,0.04586390424,0.01657267128,0.019270548000000002,0.02543712336,0.011176917839999998,0.019270548000000002,0.00886445208,0.01040609592,0.0011562328799999998,0.14375828808
