,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Anhui,Guangdong,Shaanxi,Sichuan,Heilongjiang,Zhejiang,Hunan,Jilin,Shanghai,Jiangxi,Gansu,Hainan,Yunnan,Fujian,Chongqing,Guizhou,Guangxi,Hubei,Xinjiang,Ningxia,Qinghai,Beijing,Tibet
Beijing,0.75552941808,0.10674146303999997,0.08061204239999999,0.06574051044,0.04920114312,0.03460758372,0.031549885560000004,0.029326105079999994,0.02599043436,0.02515651668,0.02237679108,0.01918010664,0.017373285,0.015705449639999997,0.01501051824,0.01362065544,0.011674847519999998,0.00917309448,0.00889512192,0.0083391768,0.008200190520000001,0.00750525912,0.005837423759999999,0.0051424923600000005,0.00444756096,0.00375262956,0.00305769816,0.0020847942,0.0013898628,,
Tianjin,0.6707383167600001,,0.11258447904,0.03872999124,0.02768089464,0.034077740040000006,0.02768089464,0.025703687880000003,0.013142609640000002,0.01139801544,0.010467565200000004,0.00686207052,0.012909997079999999,0.010118646359999999,0.00314026956,0.01023495264,0.005931620280000001,0.0036054946799999998,0.0046522512000000005,0.00139567536,0.00186090048,0.00279135072,0.0023261256000000003,0.00151198164,0.0017445942000000002,0.00104675652,0.00139567536,0.0016282879200000006,0.0011630628,0.11456168580000001,
Hebei,,0.8340079852799999,0.8923094913599999,0.33004581408000006,0.40811054256,0.16848147096000002,0.21541912415999998,0.14377744295999997,0.06571271448,0.06324231168000001,0.12401422056,0.03755012256,0.03063299472,0.06966535895999999,0.0296448336,0.032115236400000004,0.02569218912,0.023715866880000002,0.023715866880000002,0.0069171278400000005,0.01877506128,0.01877506128,0.01679873904,0.013834255680000004,0.02075138352,0.007905288960000001,0.02075138352,0.012352014,0.00938753064,1.26929295864,0.0009881611200000002
Shanxi,0.33723069552,0.04869618912,0.14589685008,0.26073550079999996,,0.012078188640000001,0.22795184591999995,0.1016101584,0.02741557104,0.028757592000000002,0.42733781712,0.03278365488,0.0038343456,0.03661800048,0.01226990592,0.00249232464,0.02070546624,0.007860408479999999,0.01898001072,0.00325919376,0.01226990592,0.009010712159999998,0.010927884959999998,0.00747697392,0.00613495296,0.004601214719999999,0.00690182208,0.00843556032,0.006326670239999999,0.08358873407999999,0.0009585864
Inner Mongolia,0.18673161984,0.03980814336,0.049367335679999985,0.01741606272,0.16289911295999998,0.21396877056,,0.01401141888,0.0056307571200000005,0.01021393152,0.19760029055999997,0.0052379136,0.06429538944,0.008904453120000001,0.0019642176,0.09742519296,0.00497601792,0.00235706112,0.043081839360000006,0.00235706112,0.0035355916799999993,0.0017023219199999997,0.00274990464,0.0026189568,0.00222611328,0.00091663488,0.00432127872,0.09847277568,0.0040593830400000004,0.0582717888,0.00013094784
Liaoning,0.217096362,0.052786695599999996,0.1184852448,0.0274693356,0.0192411936,,0.214564626,0.042406578,0.0116459856,0.032912567999999996,0.016456283999999998,0.0103801176,0.0877246524,0.0320264604,0.00632934,0.24089468040000006,0.019620954,0.007342034399999998,0.005696405999999999,0.0039241908,0.0043039512,0.007721794799999998,0.005063472,0.0039241908,0.006202753199999999,0.0016456283999999998,0.0021519756,0.0013924548,0.0013924548,0.0625338792,0.0005063472
Jilin,0.05592678696,0.031220853840000007,0.06887201904,0.00753023304,0.0050765616000000005,0.27718026336,0.10136201328,0.028005698160000002,0.007868670480000001,0.01768335624,0.008122498559999998,0.0057534364800000005,0.13419044496,0.023859839520000002,0.00397663992,,0.0118453104,0.00262289016,0.0016075778400000001,0.00287671824,0.00372281184,0.005668827120000001,0.0019460152800000001,0.0016075778400000001,0.004061249279999999,0.00093070296,0.00093070296,0.00093070296,0.0005076561599999999,0.028682573039999996,0.00025382807999999995
Heilongjiang,0.07956957240000002,0.047998419480000006,0.10463826564000002,0.01103706972,0.005732431560000001,0.15178109832,0.06913141344000001,0.0393569928,0.007871398560000001,0.02857659912,0.007358046480000002,0.0065880183600000005,,0.035164617480000014,0.005047962120000001,0.14972769,0.013689388800000002,0.004277934000000001,0.0012833802000000005,0.00616022496,0.0028234364400000003,0.006331342320000001,0.0021389670000000003,0.00205340832,0.00487684476,0.0008555868000000001,0.0013689388800000005,0.00111226284,0.0005989107600000001,0.05663984616000001,8.555868000000003e-05
Shanghai,0.01591545996,0.005766471,0.063431181,0.07311885228,0.0092263536,0.010840965479999996,0.00299856492,1.11615812676,0.18983222532000002,0.04913033291999999,0.016607436479999998,0.02283522516,0.00553581216,0.53904970908,0.0196060014,0.00553581216,,0.04751572103999999,0.008995694759999999,0.005766471,0.01314755388,0.03321487296,0.00991833012,0.00945701244,0.007611741720000001,0.00415185912,0.00184527072,0.0006919765199999999,0.00184527072,0.011532942,
Jiangsu,0.101620575,0.033679962,0.8036735759999999,0.312410682,0.052262010000000005,0.033099273,0.015097914,,1.332681255,0.11439573300000001,0.08245783799999999,0.050519943,0.01161378,0.991816812,0.050519943,0.011033091,1.412816337,0.106266087,0.02903445,0.008129645999999999,0.02903445,0.061553034000000006,0.02322756,0.029615139,0.023808249,0.01161378,0.010452402,0.006387579000000001,0.010452402,0.038325474,0.001161378
Zhejiang,0.03854010132000001,0.013193908560000005,0.11700913644000002,0.20103350148000004,0.01874923848000001,0.01909644660000001,0.006596954280000003,0.89371370088,0.4760223325200001,0.17256243563999998,0.04270659876000001,0.05624771544000002,0.008680203000000003,,0.09444060864000002,0.0069441624,0.5277563424000001,0.3152649729600001,0.014582741040000003,0.012846700440000004,0.04722030432000001,0.19651979592000005,0.03541522824000001,0.08332994880000003,0.03159593892000001,0.010069035480000002,0.004513705560000001,0.003124873080000001,0.003472081200000001,0.013541116680000005,0.0006944162400000003
