,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Anhui,Shaanxi,Guangdong,Heilongjiang,Sichuan,Hubei,Zhejiang,Jilin,Hunan,Gansu,Shanghai,Fujian,Jiangxi,Hainan,Yunnan,Chongqing,Guangxi,Xinjiang,Guizhou,Ningxia,Qinghai,Beijing,Tibet
Beijing,1.13702976288,0.16232765472000002,0.09183843504000001,0.061286971679999996,0.053925173279999995,0.03699303695999999,0.03239191296,0.02650247424,0.02282157504,0.02226944016,0.0220853952,0.01969281072,0.01619595648,0.015275731680000001,0.015275731680000001,0.013803372,0.01325123712,0.01325123712,0.013067192159999998,0.0075458433599999986,0.0073617983999999985,0.00588943872,0.0055213488,0.005153258880000001,0.00441707904,0.00423303408,0.0031287643199999996,0.00239258448,0.00147235968,,
Tianjin,0.7649086672800001,,0.11986145424000001,0.03167586,0.030028715280000007,0.034083225360000004,0.028508274,0.02559409488,0.01241693712,0.00962946144,0.0101362752,0.016218040319999998,0.005194841039999999,0.0012670344,0.0101362752,0.01178341992,0.0034209928800000003,0.005194841039999999,0.00557495136,0.00304088256,0.00164714472,0.0020272550399999998,0.0021539584800000003,0.00266077224,0.00164714472,0.00240736536,0.0010136275199999999,0.00152044128,0.00152044128,0.11998815768,
Hebei,,0.8856551015999999,0.9022670676,0.3265437888,0.4077051084,0.1746629568,0.2311436412,0.1409643972,0.0626508432,0.1186569,0.062176215599999994,0.03559707,0.0360716976,0.01186569,0.06834637439999999,0.030850793999999997,0.027528400800000002,0.023256752400000004,0.023256752400000004,0.0175612212,0.0218328696,0.0080686692,0.0180358488,0.0156627108,0.018985104,0.028477656,0.0109164348,0.0123403176,0.0104418072,1.0057358844,0.0014238828
Shanxi,0.36266735232,0.05385765167999999,0.15053019912,0.25340218848,,0.01239888384,0.22686082776,0.08679218688000001,0.02576643048,0.43764185304,0.029253616560000004,0.0048433140000000005,0.02944734912,0.0058119768,0.0300285468,0.0030997209600000003,0.012786348959999999,0.02266670952,0.017435930400000004,0.00813676752,0.00736183728,0.00600570936,0.01104275592,0.010655290800000002,0.007555569840000002,0.008717965200000002,0.00716810472,0.01007409312,0.006199441920000001,0.08562979152000001,0.00038746512
Inner Mongolia,0.19930290408,0.04186206684,0.04256681544,0.01381307256,0.18577173096000002,0.22495575312,,0.01451782116,0.004792290479999999,0.2241100548,0.01141692732,0.07202530692,0.00606083796,0.0015504469199999998,0.008738882639999999,0.10190664756000001,0.00366469272,0.047922904800000006,0.00436944132,0.00183234636,0.00225519552,0.00183234636,0.0025370949600000002,0.00225519552,0.00225519552,0.00930268152,0.00197329608,0.11261882628,0.00465134076,0.056097988560000006,
Liaoning,0.22694539824,0.05862973752000001,0.12104625096,0.024287597280000003,0.021545449200000004,,0.22851234,0.04230742752000001,0.01083801384,0.0150165252,0.028335530160000007,0.09819501696,0.01149090624,0.00313388352,0.024287597280000003,0.2514941524800001,0.00770413032,0.00496198224,0.01775867328,0.008618179680000001,0.005745453120000001,0.00430908984,0.00404793288,0.00496198224,0.00639834552,0.00430908984,0.003264462,0.0016975202399999998,0.00143636328,0.06150246408000001,0.00039173544
Jilin,0.06493822812000001,0.03233512872,0.069225759,0.008932355999999999,0.005538060720000001,0.28976562864,0.11165445,0.02849421564,0.005716707840000001,0.00652061988,0.01661418216,0.14970628656000004,0.005984678520000001,0.00205444188,0.01974050676,,0.00375158952,0.0026797068000000003,0.01089747432,0.00527009004,0.0029476774800000004,0.00366226596,0.0034836188400000005,0.00250105968,0.0035729424,0.00259038324,0.0014291769600000002,0.0006252649200000001,0.00080391204,0.029923392599999998,0.00017864712000000002
Heilongjiang,0.09279250488,0.053196102,0.11656884959999997,0.0111017952,0.00582844248,0.16393650912000002,0.07706496167999999,0.03857873832,0.007216166879999999,0.007771256639999998,0.02904969744,,0.007216166879999999,0.00157275432,0.03127005648,0.16439908391999994,0.0041631732,0.00212784408,0.01461736368,0.00397814328,0.004440718079999999,0.00934401096,0.0029604787199999996,0.00388562832,0.0041631732,0.00203532912,0.0016652692799999998,0.00129520944,0.0009251496,0.059857179119999986,0.00037005983999999995
Shanghai,0.013855082400000005,0.0046183608,0.0661965048,0.0708148656,0.00738937728,0.01293141024,0.0024631257600000005,1.65491262,0.24662046672,0.0184734432,0.046491498719999996,0.0061578143999999994,0.023399694720000003,0.027402274080000004,0.68413317984,0.004926251520000001,0.0215523504,0.008620940160000002,,0.0338679792,0.05203353168,0.008620940160000002,0.012007738080000002,0.0107761752,0.00677359584,0.00338679792,0.008313049440000001,0.0006157814400000001,0.00184734432,0.012623519520000001,
Jiangsu,0.09516541608,0.034934140079999995,0.8143268515199998,0.2873031865199999,0.04999195908,0.0331272018,0.02047863384,,1.6220282626799998,0.08191453536,0.11263248612,0.014455506239999997,0.05059427184,0.017467070039999998,1.0450126386,0.0120462552,0.05059427184,0.03372951456,1.29557474676,0.05842433772000001,0.10359779472000001,0.00843237864,0.027104074199999998,0.02168325936,0.01927400832,0.01927400832,0.030115637999999997,0.0060231276,0.007830065879999999,0.03854801664,0.00060231276
