,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Guangdong,Anhui,Heilongjiang,Shaanxi,Hunan,Zhejiang,Sichuan,Jilin,Shanghai,Hubei,Gansu,Hainan,Jiangxi,Chongqing,Xinjiang,Fujian,Yunnan,Guangxi,Guizhou,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.7551388781999999,0.10412773560000001,0.08951580539999998,0.06596648100000001,0.048942873000000005,0.034756533,0.0309262212,0.0282308166,0.0275214996,0.0272377728,0.0263865924,0.020286466200000002,0.0175910616,0.016881744599999998,0.016739881199999997,0.0153212472,0.0131932962,0.011632798799999998,0.0087955308,0.008369940599999999,0.0076606236,0.0073768967999999985,0.006951306599999999,0.006809443199999999,0.006809443199999999,0.0051070824,0.0045396288,0.001418634,0.0009930438,0.0001418634,
Tianjin,0.7493495133600001,,0.11658779064000001,0.03564147744,0.03124904184,0.031625536319999994,0.027107602560000003,0.02434664304,0.01091833992,0.01204782336,0.019703211120000005,0.0106673436,0.003137454,0.01041634728,0.006149409839999999,0.0119223252,0.006776900640000001,0.0017569742400000002,0.00514542456,0.0018824724,0.0027609595200000004,0.00301195584,0.0033884503200000003,0.0028864576799999997,0.0018824724,0.00263546136,0.0020079705600000003,0.0013804797600000002,0.00150597792,,0.11520731088
Hebei,,0.8903113056,0.8520859832400001,0.3333828747600001,0.41273670852,0.16838496432,0.23273898804,0.14177239812000006,0.05854764563999999,0.06241856436000001,0.042580105920000014,0.11419210224,0.026128701360000003,0.06870880727999999,0.034838268480000004,0.02999962008,0.03048348492,0.01112889132,0.026128701360000003,0.0096772968,0.02516097168,0.01645140456,0.037257592680000014,0.016935269399999998,0.018870728760000004,0.018870728760000004,0.01258048584,0.014515945200000003,0.00822570228,0.00048386484,1.11579232104
Shanxi,0.35741961180000004,0.05297990976,0.13926704220000002,0.24795376884,,0.015971884559999996,0.23295577968000003,0.0857027952,0.031943769119999986,0.02765862936,0.005648593319999999,0.43766859276000003,0.011881523879999998,0.031164652799999998,0.032722885439999995,0.004090360679999999,0.01967268708,0.006427709639999999,0.02317871052,0.00447991884,0.00662248872,0.009349395839999998,0.01421887284,0.0087650586,0.00993373308,0.00623293056,0.006038151479999999,0.00857027952,0.006427709639999999,0.00038955816,0.09914255172
Inner Mongolia,0.19792979856,0.043420497120000005,0.04835464452,0.017058052439999995,0.1734000372,0.23148200088,,0.016917076799999996,0.008176587119999999,0.004370244839999999,0.07528099175999999,0.21949907148,0.0028195128,0.007612684559999998,0.007330733279999999,0.10671855948,0.00521609868,0.00183268332,0.04201074072,0.0021146346,0.00197365896,0.00239658588,0.011278051199999998,0.00267853716,0.00197365896,0.00225561024,0.00098682948,0.11052490175999996,0.003524390999999999,0.00014097564,0.058222939319999986
Liaoning,0.22410010152000007,0.06525623088000003,0.11869651872000002,0.024706062719999998,0.022960525680000003,,0.23175361008000006,0.043638426000000015,0.03276238752,0.013561480080000002,0.10231532496000002,0.01557556128,0.006847876080000002,0.030614034239999997,0.00966758976,0.25149160584,0.022691981519999998,0.00322252992,0.004162434479999999,0.005505155279999999,0.0061765156799999995,0.005505155279999999,0.005236611120000001,0.00859341312,0.0064450598400000005,0.006042243600000001,0.003759618240000001,0.0020140812,0.00120844872,0.00013427208,0.06552477504
Jilin,0.06075944784,0.033705315,0.06768027252000001,0.007639871400000001,0.00602201628,0.27242882604,0.10974450564000003,0.026514847800000005,0.018335691360000003,0.0062916588,0.17607656555999998,0.00620177796,0.004853565360000001,0.0184255722,0.0050333270400000005,,0.01276307928,0.0013482126,0.002247021,0.00476368452,0.0040446378000000005,0.002516663520000001,0.00215714016,0.00440416116,0.00386487612,0.00368511444,0.0009886892400000002,0.0006291658800000003,0.0008988084000000002,8.988084e-05,0.03289638744
Heilongjiang,0.0868936248,0.0472500864,0.11642492879999998,0.012438943199999998,0.008053992,0.15553153439999998,0.07570752480000001,0.037943251199999986,0.0278310168,0.007964503199999999,,0.008680413599999999,0.005100861599999999,0.0323054568,0.005458816799999999,0.1509676056,0.0166449168,0.0014318208,0.0019687536,0.0081434808,0.0039375072,0.0026846640000000002,0.0032215968,0.00447444,0.0032215968,0.003579552,0.0018792648,0.0013423320000000001,0.0010738655999999998,0.0001789776,0.061031361599999986
Shanghai,0.01366354332,0.005789636999999999,0.06322283604,0.07248625524,0.01088451756,0.01366354332,0.0034737821999999995,1.09794676068,0.046085510520000005,0.20819534652,0.00972659016,0.01806366744,0.0196847658,0.5219936719199999,0.02477964636,0.006484393440000001,,0.021074278680000003,0.00903183372,0.007179149879999998,0.04932770724,0.01088451756,0.00416853864,0.029642941439999997,0.011579274,0.008800248240000001,0.010189761120000002,0.0009263419199999999,0.0011579274000000001,,0.011810859479999998
Jiangsu,0.09590817312,0.03078533952,0.83653239888,0.28121223599999995,0.054466369919999987,0.03315344256,0.02190495312,,0.11426097167999998,1.5286105123199998,0.01657672128,0.08051550335999999,0.05091421536,0.9993394828799996,0.05091421536,0.013616592479999998,1.27759159008,0.02190495312,0.03137736528,0.01124848944,0.10774868832000001,0.0236810304,0.02723318496,0.058018524479999986,0.03137736528,0.0236810304,0.028417236479999993,0.007104309119999998,0.008880386399999999,0.0005920257599999999,0.04144180319999999
