,Hebei,Shandong,Henan,Tianjin,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Anhui,Shaanxi,Hubei,Heilongjiang,Jilin,Zhejiang,Hunan,Shanghai,Sichuan,Guangdong,Jiangxi,Gansu,Fujian,Chongqing,Yunnan,Hainan,Guangxi,Guizhou,Ningxia,Qinghai,Xinjiang,Tibet,Beijing
Beijing,15.221864661479998,2.6971594228799995,1.94049026352,1.79403816816,1.68419909664,1.1746678482,1.0007559849599998,0.65293225848,0.5736040401599999,0.4118965182000001,0.40884543288,0.36307915308,0.3356193852,0.28680202007999994,0.26849550816,0.25324008156,0.23798465495999999,0.23188248431999997,0.19221837515999998,0.14340101003999994,0.11289015684,0.10068581556,0.06407279172000001,0.06102170639999999,0.06102170639999999,0.054919535760000006,0.051868450440000005,0.03661302384,0.03356193852,0.00915325596,
Tianjin,5.380709073479999,1.73711264796,0.46365346728,,0.42977924136,0.37790933292,0.2064210642,0.18630824255999998,0.14184832104,0.07621700831999999,0.08256842568,0.1005641082,0.1111498038,0.0582213258,0.0370499346,0.04551849108,0.04022564328,0.03916707372,0.03069851724,0.03599136504,0.02222996076,0.0158785434,0.009527126039999998,0.007409986920000002,0.007409986920000002,0.009527126039999998,0.008468556479999998,0.00317570868,0.006351417359999999,,0.8966084173200001
Hebei,,1.7324303976,1.0783495332,1.87503181128,0.92278435464,0.6422956236,0.51147945072,0.28991692368,0.206241714,0.20034909360000006,0.15438665448000002,0.11431683576,0.117852408,0.0942819264,0.06835439664,0.0648188244,0.07778258928000001,0.07660406520000003,0.05539063176,0.0412483428,0.031820150160000005,0.035355722400000004,0.021213433440000002,0.01885638528,0.0235704816,0.016499337120000002,0.021213433440000002,0.00942819264,0.01532081304,0.00117852408,3.24801236448
Shanxi,1.10675449656,0.3242350296,1.0752988593600001,0.11275636104,,0.04500575784,0.30390984864000004,0.17131223952,0.10356163632000001,0.6808935621600001,0.10065803904,0.01258225488,0.012098322,0.0556522812,0.03919856328,0.04500575784,0.09291511296,0.04548969071999999,0.024196644,0.04016642903999999,0.0217769796,0.03774676464,0.01161438912,0.01355012064,0.010646523359999998,0.01161438912,0.02855203992,0.00822685896,0.007742926079999999,0.0014517986399999998,0.28842399648
Inner Mongolia,0.73711715256,0.14872984128,0.1105424496,0.087931494,0.6697867514399999,0.65722510944,,0.06331067568,0.02914300944,0.6220525118399999,0.02462081832,0.38086898544,0.33815940264,0.03215780352,0.01859123016,0.03718246032,0.03667999464,0.035675063279999995,0.0075369852000000005,0.20701586016,0.012059176319999998,0.01607890176,0.0100493136,0.0100493136,0.0050246568,0.00653205384,0.33966679968,0.012059176319999998,0.00854191656,0.00050246568,0.35122351032
Liaoning,0.6077915676,0.3221969562,0.08428171500000001,0.1497806478,0.062609274,,0.6906284531999999,0.1184760108,0.0394920036,0.0404552232,0.02697014880000001,0.6227214714,1.3311694872,0.0654989328,0.026006929200000004,0.07705756799999999,0.0332310762,0.0587563956,0.0173379528,0.0105954156,0.0207092214,0.016856343,0.012040245000000002,0.0163747332,0.0110770254,0.0086689764,0.0038528784,0.0028896588,0.0057793176,0.0009632196,0.3221969562
Jilin,0.12316637088,0.08719972056,0.025099029359999997,0.04735177704,0.01190263248,1.05415923312,0.28488692088,0.041400460800000004,0.013455149759999998,0.01319639688,0.01190263248,0.5837464972799999,,0.02923907544,0.01112637384,0.032861615760000004,0.01319639688,0.027945311039999997,0.006986327759999999,0.0031050345599999995,0.007245080640000002,0.00802133928,0.006727574879999999,0.012161385359999995,0.00491630472,0.003622540320000001,0.0012937644000000001,0.0007762586399999999,0.00284628168,0.0005175057599999999,0.11281625568
Heilongjiang,0.14672472192,0.12701170656,0.02520271584,0.05539606847999999,0.0137242512,0.6480341884799999,0.30642509952,0.0548970048,0.0137242512,0.01696816512,0.012476592,,0.6917022604799999,0.03718024416,0.014472846719999996,0.04391760383999999,0.01721769696,0.03817837152,0.00524016864,0.00399250944,0.009731741759999999,0.006238296,0.008733614399999999,0.01796629248,0.005739232320000001,0.004741104960000001,0.0029943820799999995,0.0017467228800000002,0.00199625472,0.00049906368,0.15745459103999998
Shanghai,0.17864159580000002,0.6903064134,0.8887970754000001,0.06175265040000001,0.10365623459999998,0.1058616864,0.033081777,8.588029309199998,3.3368485733999997,0.1632034332,0.4477067154,0.050725391399999986,0.0396981324,4.770392243399999,0.2999414448,,0.1852579512,0.2778869268,0.7366209011999999,0.06836900580000001,0.3925704204,0.10806713819999997,0.0705744576,0.0396981324,0.055136295,0.0705744576,0.011027259,0.0176436144,0.0176436144,0.0044109036,0.2029015656
Jiangsu,0.36739828368,2.0140826774400002,1.98236484,0.07665144047999999,0.19030702464000002,0.10836927791999998,0.034360990560000006,,10.94794022304,0.24317008704,0.6158546769600001,0.04493360303999999,0.0396472968,3.73213220544,0.3039626088,3.4281695966400005,0.17709125904,0.24581324016,0.8748836827199998,0.07136513424,0.27488792448000005,0.11101243103999997,0.06079252176,0.02907468432,0.055506215519999985,0.07929459359999999,0.0132157656,0.015858918719999997,0.0132157656,0.005286306239999999,0.23259747456
