,Hebei,Shandong,Henan,Shanxi,Tianjin,Liaoning,Inner Mongolia,Jiangsu,Anhui,Shaanxi,Hubei,Heilongjiang,Jilin,Zhejiang,Hunan,Sichuan,Guangdong,Shanghai,Jiangxi,Gansu,Fujian,Chongqing,Yunnan,Hainan,Guangxi,Ningxia,Guizhou,Qinghai,Xinjiang,Tibet,Beijing
Beijing,8.67427753572,2.2460379127200003,1.76474407428,1.3076248122000005,1.22411263932,1.08346055868,0.8219355962400001,0.5933759652000001,0.52964299116,0.43074699696,0.41316548688,0.3758047779600001,0.33844406904,0.29229260508000005,0.26152496244,0.23075731980000005,0.21317580972000005,0.19779198840000006,0.18240816708,0.15164052444,0.11208212676,0.09889599420000003,0.07252372908,0.06593066280000001,0.059337596520000015,0.059337596520000015,0.054942219000000014,0.043953775199999996,0.030767642640000006,0.010988443799999999,
Tianjin,3.5046294753600002,1.07929096704,0.43846195536000004,0.38403748188000003,,0.30355058447999994,0.19086892812,0.15637454352,0.12801249395999995,0.09428465124,0.07742072988,0.10424969568,0.10654932132,0.06208989227999999,0.03679401024,0.039860177760000004,0.034494384600000004,0.045225970920000004,0.032194758959999986,0.037560552119999986,0.019930088880000002,0.019930088880000002,0.01073158632,0.00843196068,0.009965044440000001,0.01226467008,0.009965044440000001,0.00536579316,0.00536579316,0.00153308376,0.6929538595199999
Hebei,,1.8317944584000003,1.0528420824000002,1.1144044476000001,1.9875849336,0.5754196584000001,0.6256746504,0.2650950828,0.1784052216,0.2625823332,0.14322672720000001,0.12940660439999999,0.1206119808,0.10679185800000003,0.069100614,0.0791516124,0.0728697384,0.069100614,0.0427167432,0.0477422424,0.0326657448,0.0402039936,0.0213583716,0.0213583716,0.0288966204,0.0276402456,0.017589247199999998,0.0113073732,0.0138201228,0.0012563748,3.5555406840000003
Shanxi,0.8504656430399999,0.27361654524,0.8155452762000001,,0.10652922036000001,0.04243487616,0.42479079156,0.12200026896,0.06453637415999999,0.84737143332,0.07426103328,0.01237683888,0.01193480892,0.054811715039999986,0.03845660652,0.09061614179999998,0.04066675632,0.04773923568,0.0176811984,0.046855175760000006,0.02519570772,0.03889863648,0.013260898799999999,0.01723916844,0.01060871904,0.03447833688,0.0154710486,0.01193480892,0.00795653928,0.00132608988,0.25284113711999995
Inner Mongolia,0.65015460648,0.14385199535999998,0.10201268952,0.5928018501599999,0.08978997095999999,0.70421663088,,0.055942442639999986,0.02162480976,0.5476718124000001,0.023505228,0.37890427536,0.28582357247999995,0.03102690096,0.013633032239999995,0.041369201280000004,0.03243721464,0.033377423760000004,0.00752167296,0.18146036016,0.011752614,0.01504334592,0.008931986639999999,0.00987219576,0.0051711501600000005,0.35586915192,0.0051711501600000005,0.01739386872,0.0094020912,0.00047010456,0.31826078711999994
Liaoning,0.6048270194400001,0.2554346793600001,0.09721160568000002,0.06548564232000001,0.11714201856000002,,0.6300450928800001,0.11022738552,0.04270802760000001,0.04636871568,0.02765853216000001,0.4767029366400001,0.97699697424,0.06629912856,0.02521807344,0.032132706480000016,0.04636871568,0.07443399096000003,0.014642752320000002,0.010168578,0.01748995416,0.015456238560000004,0.010982064240000002,0.013422522960000002,0.011388807360000005,0.0044741743200000005,0.00976183488,0.0032539449600000004,0.0044741743200000005,0.00122022936,0.24729981696000006
Jilin,0.11513293344,0.08344906416,0.02298196152,0.0145031796,0.037038889439999986,0.92507973264,0.2688666372,0.031237617599999993,0.011156291999999998,0.01093316616,0.0122719212,0.46677925728,,0.02320508736,0.008032530239999999,0.011156291999999998,0.022312584,0.030345114239999995,0.006024397679999999,0.00267751008,0.00647064936,0.00535502016,0.006247523520000001,0.0100406628,0.004016265119999999,0.0015618808800000003,0.00290063592,0.0015618808800000003,0.0015618808800000003,0.0006693775199999997,0.08389531583999997
Heilongjiang,0.17287650827999995,0.13785087707999996,0.01976446332,0.014760801719999998,0.04803515135999999,0.7295338612800001,0.2834574296399999,0.049786432919999984,0.011258238600000001,0.018763730999999995,0.01150842168,,0.6567305849999999,0.033024166559999985,0.015261167879999997,0.015261167879999997,0.0387783774,0.04153039128,0.00550402776,0.0032523800399999994,0.01100805552,0.007505492399999998,0.008256041639999998,0.01851354792,0.004753478519999999,0.00275201388,0.00350256312,0.0005003661599999999,0.00175128156,0.0005003661599999999,0.13109593392000002
Shanghai,0.14506528464,0.67159854,1.1282855472,0.11282855472000002,0.044773235999999994,0.10566483696000001,0.037609518239999994,6.173333779680001,3.2057636975999997,0.16297457904,0.48892373712,0.048355094880000005,0.04119137712,3.1591995321599997,0.29729428704,0.17730201456,0.23819361551999998,,0.72174456432,0.06805531872000001,0.32774008751999995,0.10208297807999997,0.06268253039999999,0.039400447680000006,0.05910067152000001,0.01253650608,0.06984624816,0.0179092944,0.01611836496,0.00716371776,0.134319708
Jiangsu,0.2734675344,1.9875937463999998,1.9301259312,0.1961832312,0.0634127616,0.09908244,0.0356696784,,6.8446149552,0.2536510464,0.5766598008,0.045577922400000005,0.0376513272,2.7326936951999996,0.2932840224,0.1644768504,0.2041098264,2.5919966303999997,0.6361092648,0.0772843032,0.2298712608,0.10700903519999999,0.053504517599999996,0.029724732,0.047559571200000005,0.013871541600000002,0.0832292496,0.013871541600000002,0.011889892800000001,0.0039632976,0.1466420112
Zhejiang,0.14787207072,0.4705020432,1.4988850804799998,0.07729676424,0.03696801768,0.06385384872000001,0.0252054666,2.8818250145999995,3.79258254108,0.15291316404000002,0.8637073221599999,0.035287653239999994,0.02688583104,,0.5562006296399999,0.19156154616,0.3108674214,1.4770403427599998,2.48357864232,0.04705020432,0.8200178467199999,0.16131498624,0.08569858643999999,0.033607288799999996,0.08065749311999999,0.01008218664,0.28398159036,0.015123279960000001,0.01176255108,0.0033607288800000003,0.12938806188
Anhui,0.11909801304000002,0.4142539584000001,1.14523958916,0.04919265756,0.03365813412000001,0.02675390148,0.012945436200000002,3.53065196628,,0.10356348960000003,0.3357183121200001,0.01035634896,0.01035634896,1.2841872710400002,0.13894768187999998,0.05437083204,0.11305680948000002,0.5186804770800001,0.32967710856000004,0.018123610680000003,0.0992483442,0.04832962848000001,0.02243875608,0.01380846528,0.02502784332,0.0051781744800000005,0.027616930560000003,0.0051781744800000005,0.0051781744800000005,0.0008630290800000001,0.11219378040000004
Fujian,0.035152127279999994,0.06666782760000001,0.17454849408,0.01899022968,0.01171737576,0.01656594504,0.007676901359999999,0.15434612207999998,0.18828610704,0.0444452184,0.22586251896,0.01090928088,0.00727285392,0.5604137992799999,0.22949894592,0.11070899856,0.62506138968,0.10626447672,1.02668454504,0.01575785016,,0.10020376512,0.03959664912,0.01656594504,0.05575854672,0.0032323795199999997,0.12404256408,0.0040404744,0.00444452184,0.0012121423199999998,0.0444452184
Jiangxi,0.04751884763999999,0.07621834968000002,0.16796265948,0.015996443760000003,0.011762091000000002,0.010821123719999999,0.0051753200400000005,0.2164224744,0.34533499176,0.045636913080000015,0.43660881791999995,0.00564580368,0.004704836400000001,0.7475985039600002,0.8322855591600001,0.05504658588,0.74995092216,0.12561913187999998,,0.013644025559999998,0.5170615203600001,0.047989331280000005,0.02258321472,0.01505547648,0.06351529140000002,0.0023524182000000003,0.057399004079999996,0.0032933854800000014,0.00141145092,0.00094096728,0.049871265840000005
Shandong,1.45280709,,1.4777123544,0.31380633144000003,0.34784352611999997,0.2366000118,0.10294175952,1.6163516595599998,0.4399930044,0.22746808151999998,0.16520492052000002,0.12369614652000001,0.10045123308000001,0.28807089156,0.09464000471999998,0.11124351432,0.10709263692,0.21418527384,0.07637614415999999,0.05147087976,0.06309333648,0.054791581679999986,0.034037194679999994,0.018263860559999998,0.029056141799999994,0.02241473796,0.02739579084,0.01577333412,0.01577333412,0.00332070192,0.45493616303999995
Henan,0.7603677295199999,1.3220645558399995,,0.8615092802399997,0.11829949235999998,0.05960127095999999,0.06411651875999998,0.7305670940399999,1.05837408432,0.8542848837599999,0.8976312626399997,0.01986709032,0.01896404076,0.3991479055199999,0.22847153867999995,0.18241601112,0.24653252988,0.18241601112,0.11468729411999998,0.12823303751999995,0.08398360908,0.09211105512000001,0.03792808151999999,0.0406372302,0.05147382491999999,0.0361219824,0.041540279759999986,0.035218932839999995,0.031606734599999985,0.00361219824,0.3115520982
Hubei,0.1204852968,0.1649424384,1.1049854759999995,0.07602815519999999,0.019329192,0.023839336800000003,0.0180405792,0.33826086,0.4271751432,0.3137772168,,0.009664596,0.0109532088,0.29315941199999995,1.1951883719999998,0.2113324992,0.4142890152,0.11984099039999999,0.5869631303999999,0.0431685288,0.14110310159999995,0.4078459512,0.0444571416,0.039302690399999986,0.09535734720000001,0.0109532088,0.077316768,0.0109532088,0.006443064,0.0019329192,0.1018004112
Hunan,0.06636840624,0.08139521520000001,0.24418564559999997,0.035688671279999994,0.016905160080000002,0.020035745280000003,0.01127010672,0.14651138736,0.12898011024,0.08202133224000001,1.1007137563200002,0.0093917556,0.00813952152,0.21162755952,,0.12960622728,1.4507131816799999,0.09203920488,0.84337965288,0.02066186232,0.14463303623999998,0.20223580392,0.06949899143999999,0.056976650639999994,0.5766537938400002,0.0075134044799999985,0.4038454908,0.00813952152,0.006887287440000001,0.00187835112,0.07450792776000001
Guangdong,0.1289099124,0.196167258,0.9864410687999999,0.06725734559999999,0.033628672799999995,0.070059735,0.033628672799999995,0.3194723916,0.4035440736,0.224191152,1.9504630224,0.0364310622,0.033628672799999995,0.4371727464,6.7845847374,0.6641662878,,0.22699354140000005,4.5426732174,0.061652566799999996,1.555326117,0.3867297372,0.2998556658,0.3531010644,7.123673854800002,0.014011947,0.6221304468,0.0252215046,0.0224191152,0.0112095576,0.1933648686
Guangxi,0.031796064,0.031001162400000008,0.0751182012,0.0123209748,0.006359212800000001,0.008743917600000001,0.004371958800000001,0.050873702400000005,0.036962924400000007,0.0282190068,0.1021448556,0.0051668604,0.0047694096,0.06080997240000001,0.6569861724,0.10293975720000001,1.8155552544,0.0381552768,0.103337208,0.009141368399999999,0.061604874,0.07313094719999999,0.180840114,0.0512711532,,0.0015898032000000002,0.3747961044,0.0023847048,0.0031796064000000003,0.0011923524,0.0313986132
Hainan,0.020557443600000003,0.020274543,0.0407376864,0.014993731800000003,0.007449715800000002,0.013202028000000001,0.0050922108,0.0346081734,0.0213118452,0.0223491474,0.048187402200000014,0.012730527000000002,0.0067896144,0.0337594716,0.0771375636,0.048753203399999986,0.2289608856,0.029327362200000002,0.030930465599999995,0.0035834076,0.0263097558,0.032533569000000005,0.017068336200000003,,0.0744028578,0.0017917038,0.024895252799999996,0.000943002,0.0020746044,0.0003772008,0.039606084
Chongqing,0.05330453832,0.0646115616,0.1332613458,0.045228093120000014,0.0121146678,0.01453760136,0.01696053492,0.0969173424,0.05734276092,0.28994438268000006,0.46601088804,0.00726880068,0.0040382226,0.09934027596,0.27782971488,4.425084325079999,0.1978729074,0.05572747187999999,0.06380391708000001,0.13729956840000002,0.06218862804000001,,0.22371753204,0.05815040544,0.17848943892000002,0.015345245880000002,0.9045618624,0.031498136280000005,0.01292231232,0.010499378759999999,0.04926631572
Sichuan,0.09839731284,0.09926808552,0.22553012412000004,0.09056035872,0.025252407719999998,0.028735498440000007,0.026993953080000004,0.13932362880000002,0.07488645048000002,0.7157751429600002,0.2542656225600001,0.013932362880000005,0.01132004484,0.13322822004000004,0.18721612620000005,,0.27081030348,0.09926808552,0.07401567780000001,0.3413428905600001,0.06704949636000003,3.5388201715200003,0.8037231836400002,0.05921254224000001,0.16544680920000002,0.030477043800000006,0.7950154568400002,0.09926808552,0.029606271120000006,0.08272340460000001,0.11058813036
Guizhou,0.0236211552,0.031101187680000007,0.07361926704,0.01496006496,0.00433054512,0.00708634656,0.005511602880000001,0.06653292048,0.03503804688,0.05865920207999999,0.1062951984,0.00472423104,0.0027558014400000004,0.15708068208000006,0.4999811184,0.7046977968000001,0.24211684080000004,0.0374001624,0.07322558112000001,0.01535375088,0.07361926704,0.70351673904,0.59170993776,0.038581220160000006,0.31770453744000005,0.00236211552,,0.00433054512,0.00236211552,0.00236211552,0.030313815839999998
Yunnan,0.02739518496000001,0.034555290120000005,0.05977131264,0.01494282816,0.008716649760000002,0.01027319436,0.006537487320000001,0.053545134240000014,0.02739518496000001,0.045762411240000016,0.07378021404000001,0.007782723000000002,0.0046696338000000006,0.07533675864000001,0.13728723372,0.90404110368,0.13635330696000006,0.043894557720000005,0.04731895584000001,0.014320210320000004,0.04015885068000001,0.28391373504,,0.01774460844,0.19394545716000006,0.0052922516400000005,0.7673764878000001,0.0052922516400000005,0.004358324880000001,0.017121990600000005,0.03860230608
Tibet,0.00455740992,0.0050971032000000005,0.00968449608,0.0027584323200000004,0.00131925024,0.00185894352,0.0010494035999999995,0.00416763144,0.00317819376,0.01637069616,0.00482725656,0.00083952288,0.0001499148,0.0028183982399999988,0.00452742696,0.11711344176,0.00515706912,0.00206882424,0.0014391820799999995,0.011543439599999998,0.00110936952,0.020178532080000002,0.01673049168,0.00032981256,0.0015591139199999998,0.0014091991199999994,0.00296831304,0.04503440592,0.00470732472,,0.0047672906400000005
Shaanxi,0.20604531816,0.24905814552,0.9261632988,0.91090068264,0.029831477039999995,0.0381565404,0.51823519416,0.21783915792,0.15193240631999996,,0.32675873688,0.014568860879999998,0.010406329199999998,0.10614455784,0.121407174,0.6944490352799998,0.09851324975999998,0.07353805967999999,0.05203164599999999,1.1086209374399998,0.04440033791999999,0.22963299767999995,0.040237806239999986,0.02636270064,0.029831477039999995,0.3829529145599999,0.05203164599999999,0.10891957896,0.03052523232,0.007631308079999999,0.11863215287999998
Gansu,0.043602649920000014,0.050976627480000015,0.12728126484000002,0.055465135559999997,0.016350993720000002,0.008977016160000002,0.13369341924,0.0689306598,0.024686794440000003,1.02979199664,0.04584690396,0.00416790036,0.0032060772000000004,0.03975535728,0.02436618672,0.3812025790800001,0.0368698878,0.03975535728,0.012824308800000002,,0.01506856284,0.07309856015999999,0.012824308800000002,0.00673276212,0.0096182316,0.36613401623999997,0.016030386,0.42544644444,0.06925126752,0.005129723520000001,0.053220881520000006
