,Hebei,Shandong,Tianjin,Henan,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Shaanxi,Anhui,Heilongjiang,Zhejiang,Hubei,Guangdong,Jilin,Sichuan,Shanghai,Hunan,Jiangxi,Gansu,Fujian,Chongqing,Hainan,Yunnan,Guangxi,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Beijing,4.0077437904,0.7949008418399999,0.7512145351199999,0.55652555952,0.48244877856,0.45205830432,0.33334551432,0.22982796144,0.18424225008,0.17284582224,0.15575118047999995,0.14245534799999998,0.13865653872,0.13485772944,0.13200862247999998,0.13010921784,0.09686963664,0.094970232,0.07882529256,0.06742886472,0.0569821392,0.055082734559999985,0.04558571135999999,0.0427366044,0.034189283519999995,0.033239581199999986,0.02944077192,0.02469226032,0.01804434408,0.0037988092799999995,
Tianjin,1.84499891316,0.4592948443200001,,0.14280941844000006,0.15145206336000006,0.1461018546,0.08313401304000001,0.0884842218,0.045682551720000006,0.053090533080000016,0.048974987879999994,0.04321322460000001,0.02798570736000001,0.030043479960000008,0.045682551720000006,0.028397261880000007,0.03127814352,0.018931507920000003,0.014815962719999999,0.01934306244,0.016462180800000004,0.015227517240000004,0.005761763280000002,0.010700417520000002,0.008642644920000001,0.008231090400000002,0.0065848723200000025,0.0049386542400000006,0.0037039906799999998,0.00041155452000000016,0.7045813382400001
Hebei,,1.5448419403199998,2.3447600971200004,0.74867339988,0.92865498516,0.48994987103999993,0.5224465461600001,0.25372404035999996,0.24747467976,0.12498721199999999,0.09749002536,0.12373733988,0.10248951384,0.09124066475999999,0.08624117627999998,0.08249155992,0.06749309448,0.05999386176,0.04249565208000001,0.03999590784,0.03624629148,0.038746035719999995,0.023747570279999998,0.026247314520000002,0.03249667512,0.02249769816,0.028747058760000003,0.01624833756,0.00999897696,0.0024997442400000003,4.24081610316
Shanxi,0.752584365,0.232362918,0.14452813800000006,0.643190139,,0.034734663,0.4212076950000001,0.11897620199999999,0.760170096,0.047111382,0.012775968,0.05549561099999999,0.046712133,0.042719643000000015,0.011178972000000002,0.068271579,0.043518140999999996,0.031540671000000006,0.014772213,0.036730908,0.023555691,0.030742172999999998,0.017566956,0.013574466000000002,0.011178972000000002,0.01197747,0.031939920000000004,0.009981225,0.012376719,0.000798498,0.303029991
Inner Mongolia,0.4951890936,0.10608545376,0.08679718943999998,0.06417057168,0.4284220248,0.5319109814399999,,0.0389474568,0.426567384,0.01557898272,0.28301818608,0.02893239648,0.01891733616,0.029303324639999996,0.21847668624,0.034867247039999986,0.030045180960000008,0.012240629279999998,0.0074185632,0.1706269536,0.012982485599999998,0.0111278448,0.009273204,0.008531347679999999,0.00593485056,0.006676706879999999,0.29896809696,0.00964413216,0.01446619824,0.00037092816,0.29748438432
Liaoning,0.47917946304,0.20102779584,0.13939191504,0.055314252000000015,0.042354912960000005,,0.43429589856000006,0.08565807024000001,0.03540112128,0.02591867808,0.30470250816,0.061003717919999985,0.01928096784,0.04962478608,0.7159244615999999,0.030659899680000005,0.06416453232000001,0.019913130719999998,0.01169501328,0.007585954559999998,0.01833272352,0.016752316320000002,0.01169501328,0.012327176160000002,0.01201109472,0.007902036,0.0034768958400000004,0.00600554736,0.0025286515200000003,0.0006321628800000001,0.27941599296
Jilin,0.09255921192000002,0.07546840308000001,0.039942564480000005,0.018050966640000003,0.012482051400000005,0.7863692382000002,0.20028891708000005,0.031685207400000005,0.010561735800000005,0.009601578,0.3965451714000001,0.0278445762,0.010753767360000005,0.02611629216000001,,0.01171392516,0.029572860240000005,0.009025483320000001,0.0061450099200000005,0.003072504960000001,0.007105167720000001,0.005376883680000002,0.011521893600000005,0.004416725880000001,0.004800789000000001,0.0024964102800000003,0.0017282840400000006,0.0021123471600000003,0.0005760946800000001,0.00038406312000000014,0.07854090804000001
Heilongjiang,0.11761790976,0.12732235775999998,0.046387261439999994,0.02096160768,0.01475076096,0.47959382016,0.23756488704,0.04405819392,0.013974405119999998,0.01222760448,,0.035130101760000004,0.00931627008,0.03862370304,0.49104506880000004,0.01513893888,0.038041436160000004,0.01145124864,0.00524040192,0.0029113344,0.01183942656,0.0064049356799999995,0.01979707392,0.00756946944,0.006793113599999999,0.00407586816,0.00232906752,0.0034936012799999996,0.0007763558400000001,0.00038817792,0.11315386368
Shanghai,0.06274024128,0.2621338848,0.02406475008,0.3540956083199999,0.05844296448,0.06617806272000001,0.0257836608,3.2109252249599995,0.08336716992000001,1.01329786944,0.03351875904,2.0162822745599995,0.16329651839999998,0.13751285759999998,0.028362026880000002,0.11344810752000001,,0.12204266111999998,0.2655717062399999,0.04039440191999999,0.15642087552,0.05500514304,0.0343782144,0.0515673216,0.03781603584,0.042972768,0.01117291968,0.01461074112,0.0128918304,0.0042972768,0.07477261631999997
Jiangsu,0.17425860479999994,1.3741535692799998,0.058501103039999974,0.7381096617599998,0.10828927583999998,0.07841637215999997,0.029872903679999993,,0.16430097023999998,3.1229631388799994,0.04107524256,2.22926543712,0.2601432028799999,0.16181156160000001,0.029872903679999993,0.11949161471999994,2.7134554176,0.13940688384000002,0.2601432028799999,0.05476699008,0.13816217951999998,0.0684587376,0.028628199359999995,0.047298764159999986,0.038585833919999986,0.059745807359999986,0.01369174752,0.014936451839999997,0.011202338879999996,0.003734112959999999,0.14189629247999996
