,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Shaanxi,Guangdong,Anhui,Heilongjiang,Sichuan,Zhejiang,Hubei,Jilin,Shanghai,Hunan,Jiangxi,Gansu,Hainan,Fujian,Chongqing,Yunnan,Guangxi,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Beijing,3.66379038648,0.7637869209600001,0.6563793851999999,0.4645802142,0.4006471572,0.38104101971999993,0.31455064044000003,0.20799554544,0.14576736996,0.14321004767999998,0.13980028464000002,0.13127587704000002,0.12701367324,0.12530879172,0.1150795026,0.10911241728,0.10144045044,0.08353919448,0.06137573472,0.0554086494,0.053703767879999996,0.05199888636,0.05114644559999999,0.0340976304,0.03068786736,0.0298354266,0.025573222799999996,0.022163459759999997,0.01449149292,0.00340976304,
Tianjin,1.80888296688,,0.4186248739199999,0.13275458063999998,0.14985793152000002,0.15148682208,0.08673842232000001,0.08225897328,0.03827892816,0.02932003008,0.04642338096,0.04398004512,0.02809836216,0.04194393192,0.02728391688,0.040315041360000005,0.030541698,0.018732241440000002,0.0142527924,0.01954668672,0.00977334336,0.01791779616,0.013031124479999998,0.01099501128,0.00977334336,0.009366120720000001,0.0057011169600000005,0.0057011169600000005,0.0032577811199999995,0.0008144452799999999,0.7704652348800001
Hebei,,2.7820003521599994,1.6974170136000002,0.7980064401599999,0.9978754564799999,0.5393524190399999,0.5408220441599999,0.28804652352,0.26012364624,0.1028737584,0.13373588592,0.110221884,0.0955256328,0.13667513616000002,0.11463075935999999,0.09699525792000001,0.08229900672000001,0.06760275551999999,0.039679878239999994,0.041149503360000006,0.02792287728,0.039679878239999994,0.03821025312,0.03233175264,0.03233175264,0.024983627039999998,0.03086212752,0.0220443768,0.013226626079999998,0.00146962512,5.484640947839999
Shanxi,0.8469190548000001,0.2058287112,0.2695600782,0.741172194,,0.037766736,0.4664191896000001,0.1491786072,0.8993204010000001,0.054289683,0.056650104000000014,0.011802105,0.0651476196,0.06325928280000001,0.05051300940000001,0.0103858524,0.0538175988,0.031629641400000005,0.016050862800000003,0.0372946518,0.018883368,0.02360421,0.0287971362,0.016050862800000003,0.011802105,0.0155787786,0.032101725600000006,0.013218357600000005,0.012274189199999999,0.0014162526,0.47114003159999995
Inner Mongolia,0.5661227862,0.116159103,0.112083345,0.062359097400000014,0.4475182284000001,0.5596015734,,0.0403500042,0.4434424704000001,0.027715154400000004,0.015080304600000004,0.297530334,0.031383336600000006,0.0281227302,0.0191560626,0.23068790280000004,0.030568185,0.0126348498,0.006928788600000001,0.2066409306,0.0093742434,0.011004546600000002,0.014265153,0.008966667600000002,0.0065212128000000005,0.006113637000000001,0.31750154820000004,0.011412122400000002,0.013857577200000002,0.00040757580000000014,0.4165424676000001
Liaoning,0.5636935961999999,0.19551365928,0.23933568636,0.06329848356000001,0.043822027080000006,,0.48428958132,0.09438590447999999,0.03782927124,0.056182086,0.0318365154,0.38615820444,0.0318365154,0.06030210563999999,0.01985100372,0.78018190092,0.07041488112000001,0.020225550959999998,0.01236005892,0.010112775479999999,0.0149818896,0.02134919268,0.01348370064,0.011610964440000001,0.011985511680000002,0.00786549204,0.0037454724,0.00674185032,0.002621830680000001,0.0007490944800000001,0.44159119596
Jilin,0.10396155924,0.05560734563999999,0.08879591951999997,0.019121893559999995,0.011648969639999998,0.9004873323599999,0.22001167187999995,0.032748990119999995,0.011868761519999998,0.029012528159999995,0.010989593999999998,0.4435400138399999,0.013627096559999998,0.0285729444,0.0098906346,,0.03011148756,0.00967084272,0.005275005119999999,0.00373646196,0.0131875128,0.009231258959999995,0.005494796999999999,0.004615629479999999,0.005494796999999999,0.0032968782,0.00153854316,0.00373646196,0.0008791675199999999,0.00043958376,0.11824803143999997
Heilongjiang,0.1255096296,0.056936487600000016,0.1375618788,0.0201563478,0.012052249199999998,0.5034931002,0.26888983559999996,0.0507025656,0.015169210200000003,0.0403126956,0.012052249199999998,,0.015377007600000003,0.0376113294,0.0095586804,0.5037008976,0.036780139800000014,0.013299033600000005,0.006857314200000001,0.0039481506,0.022442119200000003,0.011428857000000002,0.006026124599999999,0.0085196934,0.006857314200000001,0.0041559480000000005,0.0029091636000000013,0.0043637454,0.0008311896000000003,,0.13652289180000002
Shanghai,0.06207362748,0.02828671632,0.24043708872000005,0.27265251564000004,0.05028749568,0.059716401120000005,0.02514374784,3.0368932938,0.07228827504,0.16422010308,0.79438528332,0.03064394268,0.1139326074,1.87478069832,0.14143358160000002,0.02514374784,,0.10686092832,0.19643553,0.039287106,0.03614413752,0.13750487100000006,0.05657343264,0.0510732378,0.03614413752,0.042430074479999996,0.01257187392,0.017286326640000002,0.01414335816,0.0039287106,0.10057499136
Jiangsu,0.2016085626,0.08759544444,1.49885538264,0.70493476716,0.11262271428000002,0.0834242328,0.03893130864000001,,0.16128685008,0.22107421691999998,2.9573890527599995,0.04449292416,0.12513634920000002,2.49438456072,0.27390956436,0.03197928923999999,3.73462482168,0.139040388,0.23636865960000006,0.054225751320000015,0.02919848148,0.14599240740000002,0.07647221340000003,0.05839696296,0.047273731920000006,0.06256817460000001,0.01529444268,0.0208560582,0.01112323104,0.00278080776,0.20577977424
