,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Guangdong,Anhui,Shaanxi,Zhejiang,Heilongjiang,Sichuan,Hubei,Shanghai,Jilin,Hunan,Gansu,Hainan,Jiangxi,Chongqing,Fujian,Yunnan,Guangxi,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Beijing,3.5627740293599985,0.8046301957199998,0.6003842504399999,0.41013903528,0.3467239635599999,0.3302525163599999,0.3228403651199999,0.19436307696,0.16389089963999998,0.13424229467999996,0.13424229467999996,0.13012443287999995,0.12518299871999994,0.12353585399999994,0.1111822686,0.11035869623999997,0.09471082139999998,0.07988651891999997,0.06094435463999999,0.060120782279999986,0.055179348119999985,0.05270863103999999,0.050237913959999984,0.03541361148,0.034590039119999985,0.029648604959999988,0.023883598439999997,0.02306002608,0.014000730119999995,0.004117861799999999,
Tianjin,1.8693051048,,0.4087513206000001,0.13327924680000006,0.14643738900000006,0.1438906518,0.0963515574,0.0836178714,0.032683127400000005,0.04244562,0.036078777000000006,0.040323339,0.0471146382,0.028014109199999998,0.025467372,0.0373521456,0.040323339,0.0224961786,0.0195249852,0.010611405,0.012733686,0.0131581422,0.0182516166,0.0093380364,0.0097624926,0.008489124,0.006791299200000001,0.007215755400000002,0.0033956496000000004,0.0008489124000000001,0.8837178084
Hebei,,3.1482738180000007,1.8889642908000002,0.8435982329999999,1.1166805476000001,0.5896490742,0.6157397412000001,0.356572449,0.1200170682,0.15306524640000002,0.2852579592,0.16871964660000002,0.1321927128,0.1113201792,0.1287139572,0.11305955700000002,0.1095808014,0.08522951220000001,0.048702578400000016,0.029569422600000006,0.0504419562,0.0417450672,0.0452238228,0.0330481782,0.0365269338,0.024351289200000004,0.0400056894,0.029569422600000006,0.0156544002,0.0017393778,7.0027350228
Shanxi,1.061093763,0.2500111332,0.32152594572000004,0.8413165342800001,,0.04942080540000001,0.5459545443600001,0.20756738268,0.06104923020000001,0.06802628508,1.02504564612,0.07674760368000001,0.014535531000000003,0.08081755236,0.07035197004,0.06744486384000001,0.01395410976,0.040118065560000006,0.047676541680000004,0.019768322160000004,0.019186900920000003,0.034885274400000006,0.025001113320000004,0.015698373480000003,0.012791267280000004,0.015698373480000003,0.037792380600000015,0.016279794720000004,0.01395410976,0.00116284248,0.7500333996000002
Inner Mongolia,0.6957259516799998,0.14739153335999994,0.12653871191999996,0.06871952519999999,0.49715022023999994,0.6066275327999999,,0.045970992719999985,0.033174943199999994,0.016587471599999997,0.49620236472,0.03175315992,0.33933227615999995,0.03696636528,0.01753532712,0.02985744888,0.25497313487999995,0.01753532712,0.23032889136,0.01090033848,0.006161060879999999,0.014691760559999998,0.010426410720000001,0.009952482959999998,0.007108916399999998,0.008056771919999999,0.36302866416,0.01090033848,0.01516568832,0.00047392776,0.5819832892799999
Liaoning,0.67265739792,0.24480761868,0.28312925328000005,0.07168399884,0.049141860839999996,,0.5423638402800001,0.11541574655999999,0.06401967192000001,0.03471489252,0.0383216346,0.07529074092,0.49637787876,0.0360674208,0.02344382352,0.07844664023999999,0.834059106,0.0247963518,0.01307444004,0.0180337104,0.01532865384,0.01487781108,0.022542138,0.013976125559999998,0.01217275452,0.0090168552,0.0036067420799999997,0.007213484159999999,0.003155899320000001,0.0013525282800000002,0.6807725676
Jilin,0.13560680124000002,0.07431559164,0.10445043636,0.02502724392,0.01379052216,1.015135659,0.23954647752,0.04392536688,0.03549782556,0.012258241920000001,0.01455666228,0.033199405200000004,0.48036985524,0.01557818244,0.0114921018,0.034731685440000014,,0.012769002000000002,0.00561836088,0.013279762079999998,0.006384501000000001,0.008172161280000001,0.00995982156,0.0061291209600000006,0.007150641120000001,0.004086080640000001,0.0015322802400000001,0.0033199405199999996,0.0012769002000000002,0.00025538004000000004,0.17978754816
Heilongjiang,0.1478494134,0.07767538739999999,0.15946442460000002,0.0251658576,0.0154866816,0.5814764982,0.3123954054,0.0551713032,0.0425883744,0.013308867000000002,0.0154866816,0.041620456800000004,,0.0176644962,0.0125829288,0.042346395,0.5473574028,0.0164545992,0.0050815674,0.0261337752,0.0065334438,0.0058075056,0.010405114200000001,0.009679176,0.0089532378,0.0058075056,0.0031457322,0.0038716704,0.0009679176,0.0002419794,0.2047145724
Shanghai,0.07135950636,0.035296099920000004,0.24630539292,0.24477077988,0.048340310760000005,0.06598836072,0.031459567319999986,2.94875895636,0.18261895176,0.7174315962000001,0.06829028028,1.83846642192,0.033761486880000004,0.11663059104000001,0.1381151736,,0.02839034124,0.10205176716,0.04143455208,0.03759801948,0.16957474092,0.05908260204,0.12430365624000002,0.054478762919999986,0.03759801948,0.04066724556,0.01227690432,0.016113436919999998,0.01227690432,0.00230191956,0.13351133448
Jiangsu,0.2561922432,0.120090114,1.69247000664,0.7509635128800001,0.12969732312,0.09607209119999999,0.043232441040000014,,0.27700786296,3.00545525304,0.19054298088,2.69642335968,0.048036045599999994,0.14570933832000002,0.31063309488,4.8196165752,0.03682763496,0.16332255504,0.06564926232000001,0.03362523192,0.2722042584,0.08806608360000001,0.16652495808,0.06725046384,0.05123844864,0.07365526992,0.0160120152,0.024018022799999997,0.017613216719999998,0.00480360456,0.32184150552
Zhejiang,0.10863624096,0.04596148656000001,0.30397255884,0.47841729192000004,0.05431812048,0.06371933364,0.02715906024,2.3774623502400005,0.36873647171999996,1.24618303332,0.10132418627999999,,0.03342653568,0.15773146524,0.31024003428,2.35239244848,0.02506990176,0.26114481,0.03760485264,0.0365602734,0.8043260148,0.10132418627999999,0.5640727896000001,0.09714586932,0.06998680908,0.19742547636,0.01253495088,0.01775784708,0.0104457924,0.00208915848,0.15982062372000005
Anhui,0.1731805272,0.1035846144,0.5341081679999999,0.9371170584,0.06635889359999997,0.038844230399999985,0.016185096,6.3558871992,0.3317944679999999,,0.13433629679999998,3.3519333816000003,0.017803605599999998,0.06797740319999998,0.3835867752,2.4002497367999998,0.014566586399999996,0.14081033519999994,0.0226591344,0.0210406248,0.4272865343999999,0.04693677839999999,0.16994350800000002,0.0291331728,0.03398870159999999,0.03398870159999999,0.008092548,0.0129480768,0.0064740384,0.0016185096,0.2800021608
Fujian,0.03494170224,0.01789696944,0.07158787776,0.09672885864,0.02215815264,0.02045367936,0.01107907632,0.21263304168,1.40959940256,0.11547806472,0.040481240400000014,0.7278100905600001,0.011931312960000004,0.08437142736,0.12613102271999999,0.21476363328000006,0.0072440114400000016,0.14317575552,0.014914141200000001,0.02428874424,0.51602928552,0.059656564800000006,,0.04772525184000001,0.06690057624000002,0.07968412584000001,0.00383506488,0.00511341984,0.002982828240000001,0.0008522366400000003,0.059656564800000006
Jiangxi,0.047114842319999996,0.02295338472,0.08456510159999997,0.11839114223999997,0.0181210932,0.014496874559999998,0.007248437279999999,0.6245736789599999,4.560475122,0.36725415552,0.0483229152,2.55869835984,0.007248437279999999,0.05677942535999999,0.4469869656,0.53517628584,0.007248437279999999,0.92175960744,0.010872655919999998,0.028993749119999995,,0.04953098807999999,1.19115985968,0.042282550799999985,0.11114270496,0.07006822703999999,0.00241614576,0.00362421864,0.00241614576,0.00120807288,0.1026861948
Shandong,1.6261531001999998,0.860775579,,1.266491457,0.31141434960000003,0.27413235,0.1228112928,2.0987572716000003,0.18750652739999998,0.4978243476000001,0.2532982914,0.4890521124,0.131583528,0.115135587,0.16776899820000002,0.4627354068,0.08772235199999999,0.09868764600000003,0.0537299406,0.0230271174,0.10197723420000003,0.0570195288,0.0800466462,0.044957705399999985,0.0427646466,0.0350889408,0.0252201762,0.0361854702,0.0186409998,0.0043861176,1.3728548087999999
Henan,0.972147744,0.30388618368000003,1.4978276352000002,,0.96206621184,0.07921203840000003,0.07921203840000003,1.90973023488,0.7661964441600001,1.40709384576,0.99807168384,1.1968218892800002,0.03024459648,0.17282626560000006,1.1089685376,0.6725822169600001,0.024483720960000004,0.37157647104,0.10945663488,0.03888590976,0.21171217535999998,0.09793488384,0.13538057471999998,0.050407660800000004,0.06769028735999999,0.05616853632000001,0.036005472000000004,0.05616853632000001,0.03456525312,0.00864131328,0.92462052096
Hubei,0.12480386688,0.042467982479999986,0.15513814008,0.78522432912,0.06846878808,0.02513411208,0.01646717688,0.5763511908,1.74378736224,0.4030124868,0.29640918384,0.78695771616,0.01040032224,0.2036729772,,0.29814257088,0.00953362872,1.3988433412799999,0.036401127839999985,0.040734595439999986,0.61015223808,0.37441160064,0.17507209104000002,0.05720177232000001,0.09966975480000001,0.09013612608,0.00953362872,0.00953362872,0.00953362872,0.00260008056,0.1906725744
Hunan,0.06366925620000001,0.02546770248,0.08630721395999999,0.21081598164,0.029712319560000002,0.018393340680000002,0.01273385124,0.26741087604,8.458106968080001,0.14431698072000002,0.08772208632000002,0.5277473902800001,0.01273385124,0.14431698072000002,1.0031445032400002,0.18534827916,0.00848923416,,0.0212230854,0.06649900092,0.7994028834,0.24760266300000006,0.19666725804000001,0.10470055464,0.78383928744,0.4711524958800001,0.00848923416,0.01131897888,0.0070743618000000015,0.00141487236,0.11884927824000001
Guangdong,0.08587358207999998,0.03025092096,0.13271371776,0.3366634752,0.050743480319999985,0.056598497279999986,0.03415426559999999,0.23712818688,,0.15808545792,0.12100368384,0.34447016447999995,0.03610593792,0.34056681984,0.536709888,0.18248136192000003,0.028299248639999993,1.7067374438399996,0.050743480319999985,0.31226757120000004,0.91143097344,0.21663562752,0.6996745267199999,0.19321555967999995,2.1370811904,0.29763002879999995,0.012685870079999998,0.02049255936,0.02049255936,0.00683085312,0.15223044096
Guangxi,0.027653886000000003,0.0110615544,0.03429081864,0.05862623832,0.01327386528,0.01327386528,0.0044246217600000005,0.05862623832,8.93441748888,0.024335419680000005,0.02876004144,0.08628012432000001,0.00663693264,0.10840323312000001,0.08517396888,0.04756468392,0.005530777200000001,0.53206076664,0.01327386528,0.08849243520000001,0.08074934712000001,0.10287245592,0.0663693264,0.19247104656,,0.36945591696,0.0022123108800000003,0.00331846632,0.0022123108800000003,0.00110615544,0.04092775128
Hainan,0.018107507880000002,0.008703608759999999,0.015406387920000004,0.031312983240000015,0.014506014600000004,0.01160481168,0.007303028040000001,0.032913646920000005,0.3680526049200001,0.015106263480000003,0.022009125600000002,0.03241343952000001,0.013805724240000004,0.042417587520000015,0.0315130662,0.037715637960000006,0.006702779160000001,0.051321279239999996,0.00580240584,,0.01830759084,0.028811946240000007,0.018107507880000002,0.017307176040000004,0.07283019744000002,0.025210452960000004,0.00240099552,0.0022009125600000005,0.0007002903600000003,0.00040016592000000013,0.04561891488
Chongqing,0.03937910904,0.01524352608,0.05144690052000001,0.09273145031999999,0.034933080600000006,0.01524352608,0.0190544076,0.1016235072,0.37410153588,0.049541459759999996,0.2413558296,0.1460837916,0.00762176304,3.04108345296,0.47890077768,0.07113645504000002,0.004446028440000001,0.24262612344,0.07939336500000001,0.03556822752000001,0.0444602844,,0.07685277732000001,0.21023363052000002,0.0984477726,0.651025593,0.01651381992,0.01714896684,0.01397323224,0.01016235072,0.06097410432
Sichuan,0.0778645548,0.0298782594,0.09959419800000001,0.14848589519999994,0.0796753584,0.0298782594,0.0307836612,0.16116152039999998,0.5948489826000001,0.05613491159999999,0.7279430471999998,0.1837965654,0.017202634199999997,,0.2091478158,0.1204184394,0.011770223399999998,0.1367156718,0.36216072,0.0525133044,0.0507025008,3.7700930952,0.0968779926,0.8112400128,0.122229243,0.6962539842000001,0.0217296432,0.043459286399999984,0.076959153,0.08963477819999999,0.1321886628
Guizhou,0.02181441456,0.00974686608,0.03063300768,0.04966260336,0.01299582144,0.010675139040000002,0.0046413648,0.08911420415999999,0.75422178,0.031561280639999995,0.0371309184,0.35088717888000004,0.005569637759999999,0.5694954609599999,0.07704665567999999,0.057552923519999986,0.0046413648,0.43257519936000005,0.0139240944,0.03063300768,0.0765825192,0.7059515860800001,0.1206754848,0.6460779801600001,0.44417861136,,0.004177228319999999,0.00371309184,0.0032489553600000003,0.00185654592,0.0324895536
Yunnan,0.02332428696,0.008648331120000002,0.02830362912,0.03616574832,0.01284146136,0.011793178800000002,0.007337977920000001,0.05844175272,0.2594499336,0.022013933760000003,0.040096807920000005,0.11347658712000001,0.007337977920000001,0.7060183041600001,0.042717514320000004,0.04481407944,0.0052414128,0.0799315452,0.01388974392,0.02044150992,0.028827770400000008,0.17218041048000002,0.04507615008,,0.19707712128,0.5642380879200001,0.0041931302400000005,0.00471727152,0.0028827770400000003,0.01624837968,0.03878645472
